消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
日本橋,39,25,2,10,8,1,0,0,4,3,0,0,0,0,3,0,11,1,0,1,9,126,63,3,2,5,0,6,0,0,1,0,35,1,10,560,410,1,149,0
臨港,26,19,1,4,14,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,81,10,17,1,2,0,3,0,0,15,1,30,2,0,416,377,14,25,0
芝,71,59,5,13,35,2,0,1,3,5,0,0,2,0,3,0,7,4,0,0,3,159,68,13,1,2,1,7,0,0,0,0,62,1,4,766,553,4,209,0
麻布,56,33,8,11,12,0,0,0,2,2,0,0,0,0,2,1,20,7,3,0,10,135,71,0,3,3,0,4,0,0,0,0,47,0,7,614,457,9,148,0
赤坂,42,24,3,2,17,1,0,0,1,0,0,0,0,0,0,0,18,4,1,1,12,98,47,0,4,0,0,10,0,0,0,0,34,2,1,436,315,5,116,0
高輪,39,28,2,7,13,3,0,2,1,1,0,0,1,0,0,0,10,4,0,1,5,135,54,14,7,7,0,10,0,0,0,0,36,1,6,620,350,6,263,1
品川,71,48,2,13,24,4,0,4,1,4,0,0,1,0,3,0,19,5,0,0,14,200,91,7,4,1,0,19,0,0,0,0,66,1,11,875,708,5,162,0
大井,37,30,1,5,18,3,0,1,2,2,0,0,0,0,2,0,5,1,0,1,3,117,55,2,8,2,0,16,0,0,0,0,30,0,4,520,296,16,205,3
荏原,52,34,5,8,19,1,0,0,1,8,0,0,1,0,7,0,10,4,2,0,4,114,62,0,2,1,0,6,0,0,0,0,40,1,2,523,423,10,90,0
大森,86,49,5,8,28,4,0,4,0,8,0,0,0,0,8,0,29,5,2,2,20,210,90,21,8,1,0,16,0,0,0,0,64,0,10,928,649,11,260,8
田園調布,70,52,3,15,30,2,0,0,2,6,0,0,0,0,6,0,12,7,1,0,4,187,78,13,3,0,0,22,0,0,0,0,58,2,11,790,646,10,132,2
蒲田,117,56,1,9,40,1,0,4,1,10,0,0,2,0,8,15,36,6,1,0,29,387,188,30,4,2,0,43,0,0,1,0,107,5,7,1650,913,6,723,8
矢口,45,30,1,6,16,2,0,4,1,1,0,0,1,0,0,0,14,3,1,0,10,134,58,14,3,4,0,10,0,0,0,0,41,0,4,593,366,0,227,0
目黒,115,73,4,21,36,5,0,7,0,8,0,0,2,0,6,1,33,5,2,4,22,289,140,3,9,5,0,26,0,0,0,0,94,1,11,"1,294",962,0,331,1
世田谷,166,82,10,20,37,6,0,5,4,12,0,0,0,0,12,0,72,7,9,4,52,455,209,19,22,5,0,43,0,0,0,0,130,2,25,"1,930",1163,12,734,21
玉川,101,57,4,13,35,3,0,1,1,11,0,0,5,0,6,1,32,8,3,2,19,220,116,0,5,1,0,14,0,0,0,0,73,2,9,952,678,13,258,3
成城,65,41,3,11,22,0,0,3,2,1,0,0,0,0,1,0,23,5,1,3,14,180,93,0,6,2,0,19,0,0,0,0,55,1,4,762,500,3,256,3
渋谷,145,100,13,29,45,4,0,3,6,8,0,0,1,0,7,0,37,13,3,1,20,456,228,1,12,17,0,39,0,0,0,0,126,4,29,"1,967",1210,27,709,21
四谷,43,27,4,12,10,0,0,1,0,3,0,0,0,0,3,0,13,3,1,0,9,96,49,0,2,0,0,7,0,0,0,0,36,0,2,421,233,0,188,0
牛込,44,29,1,11,13,2,0,0,2,3,0,0,1,0,2,0,12,2,1,0,9,165,85,0,8,4,1,16,0,0,0,0,43,0,8,718,413,14,291,0
新宿,123,84,14,31,30,6,0,3,0,6,0,0,1,0,5,0,33,11,4,0,18,324,156,0,13,4,0,33,0,0,0,0,98,1,19,"1,471",798,6,661,6
中野,58,30,2,10,12,2,0,0,4,2,0,0,1,0,1,1,25,1,3,1,20,159,76,0,8,1,0,7,0,0,0,0,50,0,17,693,435,0,258,0
野方,61,34,1,10,15,2,0,4,2,2,0,0,0,0,2,1,24,5,1,1,17,163,66,16,3,1,0,9,0,0,0,0,52,0,16,706,435,4,265,2
杉並,121,81,7,29,38,0,0,3,4,7,0,0,1,0,6,4,29,8,4,3,14,279,136,0,7,1,0,24,0,0,0,0,101,0,10,"1,204",730,8,454,12
荻窪,86,53,3,17,30,1,0,2,0,1,0,0,0,0,1,0,32,7,4,2,19,213,81,34,7,5,0,20,0,0,0,0,61,0,5,911,593,17,295,6
小石川,53,31,4,8,15,1,0,2,1,8,0,0,1,0,7,0,14,3,1,0,10,149,77,0,5,2,0,12,0,0,0,0,48,1,4,663,472,5,185,1
本郷,39,28,5,8,11,0,0,4,0,1,0,0,1,0,0,0,10,3,2,1,4,86,42,0,0,0,0,10,0,0,0,0,33,0,1,377,249,4,114,10
豊島,71,49,6,20,15,2,0,3,3,3,0,0,0,0,3,0,19,8,1,0,10,231,115,0,10,7,0,29,0,0,0,0,58,6,6,994,635,25,334,0
池袋,59,34,6,11,16,0,0,1,0,1,0,0,0,0,1,0,24,6,1,0,17,143,83,0,2,3,0,3,0,0,0,0,50,0,2,648,454,10,184,0
王子,60,34,5,12,9,0,0,3,5,2,0,0,1,0,1,0,24,3,2,0,19,143,64,7,0,1,0,12,0,0,0,0,55,1,3,620,457,3,158,2
赤羽,63,35,3,3,19,2,0,2,6,10,0,0,2,0,8,1,17,7,0,0,10,199,91,11,6,10,0,20,0,0,0,0,54,1,6,845,628,8,209,0
滝野川,49,24,1,4,14,2,0,3,0,10,0,0,3,0,7,1,14,1,2,0,11,131,68,0,3,3,0,11,0,0,0,0,42,0,4,561,383,15,162,1
板橋,84,51,8,8,30,4,0,1,0,8,0,0,0,0,8,2,23,7,0,1,15,190,81,19,4,1,0,11,0,0,0,0,70,1,3,841,599,0,242,0
志村,132,84,4,20,47,3,0,6,4,7,0,0,2,0,5,0,41,6,6,3,26,322,126,47,6,1,0,23,0,0,0,0,110,2,7,"1,404",1001,8,390,5
練馬,66,44,2,16,25,0,0,1,0,1,0,0,0,0,1,0,21,8,0,1,12,163,41,34,10,0,0,19,0,0,0,0,54,0,5,719,492,1,223,3
光が丘,46,34,4,6,22,1,0,0,1,3,0,0,0,0,3,0,9,3,2,1,3,131,69,0,4,2,0,14,0,0,0,0,38,1,3,562,380,3,179,0
石神井,97,55,6,15,27,2,0,4,1,6,0,0,1,0,5,0,36,19,4,0,13,218,120,0,6,1,0,20,0,0,0,0,67,0,4,964,653,5,306,0
上野,58,29,2,4,14,6,0,2,1,2,0,0,0,0,2,2,25,2,2,1,20,167,83,0,3,3,0,14,0,0,0,0,53,1,10,784,543,9,230,2
浅草,34,26,8,6,10,0,0,1,1,5,0,0,1,0,4,0,3,1,0,0,2,85,40,0,3,1,0,6,0,0,0,0,33,1,1,409,337,5,67,0
日本堤,38,21,1,7,10,1,0,2,0,3,0,0,0,0,3,0,14,3,1,3,7,77,42,0,1,0,0,3,0,0,0,0,30,1,0,363,297,2,63,1
荒川,53,39,2,6,25,1,0,3,2,5,0,0,0,0,5,0,9,0,0,0,9,134,48,14,3,0,0,15,0,0,0,0,51,1,2,625,484,6,135,0
尾久,26,16,1,7,6,1,0,0,1,3,0,0,0,0,3,0,7,1,0,2,4,73,26,10,2,0,0,6,0,0,0,0,23,0,6,319,261,10,48,0
千住,43,20,1,2,14,3,0,0,0,2,0,0,0,0,2,4,17,12,2,1,2,105,53,6,3,0,0,14,0,0,0,0,25,1,3,439,336,7,95,1
足立,136,87,9,16,51,8,0,2,1,16,1,0,1,0,14,0,33,14,4,1,14,318,138,22,8,0,0,33,0,0,0,0,111,0,6,"1,408",1093,9,305,1
西新井,121,73,4,9,56,1,0,1,2,3,0,0,0,0,3,29,16,5,1,3,7,291,150,5,7,4,0,20,0,0,0,0,100,1,4,"1,297",778,7,508,4
本所,71,44,3,13,21,5,0,1,1,6,0,0,0,1,5,1,20,5,1,2,12,176,90,0,3,1,1,16,0,0,0,0,59,0,6,812,533,11,262,6
向島,41,22,3,7,7,1,0,3,1,4,0,0,0,0,4,1,14,4,2,0,8,88,32,17,0,0,0,4,0,0,0,0,33,0,2,394,282,0,108,4
深川,112,77,2,11,56,6,0,1,1,8,0,0,3,0,5,1,26,3,0,3,20,312,140,25,8,4,1,29,0,0,0,0,92,1,12,1397,1028,6,358,5
城東,95,63,4,13,35,3,0,5,3,6,0,0,3,0,3,1,25,2,1,0,22,246,88,42,7,4,0,22,0,0,0,0,76,0,7,1065,754,1,307,3
本田,109,68,7,18,39,2,0,0,2,16,0,0,2,0,14,0,25,8,2,1,14,287,118,31,8,2,0,25,0,0,0,0,90,4,9,1284,941,46,291,6
金町,67,45,6,0,33,5,0,1,0,6,0,0,0,0,6,0,16,5,2,1,8,157,44,37,2,0,0,13,0,0,0,0,55,0,6,686,454,0,227,5
江戸川,103,59,4,8,44,1,0,1,1,3,0,0,0,0,3,0,41,7,8,1,25,246,76,54,7,3,0,24,0,0,0,0,79,0,3,1067,684,11,368,4
葛西,83,43,8,11,18,0,0,0,6,8,0,0,1,0,7,0,32,7,9,2,14,169,82,15,2,0,0,11,0,0,0,0,56,0,3,728,436,13,272,7
小岩,153,32,4,5,17,4,0,1,1,13,0,0,0,0,13,73,35,9,0,2,24,319,137,33,6,4,0,14,0,0,0,0,124,0,1,"1,412",552,6,848,6
受託地区,"1,593",982,44,168,645,23,0,75,27,59,1,0,13,0,45,42,510,85,211,40,174,"3,852","1,835",258,112,15,0,411,0,0,0,2,1108,13,98,"16,638","11,502",145,"4,941",50
立川,79,46,4,7,31,0,0,4,0,3,0,0,1,0,2,0,30,3,14,2,11,178,91,2,5,0,0,22,0,0,0,0,57,0,1,787,516,4,266,1
武蔵野,36,25,5,4,10,3,0,1,2,2,0,0,0,0,2,0,9,4,0,0,5,113,48,14,5,3,0,10,0,0,0,0,28,0,5,490,307,2,174,7
三鷹,67,35,3,5,19,1,0,4,3,13,0,0,4,0,9,0,19,5,1,2,11,168,95,1,2,1,0,15,0,0,0,0,51,0,3,726,521,6,196,3
府中,75,34,0,5,23,1,0,3,2,2,1,0,1,0,0,2,37,6,8,2,21,191,83,20,5,0,0,20,0,0,0,0,56,2,5,800,570,2,228,0
昭島,43,27,2,3,19,0,0,2,1,2,0,0,0,0,2,0,14,1,7,0,6,91,51,0,1,0,0,7,0,0,0,0,32,0,0,399,303,8,84,4
調布,58,43,0,10,24,0,0,8,1,3,0,0,0,0,3,0,12,2,3,2,5,147,68,12,6,0,0,14,0,0,0,0,43,0,4,638,499,3,135,1
小金井,49,19,3,4,8,2,0,2,0,4,0,0,1,0,3,0,26,0,13,2,11,95,60,0,1,0,0,3,0,0,0,0,30,0,1,426,266,0,160,0
小平,49,30,2,6,16,2,0,3,1,3,0,0,0,0,3,0,16,6,7,1,2,109,63,0,1,0,0,8,0,0,0,0,33,0,4,467,313,5,144,5
東村山,61,36,1,5,26,1,0,2,1,3,0,0,2,0,1,0,22,8,4,1,9,143,81,0,3,1,0,11,0,0,0,0,46,0,1,651,444,11,193,3
国分寺,37,25,0,4,17,2,0,0,2,2,0,0,0,0,2,0,10,1,5,0,4,106,56,0,3,1,0,9,0,0,0,0,31,2,4,454,293,3,157,1
狛江,23,11,2,1,5,0,0,1,2,3,0,0,0,0,3,0,9,1,2,1,5,59,36,0,1,0,0,3,0,0,0,0,18,0,1,258,169,2,87,0
北多摩西部,75,47,1,9,30,2,0,4,1,0,0,0,0,0,0,0,28,11,10,0,7,188,80,21,8,0,0,26,0,0,0,0,49,1,3,826,547,4,273,2
清瀬,26,17,3,3,11,0,0,0,0,1,0,0,0,0,1,0,8,2,4,1,1,65,35,0,4,1,0,7,0,0,0,0,17,0,1,273,211,1,61,0
東久留米,44,30,0,7,22,0,0,1,0,2,0,0,0,0,2,0,12,4,2,1,5,123,64,0,4,1,0,15,0,0,0,0,37,0,2,530,376,12,141,1
西東京,65,45,3,15,25,1,0,1,0,2,0,0,0,0,2,1,17,3,1,2,11,163,92,0,4,1,0,14,0,0,0,0,49,0,3,729,398,3,327,1
八王子,206,148,7,38,91,1,0,10,1,4,0,0,0,0,4,1,53,9,20,6,18,545,250,31,25,0,0,72,0,0,0,0,150,1,16,"2,308","1,654",16,628,10
青梅,96,63,1,7,41,2,0,8,4,2,0,0,1,0,1,4,27,1,20,1,5,227,76,50,3,0,0,28,0,0,0,0,62,1,7,957,657,3,296,1
町田,202,133,3,17,96,5,0,10,2,3,0,0,1,0,2,0,66,5,39,5,17,481,211,40,17,2,0,49,0,0,0,0,133,4,25,"2,065","1,388",26,644,7
日野,60,35,0,3,31,0,0,1,0,2,0,0,0,0,2,0,23,4,10,4,5,126,52,18,3,1,0,18,0,0,0,0,32,0,2,525,437,0,88,0
福生,56,46,0,8,35,0,0,2,1,0,0,0,0,0,0,0,10,2,5,2,1,162,64,21,5,2,0,21,0,0,0,0,47,0,2,708,522,2,184,0
多摩,67,43,2,6,34,0,0,1,0,3,0,0,2,0,1,0,21,3,10,3,5,164,50,28,5,1,0,25,0,0,0,0,49,0,6,713,526,9,175,3
秋川,80,35,2,1,22,0,0,7,3,0,0,0,0,0,0,21,24,4,12,1,7,153,88,0,1,0,0,11,0,0,0,0,53,0,0,678,410,2,266,0
奥多摩,39,9,0,0,9,0,0,0,0,0,0,0,0,0,0,13,17,0,14,1,2,55,41,0,0,0,0,3,0,0,0,2,5,2,2,230,175,21,34,0
