消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十八),(十九),(二十),その他,少危
荒川,433,－,－,－,－,－,20,15,－,23,－,－,－,1,－,－,－,－,5,15,－,－,－,13,12,288,41,－,－,－,－,－
尾久,43,－,－,－,－,－,－,－,－,1,2,－,1,1,－,－,－,－,－,9,－,－,－,5,11,－,13,－,－,－,－,－
千住,93,－,－,－,－,－,2,3,－,5,－,－,－,－,－,－,－,3,－,18,－,3,－,2,2,28,27,－,－,－,－,－
足立,134,－,－,－,－,－,8,2,－,13,15,1,－,－,－,－,－,－,8,12,－,－,－,8,29,21,16,－,－,－,－,1
西新井,54,－,－,－,－,－,5,2,－,21,2,－,－,－,－,－,－,－,－,3,－,－,－,－,8,1,8,－,－,－,－,4
本所,20,－,－,－,－,－,－,－,－,3,－,－,1,－,－,－,－,－,－,11,－,－,－,－,－,－,5,－,－,－,－,－
向島,1270,－,－,－,－,－,46,89,－,73,－,－,－,－,－,－,－,5,11,287,－,9,－,29,30,391,285,－,－,－,－,15
深川,102,－,－,－,－,－,20,－,－,1,－,－,－,－,－,－,－,－,26,1,－,－,－,－,10,37,3,－,－,－,－,4
城東,17,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,8,3,－,－,－,－,－,5
本田,1634,－,－,－,－,－,3,2,5,571,－,－,－,－,－,－,－,－,1,119,－,1,－,2,5,257,668,－,－,－,－,－
金町,18,－,－,－,－,－,－,1,－,3,－,－,－,－,－,－,－,2,10,1,－,－,－,－,－,－,－,－,－,－,－,1
江戸川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小岩,93,－,－,－,－,－,－,－,－,4,－,－,3,－,－,－,－,－,6,1,－,－,－,－,1,20,20,－,－,－,34,4
受託地区,1165,－,1,－,－,－,47,2,253,104,14,29,4,2,5,－,－,27,16,80,－,－,－,30,110,78,183,－,－,－,4,176
立川,55,－,－,－,－,－,1,－,－,14,－,3,－,－,－,－,－,3,－,2,－,－,－,3,5,12,10,－,－,－,－,2
国分寺,118,－,－,－,－,－,35,－,8,1,1,－,－,－,－,－,－,1,1,1,－,－,－,1,1,1,2,－,－,－,－,65
小平,136,－,－,－,－,－,4,－,－,7,－,11,－,1,－,－,－,2,1,5,－,－,－,2,9,27,45,－,－,－,－,22
武蔵野,68,－,－,－,－,－,－,－,－,64,－,－,2,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－
保谷,21,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,4,1,－,－,－,－,1,5,4,－,－,－,－,5
三鷹,24,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,5,－,18,－,－,－,－,－
調布,3,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
府中,30,－,1,－,－,－,－,－,－,－,－,－,－,－,4,－,－,9,－,1,－,－,－,5,9,1,－,－,－,－,－,－
東村山,68,－,－,－,－,－,－,－,－,1,2,8,1,－,－,－,－,1,1,6,－,－,－,5,8,－,14,－,－,－,－,21
狛江,5,－,－,－,－,－,－,－,－,－,1,2,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－
北多摩西部,20,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,2,－,－,－,4,9,1,3,－,－,－,－,－
清瀬,29,－,－,－,－,－,－,2,1,3,－,1,1,1,－,－,－,－,－,－,－,－,－,1,3,5,11,－,－,－,－,－
八王子,116,－,－,－,－,－,4,－,－,7,1,－,－,－,－,－,－,－,5,50,－,－,－,4,15,9,8,－,－,－,3,10
日野,71,－,－,－,－,－,1,－,1,－,4,1,－,－,－,－,－,－,1,4,－,－,－,－,27,2,25,－,－,－,－,5
町田,6,－,－,－,－,－,－,－,2,－,－,2,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－
青梅,80,－,－,－,－,－,1,－,10,2,1,1,－,－,1,－,－,1,－,2,－,－,－,5,10,5,4,－,－,－,－,37
福生,44,－,－,－,－,－,1,－,－,1,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,1,38,－,－,－,－,－
秋川,103,－,－,－,－,－,－,－,76,－,－,－,－,－,－,－,－,3,2,－,－,－,－,－,4,8,－,－,－,－,1,9
奥多摩,156,－,－,－,－,－,－,－,154,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－
多摩,12,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,1,5,－,－,－,－,2,－,－,－,－,－,－,－
