消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),高層建築物
本田,241,－,－,－,－,－,3,1,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,194,33,－,－,12
金町,140,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,119,19,－,－,6
江戸川,482,－,－,－,－,－,3,1,－,111,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,306,61,－,－,147
小岩,161,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,140,19,－,－,10
受託地区,3536,－,－,1,－,1,19,5,－,44,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－,20,9,3145,288,1,－,136
立川,405,－,－,－,－,－,2,1,－,－,13,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,364,24,－,－,17
国分寺,258,－,－,－,－,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4,230,21,－,－,6
小平,149,－,－,－,－,－,－,1,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,132,13,－,－,4
武蔵野,405,－,－,－,－,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,16,3,338,40,1,－,15
保谷,203,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,193,10,－,－,1
三鷹,160,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,142,17,－,－,3
調布,230,－,－,－,－,－,1,1,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,195,26,－,－,17
府中,169,－,－,－,－,－,3,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,149,11,－,－,5
東村山,132,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,114,18,－,－,2
狛江,60,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,49,11,－,－,3
北多摩西部,111,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,101,9,－,－,4
清瀬,39,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,32,5,－,－,－
八王子,490,－,－,－,－,－,4,－,－,13,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,438,32,－,－,37
日野,105,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,93,12,－,－,7
町田,331,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,306,25,－,－,2
青梅,52,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,51,1,－,－,－
福生,126,－,－,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,121,3,－,－,2
秋川,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,10,－,－,－,－
奥多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
多摩,101,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,87,10,－,－,11
