消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),危険物製造所等／製造所,危険物製造所等／貯蔵所,危険物製造所等／取扱所
荻窪,393,1,11,－,4,1,11,58,1,－,7,7,14,－,－,－,－,－,－,－,－,－,－,－,－,219,－,－,－,－,9,50
小石川,238,1,1,－,1,3,4,3,17,－,6,7,10,－,－,－,－,－,－,－,－,－,－,－,－,152,－,－,－,－,2,31
本郷,481,－,－,1,－,4,38,12,105,－,20,5,7,－,－,3,－,－,－,－,－,－,－,－,－,202,－,－,－,－,29,55
豊島,680,12,－,－,－,－,4,29,71,－,15,14,11,－,－,－,－,－,－,－,－,－,－,－,－,478,－,17,－,－,4,25
池袋,655,34,－,3,4,2,17,48,92,－,25,7,4,－,－,9,－,－,－,－,－,－,－,－,－,360,－,5,－,－,－,45
王子,336,－,－,－,2,1,5,49,20,－,3,15,11,－,－,－,－,－,－,－,－,－,－,－,－,153,－,－,－,4,22,51
赤羽,300,11,－,3,4,－,8,54,10,－,－,10,7,－,－,－,－,－,－,－,－,－,－,－,－,89,－,－,－,25,36,43
滝野川,287,1,－,－,－,－,12,41,10,－,13,1,11,－,－,1,－,－,－,－,－,－,－,－,－,99,－,－,－,8,45,45
板橋,280,－,3,－,4,1,12,40,2,－,26,25,13,－,－,－,－,－,－,－,－,－,－,－,－,98,－,－,－,1,7,48
志村,1024,－,－,－,2,1,8,159,12,－,34,16,10,－,－,2,－,－,－,－,－,－,－,－,－,309,－,－,－,52,244,175
練馬,570,－,23,－,3,－,－,93,5,－,12,20,1,－,－,－,－,－,－,－,－,－,－,－,－,313,－,－,－,－,－,100
光が丘,507,－,－,－,－,－,2,95,－,－,20,9,29,－,－,－,－,－,－,－,－,－,－,－,－,247,－,－,－,－,12,93
石神井,528,－,－,－,－,2,24,138,3,－,38,18,22,－,－,1,－,－,－,－,－,－,－,－,－,134,－,－,－,－,7,141
上野,563,7,5,2,7,3,50,86,135,－,5,6,3,－,－,4,－,－,－,－,－,－,－,－,－,219,－,－,－,－,－,31
浅草,319,－,－,－,－,5,14,102,55,－,6,2,2,－,－,2,－,－,－,－,－,－,－,－,－,102,－,－,－,－,3,26
日本堤,669,40,4,－,8,11,7,9,177,－,9,2,1,－,－,206,－,－,－,－,－,－,－,－,－,145,－,2,－,－,10,38
荒川,497,－,－,－,1,2,19,118,50,－,29,9,8,－,－,－,－,－,－,－,－,－,－,－,－,130,－,－,－,1,56,74
尾久,241,－,－,－,1,2,5,40,1,－,13,10,5,－,－,－,－,－,－,－,－,－,－,－,－,73,－,－,－,2,40,49
千住,466,－,1,－,2,－,－,9,65,10,－,19,－,－,－,5,－,－,－,－,－,－,－,－,－,78,－,－,－,11,174,92
足立,836,－,1,－,13,－,84,276,－,－,55,29,11,－,－,9,－,－,－,－,－,－,－,－,－,183,－,－,－,7,53,115
西新井,459,－,－,－,10,－,16,64,27,－,46,11,20,－,－,1,－,－,－,－,－,－,－,－,－,87,－,－,－,15,47,115
本所,460,74,1,1,3,17,15,36,53,－,1,3,－,－,－,－,－,－,－,－,－,－,－,－,－,160,－,－,－,－,3,93
向島,338,－,－,－,2,2,9,43,－,－,22,11,10,－,－,－,－,－,－,－,－,－,－,－,－,128,－,－,－,4,46,61
深川,705,8,6,－,1,1,6,53,39,－,12,4,－,－,－,－,－,－,－,－,－,－,－,－,－,236,－,－,－,－,108,231
城東,538,－,－,－,1,3,29,103,26,－,12,5,14,－,－,－,－,－,－,－,－,－,－,－,－,180,－,－,－,5,38,122
本田,747,－,－,－,6,6,17,120,41,－,22,26,24,－,－,7,－,－,－,－,－,－,－,－,－,159,－,－,－,17,108,194
金町,464,－,－,－,1,4,12,78,8,－,26,9,3,－,－,6,－,－,－,－,－,－,－,－,－,158,－,－,－,3,72,84
江戸川,732,20,5,－,17,2,8,102,29,－,39,37,4,－,－,1,－,－,－,－,－,－,－,－,－,147,－,－,－,25,85,211
小岩,423,2,－,－,3,－,16,122,15,－,11,4,23,－,－,2,－,－,－,－,－,－,－,－,－,169,－,－,－,1,3,52
受託地区,6774,44,62,3,36,15,255,1466,332,－,410,413,119,－,－,8,－,－,－,－,－,－,－,－,－,1843,－,1,－,41,550,1176
立川,519,12,4,2,1,－,8,97,39,－,20,37,1,－,－,－,－,－,－,－,－,－,－,－,－,101,－,－,－,10,53,134
国分寺,224,－,2,－,－,－,2,67,6,－,13,－,－,－,－,－,－,－,－,－,－,－,－,－,－,98,－,－,－,－,15,21
小平,242,－,－,－,－,－,14,52,－,－,30,30,1,－,－,－,－,－,－,－,－,－,－,－,－,34,－,－,－,1,26,54
武蔵野,446,3,13,－,5,2,29,79,14,－,15,－,11,－,－,1,－,－,－,－,－,－,－,－,－,236,－,1,－,－,3,34
保谷,374,8,6,－,－,4,8,92,－,－,11,19,10,－,－,1,－,－,－,－,－,－,－,－,－,102,－,－,－,－,33,80
三鷹,324,－,6,－,－,－,12,104,11,－,15,8,11,－,－,2,－,－,－,－,－,－,－,－,－,114,－,－,－,2,－,39
調布,229,3,2,－,2,3,8,22,16,－,14,16,5,－,－,－,－,－,－,－,－,－,－,－,－,93,－,－,－,1,4,40
府中,537,13,4,－,2,1,23,127,13,－,36,23,10,－,－,2,－,－,－,－,－,－,－,－,－,117,－,－,－,－,48,118
東村山,335,－,1,－,－,－,7,100,2,－,－,55,14,－,－,2,－,－,－,－,－,－,－,－,－,72,－,－,－,3,35,44
狛江,67,－,－,－,－,－,2,24,－,－,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,14,－,－,－,－,7,14
北多摩西部,215,－,5,－,－,－,6,52,7,－,9,11,2,－,－,－,－,－,－,－,－,－,－,－,－,14,－,－,－,4,57,48
清瀬,203,－,－,－,－,－,2,50,－,－,46,30,16,－,－,－,－,－,－,－,－,－,－,－,－,41,－,－,－,－,6,12
八王子,894,1,2,1,10,1,53,115,40,－,89,65,7,－,－,－,－,－,－,－,－,－,－,－,－,234,－,－,－,2,66,208
日野,289,－,3,－,1,－,9,48,2,－,14,13,6,－,－,－,－,－,－,－,－,－,－,－,－,46,－,－,－,4,87,56
町田,584,2,－,－,9,1,40,177,30,－,16,22,6,－,－,－,－,－,－,－,－,－,－,－,－,223,－,－,－,1,23,34
青梅,511,2,6,－,4,3,13,136,65,－,31,46,4,－,－,－,－,－,－,－,－,－,－,－,－,87,－,－,－,1,13,100
福生,401,－,6,－,1,－,15,81,21,－,22,7,6,－,－,－,－,－,－,－,－,－,－,－,－,87,－,－,－,9,62,84
秋川,128,－,2,－,1,－,2,23,39,－,4,14,1,－,－,－,－,－,－,－,－,－,－,－,－,9,－,－,－,3,4,26
奥多摩,48,－,－,－,－,－,2,－,25,－,1,6,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,3,9
多摩,204,－,－,－,－,－,－,20,2,－,18,11,8,－,－,－,－,－,－,－,－,－,－,－,－,119,－,－,－,－,5,21
