消防署,計,消火栓／小計,消火栓／公設／上水,消火栓／公設／工業水,消火栓／私設,防火水槽・貯水池等／小計,防火水槽・貯水池等／所管内／防火水槽／100m3以上,防火水槽・貯水池等／所管内／防火水槽／40m3以上,防火水槽・貯水池等／所管内／防火水槽／40m3未満,防火水槽・貯水池等／所管内／貯水池／100m3以上,防火水槽・貯水池等／所管内／貯水池／40m3以上,防火水槽・貯水池等／所管内／貯水池／40m3未満,防火水槽・貯水池等／所管内／受水槽／飲料用,防火水槽・貯水池等／所管内／受水槽／その他,防火水槽・貯水池等／所管外／防火水槽／100m3以上,防火水槽・貯水池等／所管外／防火水槽／40m3以上,防火水槽・貯水池等／所管外／防火水槽／40m3未満,防火水槽・貯水池等／所管外／貯水池／100m3以上,防火水槽・貯水池等／所管外／貯水池／40m3以上,防火水槽・貯水池等／所管外／貯水池／40m3未満,防火水槽・貯水池等／所管外／受水槽／飲料用,防火水槽・貯水池等／所管外／受水槽／その他,その他／小計,その他／プール,その他／河川みぞ,その他／池ほり,その他／海,その他／井戸,その他／その他
上野,1136,954,947,－,7,156,18,70,－,－,－,－,－,－,1,23,1,2,－,1,25,15,26,17,－,8,－,1,－
浅草,698,583,583,－,－,95,8,45,－,－,－,－,－,－,1,28,3,－,－,－,9,1,20,13,5,2,－,－,－
日本堤,836,680,679,1,－,127,15,57,－,－,－,－,－,－,3,35,1,－,－,－,10,6,29,10,6,3,－,－,10
荒川,1346,1085,1036,48,1,232,26,97,1,－,－,－,－,－,11,48,13,4,－,2,20,10,29,28,1,－,－,－,－
尾久,944,774,755,19,－,151,22,89,－,－,－,－,－,－,1,19,2,－,1,1,16,－,19,16,3,－,－,－,－
千住,1131,875,776,35,64,204,24,79,－,－,1,－,－,－,15,34,3,6,2,－,37,3,52,22,30,－,－,－,－
足立,3835,3277,3149,102,26,467,105,137,－,－,－,－,－,1,17,61,－,5,2,－,139,－,91,70,18,3,－,－,－
西新井,2770,2350,2239,35,76,357,67,147,1,－,－,－,－,－,5,66,2,－,4,2,55,8,63,49,11,3,－,－,－
本所,1739,1434,1393,41,－,234,23,84,－,－,－,－,－,1,11,90,2,－,1,－,21,1,71,22,47,2,－,－,－
向島,1429,1169,1057,95,17,215,37,65,1,－,－,－,－,－,25,53,3,－,4,－,26,1,45,33,11,1,－,－,－
深川,2333,1690,1631,44,15,444,81,92,－,－,－,－,－,－,22,130,4,7,7,1,100,－,199,36,125,5,27,－,6
城東,2098,1446,1372,56,18,442,50,82,1,－,－,－,－,－,10,172,9,2,2,1,101,12,210,47,92,1,39,－,31
本田,3273,2729,2582,111,36,446,71,161,－,－,－,－,－,－,6,129,1,3,7,－,45,23,98,59,35,2,－,－,2
金町,2057,1685,1609,34,42,315,39,127,－,－,－,－,－,－,3,67,2,5,3,1,63,5,57,36,15,6,－,－,－
江戸川,4503,3763,3630,129,4,523,85,140,－,－,－,－,－,－,9,204,2,3,2,1,77,－,217,73,107,3,－,－,34
小岩,2292,1974,1971,3,－,268,50,106,－,－,－,－,－,－,4,77,3,－,－,－,26,2,50,34,15,1,－,－,－
受託地区,40601,31448,29971,－,1477,7572,210,4224,586,5,8,13,30,6,143,1384,89,84,155,63,504,68,1581,951,482,145,－,2,1
立川,4000,3240,2999,－,241,647,43,345,24,2,2,1,1,－,16,139,11,10,17,2,28,6,113,84,18,11,－,－,－
国分寺,1639,1286,1251,－,35,295,1,135,22,－,－,－,－,－,7,78,7,7,16,7,15,－,58,44,12,2,－,－,－
小平,1418,1065,949,－,116,296,9,139,7,－,－,－,4,1,19,79,3,1,5,2,27,－,57,47,4,6,－,－,－
武蔵野,1088,774,698,－,76,281,8,161,45,1,－,1,－,－,6,32,7,5,2,2,11,－,33,28,3,2,－,－,－
保谷,1528,1251,1161,－,90,230,16,116,9,－,1,－,－,－,11,28,3,7,6,2,31,－,47,36,11,－,－,－,－
三鷹,1473,1177,1109,－,68,254,－,95,6,－,1,－,8,2,10,34,6,5,14,3,63,7,42,36,5,1,－,－,－
調布,2116,1657,1593,－,64,400,28,216,19,－,－,－,－,－,8,74,10,4,4,1,29,7,59,48,3,8,－,－,－
府中,2869,2333,2224,－,109,471,22,246,7,－,－,－,1,－,6,131,3,2,13,－,34,6,65,59,2,4,－,－,－
東村山,1274,890,832,－,58,277,1,178,20,－,－,－,－,－,－,34,1,1,2,8,32,－,107,31,66,10,－,－,－
狛江,632,520,497,－,23,94,2,61,5,－,－,－,－,－,1,20,－,1,－,2,2,－,18,16,1,1,－,－,－
北多摩西部,1713,1363,1131,－,232,302,9,191,33,－,－,－,－,－,14,30,4,1,4,－,15,1,48,43,1,4,－,－,－
清瀬,576,375,333,－,42,157,10,71,7,－,－,－,3,－,3,25,－,1,4,3,30,－,44,23,20,1,－,－,－
八王子,5246,4064,4012,－,52,902,10,375,91,－,1,8,3,－,12,264,12,8,13,14,75,16,280,145,101,34,－,－,－
日野,1719,1376,1283,－,93,243,2,115,19,－,－,2,7,－,8,42,－,7,13,7,19,2,100,41,45,14,－,－,－
町田,3916,3158,3097,－,61,533,27,241,89,1,－,－,1,2,7,85,11,1,4,4,54,6,225,102,108,15,－,－,－
青梅,3280,2578,2571,－,7,640,3,552,27,－,1,－,－,－,3,18,1,8,9,4,6,8,62,39,10,13,－,－,－
福生,2315,1696,1668,－,28,559,10,401,74,－,－,－,－,1,4,19,3,12,25,－,6,4,60,40,18,1,－,－,1
秋川,1643,1088,1053,－,35,459,5,341,65,1,2,1,－,－,4,25,2,1,3,2,4,3,96,32,48,14,－,2,－
奥多摩,434,282,282,－,－,137,1,114,13,－,－,－,－,－,1,2,4,2,－,－,－,－,15,9,6,－,－,－,－
多摩,1722,1275,1228,－,47,395,3,131,4,－,－,－,2,－,3,225,1,－,1,－,23,2,52,48,－,4,－,－,－
