消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
江戸川,1567,3,1,－,13,5,47,73,13,466,25,30,29,87,4,2,3,2,17,65,－,1,－,35,47,51,28,394,126,－,－
小岩,545,1,－,－,1,－,11,42,15,121,12,14,23,46,1,3,－,1,4,10,－,－,－,4,9,18,4,173,32,－,－
受託地区,17974,20,19,4,102,27,436,767,249,7065,315,618,318,923,48,10,21,5,144,665,2,12,2,70,439,670,497,3804,711,1,10
立川,2089,5,2,3,13,3,62,87,37,760,26,77,34,93,3,1,2,1,12,68,－,6,－,20,65,116,93,439,59,－,2
国分寺,1020,－,1,－,9,1,17,25,7,459,13,23,15,53,2,－,－,3,7,10,－,－,－,1,20,26,32,258,36,－,2
小平,675,－,－,－,7,1,15,30,4,228,9,19,18,42,4,－,－,－,4,24,－,－,－,1,18,24,35,161,31,－,－
武蔵野,985,1,3,－,5,2,27,25,12,288,16,16,12,39,2,1,2,－,9,8,－,1,－,－,26,55,28,349,57,1,－
保谷,860,1,1,－,3,2,15,23,－,391,8,23,16,33,－,1,－,－,6,20,－,－,－,1,16,23,34,203,40,－,－
三鷹,846,－,－,－,－,－,11,16,2,373,7,16,18,28,4,1,－,－,6,28,1,2,2,7,16,34,24,185,65,－,－
調布,1081,1,1,－,4,4,12,26,4,424,11,21,17,38,4,－,6,－,13,67,1,－,－,11,24,34,22,263,73,－,－
府中,819,5,1,－,3,－,32,35,7,261,19,31,17,41,2,4,－,－,9,36,－,－,－,1,32,36,10,192,45,－,－
東村山,712,－,1,－,9,－,14,17,6,267,26,52,15,67,1,1,－,－,6,30,－,－,－,6,10,22,12,124,26,－,－
狛江,272,－,－,－,－,－,4,7,－,125,2,7,4,14,－,－,－,－,2,10,－,－,－,－,3,8,10,59,17,－,－
北多摩西部,679,－,1,－,4,－,26,58,7,248,11,30,8,36,2,－,7,－,6,44,－,－,－,－,26,21,2,113,28,－,1
清瀬,389,－,－,－,2,－,2,10,－,199,19,18,10,21,3,－,－,－,1,8,－,－,－,－,10,1,13,61,11,－,－
八王子,2251,1,2,－,21,3,71,140,40,683,62,88,39,143,4,－,－,－,27,125,－,1,－,11,64,92,47,513,74,－,－
日野,824,－,－,－,2,－,18,23,1,448,8,22,15,36,4,－,1,－,8,26,－,－,－,－,13,22,24,135,17,－,1
町田,1761,3,1,－,7,1,43,92,14,772,32,40,43,98,3,－,3,1,18,33,－,2,－,4,26,77,30,366,51,－,1
青梅,619,1,1,－,5,5,18,52,44,189,14,48,3,29,4,－,－,－,3,29,－,－,－,1,9,23,24,86,28,－,3
福生,694,－,3,1,7,3,28,51,13,195,12,31,13,31,4,1,－,－,1,72,－,－,－,4,28,26,18,137,15,－,－
秋川,260,－,1,－,1,2,8,26,31,16,10,31,7,29,1,－,－,－,3,14,－,－,－,－,22,10,14,31,3,－,－
奥多摩,60,－,－,－,－,－,6,－,18,3,1,6,－,7,－,－,－,－,－,3,－,－,－,－,4,－,2,10,－,－,－
多摩,1078,2,－,－,－,－,7,24,2,736,9,19,14,45,1,－,－,－,3,10,－,－,－,2,7,20,23,119,35,－,－
