消防署,出場・従事件数／計／出場,出場・従事件数／計／従事,出場・従事件数／火災／出場,出場・従事件数／火災／従事,出場・従事件数／交通／出場,出場・従事件数／交通／従事,出場・従事件数／水難／出場,出場・従事件数／水難／従事,出場・従事件数／機械／出場,出場・従事件数／機械／従事,出場・従事件数／建物工作物／出場,出場・従事件数／建物工作物／従事,出場・従事件数／崩かい／出場,出場・従事件数／崩かい／従事,出場・従事件数／堕落／出場,出場・従事件数／堕落／従事,出場・従事件数／ガス／出場,出場・従事件数／ガス／従事,出場・従事件数／電気／出場,出場・従事件数／電気／従事,出場・従事件数／山岳／出場,出場・従事件数／山岳／従事,出場・従事件数／その他／出場,出場・従事件数／その他／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,誘導人員,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行車,出場車両数／その他,従事台数,出場人員,従事人員
赤坂,37,24,－,－,25,18,－,－,3,1,4,3,1,－,2,－,－,－,－,－,－,－,2,2,24,1,3,15,5,－,－,124,39,15,－,3,37,－,－,－,－,29,1,62,551,271
高輪,28,17,－,－,13,7,－,－,5,3,3,2,1,1,1,1,－,－,－,－,－,－,5,3,21,2,4,11,3,1,－,85,22,15,5,－,23,－,－,－,－,20,－,40,423,184
品川,66,41,－,－,34,20,1,1,7,4,18,12,－,－,4,3,－,－,－,－,－,－,2,1,52,2,18,21,9,2,－,218,45,46,16,1,58,－,－,－,－,49,3,102,1047,488
大井,78,56,2,2,54,45,2,－,1,－,6,1,－,－,2,1,－,－,1,1,－,－,10,6,78,5,17,51,2,3,2,269,57,31,38,6,82,－,－,1,－,41,13,170,1122,693
荏原,20,7,1,1,9,2,－,－,1,1,4,1,－,－,2,2,－,－,－,－,－,－,3,－,6,2,2,1,－,1,1,96,28,19,－,2,21,1,－,－,－,20,5,36,450,172
大森,88,61,1,1,49,37,1,1,11,4,8,6,3,3,3,1,1,－,－,－,－,－,11,8,71,5,14,41,8,3,－,279,46,41,49,1,88,－,－,－,－,50,4,157,1261,716
東調布,21,10,1,1,7,2,－,－,－,－,10,7,1,－,－,－,－,－,－,－,－,－,2,－,9,1,2,3,3,－,1,86,26,17,3,1,15,－,－,－,－,24,－,36,407,172
蒲田,71,44,1,1,44,29,4,1,5,3,10,7,－,－,2,1,－,－,－,－,－,－,5,2,65,3,13,46,3,－,6,235,66,34,12,1,70,1,3,－,3,43,2,113,1084,524
矢口,29,16,－,－,12,6,2,2,4,2,8,4,－,－,－,－,－,－,－,－,－,－,3,2,17,1,3,6,6,1,－,139,23,24,10,－,31,3,1,1,2,35,9,67,582,280
目黒,49,27,1,1,15,7,－,－,2,1,16,7,－,－,4,4,2,1,－,－,－,－,9,6,31,1,9,15,5,1,－,174,40,45,5,3,42,－,－,－,－,39,－,84,822,384
世田谷,101,48,1,1,38,15,－,－,9,3,36,19,－,－,4,3,5,1,－,－,－,－,8,6,56,4,12,23,15,2,2,345,75,77,15,4,83,－,－,－,－,76,15,111,1627,482
玉川,66,29,－,－,38,21,2,2,1,－,11,2,－,－,－,－,7,－,－,－,－,－,7,4,29,2,11,14,1,1,－,233,65,45,－,3,66,－,－,－,－,52,2,75,1035,341
成城,65,35,1,1,43,23,－,－,3,1,9,7,－,－,2,1,1,－,－,－,－,－,6,2,51,7,11,28,4,1,－,226,69,37,5,1,68,－,－,－,－,41,5,94,1029,419
渋谷,148,97,1,1,88,61,1,－,7,3,29,15,1,1,8,6,3,1,－,－,－,－,10,9,153,12,23,101,13,4,－,461,143,62,8,15,146,－,－,－,－,80,7,258,2068,1160
四谷,39,29,2,2,22,16,－,－,－,－,6,5,1,－,6,6,－,－,－,－,－,－,2,－,55,4,5,25,17,4,2,169,59,20,－,9,40,1,－,－,－,29,11,123,680,486
牛込,38,24,2,2,18,11,－,－,5,4,9,6,－,－,3,－,－,－,－,－,－,－,1,1,27,1,5,13,7,1,2,140,52,23,－,5,33,－,－,－,－,27,－,66,651,294
新宿,62,32,1,1,21,13,4,2,9,2,17,9,－,－,4,4,－,－,－,－,－,－,6,1,30,5,9,9,7,－,2,250,49,55,8,8,62,1,－,1,2,54,10,120,1209,609
中野,25,18,2,2,7,5,3,3,2,－,8,6,－,－,2,2,－,－,－,－,－,－,1,－,17,2,8,－,7,－,2,113,33,15,4,7,25,－,－,－,－,26,3,76,532,343
野方,25,13,1,1,6,1,1,1,2,1,10,6,1,1,2,1,－,－,－,－,－,－,2,1,13,－,5,2,5,1,－,95,25,17,6,2,21,－,－,－,－,24,－,37,454,193
杉並,97,56,6,6,48,23,2,2,1,1,25,17,2,－,－,－,3,2,－,－,－,－,10,5,77,5,16,40,14,2,2,421,135,73,2,11,111,－,－,1,－,75,13,214,1946,996
荻窪,62,28,2,2,25,8,－,－,2,1,26,12,－,－,3,3,1,－,－,－,－,－,3,2,32,3,12,7,7,3,－,240,53,42,25,4,51,－,－,－,－,－,65,98,1165,463
小石川,48,34,1,1,34,25,－,－,－,－,8,4,1,－,1,1,1,1,－,－,－,－,2,2,51,4,6,36,4,1,－,162,57,20,－,3,54,－,－,－,－,25,3,93,674,385
本郷,17,10,2,2,6,4,－,－,－,－,6,3,－,－,3,1,－,－,－,－,－,－,－,－,11,5,－,3,－,3,10,99,30,17,1,6,24,－,－,－,－,17,4,41,446,231
豊島,40,18,1,1,15,8,1,1,5,3,6,2,－,－,2,－,2,－,－,－,－,－,8,3,18,2,5,7,2,2,4,155,43,33,－,3,40,－,－,－,－,33,3,53,724,245
池袋,32,21,2,2,16,12,－,－,3,2,4,1,－,－,3,1,2,1,－,－,－,－,2,2,31,－,2,19,4,6,15,144,45,25,－,4,32,－,－,－,－,29,9,94,729,427
王子,22,11,2,2,6,1,1,1,3,3,2,－,－,－,1,1,3,1,－,－,－,－,4,2,23,－,2,－,17,4,3,103,24,15,6,4,20,1,－,－,－,22,11,57,527,269
赤羽,41,24,－,－,11,4,1,－,2,1,19,16,－,－,－,－,1,－,－,－,－,－,7,3,25,6,2,7,－,10,－,150,36,22,7,－,40,－,－,1,2,42,－,62,627,243
滝野川,17,10,2,2,7,2,－,－,3,2,3,3,－,－,－,－,1,1,－,－,－,－,1,－,13,1,2,1,6,3,1,103,38,18,1,5,18,－,－,－,－,18,5,46,496,188
板橋,71,44,3,3,30,20,2,2,4,1,23,13,－,－,1,1,1,－,－,－,－,－,7,4,49,7,13,14,12,3,2,281,58,51,21,8,76,－,－,1,－,54,12,159,1276,734
志村,101,53,－,－,42,24,2,1,9,5,22,12,－,－,7,4,4,1,－,－,－,－,15,6,67,7,14,36,8,2,－,321,51,61,48,3,84,－,－,－,－,63,11,129,1566,646
練馬,68,22,3,3,23,5,－,－,3,－,25,9,－,－,4,1,－,－,－,－,－,－,10,4,30,3,6,7,12,2,4,288,67,63,18,5,56,1,－,－,－,68,10,102,1363,460
光が丘,4,2,－,－,1,－,－,－,－,－,2,2,－,－,－,－,－,－,－,－,－,－,1,－,2,1,－,－,1,－,－,12,4,3,－,－,2,－,－,－,－,3,－,5,60,26
石神井,52,29,－,－,24,13,1,1,1,－,7,4,1,1,1,－,2,－,－,－,－,－,15,10,44,4,13,19,6,2,－,197,54,34,－,－,60,－,－,－,－,46,3,92,928,426
上野,84,44,3,3,44,20,－,－,8,3,18,12,－,－,4,4,4,1,－,－,－,－,3,1,62,7,16,29,7,3,4,310,86,71,1,9,76,－,－,－,－,51,16,149,1501,726
浅草,11,6,1,1,1,1,－,－,－,－,7,3,－,－,2,1,－,－,－,－,－,－,－,－,11,2,2,2,5,－,1,52,15,5,1,6,10,－,－,－,－,12,3,27,274,131
日本堤,20,7,－,－,2,－,7,4,1,－,5,2,－,－,4,－,－,－,－,－,－,－,1,1,6,－,3,－,1,2,－,96,21,12,－,－,17,1,－,2,24,19,－,28,513,144
荒川,24,9,1,1,5,1,－,－,3,2,10,4,－,－,1,－,3,－,－,－,－,－,1,1,10,2,2,3,2,1,－,99,21,16,9,4,24,－,－,－,－,22,3,27,507,130
尾久,16,8,1,1,3,－,－,－,2,2,5,3,－,－,－,－,－,－,－,－,－,－,5,2,8,1,2,－,4,1,－,73,18,10,5,2,16,－,－,－,－,22,－,42,337,189
千住,37,19,2,2,14,5,6,1,4,3,5,4,1,－,2,2,1,－,－,－,－,－,2,2,21,2,7,6,3,3,－,178,26,29,23,4,36,3,3,－,9,40,5,76,849,348
足立,92,54,4,4,51,30,2,2,4,2,14,7,－,－,2,1,2,－,－,－,－,－,13,8,63,3,14,36,6,4,19,337,104,51,13,9,94,－,2,1,－,60,3,157,1613,744
西新井,79,37,1,1,46,22,2,－,5,－,5,3,2,1,6,5,1,－,－,－,－,－,11,5,41,－,12,27,－,2,1,330,87,56,11,6,89,－,－,－,－,75,6,120,1460,596
本所,71,54,1,1,42,35,5,1,1,1,6,4,－,－,3,2,－,－,－,－,－,－,13,10,83,6,14,57,3,3,1,243,83,24,10,5,70,2,－,1,8,32,8,162,1100,741
向島,41,32,2,2,21,19,2,1,－,－,7,4,－,－,2,2,1,－,－,－,－,－,6,4,41,4,6,24,4,3,－,168,41,19,23,5,41,1,1,－,4,23,10,68,737,279
深川,108,74,－,－,72,52,4,4,6,3,14,6,1,1,－,－,1,－,－,－,－,－,10,8,113,7,21,73,7,5,－,333,66,7,41,44,116,－,－,1,5,53,－,187,1494,817
城東,102,71,3,3,65,52,3,2,9,3,8,4,－,－,2,1,3,2,－,－,－,－,9,4,111,7,22,76,5,1,1,406,99,52,40,15,110,2,1,6,1,33,47,242,1765,1050
本田,113,80,3,3,80,67,1,－,3,－,14,3,－,－,2,1,2,－,－,－,－,－,8,6,133,7,25,98,3,－,3,399,90,49,55,4,127,－,－,1,－,69,4,227,1814,1068
金町,34,13,－,－,23,9,2,－,1,－,5,2,－,－,2,2,－,－,－,－,－,－,1,－,17,2,9,4,1,1,－,151,18,33,20,8,34,－,－,1,1,34,2,48,750,229
江戸川,180,109,－,－,124,83,4,2,10,1,22,12,2,－,3,3,2,－,－,－,－,－,13,8,159,6,29,110,10,4,－,584,135,82,32,50,181,1,－,1,6,92,4,272,2821,1242
小岩,46,24,1,1,23,9,3,2,3,1,10,7,－,－,1,1,－,－,－,－,－,－,5,3,29,8,8,10,2,1,－,184,58,30,1,3,52,－,1,－,2,35,2,70,836,319
受託地区,753,476,8,8,357,224,25,13,35,15,169,120,17,8,24,15,7,3,1,－,29,21,81,49,724,66,177,230,202,49,3,3071,913,406,229,12,792,6,5,6,－,594,108,1621,13634,7068
立川,59,30,3,3,29,10,－,－,1,1,17,14,－,－,2,1,－,－,－,－,－,－,7,1,39,2,11,10,9,7,2,251,92,41,4,4,59,－,－,－,－,47,4,96,1156,452
国分寺,24,11,－,－,7,3,1,－,1,1,8,3,－,－,1,1,1,－,－,－,－,－,5,3,10,－,2,3,4,1,－,88,27,12,5,－,21,－,－,－,－,23,－,36,407,169
小平,18,8,－,－,8,4,－,－,1,－,5,2,－,－,1,－,－,－,－,－,－,－,3,2,8,1,4,2,1,－,－,77,29,12,－,－,18,－,－,－,－,18,－,25,343,110
武蔵野,21,16,－,－,4,4,1,－,1,1,10,9,1,－,－,－,－,－,－,－,－,－,4,2,18,2,3,4,8,1,－,66,13,13,9,－,16,－,－,－,－,14,1,42,296,185
保谷,16,6,－,－,6,2,－,－,2,－,4,－,1,1,－,－,1,1,－,－,－,－,2,2,9,2,1,3,1,2,－,70,22,10,－,－,18,－,－,－,－,16,4,25,325,116
三鷹,29,21,－,－,14,11,－,－,－,－,13,9,－,－,－,－,－,－,－,－,－,－,2,1,33,3,5,16,8,1,－,94,25,11,8,－,29,－,－,－,－,21,－,55,421,237
調布,69,48,2,2,31,25,2,1,1,－,19,13,－,－,1,1,1,－,－,－,－,－,12,6,62,4,18,31,7,2,－,328,95,29,38,3,74,3,2,1,－,53,30,215,1410,906
府中,42,25,－,－,25,17,1,－,1,－,6,4,1,－,－,－,1,－,－,－,－,－,7,4,32,5,6,19,1,1,－,154,52,17,9,－,48,－,－,－,－,24,4,65,674,283
日野,31,18,－,－,21,11,－,－,2,1,7,5,－,－,－,－,－,－,－,－,－,－,1,1,22,2,3,14,1,2,－,104,30,12,13,－,30,－,－,－,－,17,2,41,453,173
町田,56,39,1,1,24,16,－,－,3,1,17,14,2,1,3,3,1,－,－,－,－,－,5,3,43,7,18,11,4,3,1,238,65,38,16,1,65,－,－,－,－,53,－,134,1035,566
八王子,166,107,－,－,105,69,2,－,7,2,16,12,4,1,8,5,1,1,－,－,13,9,10,8,152,13,49,78,5,7,－,589,166,89,59,1,178,－,2,－,－,91,3,324,2594,1395
青梅,35,25,1,1,14,9,4,4,2,1,5,4,1,1,3,1,－,－,－,－,2,1,3,3,25,4,9,3,1,8,－,178,52,27,19,1,37,1,－,－,－,37,4,115,823,513
東村山,12,9,－,－,7,5,－,－,1,1,1,1,1,－,1,1,－,－,－,－,－,－,1,1,12,1,5,5,1,－,－,53,13,9,7,－,12,－,－,－,－,12,－,36,255,160
福生,34,17,－,－,15,6,1,－,2,－,8,6,3,2,－,－,1,1,－,－,－,－,4,2,19,1,6,5,2,5,－,141,41,20,8,－,34,－,－,－,－,34,4,54,686,287
狛江,18,14,－,－,5,5,2,2,1,－,6,4,－,－,1,1,－,－,－,－,－,－,3,2,18,4,3,4,5,2,－,86,31,9,－,－,14,2,－,1,－,20,9,58,389,256
北多摩西部,32,17,－,－,16,7,2,－,3,2,8,6,－,－,－,－,－,－,－,－,－,－,3,2,24,3,11,2,8,－,－,129,24,21,21,－,29,－,1,－,－,31,2,53,611,256
清瀬,10,8,1,1,4,4,1,1,1,－,3,2,－,－,－,－,－,－,－,－,－,－,－,－,8,2,5,1,－,－,－,67,25,8,－,1,19,－,－,－,－,10,4,44,288,183
秋川,28,18,－,－,10,7,5,2,3,3,2,－,3,2,－,－,－,－,－,－,3,2,2,2,144,3,5,7,128,1,－,127,55,13,－,－,26,－,－,1,－,28,4,66,551,301
奥多摩,26,19,－,－,4,4,3,3,2,1,－,－,－,－,3,1,－,－,－,－,11,9,3,1,24,1,11,6,1,5,－,137,34,7,－,－,41,－,－,3,－,19,33,78,502,256
多摩,27,20,－,－,8,5,－,－,－,－,14,12,－,－,－,－,－,－,1,－,－,－,4,3,22,6,2,6,7,1,－,94,22,8,13,1,24,－,－,－,－,26,－,59,415,264
