消防署,事業所,計,製造所,貯蔵所／屋内,貯蔵所／屋外タンク,貯蔵所／屋内タンク,貯蔵所／地下タンク,貯蔵所／簡易タンク,貯蔵所／移動タンク,貯蔵所／屋外,取扱所／給油／営業用／自動車,取扱所／給油／営業用／その他,取扱所／給油／自家用／自動車,取扱所／給油／自家用／その他,取扱所／販売／第1種,取扱所／販売／第2種,取扱所／移送,取扱所／一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所
金町,184,375,3,52,44,13,43,－,86,5,33,－,24,－,6,1,－,65,205,584,380
江戸川,548,955,14,99,36,29,139,－,324,22,117,1,55,－,16,2,－,101,661,1382,819
小岩,89,289,1,27,5,13,60,－,59,－,47,－,27,－,10,－,－,40,141,464,464
受託地区,4316,7404,29,1004,308,204,2448,5,774,111,822,1,347,5,64,17,－,1265,4841,10533,13373
立川,528,830,4,105,45,28,264,－,77,13,90,－,41,3,7,－,－,153,481,1175,1619
国分寺,151,223,－,33,2,7,83,－,11,1,43,－,10,1,－,－,－,32,162,613,580
小平,167,303,1,37,11,8,104,1,30,9,38,－,10,－,2,－,－,52,179,483,494
武蔵野,128,175,－,12,－,18,74,－,10,－,19,－,10,－,4,－,－,28,86,343,401
保谷,166,266,－,27,9,6,98,－,30,5,33,－,10,－,3,1,－,44,155,402,413
三鷹,165,309,1,45,4,15,117,－,27,5,28,－,16,－,4,2,－,45,238,488,551
調布,205,358,1,52,14,16,125,－,30,1,36,1,16,－,－,2,－,64,383,621,725
府中,234,473,－,89,27,14,158,1,31,2,43,－,26,－,－,3,－,79,300,802,824
東村山,163,274,2,39,9,6,97,－,32,5,24,－,11,－,3,－,－,46,126,544,356
狛江,40,53,－,14,－,－,14,－,1,－,11,－,3,－,－,1,－,9,45,88,216
北多摩西部,208,368,2,64,20,4,103,1,30,4,42,－,19,－,－,4,－,75,335,497,609
清瀬,96,96,－,5,3,3,41,－,5,－,10,－,3,－,－,－,－,26,38,146,215
八王子,691,1229,6,141,44,31,407,1,197,22,134,－,46,1,14,－,－,185,748,－,1981
日野,140,368,4,59,42,5,109,1,19,2,28,－,17,－,1,－,－,81,228,695,669
町田,320,544,1,64,6,17,182,－,86,7,75,－,14,－,5,1,－,86,259,726,1007
青梅,296,462,1,63,12,4,177,－,32,8,49,－,28,－,8,－,－,80,326,992,1095
福生,333,655,4,119,45,9,167,－,67,19,59,－,38,－,10,3,－,115,487,1090,632
秋川,147,237,2,23,12,3,71,－,31,2,28,－,21,－,2,－,－,42,152,491,568
奥多摩,55,55,－,2,2,5,16,－,5,4,6,－,5,－,1,－,－,9,37,105,122
多摩,83,126,－,11,1,5,41,－,23,2,26,－,3,－,－,－,－,14,76,232,296
島しょ地区,141,446,－,18,100,27,57,1,46,63,41,3,11,20,4,－,8,47,428,752,－
