消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
玉川,68,2,－,－,－,－,－,－,－,8,1,－,－,36,1,－,1,－,1,1,－,－,－,1,2,－,6,5,3,－,－
成城,59,－,－,－,－,－,－,－,－,2,4,2,－,39,－,－,－,－,5,2,3,－,－,－,－,－,－,2,－,－,－
渋谷,95,－,－,－,－,1,－,－,－,16,4,－,2,35,－,－,－,－,4,4,－,－,－,－,2,15,2,6,4,－,－
四谷,41,1,－,－,－,－,－,3,1,－,2,1,－,13,－,－,－,－,1,－,－,－,－,－,3,7,4,5,－,－,－
牛込,60,－,－,－,－,－,－,－,1,23,3,－,－,16,－,－,－,－,－,5,1,－,－,2,5,1,－,1,2,－,－
新宿,27,－,－,－,－,－,－,－,1,1,－,－,1,10,－,－,－,－,－,1,－,－,－,－,1,4,－,4,4,－,－
中野,34,－,－,－,－,－,－,－,－,16,－,－,－,17,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
野方,49,－,－,－,－,－,－,－,－,2,－,－,3,25,－,－,－,－,1,2,－,－,－,－,－,1,－,11,4,－,－
杉並,99,－,－,－,－,－,－,1,－,13,－,1,－,56,－,－,－,－,4,2,－,－,－,－,3,6,1,8,4,－,－
荻窪,49,－,－,－,－,－,－,－,－,2,3,4,2,28,－,－,－,－,3,4,－,－,－,－,－,2,－,－,1,－,－
小石川,88,－,－,－,－,－,1,－,3,－,3,－,6,31,－,－,－,－,6,－,－,－,－,－,4,12,－,9,12,－,1
本郷,53,－,－,－,－,－,1,－,－,2,－,－,－,28,－,－,－,－,1,1,－,－,－,－,1,3,－,12,4,－,－
豊島,47,－,－,－,－,－,－,－,1,－,1,－,－,28,1,－,－,－,－,－,－,－,－,－,7,4,－,3,2,－,－
池袋,17,－,－,－,－,－,2,－,3,1,2,－,－,4,－,－,－,－,－,－,－,－,－,－,1,－,－,4,－,－,－
王子,94,－,－,－,－,－,－,－,－,9,3,－,3,34,－,－,－,－,1,11,－,－,－,3,4,6,5,13,2,－,－
赤羽,70,－,－,－,－,－,－,－,－,4,－,1,－,11,－,－,－,－,－,45,－,－,－,1,1,－,2,5,－,－,－
滝野川,35,－,－,－,－,－,－,－,－,－,1,－,1,21,－,－,－,－,－,5,－,－,－,1,1,4,1,－,－,－,－
板橋,72,－,－,－,－,－,－,－,－,16,3,3,5,27,1,－,－,－,－,5,－,－,－,2,2,4,－,2,2,－,－
志村,193,－,－,－,－,－,－,1,－,8,5,－,4,52,1,－,－,－,2,31,－,－,－,2,7,1,2,－,77,－,－
練馬,33,－,－,－,－,－,－,－,－,26,－,－,1,－,－,－,－,－,－,3,－,－,－,－,1,1,－,1,－,－,－
光が丘,46,－,－,－,－,－,－,－,－,－,－,－,－,33,－,－,－,－,－,4,－,－,－,1,－,6,－,－,2,－,－
石神井,70,－,－,－,－,－,－,－,－,3,7,7,13,30,－,－,－,－,－,3,－,－,－,－,－,2,－,4,1,－,－
上野,31,－,－,－,－,－,－,－,3,－,－,1,－,15,6,－,－,－,－,－,－,1,－,－,1,－,－,1,2,－,1
浅草,7,－,－,－,－,－,－,1,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,2,1,－,－
日本堤,22,1,－,－,1,1,－,－,8,3,－,－,－,－,－,－,－,－,－,3,－,－,－,－,1,2,2,－,－,－,－
荒川,64,－,－,－,－,－,－,1,2,5,3,2,3,13,－,－,－,－,2,11,－,－,－,1,3,11,－,2,5,－,－
尾久,29,－,－,－,－,－,－,2,－,－,4,1,－,10,－,－,－,－,－,6,－,－,－,－,2,1,3,－,－,－,－
千住,22,－,－,－,－,－,－,－,－,－,－,－,－,7,－,－,－,－,－,4,－,－,－,－,1,9,－,－,1,－,－
足立,127,－,－,－,－,－,－,1,－,2,3,1,8,53,－,－,－,－,－,20,－,－,－,4,1,－,8,11,15,－,－
西新井,57,－,－,－,－,－,－,－,1,3,4,－,9,30,－,－,－,－,1,5,－,－,－,－,－,－,1,－,3,－,－
本所,28,－,－,－,－,－,－,－,－,－,4,2,－,4,－,－,－,－,1,8,－,－,－,3,－,4,2,－,－,－,－
向島,13,－,－,－,－,－,－,－,－,－,－,2,2,6,－,－,－,－,－,－,－,－,－,－,－,－,－,1,2,－,－
深川,137,－,1,－,－,－,－,－,－,2,2,4,－,6,－,－,－,1,－,32,－,－,－,30,－,13,9,12,25,－,－
城東,107,－,－,－,－,－,－,－,－,－,1,1,4,31,－,－,－,1,－,35,－,－,－,－,11,6,－,13,4,－,－
本田,111,－,－,－,－,－,－,4,－,2,4,3,3,32,－,－,－,－,－,36,－,1,－,2,4,2,5,2,11,－,－
金町,46,－,－,－,－,－,－,－,－,－,4,2,2,26,－,－,－,－,1,6,－,－,－,1,1,3,－,－,－,－,－
江戸川,50,1,－,－,－,－,－,－,－,－,2,－,－,13,－,－,－,－,1,18,－,－,－,4,1,1,5,1,3,－,－
小岩,29,－,－,－,－,－,－,－,－,6,2,－,3,14,－,1,－,－,－,2,－,－,－,－,－,1,－,－,－,－,－
受託地区,1833,5,－,－,1,1,8,33,28,116,81,95,69,718,3,－,－,－,24,329,1,1,－,10,54,42,52,79,80,－,3
立川,165,1,－,－,－,－,－,1,2,8,4,7,8,80,－,－,－,－,－,30,－,－,－,3,9,2,5,2,3,－,－
国分寺,69,－,－,－,－,－,－,－,－,19,1,3,2,16,－,－,－,－,1,6,－,－,－,－,2,6,3,8,1,－,1
小平,99,－,－,－,－,－,1,2,－,3,6,8,8,28,－,－,－,－,－,15,－,－,－,－,4,7,－,7,10,－,－
武蔵野,47,－,－,－,－,－,－,－,－,1,1,1,－,33,－,－,－,－,1,6,－,－,－,－,1,－,3,－,－,－,－
保谷,79,－,－,－,－,－,－,1,－,9,5,－,7,33,－,－,－,－,1,8,－,－,－,－,1,1,3,2,8,－,－
三鷹,84,－,－,－,－,－,1,－,－,11,2,2,4,19,－,－,－,－,2,1,－,－,－,2,4,3,2,11,20,－,－
調布,103,－,－,－,－,－,－,－,－,－,－,－,－,37,－,－,－,－,1,54,1,－,－,－,1,1,－,5,3,－,－
府中,117,2,－,－,1,－,2,1,3,10,7,5,2,30,2,－,－,－,－,20,－,－,－,1,10,5,1,6,9,－,－
東村山,70,－,－,－,－,－,－,－,－,3,5,13,2,20,－,－,－,－,1,14,－,－,－,－,4,4,3,－,1,－,－
狛江,30,－,－,－,－,－,－,－,－,－,1,1,3,14,－,－,－,－,－,5,－,－,－,－,－,－,3,2,1,－,－
北多摩西部,82,－,－,－,－,－,－,7,2,2,2,4,4,35,－,－,－,－,1,22,－,－,－,－,1,2,－,－,－,－,－
清瀬,51,－,－,－,－,－,－,－,－,－,13,6,6,16,1,－,－,－,－,5,－,－,－,－,3,－,1,－,－,－,－
八王子,342,－,－,－,－,－,2,16,11,12,17,18,7,136,－,－,－,－,10,75,－,1,－,4,7,4,10,7,5,－,－
日野,104,－,－,－,－,－,1,－,－,27,1,11,7,27,－,－,－,－,4,16,－,－,－,－,2,1,3,3,－,－,1
町田,126,－,－,－,－,－,－,1,2,3,2,1,2,98,－,－,－,－,－,14,－,－,－,－,1,1,－,1,－,－,－
青梅,103,－,－,－,－,－,－,－,1,3,8,5,2,25,－,－,－,－,2,11,－,－,－,－,－,2,12,17,14,－,1
福生,14,－,－,－,－,－,－,2,－,－,1,－,－,－,－,－,－,－,－,10,－,－,－,－,－,－,－,－,1,－,－
秋川,71,－,－,－,－,1,1,1,5,4,2,3,2,29,－,－,－,－,－,11,－,－,－,－,4,2,1,4,1,－,－
奥多摩,4,－,－,－,－,－,－,－,2,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
多摩,73,2,－,－,－,－,－,1,－,－,3,7,3,42,－,－,－,－,－,5,－,－,－,－,－,1,2,4,3,－,－
