本部・署,合計／実施回数,合計／延べ台数,合計／延べ人員／計,合計／延べ人員／当番,合計／延べ人員／非番,合計／延べ人員／日勤,合計／延べ人員／毎日,合計／警戒時間,儀式・祭礼／実施回数,儀式・祭礼／延べ台数,儀式・祭礼／延べ人員／計,儀式・祭礼／延べ人員／当番,儀式・祭礼／延べ人員／非番,儀式・祭礼／延べ人員／日勤,儀式・祭礼／延べ人員／毎日,儀式・祭礼／警戒時間,集団行動・沿道警戒／実施回数,集団行動・沿道警戒／延べ台数,集団行動・沿道警戒／延べ人員／計,集団行動・沿道警戒／延べ人員／当番,集団行動・沿道警戒／延べ人員／非番,集団行動・沿道警戒／延べ人員／日勤,集団行動・沿道警戒／延べ人員／毎日,集団行動・沿道警戒／警戒時間,その他／実施回数,その他／延べ台数,その他／延べ人員／計,その他／延べ人員／当番,その他／延べ人員／非番,その他／延べ人員／日勤,その他／延べ人員／毎日,その他／警戒時間
麻布,5,243,1859,1116,31,155,557,698,1,21,132,105,－,13,14,18,3,138,1047,592,31,140,284,392,1,84,680,419,－,2,259,288
赤坂,33,300,5316,2520,57,730,2009,2495,7,250,4189,1882,41,665,1601,1317,18,33,244,155,16,26,47,732,8,17,883,483,－,39,361,446
高輪,12,816,4270,3957,－,65,248,1150,4,624,3281,3034,－,54,193,776,5,9,58,36,－,3,19,9,3,183,931,887,－,8,36,365
二本部,48,3,413,348,－,30,35,344,5,－,137,78,－,30,29,222,39,－,234,234,－,－,－,40,4,3,42,36,－,－,6,82
品川,12,958,9673,5884,16,540,3233,1791,3,716,7360,4462,16,514,2368,1442,5,59,470,259,－,－,211,4,4,183,1843,1163,－,26,654,345
大井,11,203,2744,1707,10,111,916,1709,1,6,232,144,－,27,61,120,7,43,922,658,5,31,228,1195,3,154,1590,905,5,53,627,394
荏原,16,922,7453,4604,－,492,2357,1901,1,644,5632,3279,－,492,1861,1392,－,－,－,－,－,－,－,－,15,278,1821,1325,－,－,496,509
大森,15,965,6808,4404,－,439,1965,1914,7,696,5541,3190,－,432,1919,1143,5,12,64,64,－,－,－,12,3,257,1203,1150,－,7,46,759
東調布,2,118,707,685,－,－,22,392,1,5,31,13,－,－,18,8,－,－,－,－,－,－,－,－,1,113,676,672,－,－,4,384
蒲田,63,99,5200,3126,－,407,1667,1500,52,72,5052,2980,－,407,1665,1489,2,－,4,2,－,－,2,2,9,27,144,144,－,－,－,9
矢口,5,22,2214,1303,－,254,657,542,1,5,778,371,－,195,212,144,－,－,－,－,－,－,－,－,4,17,1436,932,－,59,445,398
三本部,1,2,51,30,5,6,10,1249,1,2,51,30,5,6,10,1249,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
目黒,2,194,1044,935,－,39,70,288,1,2,92,72,－,4,16,8,－,－,－,－,－,－,－,－,1,192,952,863,－,35,54,280
世田谷,4,1233,5885,5338,3,132,412,976,3,1028,4954,4418,3,132,401,734,－,－,－,－,－,－,－,－,1,205,931,920,－,－,11,242
玉川,40,620,6447,3662,－,534,2251,2405,7,419,5106,2854,－,466,1786,1258,－,－,－,－,－,－,－,－,33,201,1341,808,－,68,465,1147
成城,6,795,3814,3663,－,62,89,2840,2,524,2550,2474,－,45,31,2243,－,－,－,－,－,－,－,－,4,271,1264,1189,－,17,58,597
渋谷,11,1057,6444,5328,59,88,969,1717,3,886,5257,4560,55,88,554,1427,6,10,79,56,4,－,19,18,2,161,1108,712,－,－,396,272
四本部,2,8,617,414,－,59,144,1639,1,6,520,342,－,57,121,1359,－,－,－,－,－,－,－,－,1,2,97,72,－,2,23,280
四谷,18,164,1127,683,35,92,317,1222,2,145,943,587,35,35,286,1178,1,－,8,8,－,－,－,7,15,19,176,88,－,57,31,37
牛込,7,105,642,542,6,49,45,1252,2,31,325,238,6,46,35,973,3,2,14,12,－,－,2,9,2,72,303,292,－,3,8,270
新宿,4,118,399,308,－,40,51,916,2,82,217,126,－,40,51,895,1,1,7,7,－,－,－,3,1,35,175,175,－,－,－,18
中野,6,747,4627,3472,－,264,891,936,3,227,2009,1134,－,240,635,292,－,－,－,－,－,－,－,－,3,520,2618,2338,－,24,256,644
野方,4,402,2514,1729,－,455,330,1112,2,222,1345,876,－,429,40,752,－,－,－,－,－,－,－,－,2,180,1169,853,－,26,290,360
杉並,9,186,2187,1335,－,351,501,1271,7,10,331,133,－,67,131,983,1,22,769,475,－,265,29,120,1,154,1087,727,－,19,341,168
荻窪,2,257,7510,4605,10,599,2296,1768,1,8,6171,3640,10,585,1936,1344,－,－,－,－,－,－,－,－,1,249,1339,965,－,14,360,424
五本部,2,107,548,321,－,65,162,444,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,107,548,321,－,65,162,444
小石川,9,719,4584,2652,－,371,1561,1342,5,636,4269,2337,－,371,1561,1252,2,20,90,90,－,－,－,2,2,63,225,225,－,－,－,88
本郷,6,33,4982,2864,－,39,2079,391,5,13,4170,2366,－,23,1781,223,－,－,－,－,－,－,－,－,1,20,812,498,－,16,298,168
豊島,51,207,1012,871,－,87,54,460,47,29,218,79,－,87,52,73,－,－,－,－,－,－,－,－,4,178,794,792,－,－,2,387
池袋,2,26,2014,360,－,－,1654,157,1,2,39,－,－,－,39,17,－,－,－,－,－,－,－,－,1,24,1975,360,－,－,1615,140
王子,6,129,1270,1128,－,63,79,517,3,48,498,384,－,63,51,149,1,5,24,24,－,－,－,8,2,76,748,720,－,－,28,360
赤羽,27,79,1436,933,－,119,384,355,1,5,24,24,－,－,－,5,－,－,－,－,－,－,－,－,26,74,1412,909,－,119,384,350
滝野川,3,42,486,436,－,18,32,100,1,8,58,24,－,18,16,12,－,－,－,－,－,－,－,－,2,34,428,412,－,－,16,88
板橋,8,9,281,198,－,40,43,339,2,1,51,10,－,36,5,30,－,－,－,－,－,－,－,－,6,8,230,188,－,4,38,309
志村,4,144,1860,1006,－,325,529,235,2,7,885,409,－,247,229,82,－,－,－,－,－,－,－,－,2,137,975,597,－,78,300,153
練馬,5,67,662,538,－,4,120,217,2,3,38,16,－,4,18,18,－,－,－,－,－,－,－,－,3,64,624,522,－,－,102,199
光が丘,2,85,258,227,－,－,31,169,1,1,4,4,－,－,－,1,－,－,－,－,－,－,－,－,1,84,254,223,－,－,31,168
石神井,6,856,6516,3946,－,22,2548,1565,4,656,5525,3032,－,16,2477,1199,－,－,－,－,－,－,－,－,2,200,991,914,－,6,71,366
六本部,5,193,1271,638,－,261,372,2012,2,106,533,311,－,56,166,1254,－,－,－,－,－,－,－,－,3,87,738,327,－,205,206,758
上野,12,84,7106,3720,－,778,2608,1838,2,1,5755,2726,－,611,2418,1392,－,－,－,－,－,－,－,－,10,83,1351,994,－,167,190,446
浅草,14,287,1826,1529,－,87,210,944,9,52,469,354,－,44,71,180,－,－,－,－,－,－,－,－,5,235,1357,1175,－,43,139,764
日本堤,17,246,1869,1424,－,205,240,6950,8,79,722,435,－,146,141,4606,3,13,133,76,－,17,40,456,6,154,1014,913,－,42,59,1888
荒川,5,957,7591,4837,－,551,2203,1597,3,653,5640,3347,－,530,1763,1156,－,－,－,－,－,－,－,－,2,304,1951,1490,－,21,440,441
尾久,6,123,836,569,－,－,267,302,3,7,45,45,－,－,－,6,－,－,－,－,－,－,－,－,3,116,791,524,－,－,267,296
千住,5,61,461,280,42,58,81,134,2,20,205,95,42,15,53,78,1,2,10,10,－,－,－,1,2,39,246,175,－,43,28,55
足立,12,521,3754,2252,－,57,1445,711,4,114,724,536,－,23,165,162,－,－,－,－,－,－,－,－,8,407,3030,1716,－,34,1280,549
西新井,5,180,1196,711,－,40,445,317,2,6,69,18,－,31,20,31,1,1,8,7,－,－,1,4,2,173,1119,686,－,9,424,282
七本部,4,141,756,407,－,77,272,1665,2,104,572,308,－,58,206,1248,－,－,－,－,－,－,－,－,2,37,184,99,－,19,66,417
本所,11,93,2443,2206,－,66,171,950,2,3,87,84,－,－,3,21,－,－,－,－,－,－,－,－,9,90,2356,2122,－,66,168,929
向島,6,134,1117,625,－,65,427,361,2,7,81,33,－,26,22,51,1,1,17,13,－,－,4,6,3,126,1019,579,－,39,401,304
深川,14,316,2458,2045,－,81,332,589,3,16,92,52,－,26,14,58,2,6,24,11,－,－,13,10,9,294,2342,1982,－,55,305,521
城東,7,40,249,174,4,19,52,61,2,3,38,17,－,9,12,17,2,2,22,6,4,－,12,9,3,35,189,151,－,10,28,35
本田,5,48,821,665,－,74,82,298,2,8,534,432,－,74,28,227,－,－,－,－,－,－,－,－,3,40,287,233,－,－,54,71
金町,15,862,4064,3694,－,277,93,1623,4,669,3091,2839,－,224,28,1237,－,－,－,－,－,－,－,－,11,193,973,855,－,53,65,386
江戸川,59,89,2392,1426,－,－,966,1041,4,19,267,220,－,－,47,385,－,－,－,－,－,－,－,－,55,70,2125,1206,－,－,919,656
小岩,5,918,6420,4063,－,519,1838,1531,3,670,4725,2933,－,412,1380,1079,－,－,－,－,－,－,－,－,2,248,1695,1130,－,107,458,452
八本部,2,99,3136,1719,－,971,446,2232,1,85,2680,1461,－,841,378,1896,－,－,－,－,－,－,－,－,1,14,456,258,－,130,68,336
立川,101,28,5728,5035,2,347,344,1786,6,24,5465,5035,－,326,104,167,－,－,－,－,－,－,－,－,95,4,263,－,－,21,240,1619
国分寺,3,214,1486,1052,45,66,323,440,1,4,290,114,45,66,65,104,－,－,－,－,－,－,－,－,2,210,1196,938,－,－,258,336
小平,7,641,4667,2816,－,319,1532,1478,3,440,3275,1936,－,308,1031,1050,2,20,92,88,－,－,4,11,2,181,1300,792,－,11,497,417
武蔵野,4,598,3231,2782,－,103,346,1505,1,467,2285,2187,－,63,35,1177,－,－,－,－,－,－,－,－,3,131,946,595,－,40,311,328
保谷,10,727,3988,2869,－,331,788,1488,4,14,167,25,－,104,38,47,－,－,－,－,－,－,－,－,6,713,3821,2844,－,227,750,1441
三鷹,11,312,2027,1437,7,110,473,1268,8,54,562,342,－,110,110,521,1,2,19,8,7,－,4,3,2,256,1446,1087,－,－,359,744
調布,5,1206,8580,5182,12,715,2671,2252,2,1044,7485,4499,12,650,2324,1939,－,－,－,－,－,－,－,－,3,162,1095,683,－,65,347,313
府中,7,382,2260,1632,－,189,439,574,2,126,697,573,－,66,58,278,－,－,－,－,－,－,－,－,5,256,1563,1059,－,123,381,296
日野,8,259,1613,1186,－,69,358,559,6,39,282,154,－,69,59,79,－,－,－,－,－,－,－,－,2,220,1331,1032,－,－,299,480
町田,5,1327,7537,5521,－,79,1937,1714,1,931,5853,3893,－,74,1886,1224,2,36,165,148,－,5,12,10,2,360,1519,1480,－,－,39,480
八王子,11,749,2524,1420,－,243,861,1969,8,168,971,364,－,243,364,1486,1,－,1,－,－,－,1,3,2,581,1552,1056,－,－,496,480
青梅,10,147,1603,1353,3,109,138,648,4,12,811,675,3,68,65,337,2,14,151,94,－,41,16,12,4,121,641,584,－,－,57,299
東村山,5,144,1019,649,－,71,299,407,1,64,494,265,－,68,161,168,1,－,7,3,－,－,4,3,3,80,518,381,－,3,134,236
福生,11,171,5533,4502,7,254,770,964,6,63,4691,3899,－,210,582,685,1,2,47,40,7,－,－,4,4,106,795,563,－,44,188,275
狛江,12,33,247,135,－,55,57,2102,7,13,101,60,－,33,8,2015,－,－,－,－,－,－,－,－,5,20,146,75,－,22,49,87
北多摩西部,3,277,3917,2528,－,375,1014,1790,1,192,3401,2022,－,375,1004,1690,－,－,－,－,－,－,－,－,2,85,516,506,－,－,10,100
清瀬,4,34,195,150,－,4,41,62,2,11,48,37,－,－,11,19,1,2,50,32,－,4,14,14,1,21,97,81,－,－,16,29
秋川,24,67,2304,1806,－,62,436,1315,18,34,966,563,－,50,353,488,－,－,－,－,－,－,－,－,6,33,1338,1243,－,12,83,827
奥多摩,5,64,275,166,－,34,75,313,1,5,27,12,－,9,6,7,1,4,21,10,－,9,2,7,3,55,227,144,－,16,67,299
多摩,8,294,1482,1041,3,84,354,667,1,109,378,332,－,28,18,133,1,3,11,8,3,－,－,3,6,182,1093,701,－,56,336,531
