発火源および経過,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
1電気による発熱体／11移動可能の電熱器／電気アイロン／放置する,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／11移動可能の電熱器／電気アイロン／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
1電気による発熱体／11移動可能の電熱器／半田ごて,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／11移動可能の電熱器／半田ごて／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／11移動可能の電熱器／電気毛布,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／11移動可能の電熱器／電気毛布／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器,6,6,2,－,1,3,－,－,－,－,－,268,60020,25,－,5
1電気による発熱体／11移動可能の電熱器／投込湯沸器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,218,－,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器／火源が動いて接触する,2,2,－,－,1,1,－,－,－,－,－,10,22035,－,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器／放置する,1,1,1,－,－,－,－,－,－,－,－,89,2235,－,－,1
1電気による発熱体／11移動可能の電熱器／投込湯沸器／忘れる,2,2,1,－,－,1,－,－,－,－,－,169,35532,25,－,4
1電気による発熱体／11移動可能の電熱器／クーリングタワー用ヒーター,1,－,－,－,－,－,－,－,－,－,1,－,－,20,－,－
1電気による発熱体／11移動可能の電熱器／クーリングタワー用ヒーター／過熱する,1,－,－,－,－,－,－,－,－,－,1,－,－,20,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー,10,10,－,－,3,7,－,－,－,－,－,117,22127,－,－,4
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,206,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／可燃物が落下する,1,1,－,－,－,1,－,－,－,－,－,－,154,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／誤ってスイッチが入る,5,5,－,－,1,4,－,－,－,－,－,16,9178,－,－,3
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／忘れる,2,2,－,－,1,1,－,－,－,－,－,26,2769,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／本来の用途以外に使用,1,1,－,－,1,－,－,－,－,－,－,75,9820,－,－,1
1電気による発熱体／11移動可能の電熱器／電気溶接器,58,35,－,1,5,29,4,1,－,－,18,204,100985,7751,－,10
1電気による発熱体／11移動可能の電熱器／電気溶接器／地絡する,1,1,－,－,－,1,－,－,－,－,－,－,565,－,－,－
1電気による発熱体／11移動可能の電熱器／電気溶接器／スパークによる引火,4,3,－,－,－,3,1,－,－,－,－,－,191,300,－,4
1電気による発熱体／11移動可能の電熱器／電気溶接器／伝導過熱する,3,2,－,1,－,1,－,－,－,－,1,60,32127,－,－,－
1電気による発熱体／11移動可能の電熱器／電気溶接器／局部過熱する,1,1,－,－,－,1,－,－,－,－,－,－,18,－,－,－
1電気による発熱体／11移動可能の電熱器／電気溶接器／火花が飛ぶ,48,28,－,－,5,23,3,1,－,－,16,144,68084,7431,－,6
1電気による発熱体／11移動可能の電熱器／電気溶接器／火源が動いて接触する,1,－,－,－,－,－,－,－,－,－,1,－,－,20,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター,5,5,－,－,1,4,－,－,－,－,－,7,1454,－,－,1
1電気による発熱体／11移動可能の電熱器／電気トースター／過熱する,2,2,－,－,－,2,－,－,－,－,－,－,182,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／火源が腐食する,1,1,－,－,1,－,－,－,－,－,－,7,606,－,－,1
1電気による発熱体／11移動可能の電熱器／電気トースター／放置する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／本来の用途以外に使用,1,1,－,－,－,1,－,－,－,－,－,－,664,－,－,－
1電気による発熱体／11移動可能の電熱器／電気魚焼器,1,1,1,－,－,－,－,－,－,－,－,130,34441,－,－,1
1電気による発熱体／11移動可能の電熱器／電気魚焼器／忘れる,1,1,1,－,－,－,－,－,－,－,－,130,34441,－,－,1
1電気による発熱体／11移動可能の電熱器／電気がま,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／11移動可能の電熱器／電気がま／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／11移動可能の電熱器／ジャー炊飯器,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／ジャー炊飯器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／ホットプレート,3,3,－,－,－,3,－,－,－,－,－,－,165,－,－,1
1電気による発熱体／11移動可能の電熱器／ホットプレート／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
1電気による発熱体／11移動可能の電熱器／ホットプレート／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,150,－,－,－
1電気による発熱体／11移動可能の電熱器／ホットプレート／放置する,1,1,－,－,－,1,－,－,－,－,－,－,15,－,－,1
1電気による発熱体／11移動可能の電熱器／電気湯沸(茶沸)器,1,1,－,－,－,1,－,－,－,－,－,－,226,－,－,－
1電気による発熱体／11移動可能の電熱器／電気湯沸(茶沸)器／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,226,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター,5,5,－,－,－,5,－,－,－,－,－,－,3433,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,50,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,622,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,2715,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／放置する,1,1,－,－,－,1,－,－,－,－,－,－,16,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／11移動可能の電熱器／カーペット類(電気),1,1,－,1,－,－,－,－,－,－,－,30,6940,－,－,－
1電気による発熱体／11移動可能の電熱器／カーペット類(電気)／改悪する,1,1,－,1,－,－,－,－,－,－,－,30,6940,－,－,－
1電気による発熱体／11移動可能の電熱器／パネルヒーター,2,2,－,－,1,1,－,－,－,－,－,12,15860,－,－,－
1電気による発熱体／11移動可能の電熱器／パネルヒーター／金属の接触部が過熱,1,1,－,－,1,－,－,－,－,－,－,10,15731,－,－,－
1電気による発熱体／11移動可能の電熱器／パネルヒーター／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,2,129,－,－,－
1電気による発熱体／11移動可能の電熱器／電気滅菌器,2,2,－,－,－,2,－,－,－,－,－,－,2246,46,－,－
1電気による発熱体／11移動可能の電熱器／電気滅菌器／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,1500,－,－,－
1電気による発熱体／11移動可能の電熱器／電気滅菌器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,746,46,－,－
1電気による発熱体／11移動可能の電熱器／電熱線,3,3,1,－,－,2,－,－,－,－,－,227,114471,－,－,－
1電気による発熱体／11移動可能の電熱器／電熱線／引火する,1,1,－,－,－,1,－,－,－,－,－,－,28,－,－,－
1電気による発熱体／11移動可能の電熱器／電熱線／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,55146,－,－,－
1電気による発熱体／11移動可能の電熱器／電熱線／忘れる,1,1,1,－,－,－,－,－,－,－,－,227,59297,－,－,－
1電気による発熱体／11移動可能の電熱器／小型電気炉,3,3,1,－,－,2,－,－,－,－,－,3,419,－,－,－
1電気による発熱体／11移動可能の電熱器／小型電気炉／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／小型電気炉／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,321,－,－,－
1電気による発熱体／11移動可能の電熱器／小型電気炉／取扱い不注意,1,1,1,－,－,－,－,－,－,－,－,3,96,－,－,－
1電気による発熱体／11移動可能の電熱器／コーヒー焙煎器,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／11移動可能の電熱器／コーヒー焙煎器／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／12固定の電熱器,17,17,－,2,－,15,－,－,－,－,－,315,161555,－,－,－
1電気による発熱体／12固定の電熱器／電気パン焼器,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／12固定の電熱器／電気パン焼器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器,2,2,－,1,－,1,－,－,－,－,－,305,135521,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／可燃物が火源に触れる,1,1,－,1,－,－,－,－,－,－,－,305,135421,－,－,－
1電気による発熱体／12固定の電熱器／電気工業用炉,1,1,－,－,－,1,－,－,－,－,－,－,32,－,－,－
1電気による発熱体／12固定の電熱器／電気工業用炉／伝導過熱する,1,1,－,－,－,1,－,－,－,－,－,－,32,－,－,－
1電気による発熱体／12固定の電熱器／電気活字溶解炉,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／12固定の電熱器／電気活字溶解炉／伝導過熱する,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器,1,1,－,－,－,1,－,－,－,－,－,－,301,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,301,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ,4,4,－,1,－,3,－,－,－,－,－,10,2486,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／誤ってスイッチが入る,1,1,－,1,－,－,－,－,－,－,－,10,2450,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／放置する,1,1,－,－,－,1,－,－,－,－,－,－,15,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／放火,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／12固定の電熱器／サウナヒーター,2,2,－,－,－,2,－,－,－,－,－,－,34,－,－,－
1電気による発熱体／12固定の電熱器／サウナヒーター／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,31,－,－,－
1電気による発熱体／12固定の電熱器／サウナヒーター／不明,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／12固定の電熱器／電気プレス器,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／12固定の電熱器／電気プレス器／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／12固定の電熱器／電気フライヤー,1,1,－,－,－,1,－,－,－,－,－,－,266,－,－,－
1電気による発熱体／12固定の電熱器／電気フライヤー／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,266,－,－,－
1電気による発熱体／12固定の電熱器／自動半田付機,3,3,－,－,－,3,－,－,－,－,－,－,22854,－,－,－
1電気による発熱体／12固定の電熱器／自動半田付機／過熱する,2,2,－,－,－,2,－,－,－,－,－,－,22767,－,－,－
1電気による発熱体／12固定の電熱器／自動半田付機／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,87,－,－,－
1電気による発熱体／13電気機器,163,132,4,7,5,116,13,－,－,－,18,1338,272486,4698,1,29
1電気による発熱体／13電気機器／電池,8,1,－,－,－,1,7,－,－,－,－,－,26,1468,－,－
1電気による発熱体／13電気機器／電池／電線が短絡する,6,1,－,－,－,1,5,－,－,－,－,－,26,470,－,－
1電気による発熱体／13電気機器／電池／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,2,－,－
1電気による発熱体／13電気機器／電池／金属の接触部が過熱,1,－,－,－,－,－,1,－,－,－,－,－,－,996,－,－
1電気による発熱体／13電気機器／カラーテレビ,13,13,－,－,－,13,－,－,－,－,－,－,454,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／電線が短絡する,4,4,－,－,－,4,－,－,－,－,－,－,86,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／スパークする,2,2,－,－,－,2,－,－,－,－,－,－,168,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／漏洩放電する,3,3,－,－,－,3,－,－,－,－,－,－,156,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／絶緑劣下による発熱,4,4,－,－,－,4,－,－,－,－,－,－,44,－,－,－
1電気による発熱体／13電気機器／ステレオ,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／ステレオ／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／増幅器,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／13電気機器／増幅器／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／13電気機器／ビデオテープレコーダー,1,1,－,－,－,1,－,－,－,－,－,－,90,－,－,－
1電気による発熱体／13電気機器／ビデオテープレコーダー／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,90,－,－,－
1電気による発熱体／13電気機器／インターホン,1,1,－,－,－,1,－,－,－,－,－,－,21,－,－,－
1電気による発熱体／13電気機器／インターホン／電流が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,21,－,－,－
1電気による発熱体／13電気機器／白熱電球,15,12,1,1,－,10,2,－,－,－,1,137,30102,604,－,3
1電気による発熱体／13電気機器／白熱電球／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／白熱電球／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－
1電気による発熱体／13電気機器／白熱電球／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,1284,－,－,－
1電気による発熱体／13電気機器／白熱電球／放射を受けて発火する,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
1電気による発熱体／13電気機器／白熱電球／局部過熱する,1,1,1,－,－,－,－,－,－,－,－,83,11566,－,－,－
1電気による発熱体／13電気機器／白熱電球／蓄積過熱する,2,1,－,－,－,1,－,－,－,－,1,－,2,600,－,－
1電気による発熱体／13電気機器／白熱電球／可燃物が火源に触れる,4,4,－,－,－,4,－,－,－,－,－,－,1660,－,－,2
1電気による発熱体／13電気機器／白熱電球／火源が動いて接触する,2,1,－,－,－,1,1,－,－,－,－,－,2,4,－,－
1電気による発熱体／13電気機器／白熱電球／誤ってスイッチが入る,2,2,－,1,－,1,－,－,－,－,－,54,15583,－,－,1
1電気による発熱体／13電気機器／ダウンライト,3,3,－,－,－,3,－,－,－,－,－,1,6769,－,－,1
1電気による発熱体／13電気機器／ダウンライト／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／13電気機器／ダウンライト／可燃物が火源に触れる,2,2,－,－,－,2,－,－,－,－,－,1,6762,－,－,1
1電気による発熱体／13電気機器／スポットライト,4,3,－,－,－,3,－,－,－,－,1,－,341,4,－,－
1電気による発熱体／13電気機器／スポットライト／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,40,－,－,－
1電気による発熱体／13電気機器／スポットライト／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,300,－,－,－
1電気による発熱体／13電気機器／スポットライト／可燃物が火源に触れる,1,－,－,－,－,－,－,－,－,－,1,－,－,4,－,－
1電気による発熱体／13電気機器／スポットライト／火源が勳いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／13電気機器／投光器,4,4,－,－,－,4,－,－,－,－,－,－,249,－,－,－
1電気による発熱体／13電気機器／投光器／放射を受けて発火する,2,2,－,－,－,2,－,－,－,－,－,－,77,－,－,－
1電気による発熱体／13電気機器／投光器／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,62,－,－,－
1電気による発熱体／13電気機器／投光器／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,110,－,－,－
1電気による発熱体／13電気機器／点検灯,2,2,－,－,－,2,－,－,－,－,－,－,2581,－,－,1
1電気による発熱体／13電気機器／点検灯／可燃物が落下する,1,1,－,－,－,1,－,－,－,－,－,－,2529,－,－,－
1電気による発熱体／13電気機器／点検灯／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,52,－,－,1
1電気による発熱体／13電気機器／白熱灯スタンド,10,10,－,3,1,6,－,－,－,－,－,110,24454,－,1,－
1電気による発熱体／13電気機器／白熱灯スタンド／蓄積過熱する,1,1,－,1,－,－,－,－,－,－,－,40,5857,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／可燃物が落下する,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／可燃物が火源に触れる,2,2,－,1,－,1,－,－,－,－,－,35,6588,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／火源が転倒する,2,2,－,1,－,1,－,－,－,－,－,18,4947,－,1,－
1電気による発熱体／13電気機器／白熱灯スタンド／火源が落下する,1,1,－,－,－,1,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／火源が動いて接触する,2,2,－,－,1,1,－,－,－,－,－,17,7038,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,8,－,－,－
1電気による発熱体／13電気機器／けい光灯,9,8,－,－,－,8,－,－,－,－,1,－,16,34,－,1
1電気による発熱体／13電気機器／けい光灯／電線が短絡する,2,2,－,－,－,2,－,－,－,－,－,－,2,－,－,1
1電気による発熱体／13電気機器／けい光灯／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／13電気機器／けい光灯／絶縁劣下による発熱,6,5,－,－,－,5,－,－,－,－,1,－,13,34,－,－
1電気による発熱体／13電気機器／けい光灯スタンド,1,1,－,－,－,1,－,－,－,－,－,－,234,－,－,－
1電気による発熱体／13電気機器／けい光灯スタンド／火源が転倒する,1,1,－,－,－,1,－,－,－,－,－,－,234,－,－,－
1電気による発熱体／13電気機器／器具外付け安定器,4,1,－,－,－,1,－,－,－,－,3,－,2,52,－,－
1電気による発熱体／13電気機器／器具外付け安定器／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／13電気機器／器具外付け安定器／絶縁劣下による発熱,3,1,－,－,－,1,－,－,－,－,2,－,2,51,－,－
1電気による発熱体／13電気機器／ネオン灯配線,7,3,－,－,－,3,－,－,－,－,4,－,733,374,－,－
1電気による発熱体／13電気機器／ネオン灯配線／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／13電気機器／ネオン灯配線／漏洩放電する,6,3,－,－,－,3,－,－,－,－,3,－,733,374,－,－
1電気による発熱体／13電気機器／ネオン灯配線,1,1,－,－,－,1,－,－,－,－,－,－,9,－,－,1
1電気による発熱体／13電気機器／ネオン灯配線／漏洩放電する,1,1,－,－,－,1,－,－,－,－,－,－,9,－,－,1
1電気による発熱体／13電気機器／電気冷蔵庫,14,14,1,1,2,10,－,－,－,－,－,200,27542,3,－,9
1電気による発熱体／13電気機器／電気冷蔵庫／電線が短絡する,5,5,－,1,－,4,－,－,－,－,－,18,15431,－,－,－
1電気による発熱体／13電気機器／電気冷蔵庫／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,55,－,－,－
1電気による発熱体／13電気機器／電気冷蔵庫／漏洩放電する,1,1,－,－,－,1,－,－,－,－,－,－,812,－,－,1
1電気による発熱体／13電気機器／電気冷蔵庫／金原現象,3,3,－,－,－,3,－,－,－,－,－,－,46,－,－,－
1電気による発熱体／13電気機器／電気冷蔵庫／スパークによる引火,3,3,－,－,2,1,－,－,－,－,－,57,8528,－,－,8
1電気による発熱体／13電気機器／電気冷蔵庫／不明,1,1,1,－,－,－,－,－,－,－,－,125,2670,3,－,－
1電気による発熱体／13電気機器／扇風機,3,3,－,－,－,3,－,－,－,－,－,－,27,－,－,－
1電気による発熱体／13電気機器／扇風機／絶縁劣下による発熱,3,3,－,－,－,3,－,－,－,－,－,－,27,－,－,－
1電気による発熱体／13電気機器／換気扇,5,5,－,－,－,5,－,－,－,－,－,－,585,－,－,2
1電気による発熱体／13電気機器／換気扇／電線が短絡する,3,3,－,－,－,3,－,－,－,－,－,－,466,－,－,1
1電気による発熱体／13電気機器／換気扇／絶縁劣下による発熱,2,2,－,－,－,2,－,－,－,－,－,－,119,－,－,1
1電気による発熱体／13電気機器／送(排)風機,3,3,1,－,－,2,－,－,－,－,－,731,60496,－,－,2
1電気による発熱体／13電気機器／送(排)風機／電線が短絡する,2,2,1,－,－,1,－,－,－,－,－,731,60491,－,－,2
1電気による発熱体／13電気機器／送(排)風機／誤って結線する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／冷房機,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／冷房機／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／冷暖房機,4,4,－,1,－,3,－,－,－,－,－,32,7108,－,－,1
1電気による発熱体／13電気機器／冷暖房機／地絡する,1,1,－,－,－,1,－,－,－,－,－,－,324,－,－,－
1電気による発熱体／13電気機器／冷暖房機／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,39,－,－,－
1電気による発熱体／13電気機器／冷暖房機／可燃物が落下する,1,1,－,1,－,－,－,－,－,－,－,32,6743,－,－,1
1電気による発熱体／13電気機器／冷暖房機／機械が故障する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
