消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
矢口,105,－,－,－,1,－,14,－,1,1,－,－,1,－,－,－,20,－,6,－,－,－,－,－,2,4,3,52,－,－,－
目黒,167,－,－,－,－,－,27,1,1,1,－,1,3,1,8,－,31,－,2,－,－,－,－,1,1,5,3,77,4,－,－
世田谷,273,－,1,－,3,－,25,9,－,10,－,2,3,1,1,－,45,1,11,1,－,－,－,－,8,17,7,101,26,－,1
玉川,117,－,－,－,－,－,15,4,－,7,－,1,2,－,1,－,19,－,2,－,－,－,－,－,2,5,7,47,5,－,－
成城,162,－,－,－,1,－,44,3,－,－,－,2,1,－,－,－,23,－,27,－,－,－,－,－,2,8,3,45,3,－,－
渋谷,244,1,－,－,4,－,26,－,－,11,－,3,1,4,－,－,12,－,7,－,－,－,－,－,－,21,8,127,19,－,－
四谷,110,1,－,－,2,3,20,1,3,－,－,－,－,3,－,－,4,－,2,－,－,－,－,－,－,8,2,53,8,－,－
牛込,103,－,－,－,5,7,8,－,－,9,－,－,－,－,－,－,9,－,9,－,－,－,－,－,－,12,－,42,2,－,－
新宿,470,－,－,－,14,1,69,6,5,63,－,－,2,12,－,1,25,1,11,3,－,－,－,－,4,110,4,124,15,－,－
中野,199,－,1,1,2,7,9,2,－,30,1,1,2,2,1,1,35,－,6,1,－,－,－,1,4,13,7,61,11,－,－
野方,142,－,－,－,6,－,7,2,－,4,－,2,－,2,－,－,35,－,9,4,－,－,－,－,9,6,10,41,5,－,－
杉並,300,1,－,－,6,－,39,5,－,－,－,3,3,4,－,1,54,－,17,－,－,－,－,－,10,13,8,121,15,－,－
荻窪,146,－,－,－,4,1,13,2,－,5,1,6,3,－,－,－,21,－,8,－,－,－,－,－,7,10,7,50,8,－,－
小石川,76,－,－,－,－,－,10,－,2,5,－,－,2,－,1,－,14,1,3,－,－,1,－,－,－,2,5,26,3,－,1
本郷,149,－,－,－,3,2,47,－,1,2,－,1,－,4,－,1,13,－,3,－,－,－,－,－,4,8,5,50,4,－,1
豊島,375,－,2,1,8,14,46,5,3,15,1,3,2,1,－,2,30,2,14,5,－,－,－,－,5,14,6,169,26,－,1
池袋,185,－,－,－,3,5,17,3,5,9,－,1,1,4,－,1,27,－,1,1,－,－,－,－,4,8,4,83,8,－,－
王子,252,1,－,1,1,2,6,3,1,54,3,3,5,2,1,－,28,－,2,－,－,－,－,2,4,10,－,87,36,－,－
赤羽,158,－,－,1,3,－,33,3,－,2,－,3,1,－,－,－,21,－,3,2,－,－,－,－,4,2,4,70,6,－,－
滝野川,69,－,－,－,－,－,7,1,－,－,－,1,1,－,1,1,20,－,2,－,－,－,－,－,－,1,1,33,－,－,－
板橋,156,－,－,－,－,－,18,3,－,10,－,2,－,－,－,－,32,－,5,3,－,－,－,－,1,17,－,56,9,－,－
志村,178,－,－,－,4,－,49,6,－,16,－,2,－,－,2,－,31,－,4,10,－,－,－,－,1,4,4,36,9,－,－
練馬,240,－,－,－,1,－,15,3,－,37,1,4,5,－,－,1,26,－,35,1,－,－,－,2,1,6,9,84,9,－,－
光が丘,36,－,－,－,－,－,4,－,1,3,－,－,1,－,－,－,9,－,1,－,－,－,－,－,2,2,1,11,1,－,－
石神井,165,－,－,－,1,－,15,4,2,26,－,3,－,1,－,－,22,－,9,－,－,－,－,－,4,13,5,52,8,－,－
上野,317,－,1,－,5,－,33,2,4,10,－,－,－,2,－,－,15,－,43,1,－,－,－,－,1,31,－,135,34,－,－
浅草,99,－,－,－,3,1,25,2,－,－,－,1,－,1,－,－,11,－,3,－,－,－,－,1,1,1,2,46,1,－,－
日本堤,189,－,－,－,1,5,23,－,15,－,－,－,3,－,－,79,18,－,3,－,－,－,－,－,1,2,－,38,1,－,－
荒川,154,－,－,1,2,－,15,－,15,2,－,－,－,2,－,－,36,－,11,－,－,－,－,－,6,9,1,54,－,－,－
尾久,69,－,－,－,1,3,9,1,－,－,－,2,－,－,－,－,28,－,2,－,－,－,－,－,6,1,－,12,4,－,－
千住,105,－,－,－,3,3,12,4,－,21,－,1,2,1,－,2,22,－,－,3,－,2,－,3,1,2,1,21,1,－,－
足立,329,－,－,－,4,－,53,15,－,52,－,3,6,－,－,－,48,－,1,－,－,－,－,－,－,12,－,120,15,－,－
西新井,160,－,－,－,1,－,37,5,1,－,－,2,－,－,－,－,42,－,4,3,－,－,－,－,－,11,5,43,6,－,－
本所,505,－,－,3,12,33,89,－,2,12,3,－,5,2,－,－,38,－,7,19,－,－,－,13,10,23,10,182,42,－,－
向島,107,－,－,－,1,1,16,1,－,1,－,2,－,－,－,－,39,－,6,1,－,－,－,－,4,4,3,26,2,－,－
深川,114,－,－,－,2,－,10,1,6,6,－,1,1,－,1,－,21,－,3,4,－,－,－,1,2,9,4,30,12,－,－
城東,114,－,－,－,1,－,21,2,－,3,－,1,1,－,－,－,23,－,2,2,－,－,－,－,－,3,2,49,4,－,－
本田,289,－,－,－,5,－,41,12,－,10,－,4,4,2,－,1,77,－,2,7,－,1,－,5,7,17,11,74,9,－,－
金町,155,－,－,－,2,2,27,7,－,8,－,4,－,1,－,3,34,－,5,2,－,－,－,－,2,6,5,46,1,－,－
江戸川,292,－,－,－,11,1,38,18,2,30,－,8,2,－,－,－,65,－,5,5,－,－,－,9,3,9,7,69,9,－,1
小岩,105,－,－,－,1,－,11,－,2,－,－,1,1,1,－,－,48,－,2,－,－,－,－,－,3,6,1,27,1,－,－
受託地区,2793,1,2,30,43,13,567,138,33,232,13,63,33,12,12,4,166,4,87,33,－,2,－,3,68,119,203,818,90,－,4
立川,221,－,－,3,6,－,51,4,2,－,3,5,2,1,－,－,21,2,6,2,－,－,－,－,10,16,19,51,16,－,1
国分寺,217,－,－,2,6,－,35,14,－,2,2,2,2,2,1,－,13,－,9,1,－,－,－,－,5,10,4,102,5,－,－
小平,96,－,－,－,3,－,14,8,－,12,－,3,－,－,1,－,10,－,5,2,－,－,－,－,－,8,3,22,5,－,－
武蔵野,200,－,1,2,4,－,43,10,－,12,－,－,4,－,－,－,12,1,3,1,－,－,－,－,6,8,8,77,8,－,－
保谷,168,－,－,－,－,2,25,7,－,6,3,4,5,3,－,－,13,1,2,2,－,－,－,1,5,4,9,57,19,－,－
三鷹,115,－,－,－,－,－,14,6,－,6,－,4,1,－,1,－,18,－,3,－,－,－,－,－,1,7,21,30,3,－,－
調布,186,－,1,－,－,1,24,2,－,8,1,1,1,2,5,－,14,－,8,9,－,－,－,1,7,9,9,62,21,－,－
府中,197,－,－,－,1,－,17,5,－,114,－,5,3,1,－,－,14,－,4,－,－,－,－,－,2,3,4,22,2,－,－
東村山,103,－,－,－,2,1,23,2,1,4,1,5,－,－,－,1,8,－,1,2,－,－,－,1,－,5,9,35,2,－,－
狛江,26,－,－,－,－,－,5,1,－,－,－,－,－,－,－,－,6,－,3,－,－,－,－,－,1,1,3,5,1,－,－
北多摩西部,124,－,－,－,2,－,36,15,2,2,2,2,1,－,－,－,2,－,1,1,－,－,－,－,10,3,5,40,－,－,－
清瀬,62,1,－,－,－,－,12,3,－,5,－,2,－,－,－,－,6,－,2,1,－,－,－,－,－,1,5,24,－,－,－
八王子,377,－,－,3,6,4,88,22,1,9,－,15,2,－,－,2,18,－,21,7,－,1,－,－,10,17,29,120,2,－,－
日野,86,－,－,－,6,－,18,2,－,5,－,2,2,－,1,－,1,－,2,－,－,－,－,－,6,2,5,32,2,－,－
町田,152,－,－,－,1,1,35,15,2,1,－,5,6,2,1,1,7,－,8,1,－,1,－,－,2,10,9,43,1,－,－
青梅,88,－,－,－,2,1,25,10,1,－,－,4,1,－,1,－,－,－,3,1,－,－,－,－,－,5,15,16,3,－,－
福生,236,－,－,20,1,2,68,6,－,46,1,2,1,－,1,－,2,－,2,2,－,－,－,－,－,6,23,53,－,－,－
秋川,78,－,－,－,3,1,16,4,13,－,－,2,1,1,－,－,－,－,2,1,－,－,－,－,3,4,13,12,－,－,2
奥多摩,32,－,－,－,－,－,13,－,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8,－,－,－
多摩,29,－,－,－,－,－,5,2,－,－,－,－,1,－,－,－,1,－,2,－,－,－,－,－,－,－,10,7,－,－,1
