"救急隊出場先
区市町村",全年齢,0~4歳代,5~9歳代,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,80歳代,90歳代,100歳以上
江戸川区,1175.5 ,1569.9 ,620.9 ,553.4 ,399.7 ,334.3 ,458.8 ,589.6 ,1326.2 ,2345.9 ,5132.0 ,8429.8 ,8878.5 
立川市,1059.7 ,1813.0 ,425.9 ,503.9 ,464.5 ,443.5 ,404.3 ,536.0 ,810.2 ,1628.9 ,4595.3 ,8303.8 ,7352.9 
国立市,869.4 ,926.6 ,473.3 ,548.1 ,288.4 ,277.7 ,267.0 ,361.5 ,702.0 ,1644.2 ,3991.4 ,7136.7 ,7317.1 
武蔵野市,942.8 ,1401.6 ,713.2 ,381.5 ,518.2 ,380.1 ,254.8 ,446.5 ,835.3 ,1517.4 ,4185.8 ,7145.6 ,4237.3 
三鷹市,791.6 ,1311.8 ,570.1 ,379.4 ,245.6 ,183.7 ,194.5 ,376.9 ,677.8 ,1379.3 ,3699.3 ,7617.4 ,12871.3 
府中市,758.1 ,1246.0 ,475.1 ,353.3 ,298.0 ,223.3 ,232.5 ,384.6 ,618.9 ,1402.2 ,3548.7 ,6787.6 ,3174.6 
昭島市,912.4 ,1487.3 ,413.9 ,469.9 ,353.8 ,346.0 ,190.0 ,470.7 ,786.6 ,1387.4 ,4179.8 ,6569.8 ,1639.3 
調布市,808.6 ,1395.7 ,524.8 ,380.0 ,351.9 ,200.9 ,271.1 ,333.1 ,648.6 ,1304.2 ,4130.8 ,7352.5 ,3225.8 
小金井市,692.1 ,1231.6 ,414.2 ,335.6 ,219.9 ,171.9 ,245.7 ,397.5 ,547.2 ,1067.6 ,3464.0 ,6442.9 ,10769.2 
小平市,816.2 ,1220.1 ,470.4 ,359.2 ,235.5 ,241.7 ,243.5 ,346.4 ,597.1 ,1273.9 ,3886.5 ,8180.0 ,5747.1 
東村山市,930.2 ,1671.4 ,763.5 ,379.7 ,269.9 ,212.8 ,277.4 ,523.4 ,707.2 ,1301.1 ,3700.4 ,7588.2 ,3296.7 
国分寺市,737.8 ,1154.9 ,493.5 ,151.7 ,284.6 ,218.3 ,186.5 ,304.4 ,666.6 ,1144.6 ,3855.8 ,7004.7 ,7042.3 
狛江市,703.8 ,1310.4 ,583.6 ,243.4 ,172.9 ,118.5 ,230.3 ,298.6 ,443.1 ,1170.0 ,3379.4 ,5818.5 ,0.0 
東大和市,904.9 ,1375.9 ,489.0 ,481.9 ,294.2 ,226.7 ,308.1 ,426.0 ,589.1 ,1422.6 ,3648.5 ,8187.7 ,10000.0 
武蔵村山市,817.8 ,1162.8 ,497.8 ,571.3 ,333.4 ,352.5 ,230.5 ,422.8 ,626.5 ,1241.0 ,3174.6 ,7289.0 ,19230.8 
清瀬市,1026.6 ,1648.1 ,670.9 ,537.6 ,279.4 ,200.2 ,269.4 ,596.3 ,855.2 ,1528.9 ,3734.6 ,7265.3 ,5357.1 
東久留米市,901.7 ,1481.0 ,683.5 ,371.9 ,215.5 ,241.1 ,278.7 ,342.5 ,691.2 ,1349.8 ,3572.2 ,6449.9 ,12000.0 
西東京市,816.3 ,1325.8 ,430.6 ,355.4 ,263.2 ,222.1 ,180.0 ,344.6 ,624.6 ,1329.5 ,3802.4 ,7445.8 ,7767.0 
八王子市,877.5 ,1608.3 ,509.9 ,428.3 ,373.7 ,317.0 ,324.8 ,437.9 ,672.7 ,1322.2 ,3455.5 ,6523.1 ,8333.3 
青梅市,749.2 ,953.4 ,346.7 ,278.4 ,216.1 ,203.1 ,355.8 ,385.4 ,554.7 ,1198.7 ,2995.2 ,4116.9 ,3750.0 
町田市,924.8 ,1406.6 ,572.1 ,389.2 ,428.4 ,279.6 ,276.8 ,376.6 ,715.4 ,1389.2 ,3883.4 ,7053.8 ,10232.6 
日野市,799.3 ,1484.5 ,700.9 ,406.0 ,298.6 ,181.5 ,210.7 ,309.2 ,565.6 ,1210.8 ,3856.0 ,6066.4 ,6250.0 
多摩市,846.6 ,1202.8 ,655.2 ,420.1 ,459.5 ,264.6 ,191.1 ,422.8 ,559.9 ,1191.8 ,3842.1 ,5812.8 ,7142.9 
福生市,1019.7 ,1653.8 ,460.1 ,582.3 ,642.0 ,212.5 ,321.9 ,594.4 ,573.7 ,1466.3 ,4313.1 ,6857.1 ,11111.1 
羽村市,827.8 ,1375.1 ,317.3 ,356.8 ,229.5 ,417.8 ,287.5 ,361.6 ,530.3 ,1545.9 ,3483.3 ,5742.3 ,10714.3 
瑞穂町,862.8 ,1150.6 ,547.3 ,338.1 ,511.3 ,448.2 ,542.8 ,404.9 ,734.2 ,1197.3 ,3019.4 ,5339.8 ,9090.9 
あきる野市,784.1 ,1286.4 ,545.0 ,543.8 ,398.0 ,216.3 ,263.1 ,411.0 ,586.4 ,933.5 ,2917.0 ,4727.8 ,4918.0 
日の出町,952.5 ,1590.1 ,116.3 ,186.7 ,501.7 ,388.6 ,345.6 ,878.2 ,470.5 ,1542.1 ,2501.7 ,4166.7 ,4000.0 
檜原村,1893.9 ,4081.6 ,2040.8 ,-,4255.3 ,800.0 ,2030.5 ,2777.8 ,540.5 ,2020.2 ,1829.3 ,3225.8 ,-
奥多摩町,2264.1 ,4717.0 ,4724.4 ,1145.0 ,4313.7 ,1436.8 ,2207.5 ,1754.4 ,1939.4 ,1611.4 ,2916.7 ,3501.9 ,-
