消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
小平,1,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
武蔵野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
保谷,9,－,－,－,－,1,7,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
三鷹,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
調布,6,－,－,－,－,－,2,－,－,－,－,－,－,1,－,－,－,－,2,－,－,－,－,－,－,－,－,－,1,－,－
府中,3,－,－,－,－,－,－,－,－,1,－,－,－,1,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
東村山,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
狛江,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
北多摩西部,2,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
清瀬,2,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
八王子,5,－,－,－,－,－,2,－,1,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,1,－,－,－
日野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
町田,3,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－
青梅,7,－,－,－,－,－,1,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,3,1,－,－,－
福生,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
秋川,7,－,－,－,－,－,1,－,2,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,1,－,2,－,－,－
奥多摩,11,－,－,－,－,－,－,－,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
