消防署,4階以上の建築物数／計,4階以上の建築物数／4階建,4階以上の建築物数／5階建,4階以上の建築物数／6階建,4階以上の建築物数／7階建,4階以上の建築物数／8階建,4階以上の建築物数／9階建,4階以上の建築物数／10階建,4階以上の建築物数／11階建,4階以上の建築物数／12階建,4階以上の建築物数／13階建,4階以上の建築物数／14階建,4階以上の建築物数／15階建,4階以上の建築物数／16階建,4階以上の建築物数／17階建,4階以上の建築物数／18階建,4階以上の建築物数／19階建,4階以上の建築物数／20階建,4階以上の建築物数／21階建,4階以上の建築物数／22階建,4階以上の建築物数／23階建,4階以上の建築物数／24階建,4階以上の建築物数／25階建,4階以上の建築物数／26階建,4階以上の建築物数／27階建,4階以上の建築物数／28階建,4階以上の建築物数／29階建,4階以上の建築物数／30階建,4階以上の建築物数／31階建,4階以上の建築物数／32階建,4階以上の建築物数／33階建,4階以上の建築物数／34階建,4階以上の建築物数／35階建,4階以上の建築物数／36階建,4階以上の建築物数／37階建,4階以上の建築物数／38階建,4階以上の建築物数／39階建,4階以上の建築物数／40階建,4階以上の建築物数／43階建,4階以上の建築物数／47階建,4階以上の建築物数／48階建,4階以上の建築物数／53階建,4階以上の建築物数／54階建,4階以上の建築物数／55階建,4階以上の建築物数／60階建,地階を有する建築物数／計,地階を有する建築物数／地下1階,地階を有する建築物数／地下2階,地階を有する建築物数／地下3階,地階を有する建築物数／地下4階,地階を有する建築物数／地下5階,地階を有する建築物数／地下6階,地階を有する建築物数／地下7階,地階を有する建築物数／地下8階
品川,1756,526,413,199,149,132,120,82,62,32,14,20,1,3,－,－,－,－,1,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,901,804,85,12,－,－,－,－,－
大井,992,367,257,112,73,67,33,19,13,11,5,31,2,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,278,263,14,1,－,－,－,－,－
荏原,1019,602,228,59,51,23,11,17,15,8,4,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,422,403,16,3,－,－,－,－,－
大森,1734,815,428,188,104,64,41,35,32,12,4,9,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,527,499,23,3,2,－,－,－,－
東調布,1332,893,243,82,68,15,6,10,7,5,－,2,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,486,466,17,3,－,－,－,－,－
蒲田,1249,598,314,122,70,44,32,27,17,7,9,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,32,31,1,－,－,－,－,－,－
矢口,1033,462,288,125,72,36,17,19,6,2,2,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,293,276,17,－,－,－,－,－,－
目黒,2385,1167,531,251,159,83,70,53,29,26,10,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1202,1132,61,9,－,－,－,－,－
世田谷,2823,1610,693,181,125,72,42,45,18,14,13,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1351,1302,48,1,－,－,－,－,－
玉川,1279,672,348,122,75,38,8,7,5,3,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,702,658,40,2,2,－,－,－,－
成城,1107,597,364,65,37,20,11,6,3,2,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,424,396,22,5,1,－,－,－,－
渋谷,5488,1839,1305,697,536,418,302,206,97,40,24,11,5,2,1,－,－,2,－,－,1,1,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4324,3845,419,44,15,－,1,－,－
四谷,1696,396,374,234,170,178,159,114,54,8,3,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1187,1059,116,11,1,－,－,－,－
牛込,2161,901,618,248,146,89,60,42,24,11,6,11,1,1,2,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1036,940,87,9,－,－,－,－,－
新宿,3864,1356,1001,409,280,252,210,148,92,35,20,32,7,1,－,1,1,－,－,－,－,－,3,－,－,1,2,2,1,1,－,1,－,－,－,1,－,－,1,1,1,1,2,1,－,2153,1788,260,79,15,7,4,－,－
中野,1658,824,420,122,106,83,43,22,19,13,1,2,1,－,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,605,554,45,5,1,－,－,－,－
野方,942,561,209,86,47,18,14,2,4,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,436,427,9,－,－,－,－,－,－
杉並,1840,918,454,182,101,70,36,29,22,10,9,8,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,926,890,35,1,－,－,－,－,－
荻窪,1263,643,329,124,71,32,32,17,6,6,2,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,544,522,20,2,－,－,－,－,－
小石川,1934,794,492,216,115,106,90,42,35,20,12,10,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,830,773,49,6,2,－,－,－,－
本郷,2059,679,504,277,181,160,96,86,43,19,7,3,2,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1088,992,88,6,2,－,－,－,－
豊島,2878,947,726,366,240,209,157,121,50,29,12,15,3,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,1,1312,1207,93,11,－,1,－,－,－
池袋,1539,667,346,176,96,93,73,53,10,14,3,4,1,－,1,1,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,745,664,58,20,3,－,－,－,－
王子,891,423,251,62,49,40,11,13,13,7,2,19,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,225,206,18,1,－,－,－,－,－
赤羽,1071,501,338,94,59,26,19,11,9,7,－,5,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,219,206,12,1,－,－,－,－,－
滝野川,1126,584,322,77,54,43,10,11,16,4,2,2,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,263,259,4,－,－,－,－,－,－
板橋,2315,1134,628,214,104,67,48,48,29,19,10,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,876,836,39,1,－,－,－,－,－
志村,1961,951,544,151,95,54,31,29,50,17,7,22,6,2,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,508,477,27,4,－,－,－,－,－
練馬,1207,507,304,141,97,64,27,33,15,8,3,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,501,483,14,4,－,－,－,－,－
光が丘,412,145,125,25,17,14,6,10,10,3,2,52,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,123,115,7,－,1,－,－,－,－
石神井,643,324,209,62,25,11,7,4,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,208,203,5,－,－,－,－,－,－
上野,3249,913,931,556,315,234,127,104,43,15,4,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1214,1111,86,7,9,－,1,－,－
浅草,2597,868,838,393,191,102,99,59,35,10,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,755,734,19,2,－,－,－,－,－
日本堤,2456,1136,737,297,114,71,51,32,7,7,2,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,363,345,14,4,－,－,－,－,－
荒川,1640,765,414,167,100,55,54,43,19,12,5,4,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,299,287,10,2,－,－,－,－,－
尾久,536,286,128,53,29,9,7,12,7,1,1,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,74,73,1,－,－,－,－,－,－
千住,617,307,149,58,31,23,6,11,14,9,－,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,139,129,10,－,－,－,－,－,－
足立,1656,579,683,126,105,64,29,19,20,8,4,18,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,133,125,7,－,－,1,－,－,－
西新井,701,322,283,35,20,20,4,3,11,1,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,52,49,3,－,－,－,－,－,－
本所,3712,1408,986,541,327,165,105,95,48,22,5,7,－,－,－,－,1,－,－,1,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,638,624,13,1,－,－,－,－,－
向島,667,340,161,44,31,14,24,11,17,6,8,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,87,83,4,－,－,－,－,－,－
深川,2728,983,778,376,239,115,68,49,48,22,3,41,5,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,309,288,18,3,－,－,－,－,－
城東,1507,554,405,124,102,80,50,51,55,21,15,44,5,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,242,228,13,1,－,－,－,－,－
本田,1342,712,366,110,74,34,20,12,7,1,2,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,129,123,6,－,－,－,－,－,－
金町,826,391,275,71,42,13,10,8,11,－,1,3,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,120,113,5,2,－,－,－,－,－
江戸川,1711,645,421,174,154,72,52,50,48,23,12,54,2,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,212,205,5,1,1,－,－,－,－
小岩,678,347,184,62,31,20,11,12,8,－,1,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,117,105,9,3,－,－,－,－,－
受託地区,14303,6156,5734,853,538,392,186,150,212,33,11,30,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4870,4582,261,21,5,1,－,－,－
立川,1720,689,737,104,68,48,23,10,36,1,1,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,539,511,27,1,－,－,－,－,－
国分寺,653,347,201,39,23,17,12,5,5,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,353,337,15,1,－,－,－,－,－
小平,665,342,264,28,8,10,5,1,4,－,1,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,191,184,7,－,－,－,－,－,－
武蔵野,1017,505,253,73,78,50,19,21,11,5,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,614,560,50,2,2,－,－,－,－
保谷,587,320,160,29,27,30,9,5,6,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,166,158,8,－,－,－,－,－,－
三鷹,803,401,254,57,38,27,12,7,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,357,341,15,1,－,－,－,－,－
調布,969,472,341,56,35,19,13,16,9,6,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,283,270,13,－,－,－,－,－,－
府中,722,345,232,47,31,27,15,19,5,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,232,225,7,－,－,－,－,－,－
東村山,437,190,173,39,14,9,4,3,3,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,111,106,5,－,－,－,－,－,－
狛江,230,70,126,10,7,4,3,3,5,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,77,76,1,－,－,－,－,－,－
北多摩西部,421,140,252,13,9,3,－,－,1,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,78,78,－,－,－,－,－,－,－
清瀬,261,99,144,9,5,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,60,52,7,1,－,－,－,－,－
八王子,1952,808,699,140,90,79,42,32,41,9,6,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,664,619,42,3,－,－,－,－,－
日野,666,329,281,22,17,5,3,－,7,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,148,144,4,－,－,－,－,－,－
町田,1272,416,699,74,22,22,5,15,2,3,1,7,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,495,455,31,6,3,－,－,－,－
青梅,384,179,150,24,14,4,5,2,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,121,115,4,1,－,1,－,－,－
福生,412,204,149,28,14,11,2,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,112,105,7,－,－,－,－,－,－
秋川,63,49,9,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,21,20,1,－,－,－,－,－,－
奥多摩,9,5,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,29,27,1,1,－,－,－,－,－
多摩,1060,246,606,56,38,25,12,11,60,2,－,3,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,219,199,16,4,－,－,－,－,－
