消防署,警報設備／自動火災報知設備／対象物数,警報設備／自動火災報知設備／設備数,警報設備／ガス漏れ火災警報設備／対象物数,警報設備／ガス漏れ火災警報設備／設備数,警報設備／漏電火災警報器／対象物数,警報設備／漏電火災警報器／設備数,警報設備／非常ベル・自動式サイレン／対象物数,警報設備／非常ベル・自動式サイレン／設備数,警報設備／放送設備／対象物数,警報設備／放送設備／設備数,避難設備／救助袋／対象物数,避難設備／救助袋／設備数,避難設備／緩降機／対象物数,避難設備／緩降機／設備数,避難設備／避難橋／対象物数,避難設備／避難橋／設備数,消防用水／対象物数,消防用水／設備数
荻窪,893,884,5,5,811,814,596,849,63,56,49,102,75,112,－,－,2,2
小石川,838,873,13,13,194,194,281,267,104,96,53,83,133,233,－,－,6,6
本郷,933,921,17,15,239,265,442,442,66,64,60,168,148,266,1,1,5,5
豊島,1721,1721,14,14,506,506,804,804,181,181,48,77,186,368,－,－,3,3
池袋,1012,1017,12,12,941,941,750,750,104,104,51,108,182,471,－,－,3,3
王子,574,574,3,4,461,461,389,389,54,54,44,81,52,85,－,－,10,10
赤羽,603,603,4,4,293,293,329,328,93,93,47,77,85,137,－,－,2,2
滝野川,369,369,3,3,342,342,359,359,36,36,52,115,74,102,－,－,－,－
板橋,1055,1055,5,5,668,668,1633,1633,98,98,80,173,224,356,1,1,5,5
志村,2119,2196,7,7,720,723,1333,1664,170,170,76,136,109,185,－,－,2,2
練馬,1084,1084,4,5,634,641,837,838,78,78,51,68,46,77,－,－,－,－
光が丘,522,520,3,3,309,309,301,294,73,58,42,103,18,34,－,－,－,－
石神井,1007,1007,4,4,458,458,841,841,150,150,81,81,163,163,－,－,2,2
上野,1211,1213,10,10,214,216,918,918,142,142,75,84,395,404,－,－,1,1
浅草,786,792,1,1,47,49,460,2535,34,34,20,35,176,393,－,－,1,1
日本堤,802,802,6,6,219,219,365,365,42,42,19,19,83,83,2,2,3,3
荒川,785,804,2,2,424,430,364,364,30,30,54,84,97,154,－,－,－,－
尾久,409,374,2,2,303,332,172,317,9,9,22,43,36,31,－,－,－,－
千住,633,633,3,3,244,244,283,659,61,61,58,87,74,117,－,－,2,2
足立,1802,1784,3,3,590,589,797,797,133,124,76,149,44,94,－,－,6,6
西新井,1234,1311,1,1,367,367,382,953,37,37,50,141,41,62,1,1,4,6
本所,854,801,7,7,231,231,472,473,79,80,41,41,237,237,1,1,4,4
向島,596,596,1,1,309,494,293,293,28,28,25,39,29,29,－,－,3,3
深川,1655,1645,－,－,220,220,686,686,96,96,64,127,143,199,－,－,34,36
城東,1495,1499,1,1,318,318,511,511,96,96,69,157,67,155,1,1,26,26
本田,1622,1630,1,1,928,928,832,832,73,73,102,176,79,114,1,1,1,1
金町,978,978,1,1,792,792,461,459,64,64,46,68,35,59,－,－,7,19
江戸川,2386,2386,1,1,919,919,632,632,139,139,93,108,92,124,2,2,8,8
小岩,914,914,1,1,424,425,325,325,86,86,53,87,67,68,－,－,2,2
受託地区,19233,18194,134,134,7384,7333,8796,9875,1972,1714,929,1324,853,1175,15,15,60,65
立川,2068,2001,19,19,493,494,931,931,227,197,75,75,153,153,5,5,7,7
国分寺,930,911,6,6,595,587,568,543,96,83,49,119,27,65,2,2,2,2
小平,1021,1026,3,3,732,732,586,586,133,133,75,75,23,23,－,－,－,－
武蔵野,1048,979,25,25,496,494,609,609,109,102,40,67,74,173,6,6,3,3
保谷,743,658,2,2,300,299,554,554,78,48,26,35,26,31,－,－,2,2
三鷹,1161,1155,6,6,1288,1352,499,1045,44,44,47,106,35,78,－,－,3,3
調布,933,932,6,6,372,371,549,549,79,79,79,126,31,31,－,－,2,2
府中,920,770,6,6,384,382,391,391,88,76,54,75,51,99,－,－,8,2
東村山,522,522,4,4,195,195,173,173,42,42,9,9,7,7,－,－,2,2
狛江,266,230,1,1,296,296,77,84,14,8,16,38,7,11,－,－,2,2
北多摩西部,777,777,1,1,142,142,274,789,33,33,3,13,12,12,－,－,4,4
清瀬,227,216,5,5,105,105,183,183,39,36,21,45,6,13,－,－,－,－
八王子,3194,2827,11,11,596,490,1185,1167,333,193,138,166,153,181,2,2,7,7
日野,889,859,1,1,351,351,349,331,86,86,36,52,38,54,－,－,3,14
町田,1407,1407,20,20,412,412,765,765,312,312,89,119,143,175,－,－,1,1
青梅,972,878,5,5,249,253,279,279,69,66,39,51,12,12,－,－,3,3
福生,979,970,1,1,153,153,373,373,103,91,50,56,18,18,－,－,4,4
秋川,417,354,1,1,104,104,117,190,26,25,27,41,4,6,－,－,1,1
奥多摩,88,88,－,－,30,30,15,15,5,5,2,2,－,－,－,－,－,－
多摩,671,634,11,11,91,91,319,318,56,55,54,54,33,33,－,－,6,6
