消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),危険物製造所等／製造所,危険物製造所等／取扱所
八王子,658,－,－,－,－,－,－,－,－,60,－,－,－,61,－,－,－,－,－,47,2,2,－,－,27,－,16,－,387,56
青梅,231,－,－,－,－,－,－,－,－,78,－,－,－,16,1,－,－,－,－,17,－,－,－,－,11,－,5,3,93,7
東村山,165,－,－,－,－,－,－,－,－,24,－,－,－,2,1,－,－,－,－,15,－,－,－,3,11,－,7,－,94,8
福生,284,－,－,－,－,－,－,－,－,106,－,－,－,12,1,－,－,1,1,34,－,－,－,1,37,－,16,－,71,4
狛江,76,－,－,－,－,－,－,－,－,28,－,－,－,25,－,－,－,－,－,2,－,－,－,－,4,－,8,－,6,3
北多摩西部,135,－,－,－,－,－,－,－,－,10,－,－,－,－,－,－,－,－,－,17,－,－,－,2,9,－,1,1,86,9
清瀬,143,－,－,－,－,－,－,－,－,43,－,－,－,30,1,－,－,－,－,4,－,－,－,1,18,－,4,－,33,9
秋川,61,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,2,－,－,2,52,1
奥多摩,30,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,1,－,－,－,4,－,－,－,－,18,3
多摩,111,－,－,－,－,－,－,－,－,58,－,－,－,2,1,－,－,－,－,3,－,－,－,－,11,－,4,1,30,1
