消防署,計,一・イ,一・ロ,二・イ,二・ロ,二・ハ,二・ニ,三・イ,三・ロ,四,五・イ,五・ロ,六・イ・（１）,六・イ・（２）,六・イ・（３）,六・イ・（４）,六・ロ・（１）,六・ロ・（２）,六・ロ・（３）,六・ロ・（４）,六・ロ・（５）,六・ハ・（１）,六・ハ・（２）,六・ハ・（３）,六・ハ・（４）,六・ハ・（５）,六・ニ,七,八,九・イ,九・ロ,十,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・少量危険物貯蔵取扱所,少量危険物等・指定可燃物貯蔵取扱所
田園調布,93,0,0,0,0,0,0,0,0,7,0,42,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,0,1,10,5,3,0,0,0,0,0,0,0,0,6,0,7,1
蒲田,247,0,0,0,0,0,0,0,6,8,5,59,0,0,0,0,7,0,0,0,0,1,0,2,0,1,4,4,0,0,0,7,10,10,0,1,0,36,7,15,20,0,0,0,0,0,0,0,2,40,0,1,1
矢口,393,0,0,0,1,0,0,0,4,10,3,230,0,3,0,2,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,4,4,8,0,7,0,1,12,18,73,0,0,0,0,0,0,0,0,0,0,7,0
目黒,141,0,0,0,0,0,0,0,3,5,1,52,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,5,2,0,2,0,0,3,0,1,0,0,9,28,9,0,0,0,0,0,0,0,10,0,0,3,0
世田谷,61,0,0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0
玉川,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2
成城,90,0,0,0,0,0,0,0,1,6,0,22,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,6,0,1,0,0,5,9,22,5,0,0,0,0,0,0,0,3,3,0,1,0
渋谷,293,1,0,0,0,0,0,0,5,3,0,115,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,5,1,0,0,0,0,35,67,49,0,0,0,0,0,0,0,3,0,0,0,0
四谷,158,3,0,0,0,0,1,0,5,2,5,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,7,0,0,0,0,10,22,50,13,0,0,1,0,0,0,0,1,1,0,18,0
牛込,91,0,0,1,0,0,0,1,3,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,4,6,0,0,0,1,16,23,9,0,0,1,0,0,0,0,1,0,0,8,1
新宿,52,0,0,0,0,0,0,0,2,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,3,4,3,0,0,0,0,0,0,0,0,5,0,1,0
中野,66,0,0,0,0,0,0,0,1,1,1,37,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,2,1,0,0,0,0,2,6,8,0,0,0,0,0,0,0,1,0,0,0,0
野方,163,0,0,0,0,0,0,0,4,9,0,64,0,0,0,3,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,5,7,0,0,0,3,12,34,12,0,0,0,0,0,0,0,0,1,0,3,0
杉並,129,0,0,0,0,0,0,0,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,2,0,0,0,0,11,0,0,0,0,0,6,20,5,0,0,14,0,0,0,0,0,0,0,6,2
荻窪,66,0,0,0,0,0,0,0,1,2,0,27,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,10,5,0,0,0,0,0,0,0,11,2,0,0,0
小石川,77,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,9,2,0,0,0,2,2,9,11,0,0,0,0,0,0,0,3,1,0,1,0
本郷,135,0,0,0,0,0,0,0,1,1,0,34,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,17,2,0,0,2,5,0,0,2,0,4,24,18,11,0,0,4,0,0,0,0,2,2,0,0,3
豊島,99,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,4,7,50,14,0,0,0,0,0,0,0,1,5,0,3,1
池袋,65,1,0,0,0,0,0,0,1,1,6,10,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,7,1,2,0,0,0,1,5,12,8,0,0,0,0,0,0,0,0,2,0,1,1
王子,80,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,2,0,1,4,2,2,0,0,0,4,7,8,1,0,0,0,0,0,0,0,0,2,0,2,4
赤羽,242,0,0,0,0,0,0,0,9,7,1,91,0,0,0,1,0,0,0,0,0,0,0,6,0,2,1,15,0,0,1,5,5,10,0,1,0,11,15,26,14,0,0,0,0,0,0,0,3,6,0,7,5
滝野川,152,0,0,0,0,0,0,0,1,5,0,63,0,0,2,0,3,0,0,0,0,0,0,1,0,0,1,7,0,0,2,0,2,12,0,1,0,4,11,8,20,0,0,2,0,0,0,0,0,0,0,6,1
板橋,76,0,0,0,1,0,0,0,3,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,0,0,0,0,1,4,0,0,0,3,4,6,2,0,0,0,0,0,0,0,8,4,0,4,0
志村,324,0,0,0,0,0,0,0,6,9,1,175,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,14,0,1,0,6,10,18,59,0,0,0,0,0,0,0,5,4,0,6,0
練馬,107,0,0,0,0,0,0,0,1,1,0,41,0,0,0,0,14,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,1,2,19,10,0,0,0,0,0,0,0,0,7,0,1,0
光が丘,52,0,0,0,0,0,0,0,0,2,0,7,0,1,2,1,3,0,0,0,0,0,0,1,0,0,1,5,0,0,0,2,1,1,0,0,0,5,3,9,3,0,0,0,0,0,0,0,2,1,0,2,0
石神井,27,0,0,0,3,0,1,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
上野,230,0,0,0,0,0,0,0,0,15,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,13,1,0,1,0,0,14,8,42,0,0,4,0,0,0,0,4,4,0,2,0
浅草,75,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
日本堤,94,0,0,0,0,0,0,1,3,6,9,25,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,1,0,3,2,21,10,0,0,0,0,0,0,0,1,1,0,2,1
荒川,291,0,0,0,1,0,0,0,4,3,5,91,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,11,0,0,1,0,2,17,0,5,0,9,24,35,27,0,0,0,0,0,0,0,1,22,0,18,9
尾久,128,0,0,0,0,0,0,0,0,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,4,11,41,0,0,0,0,0,0,0,0,1,0,0,0
千住,120,0,0,0,0,0,0,0,4,5,4,23,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,21,0,1,0,7,9,16,8,0,0,0,0,0,0,0,1,8,0,3,0
足立,257,0,0,0,0,0,0,0,0,21,0,173,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,9,0,0,0,0,2,7,0,0,0,1,19,8,8,0,0,0,0,0,0,0,0,0,0,2,1
西新井,294,0,0,0,0,0,0,0,0,16,0,114,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,12,0,0,0,0,4,49,0,3,0,17,18,21,13,0,0,0,0,0,0,0,0,1,0,11,12
本所,43,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,5,0,0,0,0,0,0,0,1,3,0,3,0
向島,209,0,0,0,0,0,0,0,1,8,8,74,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,1,0,0,1,0,11,18,0,5,0,10,10,26,19,0,0,0,0,0,0,0,3,1,0,3,3
深川,415,1,0,0,0,0,0,0,6,4,2,105,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,0,1,9,22,0,4,0,74,60,30,29,0,0,2,0,0,0,0,19,0,0,12,22
城東,283,0,0,0,0,0,0,1,4,1,2,65,1,1,2,0,0,0,0,0,1,0,0,0,0,2,0,23,0,0,0,0,0,18,0,0,0,17,9,47,29,0,0,0,0,0,0,0,1,0,0,21,38
本田,156,0,0,0,0,0,0,0,0,15,4,82,0,0,0,2,0,0,0,0,0,0,0,3,0,6,3,3,0,0,0,0,2,4,0,2,0,1,3,12,5,0,0,0,0,0,0,0,1,4,0,2,2
金町,142,0,0,0,2,0,0,0,2,11,3,66,0,1,1,0,4,0,0,0,0,1,0,5,0,0,1,7,0,0,0,2,6,2,0,0,0,3,9,9,4,0,0,0,0,0,0,0,1,0,0,2,0
江戸川,88,0,0,0,0,0,0,0,1,5,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,9,10,2,0,0,3,0,0,0,0,0,0,0,5,1
葛西,74,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,11,10,5,0,0,1,0,0,0,0,0,1,0,5,0
小岩,67,0,0,0,0,0,0,0,0,4,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,24,9,0,0,0,0,0,0,0,2,1,0,1,3
受託地区,"3,514",3,0,0,8,0,0,8,108,210,184,829,8,5,7,34,33,0,0,0,14,21,0,76,3,37,55,215,41,0,10,21,58,213,0,13,0,193,280,281,140,0,0,20,0,0,0,0,97,114,0,139,36
立川,115,0,0,0,0,0,0,0,1,11,1,15,0,1,0,2,2,0,0,0,0,0,0,2,0,3,1,16,0,0,0,0,2,14,0,0,0,13,6,6,2,0,0,0,0,0,0,0,8,1,0,5,3
武蔵野,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,19,2,0,0,0,0,0,0,0,0,2,0,2,0
三鷹,176,0,0,0,0,0,0,0,0,6,0,62,0,0,0,0,2,0,0,0,0,2,0,1,0,1,4,9,0,0,0,2,9,7,0,1,0,0,29,6,8,0,0,0,0,0,0,0,16,9,0,0,2
府中,375,2,0,0,0,0,0,0,5,19,0,203,0,1,0,0,1,0,0,0,1,0,0,10,0,1,4,9,1,0,0,1,14,2,0,2,0,7,25,16,24,0,0,6,0,0,0,0,2,5,0,13,1
昭島,129,0,0,0,0,0,0,0,2,7,0,27,0,0,0,1,1,0,0,0,0,1,0,2,0,1,1,2,0,0,1,0,1,20,0,1,0,8,11,13,17,0,0,0,0,0,0,0,3,1,0,6,2
調布,148,0,0,0,0,0,0,0,4,2,1,57,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,59,0,0,1,0,0,0,0,0,0,2,2,5,1,0,0,0,0,0,0,0,8,0,0,0,0
小金井,132,0,0,0,0,0,0,0,2,4,0,23,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,10,33,0,0,0,2,1,0,0,0,3,7,15,13,0,0,0,0,0,0,0,1,0,0,11,0
小平,197,0,0,0,1,0,0,0,1,10,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,23,17,11,7,0,0,0,0,0,0,0,7,16,0,1,0
東村山,211,0,0,0,1,0,0,0,3,7,7,59,2,0,0,7,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,1,41,0,1,0,27,16,15,6,0,0,1,0,0,0,0,7,2,0,2,0
国分寺,84,0,0,0,0,0,0,0,1,3,2,14,1,0,1,2,2,0,0,0,2,3,0,6,0,3,3,0,0,0,0,0,0,1,0,0,0,2,1,25,3,0,0,0,0,0,0,0,5,0,0,4,0
狛江,68,0,0,0,0,0,0,0,2,2,2,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,10,12,0,0,2,0,0,0,0,1,3,0,5,2
北多摩西部,191,0,0,0,0,0,0,0,13,19,0,23,0,0,0,2,0,0,0,0,1,1,0,5,2,0,4,19,0,0,1,4,0,13,0,1,0,22,9,14,6,0,0,2,0,0,0,0,5,11,0,13,1
清瀬,72,0,0,0,1,0,0,0,8,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,5,17,15,2,0,0,0,0,0,0,0,0,1,0,1,4
東久留米,112,0,0,0,1,0,0,0,0,5,6,15,0,0,0,2,1,0,0,0,0,0,0,1,0,3,4,0,0,0,2,0,2,1,0,0,0,8,7,9,2,0,0,0,0,0,0,0,1,32,0,10,0
西東京,114,0,0,0,0,0,0,0,0,7,1,37,0,0,0,1,0,0,0,0,0,1,0,7,0,0,10,7,0,0,0,0,2,2,0,1,0,4,1,21,3,0,0,0,0,0,0,0,1,5,0,3,0
八王子,363,0,0,0,1,0,0,7,26,41,10,41,2,1,3,6,6,0,0,0,6,4,0,11,0,17,6,34,0,0,0,3,4,38,0,0,0,14,35,14,2,0,0,0,0,0,0,0,10,3,0,13,5
青梅,212,0,0,0,0,0,0,0,2,11,1,26,0,0,0,1,8,0,0,0,2,6,0,6,1,0,2,6,2,0,0,2,11,7,0,2,0,24,30,5,6,0,0,8,0,0,0,0,8,13,0,16,6
町田,87,1,0,0,0,0,0,0,8,6,1,45,0,0,0,1,1,0,0,0,0,1,0,2,0,2,2,0,0,0,1,0,0,0,0,1,0,0,2,2,6,0,0,0,0,0,0,0,1,2,0,2,0
日野,36,0,0,0,1,0,0,0,2,1,0,4,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,6,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1
福生,243,0,0,0,0,0,0,1,18,30,0,38,0,1,0,3,1,0,0,0,0,1,0,4,0,0,1,21,0,0,0,0,5,36,0,1,0,16,13,26,12,0,0,0,0,0,0,0,2,4,0,5,4
多摩,92,0,0,0,0,0,0,0,2,9,0,28,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,11,1,0,0,1,0,1,0,1,0,3,6,6,1,0,0,1,0,0,0,0,4,0,0,11,0
秋川,233,0,0,0,2,0,0,0,4,8,108,0,1,1,0,1,6,0,0,0,1,1,0,5,0,2,6,0,0,0,3,3,1,14,0,0,0,7,24,17,2,0,0,0,0,0,0,0,3,2,0,7,4
奥多摩,91,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,1,0,0,1,0,0,0,0,11,8,0,0,0,0,0,0,0,0,4,2,0,8,1
,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
