消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十八),(十九),(二十),その他,少危
石神井,890,－,－,－,－,1,22,－,－,231,－,10,3,－,－,－,－,1,－,9,1,1,－,14,23,31,542,－,－,－,－,1
上野,612,－,－,－,－,－,17,15,－,348,1,－,－,－,－,－,－,－,5,19,－,7,－,5,7,76,112,－,－,－,－,－
浅草,237,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,2,－,－,3,143,87,－,－,－,－,－
日本堤,1998,－,－,－,－,2,79,－,10,50,4,－,－,－,－,－,－,－,－,51,－,－,－,40,37,325,1400,－,－,－,－,－
荒川,413,－,－,－,－,－,14,14,－,28,－,－,－,1,－,－,－,－,1,23,－,－,－,12,9,272,38,－,－,－,－,1
尾久,56,－,－,－,－,－,－,－,－,2,2,2,1,1,－,－,－,－,－,10,－,7,－,8,9,5,6,－,－,－,－,3
千住,93,－,－,－,－,－,2,3,－,4,－,－,－,－,－,－,－,3,－,18,－,3,－,2,2,28,27,－,－,－,－,1
足立,509,－,－,－,－,－,18,30,－,69,－,－,－,－,－,－,－,－,6,31,－,3,－,31,61,136,103,－,－,－,－,21
西新井,45,－,－,－,－,－,2,2,－,2,2,2,1,1,－,－,－,－,1,3,－,－,－,6,13,6,4,－,－,－,－,－
本所,21,－,－,－,－,－,－,－,－,3,－,1,2,－,－,－,－,－,－,15,－,－,－,－,－,－,－,－,－,－,－,－
向島,1096,－,－,－,－,－,28,73,－,69,－,－,－,－,－,－,－,5,－,241,－,－,－,－,24,352,304,－,－,－,－,－
深川,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,4,－,－,－,－,－
城東,30,－,－,－,－,－,1,－,－,3,－,－,－,－,－,－,－,－,8,4,－,－,－,1,8,－,4,－,－,－,－,1
本田,139,－,－,－,－,－,1,－,－,98,－,－,－,－,－,－,－,－,6,15,－,－,－,5,－,5,7,－,－,－,－,2
金町,10,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,1,－,－,3
江戸川,11,－,－,－,－,－,－,－,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,5
小岩,65,－,－,－,－,－,－,1,1,10,1,1,－,－,－,－,－,－,－,25,－,－,－,1,4,6,11,－,－,－,－,4
受託地区,1271,－,－,－,－,－,23,12,195,228,6,22,3,3,8,－,－,52,32,104,－,1,－,47,130,98,300,－,－,－,3,4
立川,56,－,－,－,－,－,1,6,－,2,－,2,－,2,－,－,－,5,－,3,－,－,－,6,23,1,5,－,－,－,－,－
国分寺,29,－,－,－,－,－,1,－,－,－,－,2,－,－,－,－,－,2,－,－,－,－,－,3,1,1,18,－,－,－,－,1
小平,54,－,－,－,－,－,2,－,－,5,1,－,－,－,－,－,－,－,－,2,－,－,－,2,2,9,31,－,－,－,－,－
武蔵野,106,－,－,－,－,－,－,－,－,104,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－
保谷,44,－,－,－,－,－,－,－,－,33,－,－,－,－,－,－,－,－,4,2,－,－,－,－,3,－,1,－,－,－,－,1
三鷹,46,－,－,－,－,－,1,－,－,6,－,－,－,－,－,－,－,2,1,3,－,－,－,2,2,2,27,－,－,－,－,－
調布,43,－,－,－,－,－,11,4,－,1,－,－,－,－,－,－,－,7,－,5,－,－,－,1,2,2,10,－,－,－,－,－
府中,27,－,－,－,－,－,－,－,－,4,－,－,－,－,5,－,－,9,－,－,－,－,－,4,3,－,1,－,－,－,1,－
日野,42,－,－,－,－,－,－,－,－,3,－,3,－,－,－,－,－,－,－,1,－,－,－,－,2,8,25,－,－,－,－,－
町田,6,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－
八王子,110,－,－,－,－,－,1,1,－,2,－,2,2,1,－,－,－,6,11,29,－,－,－,3,29,8,11,－,－,－,2,2
青梅,57,－,－,－,－,－,－,－,2,3,－,2,－,－,1,－,－,3,1,32,－,－,－,－,9,1,3,－,－,－,－,－
東村山,305,－,－,－,－,－,3,1,5,57,5,6,－,－,－,－,－,4,1,25,－,－,－,22,29,42,105,－,－,－,－,－
福生,56,－,－,－,－,－,－,－,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,49,－,－,－,－,－
狛江,5,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,2,－,－,－,－,－,－,－,1,－,－,－,－,－,－
北多摩西部,20,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,1,－,－,－,2,16,－,－,－,－,－,－,－
清瀬,27,－,－,－,－,－,－,－,1,－,－,－,1,－,－,－,－,－,－,－,－,1,－,2,6,3,13,－,－,－,－,－
秋川,87,－,－,－,－,－,1,－,67,－,－,－,－,－,－,－,－,8,1,1,－,－,－,－,1,8,－,－,－,－,－,－
奥多摩,148,－,－,－,－,－,2,－,120,－,－,－,－,－,2,－,－,－,12,－,－,－,－,－,2,10,－,－,－,－,－,－
多摩,3,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,1,－,－,－,－,－,－,1,－,－,－,－,－,－
