本部・署,合計／実施回数,合計／延べ台数,合計／延べ人員／計,合計／延べ人員／当番,合計／延べ人員／非番,合計／延べ人員／日勤,合計／延べ人員／毎日,合計／警戒時間,儀式・祭礼／実施回数,儀式・祭礼／延べ台数,儀式・祭礼／延べ人員／計,儀式・祭礼／延べ人員／当番,儀式・祭礼／延べ人員／非番,儀式・祭礼／延べ人員／日勤,儀式・祭礼／延べ人員／毎日,儀式・祭礼／警戒時間,集団行動・沿道警戒／実施回数,集団行動・沿道警戒／延べ台数,集団行動・沿道警戒／延べ人員／計,集団行動・沿道警戒／延べ人員／当番,集団行動・沿道警戒／延べ人員／非番,集団行動・沿道警戒／延べ人員／日勤,集団行動・沿道警戒／延べ人員／毎日,集団行動・沿道警戒／警戒時間,その他／実施回数,その他／延べ台数,その他／延べ人員／計,その他／延べ人員／当番,その他／延べ人員／非番,その他／延べ人員／日勤,その他／延べ人員／毎日,その他／警戒時間
池袋,3,140,763,640,－,－,123,287,1,20,137,88,－,－,49,20,－,－,－,－,－,－,－,－,2,120,626,552,－,－,74,267
王子,5,104,3488,3411,－,38,39,1687,3,42,2806,2742,－,38,26,1351,－,－,－,－,－,－,－,－,2,62,682,669,－,－,13,336
赤羽,6,626,4020,3308,－,206,506,1020,3,366,2167,2050,－,29,88,636,－,－,－,－,－,－,－,－,3,260,1853,1258,－,177,418,384
滝野川,3,356,1814,1506,－,50,258,840,1,242,1180,989,－,50,141,576,－,－,－,－,－,－,－,－,2,114,634,517,－,－,117,264
板橋,2,399,3378,3265,－,－,113,1608,1,278,2781,2702,－,－,79,1344,－,－,－,－,－,－,－,－,1,121,597,563,－,－,34,264
志村,5,724,5747,3389,－,484,1874,1986,2,475,3599,2169,－,243,1187,1376,－,－,－,－,－,－,－,－,3,249,2148,1220,－,241,687,610
練馬,6,1082,5826,4608,－,66,1152,1991,2,927,4484,3856,－,－,628,1648,－,－,－,－,－,－,－,－,4,155,1342,752,－,66,524,343
光が丘,3,208,829,570,－,－,259,384,1,22,99,77,－,－,22,48,－,－,－,－,－,－,－,－,2,186,730,493,－,－,237,336
石神井,4,501,2891,2702,－,16,173,987,3,306,1916,1787,－,16,113,627,－,－,－,－,－,－,－,－,1,195,975,915,－,－,60,360
六本部,5,133,842,561,－,64,217,2244,2,67,551,369,－,38,144,1488,－,－,－,－,－,－,－,－,3,66,291,192,－,26,73,756
上野,12,1008,7203,4632,14,529,2028,2373,3,590,5123,2735,－,445,1943,1379,－,－,－,－,－,－,－,－,9,418,2080,1897,14,84,85,994
浅草,13,637,5465,5279,－,75,111,2351,5,349,3862,3788,－,19,55,1391,－,－,－,－,－,－,－,－,8,288,1603,1491,－,56,56,960
日本堤,13,953,5020,4497,－,166,357,3735,6,672,3236,3129,－,74,33,1974,2,16,135,84,－,10,41,16,5,265,1649,1284,－,82,283,1745
荒川,5,1042,8082,5350,81,334,2317,1718,3,748,5616,3837,－,181,1598,1214,－,－,－,－,－,－,－,－,2,294,2466,1513,81,153,719,504
尾久,5,545,3394,2458,－,115,821,1333,3,356,2217,1547,－,115,555,847,－,－,－,－,－,－,－,－,2,189,1177,911,－,－,266,486
千住,6,572,4791,2962,－,290,1539,1614,3,463,3862,2384,－,223,1255,1336,－,－,－,－,－,－,－,－,3,109,929,578,－,67,284,278
足立,8,980,10037,7105,1,－,2931,2359,4,854,7287,4417,－,－,2870,1371,－,－,－,－,－,－,－,－,4,126,2750,2688,1,－,61,988
西新井,7,1044,5869,4400,－,146,1323,1807,3,739,4118,3252,－,90,776,1424,－,－,－,－,－,－,－,－,4,305,1751,1148,－,56,547,383
七本部,4,171,818,504,－,50,264,1958,1,92,420,278,－,12,130,1104,－,－,－,－,－,－,－,－,3,79,398,226,－,38,134,854
本所,10,285,3059,2493,－,128,438,477,2,183,1523,1376,－,8,139,4,－,－,－,－,－,－,－,－,8,102,1536,1117,－,120,299,473
向島,5,26,699,546,－,27,126,103,2,5,35,25,－,7,3,75,－,－,－,－,－,－,－,－,3,21,664,521,－,20,123,28
深川,12,936,7611,4563,6,568,2474,1479,5,714,6071,3570,－,404,2097,1158,2,4,38,32,－,－,6,7,5,218,1502,961,6,164,371,314
城東,11,571,3127,1957,1,226,943,912,3,526,2883,1766,－,214,903,608,2,3,23,16,1,－,6,6,6,42,221,175,－,12,34,298
本田,4,1200,7683,5550,－,647,1486,1371,1,860,4960,3988,－,324,648,624,－,－,－,－,－,－,－,－,3,340,2723,1562,－,323,838,747
金町,7,753,4854,3527,－,307,1020,1409,4,322,2563,1561,－,124,878,618,－,－,－,－,－,－,－,－,3,431,2291,1966,－,183,142,791
江戸川,7,40,5110,3034,7,301,1768,1184,1,19,3052,1811,7,196,1038,600,－,－,－,－,－,－,－,－,6,21,2058,1223,－,105,730,584
小岩,5,787,4945,3624,－,276,1045,1474,2,589,3519,2718,－,130,671,1169,－,－,－,－,－,－,－,－,3,198,1426,906,－,146,374,305
八本部,6,230,1114,772,21,106,215,2246,2,201,689,470,21,49,149,1579,1,1,10,7,－,1,2,6,3,28,415,295,－,56,64,661
立川,23,132,929,673,14,141,101,531,7,28,283,150,2,93,38,31,3,1,41,2,6,－,33,14,13,103,605,521,6,48,30,486
国分寺,6,662,4167,2927,－,175,1065,1088,1,1,15,10,－,－,5,28,2,450,2890,1984,－,161,745,720,3,211,1262,933,－,14,315,340
小平,5,602,3823,2405,－,283,1135,1305,2,341,2148,1356,－,120,672,729,－,－,－,－,－,－,－,－,3,261,1675,1049,－,163,463,576
武蔵野,2,621,3927,3637,－,19,271,1848,1,522,3337,3109,－,19,209,1584,－,－,－,－,－,－,－,－,1,99,590,528,－,－,62,264
保谷,9,1008,5650,4387,－,542,721,2185,5,762,4359,3313,－,442,604,1648,－,－,－,－,－,－,－,－,4,246,1291,1074,－,100,117,537
三鷹,5,617,3470,2429,－,35,1006,1214,3,435,2670,1629,－,35,1006,851,1,2,11,11,－,－,－,3,1,180,789,789,－,－,－,360
調布,8,1016,6787,4432,－,609,1746,1870,3,827,5559,3592,－,486,1481,1550,2,26,128,117,－,－,11,13,3,163,1100,723,－,123,254,307
府中,9,955,5793,3827,－,419,1547,1277,3,594,3698,2375,－,256,1067,851,－,－,－,－,－,－,－,－,6,361,2095,1452,－,163,480,426
東村山,5,595,4517,2828,－,137,1552,1719,1,440,3359,2102,－,24,1233,1272,2,3,15,11,－,3,1,9,2,152,1143,715,－,110,318,438
狛江,6,579,4811,2908,－,436,1467,2191,2,449,3541,2105,－,292,1144,1606,－,－,－,－,－,－,－,－,4,130,1270,803,－,144,323,585
北多摩西部,6,142,1983,1958,－,10,15,2098,1,65,1251,1251,－,－,－,1440,1,3,16,6,－,10,－,8,4,74,716,701,－,－,15,650
清瀬,4,22,179,106,－,29,44,37,3,13,125,68,－,29,28,28,－,－,－,－,－,－,－,－,1,9,54,38,－,－,16,9
九本部,3,198,651,350,－,250,51,1660,1,198,627,330,－,250,47,1584,1,－,5,5,－,－,－,4,1,－,19,15,－,－,4,72
八王子,7,2084,14069,8708,－,987,4374,2303,5,1467,9967,6282,－,819,2866,1679,－,－,－,－,－,－,－,－,2,617,4102,2426,－,168,1508,624
日野,8,792,5728,4195,－,309,1224,1636,5,473,3620,2710,－,174,736,940,－,－,－,－,－,－,－,－,3,319,2108,1485,－,135,488,696
町田,6,2772,17383,11779,－,874,4730,3664,1,1188,7530,5049,－,404,2077,1591,2,36,210,154,－,6,50,10,3,1548,9643,6576,－,464,2603,2063
青梅,9,621,4973,3293,－,59,1621,1294,4,568,4098,2575,－,1,1522,985,1,6,115,47,－,43,25,7,4,47,760,671,－,15,74,302
福生,13,155,5044,3586,6,418,1034,1610,5,11,3660,2527,－,315,818,1110,2,20,393,387,6,－,－,220,6,124,991,672,－,103,216,280
秋川,12,41,1143,799,－,－,344,287,6,21,290,250,－,－,40,47,－,－,－,－,－,－,－,－,6,20,853,549,－,－,304,240
奥多摩,5,60,320,194,－,31,95,403,－,－,－,－,－,－,－,－,2,8,35,20,－,10,5,10,3,52,285,174,－,21,90,393
多摩,9,765,4197,2377,－,238,1582,16402,2,527,3034,1678,－,177,1179,2331,1,2,14,14,－,－,－,462,6,236,1149,685,－,61,403,13609
