発火源および経過,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
1電気による発熱体／11移動可能の電熱器／電気毛布／スパークする,1,1,－,－,1,－,－,－,－,－,－,17,6596,－,－,1
1電気による発熱体／11移動可能の電熱器／電気毛布／局部過熱する,1,1,－,－,－,1,－,－,－,－,－,－,87,－,－,－
1電気による発熱体／11移動可能の電熱器／電気毛布／改悪する,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／11移動可能の電熱器／電気毛布／不明,1,1,－,－,－,1,－,－,－,－,－,－,45,－,－,1
1電気による発熱体／11移動可能の電熱器／電気敷布,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／電気敷布／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器,3,2,－,－,－,2,1,－,－,－,－,－,76,150,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器／構造不完全,1,－,－,－,－,－,1,－,－,－,－,－,－,150,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,47,－,－,－
1電気による発熱体／11移動可能の電熱器／投込湯沸器／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,29,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー,11,11,3,－,1,7,－,－,－,－,－,360,31005,8,－,2
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／局部過熱する,1,1,－,－,1,－,－,－,－,－,－,6,1716,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,431,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／火源が動いて接触する,1,1,1,－,－,－,－,－,－,－,－,64,17102,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／機械が故障する,1,1,－,－,－,1,－,－,－,－,－,－,145,－,－,－
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／誤ってスイッチが入る,4,4,1,－,－,3,－,－,－,－,－,50,7952,－,－,1
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／放置する,2,2,1,－,－,1,－,－,－,－,－,240,3624,8,－,1
1電気による発熱体／11移動可能の電熱器／ヘアドライヤー／忘れる,1,1,－,－,－,1,－,－,－,－,－,－,35,－,－,－
1電気による発熱体／11移動可能の電熱器／電気溶接器,57,31,1,1,1,28,4,－,－,－,22,250,46331,20787,－,4
1電気による発熱体／11移動可能の電熱器／電気溶接器／伝導過熱する,1,1,－,－,－,1,－,－,－,－,－,－,94,－,－,－
1電気による発熱体／11移動可能の電熱器／電気溶接器／火花が飛ぶ,56,30,1,1,1,27,4,－,－,－,22,250,46237,20787,－,4
1電気による発熱体／11移動可能の電熱器／電気トースター,8,8,2,－,2,4,－,－,－,－,－,305,61053,445,－,5
1電気による発熱体／11移動可能の電熱器／電気トースター／過熱する,1,1,－,－,1,－,－,－,－,－,－,20,3376,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／機械の調整が不適当,1,1,1,－,－,－,－,－,－,－,－,170,27372,－,－,3
1電気による発熱体／11移動可能の電熱器／電気トースター／放置する,2,2,－,－,－,2,－,－,－,－,－,－,494,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／忘れる,1,1,－,－,1,－,－,－,－,－,－,30,10299,－,－,1
1電気による発熱体／11移動可能の電熱器／電気トースター／火遊び,1,1,－,－,－,1,－,－,－,－,－,－,120,－,－,－
1電気による発熱体／11移動可能の電熱器／電気トースター／不明,1,1,1,－,－,－,－,－,－,－,－,85,19385,445,－,1
1電気による発熱体／11移動可能の電熱器／電気ロースター,2,2,－,－,－,2,－,－,－,－,－,－,66,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ロースター／誤ってスイッチが入る,2,2,－,－,－,2,－,－,－,－,－,－,66,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ポット,1,1,－,－,－,1,－,－,－,－,－,－,833,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ポット／放置する,1,1,－,－,－,1,－,－,－,－,－,－,833,－,－,－
1電気による発熱体／11移動可能の電熱器／電気がま,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／11移動可能の電熱器／電気がま／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／11移動可能の電熱器／ジャー炊飯器,1,1,－,－,－,1,－,－,－,－,－,－,35,－,－,－
1電気による発熱体／11移動可能の電熱器／ジャー炊飯器／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,35,－,－,－
1電気による発熱体／11移動可能の電熱器／ホットプレート,1,1,－,－,－,1,－,－,－,－,－,－,39,－,－,－
1電気による発熱体／11移動可能の電熱器／ホットプレート／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,39,－,－,－
1電気による発熱体／11移動可能の電熱器／電気コーヒー沸器,1,1,－,－,－,1,－,－,－,－,－,－,110,－,－,－
1電気による発熱体／11移動可能の電熱器／電気コーヒー沸器／改悪する,1,1,－,－,－,1,－,－,－,－,－,－,110,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター,6,5,－,1,－,4,－,－,－,－,1,150,56424,283,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／過熱する,4,3,－,1,－,2,－,－,－,－,1,150,53502,283,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,1981,－,－,－
1電気による発熱体／11移動可能の電熱器／観賞魚用ヒーター／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,941,－,－,－
1電気による発熱体／11移動可能の電熱器／電熱線,1,1,－,－,－,1,－,－,－,－,－,－,7816,－,－,－
1電気による発熱体／11移動可能の電熱器／電熱線／放置する,1,1,－,－,－,1,－,－,－,－,－,－,7816,－,－,－
1電気による発熱体／11移動可能の電熱器／ズボンプレッサー(電気),1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／11移動可能の電熱器／ズボンプレッサー(電気)／本来の用途以外に使用,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／12固定の電熱器,15,15,－,1,4,10,－,－,－,－,－,264,173128,－,－,1
1電気による発熱体／12固定の電熱器／電気パン焼器,2,2,－,－,2,－,－,－,－,－,－,69,5358,－,－,－
1電気による発熱体／12固定の電熱器／電気パン焼器／放射を受けて発火する,1,1,－,－,1,－,－,－,－,－,－,10,2253,－,－,－
1電気による発熱体／12固定の電熱器／電気パン焼器／過熱する,1,1,－,－,1,－,－,－,－,－,－,59,3105,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器,4,4,－,－,－,4,－,－,－,－,－,－,57,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,9,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥器／過熱する,1,1,－,－,7,1,－,－,－,－,－,－,14,－,－,－
1電気による発熱体／12固定の電熱器／電気工業用炉,1,1,－,－,1,－,－,－,－,－,－,20,46855,－,－,－
1電気による発熱体／12固定の電熱器／電気工業用炉／誤ってスイッチが入る,1,1,－,－,1,－,－,－,－,－,－,20,46855,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥機,2,2,－,1,1,－,－,－,－,－,－,175,118931,－,－,－
1電気による発熱体／12固定の電熱器／電気乾燥機／引火する,2,2,－,1,1,－,－,－,－,－,－,175,118931,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ,4,4,－,－,－,4,－,－,－,－,－,－,1242,－,－,1
1電気による発熱体／12固定の電熱器／電気レンジ／伝導過熱する,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／誤ってスイッチが入る,2,2,－,－,－,2,－,－,－,－,－,－,208,－,－,－
1電気による発熱体／12固定の電熱器／電気レンジ／放置する,1,1,－,－,－,1,－,－,－,－,－,－,1031,－,－,1
1電気による発熱体／12固定の電熱器／サウナヒーター,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／12固定の電熱器／サウナヒーター／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／12固定の電熱器／電気フライヤー,1,1,－,－,－,1,－,－,－,－,－,－,185,－,－,－
1電気による発熱体／12固定の電熱器／電気フライヤー／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,185,－,－,－
1電気による発熱体／13電気機器,221,183,17,12,15,139,17,－,－,－,21,4530,689185,10171,3,41
1電気による発熱体／13電気機器／電池,5,2,－,－,－,2,3,－,－,2,－,－,8,508,－,－
1電気による発熱体／13電気機器／電池／電線が短絡する,1,－,－,－,－,－,1,－,－,－,－,－,－,7,－,－
1電気による発熱体／13電気機器／電池／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／13電気機器／電池／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,500,－,－
1電気による発熱体／13電気機器／電池／金属の接触部が過熱,1,－,－,－,－,－,1,－,－,－,－,－,－,1,－,－
1電気による発熱体／13電気機器／電池／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／カラーテレビ,17,17,－,－,－,17,－,－,－,－,－,－,187,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／スパークする,6,6,－,－,－,6,－,－,－,－,－,－,124,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／漏洩放電する,2,2,－,－,－,2,－,－,－,－,－,－,10,－,－,－
1電気による発熱体／13電気機器／カラーテレビ／絶縁劣下による発熱,7,7,－,－,－,7,－,－,－,－,－,－,47,－,－,－
1電気による発熱体／13電気機器／ステレオ,1,1,－,－,－,1,－,－,－,－,－,－,27,－,－,－
1電気による発熱体／13電気機器／ステレオ／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,27,－,－,－
1電気による発熱体／13電気機器／増幅器,1,－,－,－,－,－,－,－,－,－,1,－,－,100,－,－
1電気による発熱体／13電気機器／増幅器／絶縁劣下による発熱,1,－,－,－,－,－,－,－,－,－,1,－,－,100,－,－
1電気による発熱体／13電気機器／白熱電球,12,8,1,－,－,7,4,－,－,－,－,45,911,2518,－,4
1電気による発熱体／13電気機器／白熱電球／スパークによる引火,1,－,－,－,－,－,1,－,－,－,－,－,－,2484,－,1
1電気による発熱体／13電気機器／白熱電球／可燃物が火源に触れる,4,3,－,－,－,3,1,－,－,－,－,－,667,19,－,1
1電気による発熱体／13電気機器／白熱電球／火源が動いて接触する,1,1,1,－,－,－,－,－,－,－,－,45,227,－,－,－
1電気による発熱体／13電気機器／白熱電球／火源が破損する,3,2,－,－,－,2,1,－,－,－,－,－,2,10,－,2
1電気による発熱体／13電気機器／白熱電球／考え違いで使用を誤る,1,1,－,－,－,1,－,－,－,－,－,－,10,－,－,－
1電気による発熱体／13電気機器／白熱電球／誤ってスイッチが入る,1,－,－,－,－,－,1,－,－,－,－,－,－,5,－,－
1電気による発熱体／13電気機器／白熱電球／本来の用途以外に使用,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／ダウンライト,6,6,－,－,－,6,－,－,－,－,－,－,2281,－,－,－
1電気による発熱体／13電気機器／ダウンライト／放射を受けて発火する,4,4,－,－,－,4,－,－,－,－,－,－,2262,－,－,－
1電気による発熱体／13電気機器／ダウンライト／蓄積過熱する,1,1,－,－,－,1,－,－,－,－,－,－,14,－,－,－
1電気による発熱体／13電気機器／ダウンライト／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／13電気機器／スポットライト,2,1,－,－,－,1,－,－,－,－,1,－,28,1,－,－
1電気による発熱体／13電気機器／スポットライト／放射を受けて発火する,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／13電気機器／スポットライト／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,28,－,－,－
1電気による発熱体／13電気機器／投光器,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／13電気機器／投光器／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／13電気機器／水銀灯,1,－,－,－,－,－,－,－,－,－,1,－,－,15,－,－
1電気による発熱体／13電気機器／水銀灯／可燃物が火源に触れる,1,－,－,－,－,－,－,－,－,－,1,－,－,15,－,－
1電気による発熱体／13電気機器／白熱灯スタンド,21,21,2,3,5,11,－,－,－,－,－,442,54122,－,1,8
1電気による発熱体／13電気機器／白熱灯スタンド／放射を受けて発火する,1,1,－,1,－,－,－,－,－,－,－,54,5866,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／蓄積過熱する,1,1,－,－,1,－,－,－,－,－,－,10,7972,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／可燃物が落下する,1,1,－,－,1,－,－,－,－,－,－,19,3529,－,－,－
1電気による発熱体／13電気機器／白熱灯スタンド／可燃物が火源に触れる,10,10,－,2,2,6,－,－,－,－,－,70,16009,－,－,3
1電気による発熱体／13電気機器／白熱灯スタンド／火源が転倒する,5,5,－,－,1,4,－,－,－,－,－,26,2489,－,－,1
1電気による発熱体／13電気機器／白熱灯スタンド／火源が動いて接触する,3,3,2,－,－,1,－,－,－,－,－,263,18257,－,1,4
1電気による発熱体／13電気機器／けい光灯,11,11,－,－,1,10,－,－,－,－,－,15,4402,－,－,4
1電気による発熱体／13電気機器／けい光灯／電線が短絡する,4,4,－,－,－,4,－,－,－,－,－,－,128,－,－,－
1電気による発熱体／13電気機器／けい光灯／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,526,－,－,－
1電気による発熱体／13電気機器／けい光灯／絶縁劣下による発熱,5,5,－,－,－,5,－,－,－,－,－,－,27,－,－,－
1電気による発熱体／13電気機器／けい光灯／スパークによる引火,1,1,－,－,1,－,－,－,－,－,－,15,3721,－,－,4
1電気による発熱体／13電気機器／けい光灯スタンド,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／13電気機器／けい光灯スタンド／蓄積過熱する,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／13電気機器／ネオン灯配線,6,1,－,－,－,1,－,－,－,－,5,－,10,80,－,－
1電気による発熱体／13電気機器／ネオン灯配線／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－
1電気による発熱体／13電気機器／ネオン灯配線／漏洩放電する,5,1,－,－,－,1,－,－,－,－,4,－,10,78,－,－
1電気による発熱体／13電気機器／ネオントランス,1,－,－,－,－,－,－,－,－,－,1,－,－,50,－,－
1電気による発熱体／13電気機器／ネオントランス／漏洩放電する,1,－,－,－,－,－,－,－,－,－,1,－,－,50,－,－
1電気による発熱体／13電気機器／電気冷蔵庫,5,5,－,2,－,3,－,－,－,－,－,165,17141,－,－,2
1電気による発熱体／13電気機器／電気冷蔵庫／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,7097,－,－,－
1電気による発熱体／13電気機器／電気冷蔵庫／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,38,－,－,－
1電気による発熱体／13電気機器／電気冷蔵庫／スパークによる引火,2,2,－,1,－,1,－,－,－,－,－,136,7564,－,－,2
1電気による発熱体／13電気機器／電気冷蔵庫／不明,1,1,－,1,－,－,－,－,－,－,－,29,2442,－,－,－
1電気による発熱体／13電気機器／扇風機,17,17,1,4,1,11,－,－,－,－,－,1645,190274,180,1,7
1電気による発熱体／13電気機器／扇風機／電線が短絡する,8,8,1,3,－,4,－,－,－,－,－,1589,171843,180,1,4
1電気による発熱体／13電気機器／扇風機／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,33,－,－,－
1電気による発熱体／13電気機器／扇風機／絶縁劣下による発熱,8,8,－,1,1,6,－,－,－,－,－,56,18398,－,－,3
1電気による発熱体／13電気機器／換気扇,7,7,－,－,－,7,－,－,－,－,－,－,263,－,－,3
1電気による発熱体／13電気機器／換気扇／電線が短絡する,5,5,－,－,－,5,－,－,－,－,－,－,201,－,－,3
1電気による発熱体／13電気機器／換気扇／絶縁劣下による発熱,2,2,－,－,－,2,－,－,－,－,－,－,62,－,－,－
1電気による発熱体／13電気機器／サーキュレーター,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／13電気機器／サーキュレーター／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－,－
1電気による発熱体／13電気機器／送(排)風機,3,3,－,－,－,3,－,－,－,－,－,－,2064,－,－,1
1電気による発熱体／13電気機器／送(排)風機／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,1
1電気による発熱体／13電気機器／送(排)風機／摩擦により発熱する,1,1,－,－,－,1,－,－,－,－,－,－,419,－,－,－
1電気による発熱体／13電気機器／送(排)風機／蓄積過熱する,1,1,－,－,－,1,－,－,－,－,－,－,1643,－,－,－
1電気による発熱体／13電気機器／冷房機,3,2,－,－,－,2,－,－,－,－,1,－,102,30,－,－
1電気による発熱体／13電気機器／冷房機／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,30,－,－
1電気による発熱体／13電気機器／冷房機／絶縁劣下による発熱,2,2,－,－,－,2,－,－,－,－,1,－,102,－,－,－
1電気による発熱体／13電気機器／冷暖房機,5,5,－,－,－,5,－,－,－,－,－,－,434,－,－,1
1電気による発熱体／13電気機器／冷暖房機／電線が短絡する,2,2,－,－,－,2,－,－,－,－,－,－,116,－,－,－
1電気による発熱体／13電気機器／冷暖房機／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,68,－,－,－
1電気による発熱体／13電気機器／冷暖房機／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,150,－,－,1
1電気による発熱体／13電気機器／冷暖房機／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／13電気機器／温風機,3,3,－,－,－,3,－,－,－,－,－,－,1212,－,－,－
1電気による発熱体／13電気機器／温風機／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,143,－,－,－
1電気による発熱体／13電気機器／温風機／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,529,－,－,－
1電気による発熱体／13電気機器／温風機／可燃物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,540,－,－,－
1電気による発熱体／13電気機器／空気清浄機,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／空気清浄機／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／洗濯業,5,5,1,－,1,3,－,－,－,－,－,125,18033,70,－,1
1電気による発熱体／13電気機器／洗濯業／電線が短絡する,1,1,－,－,1,－,－,－,－,－,－,20,1966,－,－,－
1電気による発熱体／13電気機器／洗濯業／漏洩放電する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／13電気機器／洗濯業／スパークによる引火,2,2,－,－,－,2,－,－,－,－,－,－,1094,－,－,1
1電気による発熱体／13電気機器／洗濯業／不明,1,1,1,－,－,－,－,－,－,－,－,105,14971,70,－,－
1電気による発熱体／13電気機器／冷蔵ショーケース,3,3,－,－,1,2,－,－,－,－,－,11,1902,－,－,－
1電気による発熱体／13電気機器／冷蔵ショーケース／電線が短絡する,3,3,－,－,1,2,－,－,－,－,－,11,1902,－,－,－
1電気による発熱体／13電気機器／冷凍ショーケース,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／冷凍ショーケース／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,－
1電気による発熱体／13電気機器／冷水機,1,1,－,1,－,－,－,－,－,－,－,47,29429,－,－,2
1電気による発熱体／13電気機器／冷水機／電線が短絡する,1,1,－,1,－,－,－,－,－,－,－,47,29429,－,－,2
1電気による発熱体／13電気機器／食器洗器,1,1,－,－,－,1,－,－,－,－,－,－,43,－,－,－
1電気による発熱体／13電気機器／食器洗器／不明,1,1,－,－,－,1,－,－,－,－,－,－,43,－,－,－
1電気による発熱体／13電気機器／充電式ライト,1,1,－,－,1,－,－,－,－,－,－,17,6000,－,－,－
1電気による発熱体／13電気機器／充電式ライト／絶縁劣下による発熱,1,1,－,－,1,－,－,－,－,－,－,17,6000,－,－,－
1電気による発熱体／13電気機器／電子レンジ,2,2,－,－,－,2,－,－,－,－,－,－,43,－,－,－
1電気による発熱体／13電気機器／電子レンジ／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,40,－,－,－
1電気による発熱体／13電気機器／電子レンジ／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
