消防署,出場・従事件数／計／出場,出場・従事件数／計／従事,出場・従事件数／火災／出場,出場・従事件数／火災／従事,出場・従事件数／交通／出場,出場・従事件数／交通／従事,出場・従事件数／水難／出場,出場・従事件数／水難／従事,出場・従事件数／機械／出場,出場・従事件数／機械／従事,出場・従事件数／建物工作物／出場,出場・従事件数／建物工作物／従事,出場・従事件数／崩かい／出場,出場・従事件数／崩かい／従事,出場・従事件数／堕落／出場,出場・従事件数／堕落／従事,出場・従事件数／ガス／出場,出場・従事件数／ガス／従事,出場・従事件数／電気／出場,出場・従事件数／電気／従事,出場・従事件数／山岳／出場,出場・従事件数／山岳／従事,出場・従事件数／その他／出場,出場・従事件数／その他／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,誘導人員,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行車,出場車両数／その他,従事台数,出場人員,従事人員
荏原,19,8,2,2,4,1,－,－,1,1,8,3,－,－,－,－,－,－,－,－,－,－,4,1,8,－,3,2,－,3,1,89,32,10,－,3,18,－,－,1,－,21,4,37,416,170
大森,92,64,3,3,53,43,－,－,5,1,18,10,－,－,2,2,1,－,－,－,－,－,10,5,106,3,18,71,12,2,14,277,49,36,45,4,92,－,－,－,－,50,1,164,1272,738
東調布,25,12,1,1,13,5,1,1,1,1,6,3,－,－,－,－,－,－,－,－,－,－,3,1,15,1,6,4,2,2,4,115,29,19,8,2,24,－,2,1,－,28,2,57,544,265
蒲田,76,50,3,3,49,33,2,1,4,1,14,9,－,－,－,－,1,－,－,－,－,－,3,3,74,5,14,44,7,4,6,275,87,35,16,7,72,1,2,－,－,50,5,147,1256,691
矢口,31,8,1,1,15,3,1,－,2,－,9,4,1,－,－,－,－,－,－,－,－,－,2,－,10,1,4,2,1,2,1,139,25,26,14,4,32,－,－,－,4,31,3,41,664,190
目黒,48,22,2,2,15,4,1,1,4,2,17,8,－,－,－,－,1,－,－,－,－,－,8,5,23,4,3,8,7,1,－,190,49,41,6,5,46,1,－,－,－,35,7,54,864,257
世田谷,99,57,5,5,45,27,－,－,8,5,18,10,1,－,3,2,1,1,－,－,－,－,18,7,77,5,14,42,10,6,1,399,114,69,15,8,103,2,－,－,－,70,18,204,1873,901
玉川,53,31,3,3,28,11,－,－,1,1,5,4,－,－,1,1,1,－,－,－,－,－,14,11,36,1,10,14,9,2,1,212,82,30,－,5,54,－,－,－,－,34,7,75,932,325
成城,63,33,3,3,33,19,1,－,－,－,15,6,1,－,2,2,3,1,－,－,－,－,5,2,48,3,14,28,2,1,7,264,97,39,1,7,68,－,－,－,－,45,7,127,1189,538
渋谷,147,85,2,2,96,57,－,－,9,1,22,12,－,－,5,4,1,－,－,－,－,－,12,9,109,9,13,80,6,1,－,495,138,74,12,12,154,－,－,－,－,80,25,230,2215,998
四谷,32,22,1,1,21,15,－,－,1,1,6,4,－,－,1,1,1,－,－,－,－,－,1,－,33,4,4,15,8,2,－,104,36,15,－,3,30,－,－,－,－,20,－,70,466,305
牛込,40,19,4,4,15,3,1,1,6,3,4,2,1,1,4,3,1,1,－,－,－,－,4,1,18,4,4,5,2,3,2,192,66,37,1,6,38,－,－,－,－,40,4,88,868,400
新宿,55,30,4,4,12,3,1,1,6,4,23,11,2,2,4,3,1,－,－,－,－,－,2,2,52,8,5,4,32,3,11,249,60,48,12,7,47,1,－,1,－,60,13,140,1240,704
中野,34,18,2,2,9,3,－,－,6,4,8,3,－,－,3,3,1,－,－,－,－,－,5,3,21,3,6,5,7,－,3,162,51,32,－,4,33,－,－,1,－,37,4,73,760,344
野方,28,13,2,2,7,2,2,1,4,3,12,5,－,－,－,－,－,－,－,－,－,－,1,－,15,1,4,2,7,1,2,127,40,21,4,3,26,－,－,－,－,29,4,56,572,260
杉並,100,55,5,5,60,28,－,－,3,1,19,12,－,－,1,－,1,1,－,－,－,－,11,8,61,5,11,36,5,4,1,347,117,61,3,9,91,2,－,－,－,58,6,167,1609,736
荻窪,51,21,－,－,26,9,1,1,－,－,15,9,－,－,1,－,1,－,－,－,－,－,7,2,24,4,8,7,4,1,－,193,38,42,12,－,48,－,－,－,－,－,53,61,850,274
小石川,51,37,1,1,27,23,2,2,3,1,11,7,1,－,3,3,－,－,－,－,－,－,3,－,46,6,5,28,4,3,－,170,58,22,3,4,46,1,－,－,2,30,4,110,752,483
本郷,15,7,1,1,2,－,－,－,6,4,4,1,－,－,2,1,－,－,－,－,－,－,－,－,10,1,－,1,8,－,－,74,21,15,6,5,12,－,－,－,－,15,－,19,364,102
豊島,62,34,2,2,34,17,1,1,5,4,10,5,－,－,2,2,1,－,－,－,－,－,7,3,50,2,8,27,12,1,1,235,71,42,1,7,65,－,1,－,－,44,4,113,1081,516
池袋,44,27,－,－,26,14,－,－,4,2,6,5,－,－,2,2,1,－,－,－,－,－,5,4,38,1,8,22,6,1,－,143,44,26,1,2,40,－,－,－,－,29,1,67,656,317
王子,30,16,2,2,7,1,2,2,4,1,7,6,－,－,1,1,1,－,－,－,－,－,6,3,18,1,3,5,4,5,－,138,32,19,13,3,32,－,1,－,－,31,7,67,635,328
赤羽,32,17,2,2,13,4,1,1,4,2,10,7,－,－,－,－,－,－,－,－,－,－,2,1,21,4,6,3,4,4,3,178,48,31,7,4,40,1,－,1,2,35,9,78,830,353
滝野川,19,14,3,3,3,2,1,1,－,－,7,4,2,1,1,1,1,1,－,－,－,－,1,1,16,2,6,3,4,1,－,121,43,15,3,10,20,1,－,－,－,21,8,68,545,302
板橋,53,31,1,1,27,17,－,－,4,－,12,8,1,－,3,2,1,－,－,－,－,－,4,3,37,3,9,16,4,5,－,188,41,41,12,5,52,－,－,－,－,35,2,84,867,411
志村,105,60,4,4,50,31,－,－,7,2,22,12,2,1,5,4,1,－,－,－,－,－,14,6,76,12,19,38,4,3,3,395,65,68,71,9,104,－,－,－,－,73,5,181,1864,836
練馬,34,13,－,－,15,2,1,1,3,3,9,4,－,－,3,1,1,－,－,－,－,－,2,2,13,2,4,4,2,1,－,135,16,34,12,2,35,－,1,－,－,34,1,38,651,188
光が丘,32,16,1,1,13,5,1,－,3,1,6,3,－,－,3,3,－,－,－,－,－,－,5,3,25,1,7,15,2,－,－,139,41,22,－,1,38,－,－,－,－,35,2,61,627,282
石神井,56,27,3,3,28,13,－,－,－,－,10,4,－,－,－,－,2,－,－,－,－,－,13,7,28,1,8,14,3,2,2,232,76,39,1,4,56,－,－,－,－,53,3,98,1090,451
上野,40,20,2,2,23,9,1,－,2,1,7,3,1,1,－,－,－,－,－,－,－,－,4,4,21,4,1,10,4,2,5,223,62,36,2,8,53,2,1,5,－,35,19,121,1037,548
浅草,15,10,－,－,3,－,1,1,5,5,4,3,－,－,－,－,－,－,－,－,－,－,2,1,19,－,1,2,16,－,－,56,15,12,－,－,10,1,－,－,3,15,－,31,290,157
日本堤,21,8,1,1,1,－,2,－,2,1,6,2,－,－,1,－,1,－,1,1,－,－,6,3,11,3,－,3,5,－,－,90,32,14,－,2,14,－,－,－,2,22,4,21,463,108
荒川,24,16,1,1,9,4,－,－,3,2,7,6,1,1,2,2,－,－,－,－,－,－,1,－,16,2,6,5,1,2,1,112,26,24,7,5,25,－,－,－,－,25,－,51,579,273
尾久,14,5,－,－,6,1,－,－,2,2,3,2,1,－,－,－,－,－,－,－,－,－,2,－,7,－,1,2,4,－,－,61,7,11,9,－,15,－,－,－,－,14,5,16,281,77
千住,25,15,1,1,11,5,3,2,2,－,4,3,－,－,2,2,1,1,－,－,－,－,1,1,16,3,4,3,1,5,－,122,26,19,10,4,27,1,2,－,7,25,1,66,578,325
足立,114,76,2,2,62,43,4,2,5,2,13,6,－,－,4,3,1,－,－,－,－,－,23,18,93,10,21,48,9,5,1,388,94,65,29,4,116,－,3,1,6,70,－,212,1846,1007
西新井,86,48,5,5,55,33,2,1,4,2,11,3,－,－,2,2,－,－,－,－,－,－,7,2,68,11,13,37,5,2,－,392,127,51,13,11,93,2,－,－,4,89,2,170,1770,884
本所,88,63,1,1,56,42,9,6,3,－,5,1,－,－,1,1,－,－,－,－,－,－,13,12,85,5,17,52,2,9,－,316,92,27,10,6,98,6,－,－,29,40,8,202,1388,853
向島,41,25,－,－,26,18,1,1,4,1,4,1,3,1,－,－,－,－,－,－,－,－,3,3,39,3,6,28,1,1,－,124,27,19,19,－,35,－,－,－,2,22,－,61,599,270
深川,123,83,1,1,84,59,4,－,7,3,12,10,1,1,4,3,3,1,1,1,－,－,6,4,124,9,28,79,2,6,－,399,86,16,44,55,125,－,－,1,3,69,－,214,1825,963
城東,112,74,3,3,70,53,1,－,11,5,13,6,－,－,3,1,－,－,－,－,－,－,11,6,121,2,17,80,21,1,10,379,94,51,41,20,107,－,－,－,－,45,21,192,1720,853
本田,126,97,1,1,86,72,3,2,4,2,18,13,1,－,－,－,－,－,－,－,－,－,13,7,132,8,31,83,9,1,2,374,89,59,41,2,131,－,－,－,－,50,2,241,1673,1040
金町,30,10,1,1,15,3,2,2,－,－,8,4,1,－,－,－,1,－,－,－,－,－,2,－,10,－,5,1,3,1,1,148,27,25,20,11,25,3,1,－,2,33,1,56,704,253
江戸川,202,140,1,1,142,110,7,5,9,4,21,10,1,－,1,1,1,－,－,－,－,－,19,9,210,17,30,134,17,12,－,705,162,82,63,45,239,3,－,1,11,90,9,382,3103,1619
小岩,49,27,2,2,21,10,4,3,7,4,6,3,－,－,5,3,－,－,－,－,－,－,4,2,37,7,8,15,5,2,1,201,63,30,2,4,53,－,3,－,4,39,3,99,912,446
受託地区,866,511,11,11,401,228,20,8,32,9,180,125,5,2,35,20,8,3,1,1,54,43,119,61,648,78,183,250,88,49,9,3680,1156,483,189,30,971,10,2,10,－,699,130,1826,16115,7891
立川,63,36,1,1,28,17,－,－,2,－,15,13,1,1,4,1,1,－,－,－,－,－,11,3,41,5,16,13,4,3,－,248,84,39,1,2,67,－,－,－,－,51,4,118,1127,494
国分寺,40,22,－,－,18,10,－,－,1,－,15,9,－,－,－,－,－,－,－,－,－,－,6,3,27,6,5,7,6,3,－,171,57,22,4,1,43,1,－,－,－,39,4,91,741,379
小平,29,12,1,1,14,4,1,－,－,－,5,4,1,－,2,1,－,－,－,－,－,－,5,2,11,3,2,3,3,－,2,142,58,22,－,1,25,1,－,－,－,30,5,48,626,212
武蔵野,30,15,－,－,8,2,－,－,5,2,11,8,－,－,1,1,2,1,－,－,－,－,3,1,15,2,5,3,4,1,－,112,20,21,9,2,33,－,－,－,－,26,1,45,502,212
保谷,32,13,2,2,12,5,－,－,2,－,7,4,－,－,2,1,－,－,－,－,－,－,7,1,18,4,6,1,3,4,－,190,65,23,2,5,44,1,－,－,－,33,17,93,848,422
三鷹,35,24,1,1,17,13,1,－,－,－,7,6,－,－,1,1,1,－,－,－,－,－,7,3,24,6,6,10,1,1,－,145,46,14,11,2,42,－,－,－,－,26,4,88,635,373
調布,54,29,1,1,33,19,1,－,2,－,12,6,－,－,1,1,－,－,－,－,－,－,4,2,40,4,6,25,4,1,4,212,59,27,26,2,61,1,－,－,－,34,2,87,933,368
府中,58,37,－,－,37,26,－,－,2,1,10,5,－,－,1,－,－,－,－,－,－,－,8,5,66,2,18,32,13,1,－,197,55,17,23,－,67,－,－,－,－,32,3,96,817,422
東村山,24,19,－,－,4,2,1,1,1,1,12,11,－,－,3,3,1,1,－,－,－,－,2,－,21,2,7,5,6,1,－,90,20,12,11,1,22,－,－,－,－,24,－,59,422,273
狛江,11,6,－,－,2,－,－,－,1,1,6,3,－,－,1,1,－,－,－,－,－,－,1,1,6,－,2,3,1,－,－,40,14,5,－,1,9,－,－,－,－,11,－,17,186,81
北多摩西部,30,20,1,1,14,9,1,－,1,－,6,5,－,－,1,1,－,－,－,－,－,－,6,4,22,4,5,6,3,4,－,146,36,20,19,2,35,－,－,－,－,32,2,87,675,384
清瀬,16,10,2,2,4,2,－,－,－,－,6,4,1,1,－,－,－,－,－,－,－,－,3,1,10,－,－,2,3,5,－,85,37,8,－,2,15,－,－,－,－,16,7,33,361,150
八王子,155,94,－,－,86,51,2,－,4,1,11,7,1,－,8,5,－,－,1,1,22,17,20,12,143,10,40,83,5,5,－,583,192,88,28,2,174,1,－,－,－,93,5,296,2500,1206
日野,35,26,－,－,20,17,－,－,2,－,7,6,－,－,2,－,－,－,－,－,－,－,4,3,33,3,10,16,2,2,－,114,34,14,13,1,31,－,－,－,－,21,－,69,561,333
町田,82,52,－,－,35,18,1,1,4,2,30,24,1,－,2,1,1,1,－,－,－,－,8,5,73,11,19,19,23,1,－,334,104,55,11,－,88,－,－,－,－,74,2,185,1456,796
青梅,36,16,－,－,11,4,5,3,3,－,3,2,－,－,2,－,2,－,－,－,2,2,8,5,16,2,4,4,－,6,－,165,46,27,11,1,36,1,－,2,－,34,7,69,770,322
福生,35,13,－,－,24,9,2,1,1,－,4,1,－,－,－,－,－,－,－,－,－,－,4,2,14,4,4,3,1,2,－,165,52,27,7,－,40,1,－,－,－,35,3,50,731,238
秋川,34,20,－,－,16,10,3,1,1,1,2,1,－,－,1,1,－,－,－,－,8,5,3,1,21,4,7,4,1,5,－,180,72,19,1,－,38,1,－,4,－,35,10,102,799,445
奥多摩,37,28,－,－,9,4,1,1,－,－,－,－,－,－,2,2,－,－,－,－,22,19,3,2,30,3,15,8,－,4,－,211,53,9,－,－,67,2,2,4,－,20,54,119,780,461
多摩,30,19,2,2,9,6,1,－,－,－,11,6,－,－,1,－,－,－,－,－,－,－,6,5,17,3,6,3,5,－,3,150,52,14,12,5,34,－,－,－,－,33,－,74,645,320
