消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),危険物製造所等／製造所,危険物製造所等／貯蔵所,危険物製造所等／取扱所
志村,924,－,－,－,8,－,37,97,15,－,45,22,25,－,－,－,－,－,－,－,－,－,－,－,－,322,－,－,－,31,160,162
練馬,485,－,11,－,－,－,12,198,3,－,9,18,5,－,－,－,－,－,－,－,－,－,－,－,－,162,－,－,－,－,2,65
光が丘,81,－,－,－,－,－,11,6,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,29,－,－,－,－,1,30
石神井,618,－,－,－,－,－,1,190,7,－,30,27,43,－,－,1,－,－,－,－,－,－,－,－,－,239,－,－,－,－,10,70
上野,494,10,4,1,4,－,8,124,132,－,8,5,3,－,－,2,－,－,－,－,－,－,－,－,－,183,－,－,－,－,3,7
浅草,231,－,－,1,－,2,4,73,26,－,3,2,－,－,－,1,－,－,－,－,－,－,－,－,－,109,－,－,－,－,－,10
日本堤,648,31,4,－,2,－,32,1,185,－,12,1,1,－,－,207,－,－,－,－,－,－,－,－,－,119,－,4,－,－,5,44
荒川,477,－,－,－,－,5,20,78,39,－,23,10,11,－,－,－,－,－,－,－,－,－,－,－,－,245,－,－,－,1,32,13
尾久,249,－,－,－,2,2,7,52,1,－,15,12,5,－,－,－,－,－,－,－,－,－,－,－,－,69,－,－,－,4,42,38
千住,326,－,8,－,－,－,4,48,8,－,17,1,－,－,－,－,－,－,－,－,－,－,－,－,－,49,－,－,－,7,165,19
足立,882,－,3,－,7,－,72,280,50,－,49,48,35,－,－,9,－,－,－,－,－,－,－,－,－,263,－,－,－,4,42,20
西新井,468,－,－,－,10,－,15,62,26,－,49,12,10,－,－,1,－,－,－,－,－,－,－,－,－,104,－,－,－,11,52,116
本所,387,78,1,3,4,15,9,39,65,－,2,2,4,－,－,－,－,－,－,－,－,－,－,－,－,130,－,－,－,－,9,26
向島,271,－,－,－,4,－,13,32,－,－,17,13,15,－,－,－,－,－,－,－,－,－,－,－,－,109,－,－,－,5,47,16
深川,497,5,3,－,3,1,6,76,37,－,12,9,7,－,－,－,－,－,－,－,－,－,－,－,－,199,－,－,－,－,100,39
城東,672,－,－,－,1,8,23,167,30,－,7,5,10,－,－,－,－,－,－,－,－,－,－,－,－,244,－,－,－,1,96,80
本田,569,－,－,－,1,4,17,85,25,－,15,23,3,－,－,5,－,－,－,－,－,－,－,－,－,96,－,－,－,13,148,134
金町,525,1,－,－,8,6,20,62,7,－,31,25,17,－,－,3,－,－,－,－,－,－,－,－,－,179,－,－,－,3,83,80
江戸川,673,20,5,－,2,2,2,138,34,－,29,4,8,－,－,－,－,－,－,－,－,－,－,－,－,169,－,－,－,21,120,119
小岩,359,1,－,－,1,－,12,116,17,－,8,7,5,－,－,2,－,－,－,－,－,－,－,－,－,183,－,－,－,－,－,7
受託地区,6412,56,69,3,44,14,215,1755,325,－,306,318,145,－,－,6,－,－,－,－,－,－,－,－,－,1827,－,2,－,22,569,736
立川,468,12,4,2,3,－,13,130,47,－,－,2,2,－,－,－,－,－,－,－,－,－,－,－,－,165,－,－,－,1,27,60
国分寺,290,－,3,－,1,－,2,74,10,－,5,4,2,－,－,－,－,－,－,－,－,－,－,－,－,153,－,－,－,－,10,26
小平,208,－,－,－,－,－,5,123,4,－,10,11,12,－,－,－,－,－,－,－,－,－,－,－,－,10,－,－,－,1,12,20
武蔵野,338,2,9,－,3,－,6,53,12,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,199,－,2,－,－,11,40
保谷,186,2,1,－,1,－,13,46,－,－,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－,71,－,－,－,－,1,48
三鷹,369,－,8,－,－,－,6,116,13,－,14,10,21,－,－,－,－,－,－,－,－,－,－,－,－,146,－,－,－,－,4,31
調布,381,13,17,－,1,－,7,62,20,－,27,5,12,－,－,－,－,－,－,－,－,－,－,－,－,184,－,－,－,1,24,8
府中,263,21,3,－,－,－,8,60,11,－,1,8,19,－,－,3,－,－,－,－,－,－,－,－,－,76,－,－,－,－,22,31
日野,383,－,3,－,－,－,9,45,2,－,1,20,10,－,－,－,－,－,－,－,－,－,－,－,－,52,－,－,－,5,148,88
町田,334,1,－,－,5,1,28,82,26,－,50,13,－,－,－,－,－,－,－,－,－,－,－,－,－,114,－,－,－,－,－,14
八王子,1148,1,1,1,12,3,59,409,41,－,34,29,14,－,－,－,－,－,－,－,－,－,－,－,－,292,－,－,－,3,129,120
青海,353,2,3,－,6,7,16,122,54,－,35,37,3,－,－,－,－,－,－,－,－,－,－,－,－,32,－,－,－,1,9,26
東村山,303,－,2,－,6,－,8,109,3,－,27,50,15,－,－,－,－,－,－,－,－,－,－,－,－,52,－,－,－,2,27,2
福生,554,－,9,－,4,3,14,138,29,－,23,18,8,－,－,3,－,－,－,－,－,－,－,－,－,106,－,－,－,6,86,107
狛江,78,－,－,－,－,－,6,23,－,－,4,6,5,－,－,－,－,－,－,－,－,－,－,－,－,31,－,－,－,－,3,－
北多摩西部,253,－,3,－,－,－,3,66,11,－,12,36,5,－,－,－,－,－,－,－,－,－,－,－,－,19,－,－,－,1,37,60
清瀬,214,－,－,－,2,－,1,37,－,－,52,36,16,－,－,－,－,－,－,－,－,－,－,－,－,40,－,－,－,－,8,22
秋川,100,－,3,－,－,－,2,25,20,－,7,29,1,－,－,－,－,－,－,－,－,－,－,－,－,6,－,－,－,1,5,1
奥多摩,35,－,－,－,－,－,5,－,18,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,5,－,－,－,－,1,5
多摩,154,2,－,－,－,－,4,35,4,－,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－,74,－,－,－,－,5,27
