消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,焼損床面積(m2),林野焼損面積(a)
三鷹,72,54,3,2,2,47,6,－,－,－,12,42,3,2,37,114,64,3,4,2,55,296,－
調布,97,59,3,6,4,46,13,－,－,－,25,102,20,8,74,210,78,3,6,5,64,1023,－
府中,101,57,6,－,6,45,6,－,－,－,38,65,11,2,52,188,75,9,2,6,58,847,－
東村山,60,28,5,－,－,23,2,－,－,－,30,24,5,－,19,72,32,5,－,－,27,301,－
狛江,33,13,1,2,1,9,7,－,－,－,13,17,－,3,14,40,18,1,2,1,14,337,－
北多摩西部,104,53,7,9,6,31,12,－,－,3,36,57,7,9,41,208,70,7,9,6,48,1616,39
清瀬,24,15,1,1,1,12,－,－,－,－,9,12,1,1,10,36,17,1,1,1,14,183,－
八王子,286,133,19,9,9,96,29,－,－,9,115,146,14,14,118,429,182,33,10,12,127,4464,209
日野,91,45,4,5,3,33,8,－,－,－,38,45,4,8,33,147,60,6,5,3,46,550,－
町田,145,74,5,5,5,59,14,－,－,1,56,63,9,3,51,181,85,5,5,5,70,547,30
青梅,56,30,3,4,－,23,5,－,－,3,18,26,2,3,21,97,45,4,4,1,36,691,16
福生,83,42,7,2,6,27,10,－,－,2,29,35,6,2,27,115,51,9,2,6,34,909,4
秋川,45,25,9,2,1,13,2,－,－,2,16,20,6,2,12,79,33,12,2,1,18,1115,7
奥多摩,2,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,3
多摩,86,33,2,－,3,28,9,－,－,－,44,17,2,2,13,49,33,2,－,3,28,259,－
