業態,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
卸売・小売業・飲食店／各種商品小売業,38,32,－,1,－,31,－,－,－,－,6,40,37118,159,－,2
卸売・小売業・飲食店／織物・衣服・身の回り品小売業,16,14,2,1,1,10,－,－,－,－,2,787,230743,650,－,7
卸売・小売業・飲食店／飲食料品小売業,100,60,5,8,3,44,4,－,－,－,36,1898,299435,2457,－,25
卸売・小売業・飲食店／自動車・自転車小売業,26,13,3,－,2,8,6,－,－,－,7,346,83892,2863,－,7
卸売・小売業・飲食店／家具・建具・じゅう器小売業,17,10,1,－,－,9,3,－,－,－,4,167,36192,1460,－,6
卸売・小売業・飲食店／その他の小売業,55,35,4,3,4,24,4,－,－,－,16,838,197229,2516,3,12
卸売・小売業・飲食店／一般食堂,167,147,2,4,9,132,3,－,－,－,17,561,263984,2619,－,22
卸売・小売業・飲食店／その他の飲食店,132,120,2,10,11,97,2,－,－,－,10,815,208186,1174,1,36
金融・保険業,7,4,－,－,－,4,－,－,－,－,3,1,426,87,－,1
金融・保険業／銀行・信託業,2,1,－,－,－,1,－,－,－,－,1,1,68,5,－,1
金融・保険業／中小企業・庶民・住宅等金融業,3,1,－,－,－,1,－,－,－,－,2,－,20,82,－,－
金融・保険業／証券業・商品取引業,2,2,－,－,－,2,－,－,－,－,－,－,338,－,－,－
不動産業,62,40,－,1,3,36,3,－,－,－,19,335,26719,1462,－,5
不動産業／不動産取引業,15,10,－,－,2,8,2,－,－,－,3,45,2903,1422,－,1
不動産業／不動産賃貸・管理業,47,30,－,1,1,28,1,－,－,－,16,290,23816,40,－,4
サービス業,436,280,16,6,12,246,48,－,－,2,106,4105,1040549,17849,3,57
サービス業／物品賃貸業,19,9,1,1,－,7,7,－,－,－,3,255,60971,3116,－,1
サービス業／旅館，その他の宿泊所,17,14,－,－,－,14,－,－,－,－,3,－,742,52,－,1
サービス業／洗濯・理容・浴場,49,42,1,1,1,39,1,－,－,－,6,120,64446,204,－,5
サービス業／その他の個人サービス業,11,8,1,－,1,6,1,－,－,－,2,545,79040,2103,－,1
サービス業／映画業,6,6,－,1,1,4,－,－,－,－,－,730,128771,1014,1,26
サービス業／娯楽業(映画業を除く),74,33,1,1,1,30,3,－,－,1,37,291,40472,316,1,1
サービス業／放送業,1,1,－,－,－,1,－,－,－,－,－,－,40,－,－,－
サービス業／駐車場業,19,11,－,1,1,9,－,－,－,－,8,55,4136,163,－,－
サービス業／自動車整備業,21,16,2,1,－,13,3,－,－,－,2,187,53028,3813,－,5
サービス業／その他の修理業,3,3,1,－,－,2,－,－,－,－,－,170,26332,10,－,1
サービス業／協同組合,5,4,－,－,－,4,－,－,－,－,1,－,619,－,－,－
サービス業／情報サービス・調査・広告業,8,8,－,－,－,8,－,－,－,－,－,－,11439,－,－,1
サービス業／その他の事業サービス業,7,3,－,－,1,2,4,－,－,－,－,10,2236,2936,－,－
サービス業／専門サービス業,11,10,－,－,－,10,1,－,－,－,－,－,1341,140,－,3
サービス業／医療業,33,27,1,－,1,25,－,－,－,－,6,208,28543,411,1,5
サービス業／廃棄物処理業,43,13,2,－,1,10,26,－,－,－,4,34,6316,2845,－,2
サービス業／宗教,24,15,3,－,1,11,1,－,－,－,8,1005,426560,256,－,－
サービス業／教育,63,44,1,－,3,40,－,－,－,1,18,300,95644,308,－,4
サービス業／社会保険・社会福祉,14,8,－,－,－,8,－,－,－,－,6,－,1725,6,－,1
サービス業／学術研究機関,2,1,－,－,－,1,－,－,－,－,1,－,176,－,－,－
サービス業／政治・経済・文化団体,2,1,1,－,－,－,1,－,－,－,－,70,5295,150,－,－
サービス業／その他のサービス業,4,3,1,－,－,2,－,－,－,－,1,125,2677,6,－,－
公務,95,11,－,－,－,11,8,－,－,－,76,3,380,1271,－,3
公務／国家公務,29,1,－,－,－,1,2,－,－,－,26,－,3,915,－,1
公務／地方公務,66,10,－,－,－,10,6,－,－,－,50,3,377,356,－,2
分類不能,6,4,1,－,－,3,1,－,－,－,1,113,4507,2308,－,1
分類不能／分類不能の産業,6,4,1,－,－,3,1,－,－,－,1,113,4507,2308,－,1
業態分類が適用されないもの,4523,2649,213,177,186,2073,498,－,－,20,1356,37024,7077184,191319,104,740
