消防署,計,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／製造,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／販売,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／貯蔵・消費,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／製造,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／販売,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／貯蔵・消費,圧縮ガス・液化ガス／法第9条の2／混在／製造,圧縮ガス・液化ガス／法第9条の2／混在／販売,圧縮ガス・液化ガス／法第9条の2／混在／貯蔵・消費,圧縮ガス・液化ガス／条例第59条／高圧ガス／製造,圧縮ガス・液化ガス／条例第59条／高圧ガス／販売(貯蔵・取扱い),圧縮ガス・液化ガス／条例第59条／高圧ガス／冷凍設備,圧縮ガス・液化ガス／条例第59条／高圧ガス／貯蔵・消費,圧縮ガス・液化ガス／条例第59条／高圧ガス以外,毒・劇物／法第9条の2／毒物のみ,毒・劇物／法第9条の2／劇物のみ,毒・劇物／法第9条の2／混在,毒・劇物／条例第59条／毒物のみ,毒・劇物／条例第59条／劇物のみ,毒・劇物／条例第59条／混在,核燃料物質,放射性同位元素,火薬類,法定伝染病病原体
大森,132,－,－,－,－,－,30,－,－,3,－,18,7,－,－,23,5,4,6,1,23,－,12,－,－
東調布,47,－,－,－,－,12,10,－,－,－,－,－,－,－,－,8,3,－,2,6,－,－,6,－,－
蒲田,196,－,－,8,－,6,56,－,－,2,－,－,3,69,－,10,4,－,－,20,－,2,14,2,－
矢口,40,－,－,3,－,3,3,－,2,－,－,2,－,4,－,9,3,－,－,7,－,－,4,－,－
目黒,111,－,1,－,－,1,8,－,－,－,－,－,11,4,－,22,－,－,－,14,－,6,44,－,－
世田谷,173,－,1,10,－,20,29,－,－,－,－,－,3,58,－,5,3,1,－,12,－,－,24,7,－
玉川,80,－,－,1,－,12,29,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,36,－,－
成城,97,－,1,－,－,8,71,－,－,－,－,3,－,－,－,－,－,－,－,4,－,1,9,－,－
渋谷,73,－,－,1,－,6,10,－,1,－,1,1,－,4,－,2,－,－,－,1,－,1,40,5,－
四谷,34,－,－,－,－,－,4,－,－,－,－,－,3,6,－,－,－,－,－,－,－,－,16,5,－
牛込,31,－,－,－,－,2,4,－,－,－,－,－,1,4,－,－,－,－,－,－,－,－,17,2,1
新宿,89,－,－,－,－,4,2,－,－,－,－,2,7,4,－,－,2,－,2,－,－,－,65,1,－
中野,35,－,－,2,－,6,4,－,－,－,－,－,1,9,－,2,2,－,－,－,－,－,7,2,－
野方,24,－,－,3,－,－,14,－,－,－,－,－,－,1,－,2,－,－,－,1,－,－,3,－,－
杉並,57,－,1,－,－,8,23,－,1,－,－,－,2,2,－,2,2,1,－,4,－,－,9,2,－
荻窪,52,－,－,4,1,13,27,－,－,－,－,－,2,2,－,－,－,－,－,1,－,－,－,2,－
小石川,34,－,1,－,－,2,2,－,－,－,－,4,5,1,－,－,－,－,－,2,－,－,17,－,－
本郷,139,－,－,－,－,1,1,－,－,－,－,－,26,6,－,1,－,－,－,2,－,3,99,－,－
豊島,28,－,－,－,2,4,3,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,14,1,－
池袋,18,－,－,－,－,3,－,－,－,－,－,－,2,－,－,2,－,2,－,4,－,－,4,1,－
王子,78,－,－,3,－,2,4,－,1,－,－,4,9,3,－,1,2,－,－,35,1,－,13,－,－
赤羽,238,－,－,－,－,4,26,－,2,46,－,1,2,2,－,7,17,22,－,58,47,－,4,－,－
滝野川,21,－,1,－,－,3,3,－,－,－,－,－,6,－,－,－,1,－,－,2,－,－,1,4,－
板橋,94,－,－,1,－,26,34,－,－,－,－,－,12,－,－,1,1,1,－,－,－,－,16,2,－
志村,403,－,－,1,－,7,157,－,6,－,－,－,10,2,－,19,27,5,2,146,－,－,21,－,－
練馬,273,－,－,10,5,51,110,－,－,－,－,－,78,－,－,2,1,－,－,4,3,－,3,6,－
光が丘,125,－,－,3,1,8,40,－,－,－,－,－,62,－,－,2,2,－,－,1,－,－,1,5,－
石神井,110,－,－,2,－,28,79,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－
上野,26,－,－,－,－,－,－,－,－,－,－,－,5,2,－,6,－,1,－,6,－,－,6,－,－
浅草,17,－,－,－,－,－,－,－,－,－,－,－,－,4,－,10,－,－,－,－,－,－,2,1,－
日本堤,12,－,－,1,－,1,6,－,－,2,－,1,－,－,－,－,1,－,－,－,－,－,－,－,－
荒川,52,－,－,1,－,5,4,－,2,－,－,1,－,5,－,14,8,－,1,10,－,－,－,1,－
尾久,63,－,1,1,－,15,4,－,－,－,－,1,－,5,－,21,－,－,－,12,－,－,3,－,－
千住,119,－,－,7,－,10,24,－,－,－,－,2,10,17,－,－,－,18,－,26,－,－,5,－,－
足立,307,－,2,2,9,49,179,－,2,－,－,1,11,1,－,11,9,－,－,26,－,－,3,2,－
西新井,280,－,－,－,1,37,193,－,－,－,－,－,14,－,－,17,2,－,－,14,－,－,2,－,－
本所,87,－,－,8,－,3,8,－,2,－,－,1,1,15,－,6,10,1,1,23,1,－,6,1,－
向島,126,－,3,6,－,22,18,－,－,－,－,2,3,8,－,16,10,3,－,33,－,－,2,－,－
深川,120,－,－,5,1,9,50,－,－,2,2,1,2,6,1,3,10,1,－,16,－,－,11,－,－
城東,176,1,1,18,－,11,22,－,6,2,－,14,－,51,－,1,3,5,－,29,2,－,9,1,－
本田,341,－,－,7,－,59,150,－,3,1,－,2,2,16,－,48,2,13,－,35,－,－,2,1,－
金町,244,－,－,2,－,25,91,－,－,1,－,－,－,1,－,6,39,－,－,64,－,－,15,－,－
江戸川,287,－,1,15,－,15,114,－,1,－,－,2,－,11,－,16,12,2,－,91,－,－,7,－,－
小岩,157,－,－,11,－,42,86,－,－,－,3,－,－,－,－,－,4,－,－,5,－,－,5,1,－
受託地区,4609,－,1,27,21,429,3288,4,13,73,3,24,43,179,4,50,42,29,4,86,14,1,136,132,6
立川,512,－,1,9,－,63,367,－,1,－,－,3,1,4,－,4,5,7,－,10,－,－,29,6,2
国分寺,124,－,－,1,－,9,85,－,1,－,－,4,6,1,－,3,－,－,－,3,－,－,9,2,－
小平,254,－,－,3,－,9,216,－,－,－,－,－,－,－,－,－,－,5,－,1,12,－,8,－,－
武蔵野,55,－,－,1,－,－,33,－,－,－,－,－,1,8,－,5,－,－,－,－,－,1,6,－,－
保谷,85,－,－,－,－,23,27,－,－,－,1,－,2,3,－,4,4,8,1,6,－,－,6,－,－
三鷹,131,－,－,1,2,18,78,－,－,－,－,－,1,1,－,11,3,－,－,7,－,－,7,1,1
調布,177,－,－,2,－,9,133,－,－,－,－,－,12,12,－,2,－,－,－,4,－,－,1,2,－
府中,374,－,－,2,7,33,257,－,－,－,－,4,9,25,－,3,7,2,－,7,－,－,14,3,1
日野,303,－,－,－,－,43,213,－,－,－,－,－,3,12,－,2,5,2,－,15,－,－,7,1,－
町田,393,－,－,－,6,27,329,4,－,4,－,－,－,2,－,1,1,－,1,4,－,－,14,－,－
八王子,491,－,－,5,－,24,326,－,－,－,－,3,2,76,4,7,5,3,2,3,2,－,10,19,－
青梅,361,－,－,－,2,50,285,－,－,－,－,－,－,－,－,2,－,2,－,1,－,－,5,14,－
東村山,190,－,－,－,－,26,126,－,－,－,－,－,1,8,－,1,5,－,－,14,－,－,9,－,－
福生,319,－,－,1,4,24,196,－,10,60,2,－,3,10,－,2,2,－,－,2,－,－,2,1,－
狛江,35,－,－,－,－,5,20,－,－,－,－,－,－,1,－,1,1,－,－,2,－,－,5,－,－
北多摩西部,216,－,－,－,－,11,178,－,－,9,－,3,1,7,－,2,3,－,－,－,－,－,1,－,1
清瀬,115,－,－,－,－,9,87,－,1,－,－,7,1,－,－,－,－,－,－,6,－,－,3,－,1
秋川,207,－,－,－,－,30,101,－,－,－,－,－,－,6,－,－,－,－,－,－,－,－,－,70,－
奥多摩,58,－,－,2,－,10,31,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,13,－
多摩,209,－,－,－,－,6,200,－,－,－,－,－,－,1,－,－,1,－,－,1,－,－,－,－,－
