消防署,出場件数／計,出場件数／危険排除／小計,出場件数／危険排除／電気,出場件数／危険排除／ガス,出場件数／危険排除／危険物,出場件数／危険排除／毒物劇物,出場件数／危険排除／ＲＩ,出場件数／危険排除／火気取扱,出場件数／応急措置／小計,出場件数／応急措置／洗浄,出場件数／応急措置／救援,出場件数／応急措置／排水,出場件数／応急措置／照明,出場件数／応急措置／除去,出場件数／警戒,出場件数／その他,出場車両／計,出場車両／ポンプ車,出場車両／化学車,出場車両／救助車,出場車両／はしご車,出場車両／空中作業車,出場車両／救急車,出場車両／救援車,出場車両／照明車,出場車両／消防艇,出場車両／ヘリコプター,出場車両／救助先行車,出場車両／広報車,出場車両／その他,出場人員／計,出場人員／従事／当番,出場人員／従事／非番,出場人員／不従事／当番,出場人員／不従事／非番
八王子,112,86,2,16,49,－,－,19,1,－,－,－,－,1,－,25,176,114,19,3,1,－,3,－,－,－,－,36,－,－,817,418,－,399,－
青梅,15,11,－,－,7,－,－,4,－,－,－,－,－,－,－,4,29,6,9,－,－,－,1,－,－,－,－,13,－,－,152,117,－,35,－
東村山,23,17,－,6,8,－,－,3,－,－,－,－,－,－,－,6,41,22,6,－,－,－,－,－,－,－,－,13,－,－,203,147,－,56,－
福生,47,37,－,9,21,－,－,7,－,－,－,－,－,－,1,9,122,56,11,－,1,－,5,－,－,－,－,46,3,－,607,301,－,306,－
狛江,11,9,－,3,4,－,－,2,－,－,－,－,－,－,－,2,32,20,－,－,1,－,1,－,－,－,－,10,－,－,152,66,－,86,－
北多摩西部,35,28,2,－,15,－,－,11,－,－,－,－,－,－,－,7,65,12,25,－,－,－,1,－,－,－,－,24,1,2,322,210,－,112,－
清瀬,14,12,－,2,6,－,－,4,－,－,－,－,－,－,－,2,33,18,－,－,－,－,1,－,－,－,－,14,－,－,142,86,－,56,－
秋川,24,20,－,5,5,－,－,10,－,－,－,－,－,－,－,4,54,30,－,－,－,－,3,－,－,－,－,21,－,－,260,181,－,79,－
奥多摩,3,3,－,－,3,－,－,－,－,－,－,－,－,－,－,－,5,3,－,－,－,－,－,－,－,－,－,2,－,－,19,19,－,－,－
多摩,37,33,－,4,21,－,－,8,－,－,－,－,－,－,－,4,81,14,27,－,－,－,3,－,－,－,－,37,－,－,414,259,－,155,－
