消防署,計,火遊び／禁止,火遊び／制限,火遊び／消火準備,喫煙／禁止,喫煙／制限,喫煙／消火準備,たき火／禁止,たき火／制限,たき火／消火準備,溶接／禁止,溶接／制限,溶接／消火準備,その他これらに類する行為／禁止,その他これらに類する行為／制限,その他これらに類する行為／消火準備,残火・取灰又は火粉の始末,危険物等の除去処理,放置物件等の整理除去
本郷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
池袋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
滝野川,9,1,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,6,－
板橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
志村,12,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,2,2,5
練馬,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,2,1,5
光が丘,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石神井,14,－,－,－,－,－,－,1,2,2,－,－,－,－,－,－,3,2,4
上野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
浅草,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本堤,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荒川,3,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,1,1
尾久,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
千住,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
足立,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
西新井,9,－,－,－,1,－,－,－,－,1,－,－,－,－,－,－,－,3,4
本所,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
向島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
深川,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－
城東,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－
本田,11,－,－,－,－,－,－,1,－,1,－,1,－,－,－,－,－,3,5
金町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
江戸川,19,－,－,－,－,－,－,－,5,3,－,3,2,－,－,－,2,2,2
小岩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
受託地区,63,1,15,11,－,－,－,6,6,7,－,－,－,－,1,－,9,2,5
立川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国分寺,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小平,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
武蔵野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
保谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
三鷹,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
調布,3,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－
府中,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
町田,14,－,－,－,－,－,－,2,2,5,－,－,－,－,－,－,4,1,－
八王子,31,1,15,11,－,－,－,－,－,－,－,－,－,－,－,－,3,－,1
青梅,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
東村山,7,－,－,－,－,－,－,－,1,1,－,－,－,－,1,－,1,1,2
福生,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
狛江,2,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－
北多摩西部,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
清瀬,6,－,－,－,－,－,－,2,－,1,－,－,－,－,－,－,1,－,2
秋川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
奥多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
