消防署,出場件数／計,出場件数／危険排除／小計,出場件数／危険排除／電気,出場件数／危険排除／ガス,出場件数／危険排除／危険物,出場件数／危険排除／毒物劇物,出場件数／危険排除／ＲＩ,出場件数／危険排除／火気取扱,出場件数／応急措置／小計,出場件数／応急措置／洗浄,出場件数／応急措置／救援,出場件数／応急措置／排水,出場件数／応急措置／照明,出場件数／応急措置／除去,出場件数／警戒,出場件数／その他,出場車両／計,出場車両／ポンプ車,出場車両／化学車,出場車両／救助車,出場車両／はしご車,出場車両／空中作業車,出場車両／救急車,出場車両／救援車,出場車両／照明車,出場車両／消防艇,出場車両／ヘリコプター,出場車両／救助先行車,出場車両／広報車,出場車両／その他,出場人員／計,出場人員／従事／当番,出場人員／従事／非番,出場人員／不従事／当番,出場人員／不従事／非番
赤坂,23,16,－,7,9,－,－,－,3,－,－,1,－,2,－,4,48,23,－,－,1,－,1,－,－,－,－,22,1,－,251,116,－,135,－
高輪,22,15,－,2,9,－,－,4,－,－,－,－,－,－,－,7,45,18,5,－,－,－,2,－,－,－,－,20,－,－,253,102,－,151,－
品川,40,33,－,8,22,－,－,3,2,－,－,－,－,2,－,5,91,32,10,6,2,－,2,－,－,－,－,39,－,－,489,339,－,150,－
大井,18,15,－,5,7,－,－,3,－,－,－,－,－,－,－,3,46,12,10,1,1,－,4,－,－,－,－,18,－,－,228,137,－,91,－
荏原,29,16,1,4,9,－,－,2,－,－,－,－,－,－,－,13,60,30,－,1,－,－,1,－,－,－,－,28,－,－,317,147,－,170,－
大森,45,33,2,9,17,－,－,5,5,－,－,1,－,4,1,6,117,47,15,2,4,2,3,－,－,－,－,44,－,－,587,417,－,170,－
東調布,38,24,－,6,15,－,－,3,1,－,－,－,－,1,－,13,89,39,11,－,1,－,3,－,－,－,－,33,2,－,438,226,－,212,－
蒲田,52,35,1,6,23,－,－,5,3,－,－,－,－,3,9,5,119,65,9,2,－,1,1,－,－,－,－,41,－,－,607,322,－,285,－
矢口,30,24,2,9,11,－,－,2,－,－,－,－,－,－,－,6,62,25,6,－,1,－,－,－,－,－,－,30,－,－,335,142,－,193,－
目黒,57,49,6,15,22,－,－,6,2,－,－,－,－,2,－,6,105,58,9,4,2,－,4,－,－,－,－,28,－,－,512,169,－,343,－
世田谷,70,55,－,18,31,－,－,6,－,－,－,－,－,－,2,13,137,69,7,1,－,－,9,－,－,－,－,51,－,－,701,375,－,326,－
玉川,48,32,－,10,20,－,－,2,－,－,－,－,－,－,－,16,102,50,3,1,－,－,4,－,－,－,－,43,－,1,520,263,－,257,－
成城,41,38,2,19,12,－,－,5,－,－,－,－,－,－,－,3,88,48,－,2,1,1,4,－,－,－,－,32,－,－,452,244,－,208,－
渋谷,96,72,2,15,53,－,－,2,5,－,－,－,－,5,－,19,200,100,－,2,4,－,5,1,－,－,－,87,1,－,1112,693,－,419,－
四谷,25,20,1,7,10,－,－,2,－,－,－,－,－,－,－,5,53,26,－,－,2,－,－,－,－,－,－,25,－,－,274,164,－,110,－
牛込,28,26,－,9,13,－,－,4,－,－,－,－,－,－,－,2,53,27,－,2,－,－,2,－,－,－,－,22,－,－,268,123,－,145,－
新宿,55,45,4,15,23,1,－,2,1,－,－,－,－,1,－,9,133,56,6,3,4,－,9,－,－,－,－,52,1,2,741,406,－,335,－
中野,32,25,1,5,13,－,－,6,－,－,－,－,－,－,－,7,65,27,4,－,－,－,3,－,－,－,－,31,－,－,335,110,－,225,－
野方,40,38,－,20,15,－,－,3,－,－,－,－,－,－,－,2,85,33,8,1,－,－,1,－,－,－,－,41,1,－,458,195,－,263,－
杉並,74,54,1,7,37,－,－,9,1,－,－,－,－,1,2,17,134,83,1,2,1,－,8,－,－,－,－,39,－,－,649,379,－,270,－
荻窪,55,49,1,10,26,－,－,12,－,－,－,－,－,－,－,6,117,42,23,1,1,－,4,－,－,－,－,－,1,45,590,331,－,259,－
小石川,23,15,－,5,7,－,－,3,－,－,－,－,－,－,－,8,49,24,－,1,1,－,1,－,－,－,－,22,－,－,263,99,－,164,－
本郷,26,19,1,6,11,－,－,1,3,－,－,－,－,3,－,4,52,15,9,－,1,－,1,1,－,－,－,25,－,－,276,180,－,96,－
豊島,41,36,1,13,16,2,－,4,5,－,1,2,－,2,－,－,96,44,3,－,1,－,6,1,－,－,－,37,4,－,482,256,－,226,－
池袋,39,30,－,7,21,－,－,2,1,－,－,1,－,－,－,8,76,39,－,－,－,－,1,－,－,－,－,36,－,－,408,225,－,183,－
王子,28,22,－,6,9,－,－,7,1,－,－,－,－,1,－,5,63,18,15,－,1,－,1,－,－,－,－,28,－,－,320,201,－,119,－
赤羽,19,14,－,4,6,－,－,4,1,－,－,－,－,1,－,4,40,20,－,－,－,－,2,－,－,－,－,18,－,－,214,125,－,89,－
滝野川,15,13,－,2,8,－,－,3,－,－,－,－,－,－,－,2,31,16,－,－,2,－,－,－,－,－,－,13,－,－,165,116,－,49,－
板橋,57,50,2,9,33,－,－,6,2,－,－,－,－,2,－,5,123,46,21,4,3,－,5,－,－,－,－,43,1,－,615,417,－,198,－
志村,72,53,1,12,25,－,－,15,－,－,－,－,－,－,－,19,141,45,53,2,2,－,6,1,－,－,－,28,2,2,718,360,－,358,－
練馬,51,44,1,9,19,－,－,15,1,－,－,－,－,1,－,6,88,20,35,1,－,－,4,－,－,－,－,28,－,－,436,245,－,191,－
光が丘,37,29,－,7,18,－,－,4,1,－,－,－,－,1,－,7,77,39,－,1,1,－,1,－,－,－,－,34,1,－,409,257,－,152,－
石神井,43,35,1,5,16,－,－,13,－,－,－,－,－,－,－,8,100,56,－,1,2,1,2,－,－,－,－,38,－,－,503,305,－,198,－
上野,26,20,－,6,12,1,－,1,2,－,－,－,－,2,－,4,55,25,1,4,2,－,1,－,－,－,－,20,1,1,276,173,－,103,－
浅草,16,12,1,3,7,－,－,1,1,－,－,－,－,1,－,3,31,16,－,－,－,－,1,－,－,－,－,14,－,－,165,117,－,48,－
日本堤,20,15,1,8,5,－,－,1,－,－,－,－,－,－,－,5,47,22,－,2,1,－,2,－,－,－,－,20,－,－,250,59,－,191,－
荒川,25,23,－,5,15,－,－,3,1,－,－,－,－,1,－,1,60,17,16,－,1,－,－,－,－,－,－,26,－,－,332,207,－,125,－
尾久,9,8,－,2,5,－,－,1,－,－,－,－,－,－,－,1,17,4,6,－,－,－,－,－,－,－,－,7,－,－,91,65,－,26,－
千住,27,22,1,5,11,－,－,5,－,－,－,－,－,－,－,5,49,9,19,－,－,－,3,－,－,－,－,18,－,－,239,69,－,170,－
足立,68,50,2,9,28,－,－,11,2,－,－,－,－,2,－,16,113,65,9,3,－,－,3,－,－,－,－,33,－,－,585,323,－,262,－
西新井,53,47,1,9,23,－,－,14,－,－,－,－,－,－,－,6,111,64,1,－,2,－,3,－,－,－,－,41,－,－,540,317,－,223,－
本所,32,25,－,6,15,－,－,4,3,－,－,1,－,2,1,3,78,39,1,2,1,－,2,1,－,－,－,30,1,1,409,278,－,131,－
向島,25,16,－,7,9,－,－,－,2,－,－,－,－,2,－,7,53,16,13,－,－,－,5,－,－,－,－,19,－,－,263,147,－,116,－
深川,54,50,3,11,31,2,－,3,1,－,－,1,－,－,－,3,118,29,28,1,6,－,4,－,－,－,－,48,1,1,617,452,－,165,－
城東,52,41,－,8,25,－,－,8,1,－,－,1,－,－,－,10,119,43,20,2,1,－,4,－,1,－,－,44,4,－,588,399,－,189,－
本田,67,53,4,15,27,－,－,7,1,－,－,－,－,1,－,13,143,72,18,3,3,－,8,－,－,－,－,38,－,1,712,376,－,336,－
金町,49,45,－,12,26,－,－,7,－,－,－,－,－,－,－,4,112,26,33,－,－,－,4,－,－,－,－,48,－,1,583,401,－,182,－
江戸川,105,98,－,22,61,－,－,15,1,－,－,－,－,1,－,6,173,87,30,1,5,－,7,－,－,－,－,43,－,－,895,438,－,457,－
小岩,54,46,－,11,28,－,－,7,2,－,－,－,－,2,－,6,106,62,2,－,2,－,5,－,－,－,－,34,－,1,507,300,－,207,－
受託地区,768,637,10,120,273,3,－,231,6,－,－,－,－,6,2,123,1673,829,197,33,10,－,62,－,－,－,－,527,8,7,7943,4793,－,3150,－
立川,64,57,1,9,23,－,－,24,－,－,－,－,－,－,－,7,168,108,8,8,4,－,6,－,－,－,－,34,－,－,787,496,－,291,－
国分寺,48,37,－,5,18,1,－,13,－,－,－,－,－,－,－,11,99,57,3,－,－,－,4,－,－,－,－,31,2,2,466,306,－,160,－
小平,30,26,2,5,10,－,－,9,－,－,－,－,－,－,－,4,74,42,－,－,1,－,2,－,－,－,－,29,－,－,360,264,－,96,－
武蔵野,24,20,－,8,9,－,－,3,2,－,－,－,－,2,－,2,53,24,6,6,－,－,2,－,－,－,－,15,－,－,261,139,－,122,－
保谷,24,16,1,5,6,－,－,4,－,－,－,－,－,－,－,8,51,30,－,1,－,－,1,－,－,－,－,14,1,4,261,73,－,188,－
三鷹,27,23,－,10,5,－,－,8,－,－,－,－,－,－,－,4,68,31,8,－,－,－,3,－,－,－,－,26,－,－,337,124,－,213,－
調布,43,31,1,4,17,－,－,9,1,－,－,－,－,1,－,11,82,39,12,－,－,－,3,－,－,－,－,28,－,－,403,267,－,136,－
府中,46,32,－,6,10,－,－,16,－,－,－,－,－,－,－,14,100,52,14,1,－,－,5,－,－,－,－,27,－,1,420,221,－,199,－
東村山,26,22,－,2,8,－,－,12,－,－,－,－,－,－,－,4,63,30,5,－,1,－,3,－,－,－,－,24,－,－,311,231,－,80,－
狛江,14,11,1,4,2,－,－,4,－,－,－,－,－,－,－,3,28,15,－,－,－,－,－,－,－,－,－,13,－,－,144,56,－,88,－
北多摩西部,48,46,－,6,14,1,－,25,－,－,－,－,－,－,－,2,98,22,33,－,－,－,5,－,－,－,－,38,－,－,480,357,－,123,－
清瀬,17,13,1,1,4,1,－,6,－,－,－,－,－,－,－,4,37,20,－,－,－,－,－,－,－,－,－,17,－,－,176,119,－,57,－
八王子,97,78,1,11,39,－,－,27,－,－,－,－,－,－,1,18,170,113,17,4,－,－,6,－,－,－,－,30,－,－,719,360,－,359,－
日野,30,21,－,4,13,－,－,4,－,－,－,－,－,－,－,9,68,29,7,－,1,－,2,－,－,－,－,28,1,－,340,200,－,140,－
町田,101,85,1,19,34,－,－,31,3,－,－,－,－,3,－,13,206,99,31,8,1,－,8,－,－,－,－,56,3,－,966,670,－,296,－
青梅,30,28,1,5,13,－,－,9,－,－,－,－,－,－,－,2,65,17,19,－,－,－,1,－,－,－,－,28,－,－,332,212,－,120,－
福生,46,41,－,5,23,－,－,13,－,－,－,－,－,－,1,4,126,56,11,4,1,－,7,－,－,－,－,46,1,－,611,395,－,216,－
秋川,16,14,－,3,5,－,－,6,－,－,－,－,－,－,－,2,35,18,－,－,－,－,1,－,－,－,－,16,－,－,176,97,－,79,－
奥多摩,7,7,－,1,6,－,－,－,－,－,－,－,－,－,－,－,9,7,－,－,－,－,－,－,－,－,－,2,－,－,37,21,－,16,－
多摩,30,29,－,7,14,－,－,8,－,－,－,－,－,－,－,1,73,20,23,1,1,－,3,－,－,－,－,25,－,－,356,185,－,171,－
