消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
蒲田,639,475,183,152,3,2,57,59,55,72,78,101,274,377,53,60,5,5
矢口,379,328,132,115,2,1,18,19,22,21,33,45,152,315,6,6,0,0
目黒,923,844,204,181,1,1,109,105,69,67,157,203,270,292,4,4,0,0
世田谷,1082,783,256,214,0,0,109,102,67,57,114,156,312,355,14,12,12,2
玉川,688,530,148,148,0,0,79,97,23,25,103,168,290,385,7,8,0,0
成城,642,437,193,182,1,1,64,65,17,22,60,81,266,313,25,17,8,1
渋谷,1843,1686,741,666,9,8,303,285,256,282,453,626,465,510,9,8,0,0
四谷,482,469,213,201,5,4,44,43,67,67,129,127,94,95,6,6,0,0
牛込,620,506,258,215,2,3,57,55,69,77,100,107,120,137,7,6,0,0
新宿,1205,1178,592,569,3,0,163,164,121,147,243,432,306,344,5,4,2,2
中野,517,391,181,139,0,0,44,40,28,32,58,68,129,132,5,5,1,1
野方,253,208,75,69,0,0,23,23,10,11,30,34,86,117,3,3,1,1
杉並,685,588,219,174,4,2,63,58,33,30,68,88,225,294,15,14,0,0
荻窪,491,339,154,124,0,0,40,34,26,25,50,71,144,226,4,2,0,0
小石川,665,620,290,250,0,0,80,74,62,73,144,167,116,126,11,9,3,3
本郷,661,576,342,277,2,2,37,37,68,71,130,136,134,130,9,5,11,2
豊島,779,691,341,282,1,0,55,49,81,83,189,215,183,187,4,8,0,0
池袋,432,403,183,152,0,0,28,27,26,32,65,93,134,157,5,5,1,0
王子,328,291,127,93,0,0,20,18,24,21,48,67,119,191,11,7,6,4
赤羽,441,289,149,110,4,3,26,26,33,46,36,47,153,242,10,11,5,5
滝野川,266,248,116,97,0,0,21,19,22,21,46,64,67,95,2,1,7,7
板橋,512,389,196,149,0,0,33,30,42,37,72,65,175,137,12,8,12,4
志村,1227,773,307,221,4,1,63,62,41,49,97,110,468,430,36,21,18,17
練馬,612,368,160,127,1,0,38,44,22,23,59,73,228,332,15,16,3,2
光が丘,380,298,126,56,1,0,38,37,14,14,29,39,176,294,3,3,4,3
石神井,541,270,189,152,0,0,28,24,12,11,26,32,177,224,5,3,5,0
上野,643,591,454,324,1,1,43,38,91,98,161,186,130,152,17,12,3,4
浅草,378,305,251,249,1,1,19,19,47,44,85,84,89,92,0,0,1,1
日本堤,240,198,178,113,0,0,16,16,21,19,38,46,56,56,2,2,4,4
荒川,442,355,214,148,0,0,29,28,31,36,40,40,129,150,5,5,1,1
尾久,181,142,74,60,0,0,2,2,11,11,14,15,68,66,1,1,2,1
千住,367,402,158,109,4,0,24,58,19,19,26,53,131,457,20,18,13,12
足立,1019,525,307,212,1,0,34,31,24,25,50,76,364,580,12,11,14,13
西新井,454,305,152,143,1,0,25,24,11,11,16,14,188,260,26,26,45,33
本所,691,546,350,249,4,2,67,64,64,83,93,105,158,167,6,6,4,2
向島,322,285,134,118,0,0,18,20,18,19,25,29,100,155,18,23,4,4
深川,1144,1522,403,710,8,4,164,164,115,198,184,336,518,1620,89,89,10,9
城東,1068,809,443,212,6,2,72,79,68,82,107,140,447,883,70,58,46,39
本田,473,439,152,137,7,2,22,21,21,21,38,50,293,478,6,6,11,13
金町,346,210,107,105,0,0,11,11,18,27,23,22,122,182,6,5,5,5
江戸川,504,407,134,94,0,0,31,29,17,23,25,27,245,251,22,21,14,13
葛西,752,650,209,142,4,0,35,31,46,48,76,98,333,553,30,14,18,12
小岩,345,294,123,114,0,0,16,15,13,12,30,36,154,196,19,8,8,5
受託地区,11095,7725,3353,2897,34,45,654,624,450,512,947,1206,4209,5425,548,454,644,326
立川,939,711,254,254,2,2,56,53,74,81,123,132,344,382,26,26,103,53
武蔵野,527,416,146,144,2,0,43,40,29,35,68,77,161,188,5,4,0,0
三鷹,369,329,128,116,0,0,26,24,18,20,42,48,204,301,19,13,8,4
府中,811,463,239,173,6,1,70,62,45,58,78,138,321,432,89,64,36,27
昭島,336,265,96,65,1,1,16,16,11,10,24,23,142,337,30,29,56,23
調布,587,432,163,132,1,3,45,43,28,47,42,55,264,414,21,13,11,9
小金井,256,207,67,64,1,1,12,12,5,4,23,25,94,130,4,4,2,0
小平,549,353,124,110,5,15,11,11,17,20,37,48,151,258,26,17,7,7
東村山,385,279,120,94,2,5,11,10,11,18,20,25,146,210,20,16,21,18
国分寺,228,169,76,67,0,0,15,15,8,8,27,23,96,75,5,4,3,3
狛江,164,88,40,36,1,0,11,13,2,2,8,16,66,84,5,3,10,3
北多摩西部,312,241,94,78,2,1,12,12,6,12,18,18,114,120,24,23,20,20
清瀬,241,133,71,52,0,0,4,4,10,10,19,24,37,21,6,7,3,2
東久留米,236,199,73,68,0,0,12,12,12,14,10,11,80,91,18,20,10,10
西東京,421,224,119,97,0,0,15,15,12,13,22,24,215,329,4,2,9,8
八王子,1941,1167,579,521,1,0,99,94,64,64,169,250,650,554,96,68,233,36
青梅,364,272,127,110,2,2,14,12,7,5,40,30,132,235,33,26,27,24
町田,904,653,315,284,3,3,66,64,34,37,59,70,387,518,31,32,11,9
日野,463,289,135,113,0,0,17,15,21,20,36,50,155,181,16,14,7,5
福生,362,337,96,104,3,10,26,24,10,9,21,33,125,178,40,44,51,50
多摩,544,296,178,112,1,0,68,68,21,22,50,75,280,313,9,7,0,0
秋川,142,189,105,95,0,0,5,5,4,2,9,11,42,70,21,18,13,12
奥多摩,14,13,8,8,1,1,0,0,1,1,2,0,3,4,0,0,3,3
