消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,"り災
人員",焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,焼損床面積(m2),林野焼損面積(a)
新宿,143,95,2,5,10,78,14,－,－,－,34,74,8,9,57,178,117,2,5,14,96,716,－
中野,81,41,3,4,2,32,7,－,－,－,33,51,5,3,43,130,64,4,5,3,52,343,－
野方,81,46,4,2,2,38,2,－,－,－,33,60,9,3,48,165,62,4,3,3,52,312,－
杉並,143,80,4,13,5,58,20,－,－,－,43,111,22,18,71,305,105,4,14,6,81,1413,－
荻窪,105,54,4,5,10,35,7,－,－,－,44,69,13,10,46,189,71,4,6,10,51,771,－
小石川,46,29,1,3,4,21,8,－,－,－,9,47,14,2,31,105,40,1,4,4,31,319,－
本郷,40,32,5,－,1,26,－,－,－,－,8,55,10,4,41,139,70,7,1,1,61,566,－
豊島,100,65,－,5,2,58,10,－,－,－,25,63,2,11,50,141,76,－,5,2,69,291,－
池袋,92,66,3,5,6,52,4,－,－,－,22,74,20,7,47,164,84,6,6,7,65,959,－
王子,62,40,2,4,1,33,7,－,－,－,15,48,7,4,37,130,50,2,5,3,40,558,－
赤羽,68,46,3,－,7,36,6,－,－,－,16,35,5,3,27,119,57,4,1,9,43,382,－
滝野川,48,35,3,4,3,25,3,－,－,－,10,68,16,7,45,117,63,5,8,4,46,770,－
板橋,87,53,3,2,7,41,8,－,－,－,26,71,9,7,55,190,74,4,3,7,60,936,－
志村,166,98,5,3,2,88,26,－,－,－,42,92,20,3,69,227,120,7,3,3,107,769,－
練馬,157,108,11,9,9,79,10,－,－,－,39,128,14,15,99,327,153,13,11,13,116,2146,－
光が丘,10,6,－,－,－,6,－,－,－,－,4,4,－,－,4,7,6,－,－,－,6,－,－
石神井,107,63,7,5,4,47,14,－,－,－,30,95,16,11,68,238,97,13,5,6,73,1273,－
上野,77,46,3,2,7,34,6,－,－,－,25,38,4,14,20,98,62,4,5,7,46,1389,－
浅草,31,21,－,1,3,17,3,－,－,－,7,24,1,8,15,53,24,－,1,3,20,97,－
日本堤,67,44,1,1,1,41,5,－,－,－,18,41,11,1,29,113,55,1,3,1,50,429,－
荒川,79,52,4,6,1,41,5,－,－,－,22,65,14,8,43,169,86,6,12,1,67,1171,－
尾久,46,34,4,3,2,25,1,－,－,－,11,68,11,2,55,175,67,10,4,2,51,869,－
千住,52,29,－,1,3,25,5,－,－,－,18,32,2,1,29,81,35,－,1,4,30,85,－
足立,205,139,4,8,13,114,20,－,－,－,46,129,6,13,110,373,169,4,10,14,141,1277,－
西新井,181,104,18,3,10,73,19,－,－,－,58,132,15,7,110,414,196,29,8,14,145,2905,－
本所,51,33,1,2,4,26,7,－,－,－,11,62,4,9,49,163,50,2,5,6,37,810,－
向島,64,48,2,2,7,37,6,－,－,－,10,51,6,4,41,158,61,2,3,7,49,416,－
深川,102,57,3,3,3,48,15,－,－,－,30,63,9,7,47,159,84,7,7,6,64,1606,－
城東,127,86,5,2,2,77,15,－,－,－,26,94,9,4,81,280,121,8,7,4,102,2162,－
本田,192,114,11,3,9,91,15,－,－,－,63,175,24,27,124,427,158,12,5,12,129,1521,－
金町,97,63,5,3,4,51,12,－,－,－,22,66,8,2,56,184,96,9,4,4,79,861,－
江戸川,211,125,14,5,12,94,27,－,－,－,59,146,20,7,119,383,177,19,6,16,136,1801,－
小岩,92,50,5,2,7,36,9,－,－,－,33,57,12,4,41,142,58,5,3,7,43,831,－
受託地区,1756,926,111,72,53,690,192,－,1,23,614,999,166,78,755,2709,1262,151,83,62,966,17678,542
立川,193,118,16,9,6,87,7,－,1,－,67,122,29,3,90,291,167,21,12,8,126,2273,－
国分寺,93,51,5,2,2,42,9,－,－,－,33,53,9,2,42,132,66,8,2,3,53,737,－
小平,52,33,5,2,－,26,6,－,－,－,13,25,－,2,23,78,47,9,3,－,35,853,－
武蔵野,63,46,1,4,1,40,5,－,－,－,12,35,3,8,24,84,50,1,4,1,44,409,－
保谷,70,36,4,－,3,29,13,－,－,－,21,47,11,3,33,139,52,8,－,4,40,721,－
三鷹,70,36,1,4,4,27,10,－,－,－,24,41,5,3,33,100,53,1,4,4,44,276,－
調布,108,58,8,6,5,39,14,－,－,－,36,81,13,7,61,189,83,8,7,5,63,1757,－
府中,113,54,5,7,3,39,17,－,－,－,42,69,12,13,44,166,74,7,7,3,57,1161,－
日野,95,47,5,5,1,36,9,－,－,2,37,48,6,4,38,130,53,5,5,1,42,554,5
町田,171,92,17,7,9,59,20,－,－,5,54,122,19,13,90,351,137,25,9,10,93,2581,36
八王子,263,114,15,8,4,87,26,－,－,9,114,128,21,5,102,328,155,18,9,5,123,2462,355
青梅,68,34,6,1,2,25,8,－,－,2,24,23,3,3,17,70,47,8,2,4,33,636,8
東村山,55,27,2,3,3,19,8,－,－,－,20,31,1,4,26,98,43,4,4,3,32,968,－
福生,78,46,4,2,1,39,6,－,－,－,26,35,3,1,31,120,57,5,2,1,49,291,－
狛江,49,24,2,－,2,20,7,－,－,－,18,14,2,－,12,37,29,2,－,2,25,74,－
北多摩西部,77,35,8,4,4,19,15,－,－,3,24,53,7,4,42,177,58,11,5,4,38,993,8
清瀬,38,22,3,2,1,16,1,－,－,－,15,33,16,1,16,83,27,4,2,1,20,227,－
秋川,45,25,3,4,1,17,6,－,－,2,12,18,－,2,16,71,31,3,4,2,22,281,130
奥多摩,7,4,1,－,－,3,－,－,－,－,3,4,3,－,1,10,8,3,－,－,5,246,－
多摩,48,24,－,2,1,21,5,－,－,－,19,17,3,－,14,55,25,－,2,1,22,178,－
