消防署,計／出場件数,計／出場人員,計／延時間(時間：分),水防工法／出場件数,水防工法／出場人員,水防工法／延時間(時間：分),救助・誘導／出場件数,救助・誘導／出場人員,救助・誘導／延時間(時間：分),排水／出場件数,排水／出場人員,排水／延時間(時間：分),警戒／出場件数,警戒／出場人員,警戒／延時間(時間：分),その他／出場件数,その他／出場人員,その他／延時間(時間：分),使用車両等／計,使用車両等／車両,使用車両等／ヘリコプター,使用車両等／救命ボート,使用資器材／土のう,使用資器材／その他,救助人員,誘導人員
上野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
浅草,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本堤,1,12,0:17,－,－,－,－,－,－,－,－,－,－,－,－,1,12,0:17,2,2,－,－,－,－,－,－
荒川,7,30,3:12,－,－,－,－,－,－,－,－,－,2,6,0:25,5,24,2:47,5,5,－,－,－,－,－,－
尾久,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
千住,4,20,2:41,－,－,－,－,－,－,－,－,－,1,6,－,3,14,2:41,4,4,－,－,－,－,－,－
足立,1,4,0:16,－,－,－,－,－,－,－,－,－,－,－,－,1,4,0:16,1,1,－,－,－,－,－,－
西新井,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本所,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
向島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
深川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
城東,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本田,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
金町,2,12,2:42,－,－,－,－,－,－,－,－,－,2,12,2:42,－,－,－,2,2,－,－,－,－,－,－
江戸川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小岩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
受託地区,71,475,55:03:00,7,84,13:47,2,28,1:26,5,43,8:16,11,92,6:22,46,228,25:12:00,114,114,－,－,202,102,－,－
立川,4,27,3:23,－,－,－,1,3,0:17,1,10,1:02,－,－,－,2,14,2:04,6,6,－,－,－,－,－,－
国分寺,7,65,7:20,1,21,2:28,－,－,－,－,－,－,5,38,4:22,1,6,0:30,20,20,－,－,30,35,－,－
小平,4,24,－,－,－,－,－,－,－,－,－,－,－,－,－,4,24,－,4,4,－,－,－,－,－,－
武蔵野,6,24,6:06,－,－,－,－,－,－,－,－,－,－,－,－,6,24,6:06,6,6,－,－,－,－,－,－
保谷,2,19,－,－,－,－,－,－,－,－,－,－,2,19,－,－,－,－,4,4,－,－,－,－,－,－
三鷹,2,18,3:44,－,－,－,－,－,－,1,12,2:50,－,－,－,1,6,0:54,4,4,－,－,－,3,－,－
調布,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
府中,3,14,－,－,－,－,－,－,－,1,－,－,－,－,－,2,14,－,3,3,－,－,－,－,－,－
日野,5,19,2:20,－,－,－,－,－,－,－,－,－,－,－,－,5,19,2:20,4,4,－,－,－,－,－,－
町田,5,17,0:29,－,－,－,－,－,－,－,－,－,－,－,－,5,17,0:29,5,5,－,－,－,－,－,－
八王子,5,30,2:58,－,－,－,－,－,－,－,－,－,－,－,－,5,30,2:58,7,7,－,－,－,6,－,－
青梅,2,30,1:49,－,－,－,1,25,1:09,－,－,－,1,5,0:40,－,－,－,7,7,－,－,－,33,－,－
東村山,9,45,6:41,4,16,1:38,－,－,－,1,10,1:29,－,－,－,4,19,3:34,12,12,－,－,77,－,－,－
福生,2,9,－,－,－,－,－,－,－,－,－,－,－,－,－,2,9,－,2,2,－,－,－,－,－,－
狛江,1,4,0:59,－,－,－,－,－,－,－,－,－,－,－,－,1,4,0:59,1,1,－,－,－,－,－,－
北多摩西部,2,12,1:30,－,－,－,－,－,－,－,－,－,－,－,－,2,12,1:30,3,3,－,－,－,2,－,－
清瀬,3,22,1:19,1,12,1:19,－,－,－,－,－,－,－,－,－,2,10,－,5,5,－,－,65,－,－,－
秋川,4,41,4:15,－,－,－,－,－,－,1,11,2:55,3,30,1:20,－,－,－,8,8,－,－,30,23,－,－
奥多摩,2,7,2:35,－,－,－,－,－,－,－,－,－,－,－,－,2,7,2:35,2,2,－,－,－,－,－,－
多摩,3,48,9:35,1,35,8:22,－,－,－,－,－,－,－,－,－,2,13,1:13,11,11,－,－,－,－,－,－
