階層,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),
20階建,17,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,1,7,1,－,－,20
19階建,13,－,－,－,－,－,－,－,－,4,－,－,－,1,－,－,－,－,－,－,－,－,－,－,3,3,－,1,1,－,－,19
18階建,18,－,－,－,－,－,－,－,－,3,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,5,－,6,2,－,－,18
17階建,17,－,－,－,－,－,－,－,1,－,1,－,－,2,－,－,－,－,－,－,－,－,－,－,1,7,－,4,1,－,－,17
16階建,28,－,－,－,－,－,－,－,1,5,2,－,－,－,－,－,－,－,－,－,－,－,－,－,1,8,－,7,4,－,－,16
15階建,95,－,－,－,－,－,－,－,－,37,1,－,－,2,－,－,－,－,－,－,－,－,－,－,1,19,1,21,13,－,－,15
14階建,645,－,－,－,－,－,－,－,6,327,3,－,－,1,－,－,－,－,－,－,－,－,－,－,5,23,－,206,74,－,－,14
13階建,325,－,－,－,－,－,－,－,1,131,1,－,－,3,－,－,－,－,－,－,－,－,－,1,－,32,1,90,65,－,－,13
12階建,746,－,－,－,－,－,－,1,12,312,－,－,－,13,－,－,－,－,－,－,－,－,－,1,2,84,－,167,154,－,－,12
11階建,1779,－,－,－,－,－,1,2,16,824,7,－,－,12,－,－,－,－,－,－,－,－,－,2,7,171,6,408,323,－,－,11
10階建,3147,1,1,－,－,－,4,19,46,682,8,1,－,23,－,－,－,－,－,2,－,－,－,8,20,724,11,988,609,－,－,10
9階建,4834,－,－,2,1,－,21,46,51,746,14,－,－,50,－,－,－,－,－,4,1,3,－,18,31,1643,27,1517,659,－,－,9
8階建,6496,1,－,3,－,3,27,97,81,1184,31,3,－,54,1,1,－,－,2,18,－,2,－,54,57,1691,33,2146,1007,－,－,8
7階建,8700,2,1,4,－,1,49,105,123,1894,63,5,1,85,－,2,－,－,3,57,2,1,－,129,65,1750,46,2862,1450,－,－,7
6階建,12902,4,－,9,6,4,106,175,174,2504,135,11,3,182,2,7,－,－,10,171,3,7,－,343,99,2384,91,4103,2369,－,－,6
5階建,32053,8,9,17,17,23,234,297,323,12177,224,41,7,515,8,38,1,4,29,512,2,16,－,584,199,3493,218,7934,5123,－,－,5
4階建,44740,19,10,27,39,47,443,485,394,15165,370,93,51,2065,20,122,3,8,89,1469,3,57,2,823,381,3885,511,10748,7411,－,－,4
地階を有する建築物計,47324,74,34,91,119,93,1060,925,852,7244,673,172,77,1480,124,71,19,218,321,704,19,250,－,642,902,8361,1309,14751,6724,13,2,計
地下1階,42304,55,25,86,111,89,950,819,746,7040,596,163,75,1297,100,59,16,74,300,677,14,232,－,621,722,6937,1076,13135,6284,5,－,1
地下2階,4084,10,8,4,8,4,102,84,89,187,70,8,2,164,20,10,3,98,20,26,3,17,－,19,130,1121,180,1299,395,2,1,2
地下3階,682,2,1,－,－,－,7,11,14,13,7,1,－,15,3,2,－,32,－,1,1,－,－,2,39,219,42,230,35,5,－,3
地下4階,193,7,－,1,－,－,1,7,2,3,－,－,－,2,－,－,－,8,－,－,－,1,－,－,10,69,7,68,6,1,－,4
地下5階,43,－,－,－,－,－,－,2,－,1,－,－,－,1,－,－,－,4,－,－,－,－,－,－,1,11,3,16,3,－,1,5
地下6階,16,－,－,－,－,－,－,2,1,－,－,－,－,1,－,－,－,2,1,－,1,－,－,－,－,4,1,3,－,－,－,6
地下7階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,7
地下8階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8
