地域階層,地域コード,地域,令和2年1月1日現在人口,平成31年･令和元年中の動き／人口増減,平成31年･令和元年中の動き／社会増減（他県との移動増減）,平成31年･令和元年中の動き／社会増減（他県との移動増減）／転入数,平成31年･令和元年中の動き／社会増減（他県との移動増減）／転出数,平成31年･令和元年中の動き／都内間の移動増減,平成31年･令和元年中の動き／都内間の移動増減／転入数,平成31年･令和元年中の動き／都内間の移動増減／転出数,平成31年･令和元年中の動き／自然増減,平成31年･令和元年中の動き／自然増減／出生数,平成31年･令和元年中の動き／自然増減／死亡数,平成31年･令和元年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,平成31年1月1日現在人口 
4,13109,品川区,411792,7004,4788,17119,12331,1072,15594,14522,583,3810,3227,561,6146,22.84,18029,404788
4,13110,目黒区,287695,2132,1949,10742,8793,-731,12838,13569,465,2456,1991,449,1561,14.67,19611,285563
4,13111,大田区,739575,4959,5508,30492,24984,-192,16218,16410,-1105,5503,6608,748,3871,60.83,12158,734616
4,13112,世田谷区,939099,8579,6408,32939,26531,644,29157,28513,-48,6965,7013,1575,6924,58.05,16177,930520
4,13113,渋谷区,234661,3077,2261,8744,6483,212,13296,13084,439,2063,1624,165,2450,15.11,15530,231584
4,13114,中野区,342296,3576,3405,14695,11290,-244,18595,18839,-356,2462,2818,771,2807,15.59,21956,338720
4,13115,杉並区,585470,4986,5076,21262,16186,-939,23139,24078,-150,4468,4618,999,4132,34.06,17189,580484
4,13116,豊島区,301185,738,1493,13209,11716,-1873,16215,18088,-327,2082,2409,1445,1289,13.01,23150,300447
4,13117,北区,354425,1932,1121,14288,13167,162,13131,12969,-727,2898,3625,1376,1003,20.61,17197,352493
4,13118,荒川区,218775,1180,676,7357,6681,-49,8842,8891,-436,1745,2181,989,1013,10.16,21533,217595
4,13119,板橋区,583702,4467,3188,21465,18277,495,17803,17308,-1091,4247,5338,1875,2444,32.22,18116,579235
4,13120,練馬区,742652,7002,4864,25284,20420,1436,22721,21285,-608,5634,6242,1310,5165,48.08,15446,735650
4,13121,足立区,683365,2786,2422,20998,18576,888,14711,13823,-2558,4761,7319,2034,452,53.25,12833,680579
4,13122,葛飾区,454973,1959,1719,13806,12087,709,11425,10716,-1531,3403,4934,1062,682,34.8,13074,453014
4,13123,江戸川区,695797,2048,794,22521,21727,-1249,14617,15866,-400,5609,6009,2903,-414,49.9,13944,693749
1,13200,市部,4217151,11215,17070,104212,87142,1073,112720,111647,-10067,28438,38505,3139,6423,783.95,5379,4205936
4,13201,八王子市,577212,20,2369,13653,11284,-69,10314,10383,-2382,3161,5543,102,-254,186.38,3097,577192
4,13202,立川市,180822,268,410,4564,4154,-203,6028,6231,-358,1388,1746,419,44,24.36,7423,180554
4,13203,武蔵野市,148350,472,850,4342,3492,-403,6024,6427,-37,1143,1180,62,348,10.98,13511,147878
4,13204,三鷹市,192518,1262,1209,5264,4055,57,7085,7028,-207,1356,1563,203,1132,16.42,11725,191256
4,13205,青梅市,133573,-1054,-90,1727,1817,-29,2631,2660,-1031,681,1712,96,-1132,103.31,1293,134627
4,13206,府中市,263407,221,1753,7408,5655,-1713,6794,8507,-206,1899,2105,387,-81,29.43,8950,263186
4,13207,昭島市,112055,182,323,2106,1783,492,3487,2995,-310,859,1169,-323,86,17.34,6462,111873
4,13208,調布市,239824,1885,1384,7062,5678,293,8268,7975,-5,1893,1898,213,1690,21.58,11113,237939
4,13209,町田市,434170,136,2042,12678,10636,-627,4486,5113,-1530,2547,4077,251,-498,71.55,6068,434034
4,13210,小金井市,125851,863,762,3834,3072,-248,4543,4791,82,1016,934,267,670,11.3,11137,124988
4,13211,小平市,196435,1273,762,4912,4150,515,6447,5932,-100,1493,1593,96,1026,20.51,9578,195162
4,13212,日野市,190006,953,1009,4476,3467,173,5207,5034,-307,1336,1643,78,749,27.55,6897,189053
4,13213,東村山市,150417,466,322,3158,2836,663,4020,3357,-553,933,1486,34,284,17.14,8776,149951
4,13214,国分寺市,127998,1481,966,3890,2924,349,5092,4743,10,1005,995,156,1274,11.46,11169,126517
4,13215,国立市,75167,242,439,2146,1707,-98,2733,2831,-203,467,670,104,109,8.15,9223,74925
4,13218,福生市,57443,-626,-144,1139,1283,-465,1863,2328,-246,379,625,229,-619,10.16,5654,58069
4,13219,狛江市,83826,776,514,2577,2063,242,2702,2460,-19,715,734,39,680,6.39,13118,83050
4,13220,東大和市,84247,-264,-101,1120,1221,-2,2126,2128,-220,572,792,59,-292,13.42,6278,84511
4,13221,清瀬市,75168,-101,45,1724,1679,180,1715,1535,-366,453,819,40,-147,10.23,7348,75269
4,13222,東久留米市,116446,20,133,2226,2093,257,2910,2653,-446,759,1205,76,-109,12.88,9041,116426
4,13223,武蔵村山市,71544,-164,39,1092,1053,40,1832,1792,-218,466,684,-25,-256,15.32,4670,71708
4,13224,多摩市,147790,78,410,3230,2820,53,3532,3479,-466,871,1337,81,-112,21.01,7034,147712
4,13225,稲城市,91850,955,595,2597,2002,252,2092,1840,101,765,664,7,828,17.97,5111,90895
4,13227,羽村市,54709,-253,151,1081,930,-201,1441,1642,-195,364,559,-8,-305,9.9,5526,54962
4,13228,あきる野市,80055,-184,51,881,830,292,2039,1747,-511,466,977,-16,-318,73.47,1090,80239
4,13229,西東京市,206268,2308,867,5325,4458,1273,7309,6036,-344,1451,1795,512,1626,15.75,13096,203960
1,13550,町村部,81373,-1013,-61,1361,1422,10,2397,2387,-997,427,1424,35,-1091,782.55,104,82386
2,13300,郡部,56387,-646,7,678,671,58,1441,1383,-726,265,991,15,-722,375.86,150,57033
4,13303,瑞穂町,32394,-389,-37,412,449,-131,729,860,-215,156,371,-6,-442,16.85,1922,32783
4,13305,日の出町,17140,-37,5,193,188,199,548,349,-263,93,356,22,-71,28.07,611,17177
4,13307,檜原村,1990,-79,10,13,3,-9,52,61,-81,8,89,1,-78,105.41,19,2069
4,13308,奥多摩町,4863,-141,29,60,31,-1,112,113,-167,8,175,-2,-131,225.53,22,5004
2,13350,島部,24986,-367,-68,683,751,-48,956,1004,-271,162,433,20,-369,406.69,61,25353
3,13360,大島支庁,12052,-186,-35,258,293,-3,462,465,-156,76,232,8,-197,141,85,12238
4,13361,大島町,7244,-172,-64,143,207,-17,299,316,-95,48,143,4,-175,90.76,80,7416
4,13362,利島村,344,-1,1,9,8,-6,9,15,0,5,5,4,-4,4.12,83,345
4,13363,新島村,2594,-34,6,56,50,1,85,84,-41,15,56,0,-36,27.54,94,2628
4,13364,神津島村,1870,21,22,50,28,19,69,50,-20,8,28,0,18,18.58,101,1849
3,13380,三宅支庁,2607,-55,4,105,101,-25,118,143,-36,18,54,2,-53,75.8,34,2662
4,13381,三宅村,2270,-56,5,88,83,-27,98,125,-36,16,52,2,-54,55.26,41,2326
4,13382,御蔵島村,337,1,-1,17,18,2,20,18,0,2,2,0,1,20.54,16,336
3,13400,八丈支庁,7272,-130,-39,153,192,-9,242,251,-87,52,139,5,-126,83.01,88,7402
4,13401,八丈町,7096,-139,-44,141,185,-12,221,233,-88,50,138,5,-135,72.23,98,7235
4,13402,青ヶ島村,176,9,5,12,7,3,21,18,1,2,1,0,9,5.96,30,167
3,13420,小笠原支庁,3055,4,2,167,165,-11,134,145,8,16,8,5,7,106.88,29,3051
4,13421,小笠原村,3055,4,2,167,165,-11,134,145,8,16,8,5,7,106.88,29,3051
,,,,,,,,,,,,,,,,,,
人口の動き（平成31年・令和元年中）,,,,,,,,,,,,,,,,,,
第１表  区市町村、変動要因別人口（総数）,,,,,,,　　  ,,,,,,,,,,,
注１)  面積は総務局行政部長通知 「東京都区市町村別の面積について」による令和元年10月１日時点の数値である。なお、区部には、荒川河口部（1.12k㎡）、中央防波堤埋立地（7.48k㎡）を含み、 八丈支庁には、鳥島（4.79k㎡)、ベヨネース列岩(0.00k㎡)、須美寿島(0.02k㎡)、孀婦岩（0.00k㎡)を含む。,,,,,,,,,,,,,,,,,,
注２）この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,,,
