区市名	番号	区域名	区域の町名
品川	28	南大井六丁目	品川区南大井６
品川	29	東品川二丁目	品川区東品川２
品川	58	大崎一丁目	品川区大崎１
品川	69	東品川四丁目	品川区東品川４
目黒	※41	（恵比寿）	※一部渋谷区内区域に含まれる（目黒区三田１）
大田	32	蒲田五丁目	大田区蒲田５
大田	62	蒲田五丁目東	大田区蒲田５
大田	71	キヤノン下丸子	大田区下丸子３、４
世田谷	40	用賀四丁目	世田谷区用賀４
渋谷（一部新宿区、目黒区を含む）	41	恵比寿	渋谷区恵比寿４、目黒区三田１
渋谷（一部新宿区、目黒区を含む）	50	新宿南口西	渋谷区代々木２、千駄ヶ谷５、新宿区西新宿１
渋谷（一部新宿区、目黒区を含む）	54	広尾一丁目	渋谷区広尾１
渋谷（一部新宿区、目黒区を含む）	57	新宿南口東	渋谷区千駄ヶ谷５、新宿３、４
渋谷（一部新宿区、目黒区を含む）	64	渋谷道玄坂	渋谷区道玄坂１
渋谷（一部新宿区、目黒区を含む）	80	渋谷駅街区・駅南街区	渋谷区渋谷２、３、道玄坂１、２
中野	－－－	－－－	
杉並	－－－	－－－	
豊島	4	東池袋	豊島区東池袋１，３、４、南池袋２
豊島	16	西池袋	豊島区西池袋１、２、３
北	－－－	－－－	
荒川	－－－	－－－	
板橋	※11	（光が丘）	※一部練馬区内区域に含まれる（板橋区赤塚新町３）
練馬	11	光が丘	練馬区光が丘１、２、３、４、５、６、７、旭町１、２、高松５、板橋区赤塚新町３
足立	72	北千住駅西口	足立区千住２、３
葛飾	－－－	－－－	
江戸川	－－－	－－－	
八王子	36	八王子南大沢	八王子市南大沢字２号、３号、南大沢２、３、４、５
八王子	53	八王子旭町	八王子市旭町、三崎町、中町、東町、明神町３、４
立川	44	立川曙町	立川市曙町１、２
府中	31	府中日鋼町	府中市日鋼町１番、２番、５番、寿町３
多摩	8	多摩ニュータウンセンター	多摩市落合１、２、鶴牧１、２、中沢１、２
