項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,65歳未満（円）,65歳以上（円）,(再掲）75歳以上（円）,
2,7,4,5,0,530 535-539,539,他の家事用消耗品のその他,706,6.8,713,707,654,
2,5,4,6,0,0,0,家事サービス,915,9.1,669,934,1079,
2,7,4,6,0,0,540,家事代行料,143,-10.1,314,130,140,
2,7,4,6,0,0,541,清掃代,151,-28.1,104,154,118,
2,7,4,6,0,0,542,家具・家事用品関連サービス,622,32.3,250,651,821,
2,4,5,0,0,0,0,被服及び履物,7911,-3.3,6846,7966,6983,
2,5,5,1,0,0,0,和服,139,39,976,66,11,
2,7,5,1,0,0,550,男子用和服,1,-87.5,-,1,-,
2,7,5,1,0,0,552,婦人用着物,72,4.3,593,27,4,
2,7,5,1,0,0,554,婦人用帯,59,...,383,31,-,
2,7,5,1,0,0,557,他の婦人用和服,3,-83.3,-,3,1,
2,7,5,1,0,0,558,子供用和服,4,33.3,-,5,6,
2,5,5,2,0,0,0,洋服,2597,-6.9,1734,2651,2267,
2,6,5,2,1,0,0,男子用洋服,772,2,444,794,627,
2,7,5,2,1,0,560,背広服,82,28.1,-,87,28,
2,7,5,2,1,0,561,男子用上着,68,-32,22,71,74,
2,7,5,2,1,0,562,男子用ズボン,213,0.9,87,222,174,
2,7,5,2,1,0,563,男子用コート,78,-32.2,63,82,73,
2,7,5,2,1,0,565,男子用学校制服,-,-,-,-,-,
2,7,5,2,1,0,569,他の男子用洋服,331,23.5,272,332,279,
2,6,5,2,2,0,0,婦人用洋服,1661,-9.3,1244,1683,1589,
2,7,5,2,2,0,570,婦人服,234,-29.1,69,246,186,
2,7,5,2,2,0,574,婦人用上着,136,3.8,171,133,136,
2,7,5,2,2,0,571,スカート,86,-9.5,40,88,69,
2,7,5,2,2,0,572,婦人用スラックス,405,-12.1,396,403,353,
2,7,5,2,2,0,573,婦人用コート,226,-7,256,222,290,
2,7,5,2,2,0,575,女子用学校制服,-,-,-,-,-,
2,7,5,2,2,0,576,他の婦人用洋服,575,0.9,313,592,556,
2,6,5,2,3,0,0,子供用洋服,164,-18,46,174,50,
2,7,5,2,3,0,580,子供服,154,-12.5,41,163,42,
2,7,5,2,3,0,582,乳児服,11,-54.2,4,11,8,
2,5,5,3,0,0,0,シャツ・セーター類,1690,-8.3,1177,1728,1615,
2,6,5,3,1,0,0,男子用シャツ・セーター類,500,-11.2,332,511,416,
2,7,5,3,1,0,590,ワイシャツ,58,-18.3,40,59,51,
2,7,5,3,1,0,591,他の男子用シャツ,352,22.2,237,360,282,
2,7,5,3,1,0,592,男子用セーター,90,-55.9,54,92,83,
2,6,5,3,2,0,0,婦人用シャツ・セーター類,1158,-8.1,832,1183,1183,
2,7,5,3,2,0,593,ブラウス,271,-17.1,136,280,359,
2,7,5,3,2,0,594,他の婦人用シャツ,514,15.2,396,524,427,
2,7,5,3,2,0,595,婦人用セーター,373,-23.3,300,378,398,
2,6,5,3,3,0,0,子供用シャツ・セーター類,32,60,14,34,16,
2,7,5,3,3,0,596,子供用シャツ,32,77.8,14,33,15,
2,7,5,3,3,0,597,子供用セーター,1,-50,-,1,1,
2,5,5,4,0,0,0,下着類,854,-2.7,731,862,802,
2,6,5,4,1,0,0,男子用下着類,325,-12.9,261,328,311,
2,7,5,4,1,0,600,男子用下着,247,-8.9,171,252,230,
2,7,5,4,1,0,602,男子用寝巻き,78,-23.5,89,76,81,
2,6,5,4,2,0,0,婦人用下着類,509,4.9,471,511,486,
2,7,5,4,2,0,610,婦人用ファンデーション,77,140.6,49,78,75,
2,7,5,4,2,0,612,他の婦人用下着,370,1.1,416,366,331,
2,7,5,4,2,0,614,婦人用寝巻き,62,-28.7,6,66,80,
2,6,5,4,3,0,0,子供用下着類,21,5,-,23,5,
2,7,5,4,3,0,620,子供用下着,12,33.3,-,13,3,
2,7,5,4,3,0,621,子供用寝巻き,9,-18.2,-,10,3,
2,5,5,5,0,0,0,生地・糸類,149,-12.9,82,153,130,
2,7,5,5,0,0,631,着尺地・生地,75,-33,61,76,43,
2,7,5,5,0,0,640,他の生地・糸類,74,25.4,21,78,87,
2,5,5,6,0,0,0,他の被服,681,0,588,689,665,
2,7,5,6,0,0,650,帽子,126,-1.6,66,131,127,
2,7,5,6,0,0,651,ネクタイ,13,30,11,13,17,
2,7,5,6,0,0,652,マフラー・スカーフ,60,33.3,3,64,55,
2,7,5,6,0,0,653,手袋,51,50,30,52,52,
2,7,5,6,0,0,654,男子用靴下,94,-17.5,91,94,89,
2,7,5,6,0,0,655,婦人用ストッキング,33,-21.4,105,29,35,
2,7,5,6,0,0,656,婦人用ソックス,141,11,159,140,137,
2,7,5,6,0,0,657,子供用靴下,3,-62.5,-,3,1,
2,7,5,6,0,0,659,他の被服のその他,159,-7.6,123,162,152,
2,5,5,7,0,0,0,履物類,1059,-8.3,1028,1059,870,
2,7,5,7,0,0,675,運動靴,173,-12.6,273,165,122,
2,7,5,7,0,0,679,サンダル,32,-20,28,32,32,
2,7,5,7,0,0,670,男子靴,236,1.7,365,226,167,
2,7,5,7,0,0,672,婦人靴,475,-9.4,215,495,427,
2,7,5,7,0,0,676,子供靴,10,42.9,-,11,-,
2,7,5,7,0,0,680,他の履物,132,-14.3,146,131,121,
2,5,5,8,0,0,0,被服関連サービス,742,31.8,532,759,623,
2,7,5,8,0,0,691,洗濯代,535,13.3,453,542,482,
2,7,5,8,0,0,694,被服賃借料,6,...,69,3,5,
2,7,5,8,0,0,692,他の被服関連サービス,201,120.9,10,215,136,
2,4,6,0,0,0,0,保健医療,17066,3.6,15718,17084,18116,
2,5,6,1,0,0,0,医薬品,3221,7.8,3216,3211,3292,
2,7,6,1,0,0,700,感冒薬,129,13.2,208,123,88,
2,7,6,1,0,0,701,胃腸薬,143,17.2,698,104,117,
2,7,6,1,0,0,702,栄養剤,256,-7.9,242,257,293,
2,7,6,1,0,0,704,外傷・皮膚病薬,69,6.2,61,69,58,
2,7,6,1,0,0,706,他の外用薬,245,-7.2,185,250,239,
2,7,6,1,0,0,709,他の医薬品,2378,10.9,1822,2408,2498,
2,5,6,2,0,0,710,健康保持用摂取品,1655,20.6,990,1703,1975,
2,5,6,3,0,0,0,保健医療用品・器具,2141,-0.2,2554,2113,2361,
2,7,6,3,0,0,713,紙おむつ,84,-30.6,163,79,75,
2,7,6,3,0,0,711,保健用消耗品,523,-5.1,699,512,502,
2,7,6,3,0,0,712,眼鏡,933,14.6,540,961,1072,
2,7,6,3,0,0,714,コンタクトレンズ,108,170,449,82,46,
2,7,6,3,0,0,719,他の保健医療用品・器具,494,-20.3,702,480,667,
2,5,6,4,0,0,0,保健医療サービス,10049,0.8,8958,10057,10487,
2,7,6,4,0,0,720,医科診療代,4317,5.3,2691,4425,4021,
2,7,6,4,0,0,722,歯科診療代,1772,-17,1695,1769,1286,
2,7,6,4,0,0,723,出産入院料,-,-,-,-,-,
2,7,6,4,0,0,721,他の入院料,2719,15.8,3724,2597,3963,
2,7,6,4,0,0,724,整骨(接骨)・鍼灸院治療代,368,-4.9,5,394,462,
2,7,6,4,0,0,728,マッサージ料金等(診療外),221,-22.7,424,205,245,
2,7,6,4,0,0,727,人間ドック等受診料,385,-8.6,228,396,233,
2,7,6,4,0,0,729,他の保健医療サービス,267,-9.8,192,271,278,
2,4,7,0,0,0,0,交通・通信,26432,12.5,32662,26018,21109,
2,5,7,1,0,0,0,交通,5753,17.2,9325,5507,4588,
2,7,7,1,0,0,730,鉄道運賃,2678,6.2,4158,2563,1946,
2,7,7,1,0,0,731,鉄道通学定期代,85,372.2,1462,10,18,
2,7,7,1,0,0,732,鉄道通勤定期代,320,7.4,598,296,382,
2,7,7,1,0,0,733,バス代,338,9,348,336,189,
2,7,7,1,0,0,734,バス通学定期代,5,150,79,-,-,
2,7,7,1,0,0,735,バス通勤定期代,61,17.3,13,63,99,
2,7,7,1,0,0,736,タクシー代,647,-8.1,271,675,830,
2,7,7,1,0,0,737,航空運賃,930,206.9,1354,906,854,
2,7,7,1,0,0,738,有料道路料,577,-1.5,623,572,229,
2,7,7,1,0,0,739,他の交通,112,-2.6,419,85,41,
2,5,7,2,0,0,0,自動車等関係費,11972,25.7,9573,12160,9476,
2,6,7,2,1,0,0,自動車等購入,3796,145.7,-,4092,4206,
2,7,7,2,1,0,740,自動車購入,3796,150.9,-,4092,4206,
2,7,7,2,1,0,742,自動車以外の輸送機器購入,-,-100,-,-,-,
2,6,7,2,2,0,745,自転車購入,169,26.1,198,163,97,
2,6,7,2,3,0,0,自動車等維持,8007,2.1,9375,7905,5173,
2,7,7,2,3,0,750,ガソリン,1546,5.2,1989,1516,890,
2,7,7,2,3,0,751,自動車等部品,786,30.8,860,779,385,
2,7,7,2,3,0,752,自動車等関連用品,440,45.2,263,455,329,
2,7,7,2,3,0,753,自動車整備費,1159,-7.2,985,1161,804,
2,7,7,2,3,0,755,自動車以外の輸送機器整備費,56,-8.2,68,55,42,
2,7,7,2,3,0,75X,年極・月極駐車場借料,1324,10.7,2943,1214,818,
2,7,7,2,3,0,756,他の駐車場借料,144,5.1,78,149,107,
2,7,7,2,3,0,75B,レンタカー・カーシェアリング料金,117,-50,-,126,75,
2,7,7,2,3,0,754,他の自動車等関連サービス,429,16.3,421,428,292,
2,7,7,2,3,0,757,自動車保険料（自賠責）,384,3.8,321,385,274,
2,7,7,2,3,0,758,自動車保険料（任   意）,1616,-11.1,1419,1631,1149,
2,7,7,2,3,0,759,自動車保険料以外の輸送機器保険料,7,-80,28,5,8,
2,5,7,3,0,0,0,通信,8706,-4,13764,8350,7045,
2,7,7,3,0,0,760,郵便料,463,3.8,306,477,447,
2,7,7,3,0,0,762,固定電話通信料,2068,-13.2,1699,2093,2050,
2,7,7,3,0,0,763,移動電話通信料,5390,-3.4,10781,5015,3799,
2,7,7,3,0,0,769,運送料,450,18.7,313,460,531,
2,7,7,3,0,0,766,移動電話,262,50.6,628,229,153,
2,7,7,3,0,0,764,他の通信機器,74,-30.2,36,77,65,
2,4,8,0,0,0,0,教育,1251,124.2,19038,137,230,
2,5,8,1,0,0,0,授業料等,1101,231.6,18039,37,63,
2,7,8,1,0,0,770,国公立小学校,-,-100,-,-,-,
2,7,8,1,0,0,771,私立小学校,-,-,-,-,-,
2,7,8,1,0,0,772,国公立中学校,1,-85.7,-,1,2,
2,7,8,1,0,0,773,私立中学校,85,...,1360,-,-,
2,7,8,1,0,0,774,国公立高校,-,-100,-,-,-,
2,7,8,1,0,0,775,私立高校,213,545.5,2873,36,61,
2,7,8,1,0,0,776,国公立大学,133,...,1672,-,-,
2,7,8,1,0,0,777,私立大学,669,165.5,12134,-,-,
2,7,8,1,0,0,778,幼児教育費用,-,-100,-,-,-,
2,7,8,1,0,0,779,専修学校,-,-,-,-,-,
2,5,8,2,0,0,0,教科書・学習参考教材,12,-14.3,101,4,1,
2,7,8,2,0,0,780,教科書,8,700,101,-,-,
2,7,8,2,0,0,781,学習参考教材,4,-69.2,-,4,1,
2,5,8,3,0,0,0,補習教育,139,-34.4,897,96,166,
2,7,8,3,0,0,790,幼児・小学校補習教育,-,-100,-,-,-,
2,7,8,3,0,0,791,中学校補習教育,113,-8.9,688,85,146,
2,7,8,3,0,0,792,高校補習教育・予備校,26,-63.4,209,11,20,
2,4,9,0,0,0,0,教養娯楽,32998,8.9,31291,33140,26205,
2,5,9,1,0,0,0,教養娯楽用耐久財,1789,24.2,3354,1684,1162,
2,7,9,1,0,0,801,テレビ,468,15.8,548,464,293,
2,7,9,1,0,0,803,携帯型音楽・映像用機器,2,100,-,2,3,
2,7,9,1,0,0,813,ビデオレコーダー・プレイヤー,76,-24.8,340,59,63,
2,7,9,1,0,0,810,パーソナルコンピュータ,579,7.8,1845,488,219,
2,7,9,1,0,0,804,カメラ,139,67.5,358,128,79,
2,7,9,1,0,0,811,ビデオカメラ,-,-,-,-,-,
2,7,9,1,0,0,806,楽器,46,142.1,4,48,9,
2,7,9,1,0,0,807,書斎・学習用机・椅子,74,516.7,-,80,102,
2,7,9,1,0,0,809,他の教養娯楽用耐久財,258,49.1,81,271,281,
2,7,9,1,0,0,812,教養娯楽用耐久財修理代,147,33.6,178,145,114,
2,5,9,2,0,0,0,教養娯楽用品,5841,16.4,5603,5866,5180,
2,7,9,2,0,821-829,0,文房具,456,31,336,467,373,
2,7,9,2,0,821-829,821,筆記・絵画用具,65,16.1,33,67,63,
2,7,9,2,0,821-829,826,ノート・紙製品,209,18.1,198,211,194,
2,7,9,2,0,821-829,827,他の学習用消耗品,28,0,40,28,23,
2,7,9,2,0,821-829,828,他の学習用文房具,56,33.3,24,58,53,
2,7,9,2,0,821-829,829,他の文房具,99,115.2,41,104,40,
2,7,9,2,0,832-834,0,運動用具類,637,13.5,783,631,430,
2,7,9,2,0,832-834,832,ゴルフ用具,61,-38.4,-,67,28,
2,7,9,2,0,832-834,833,他の運動用具,117,31.5,74,120,82,
2,7,9,2,0,832-834,834,スポーツ用品,459,23.1,709,444,320,
2,7,9,2,0,835-837,0,玩具,204,7.4,137,209,98,
2,7,9,2,0,835-837,836,テレビゲーム機,-,-100,-,-,-,
2,7,9,2,0,835-837,835,ゲームソフト等,4,-42.9,-,4,2,
2,7,9,2,0,835-837,837,他の玩具,200,23.5,137,205,97,
2,7,9,2,0,0,840,切り花,964,-3.2,546,994,1023,
2,7,9,2,0,842 843 845-849 84A 84Y,0,他の教養娯楽用品,2569,15.2,2096,2603,2220,
2,7,9,2,0,842 843 845-849 84A 84Y,846,音楽・映像用未使用メディア,52,33.3,45,52,33,
2,7,9,2,0,842 843 845-849 84A 84Y,845,音楽・映像収録済メディア,87,-42,51,89,66,
2,7,9,2,0,842 843 845-849 84A 84Y,848,ペットフード,633,5,559,638,535,
2,7,9,2,0,842 843 845-849 84A 84Y,84Y,他の愛玩動物・同用品,284,22.4,375,278,272,
2,7,9,2,0,842 843 845-849 84A 84Y,84A,園芸用植物,361,37.3,205,374,306,
2,7,9,2,0,842 843 845-849 84A 84Y,847,園芸用品,290,19.3,113,303,180,
2,7,9,2,0,842 843 845-849 84A 84Y,843,手芸・工芸材料,46,-50.5,47,46,42,
2,7,9,2,0,842 843 845-849 84A 84Y,849,電池,194,-4,174,196,204,
2,7,9,2,0,842 843 845-849 84A 84Y,842,他の教養娯楽用品のその他,623,54.2,528,628,583,
2,7,9,2,0,0,84X,動物病院代,752,57,1175,726,840,
2,7,9,2,0,0,841,他の愛玩動物関連サービス,250,30.2,531,228,180,
2,7,9,2,0,0,844,教養娯楽用品修理代,9,-55,-,9,17,
2,5,9,3,0,0,0,書籍・他の印刷物,4299,-3.9,2704,4414,4306,
2,7,9,3,0,0,850,新聞,3428,-5.6,2027,3529,3516,
2,7,9,3,0,0,851,雑誌（週刊誌を含む）,240,1.3,128,249,191,
2,7,9,3,0,0,854,書籍,528,10.5,473,531,497,
2,7,9,3,0,0,859,他の印刷物,103,-18.9,76,105,102,
2,5,9,4,0,0,0,教養娯楽サービス,21070,8.8,19629,21176,15557,
2,6,9,4,1,0,860,宿泊料,2607,13.1,3651,2541,2157,
2,6,9,4,2,0,0,パック旅行費,6728,22.7,2381,7038,3759,
2,7,9,4,2,0,861,国内パック旅行費,3345,2.7,2381,3408,2477,
2,7,9,4,2,0,862,外国パック旅行費,3383,51.8,-,3630,1282,
2,6,9,4,3,0,0,月謝類,1981,3.8,2881,1911,1690,
2,7,9,4,3,0,875,語学月謝,130,88.4,494,104,92,
2,7,9,4,3,0,870,他の教育的月謝,123,44.7,-,132,181,
2,7,9,4,3,0,876,音楽月謝,429,6.5,1256,370,286,
2,7,9,4,3,0,871,他の教養的月謝,466,32,164,487,470,
2,7,9,4,3,0,872,スポーツ月謝,477,-14.4,758,453,408,
2,7,9,4,3,0,873,自動車教習料,33,94.1,-,35,32,
2,7,9,4,3,0,874,家事月謝,66,43.5,209,55,71,
2,7,9,4,3,0,879,他の月謝類,258,-31.7,1,276,151,
2,6,9,4,4,0,0,他の教養娯楽サービス,9753,0.9,10716,9687,7951,
2,7,9,4,4,880 88A 88B,0,放送受信料,2931,-1.1,3348,2898,2839,
2,7,9,4,4,880 88A 88B,88A,ＮＨＫ放送受信料,1406,-1.9,1572,1389,1385,
2,7,9,4,4,880 88A 88B,88B,ケーブルテレビ放送受信料,1352,1.2,1639,1334,1289,
2,7,9,4,4,880 88A 88B,880,他の放送受信料,173,-10.4,137,175,165,
2,7,9,4,4,877 878 881-886,0,入場・観覧・ゲーム代,3436,-3.2,3220,3463,2398,
2,7,9,4,4,877 878 881-886,882,映画・演劇等入場料,667,12.1,707,665,483,
2,7,9,4,4,877 878 881-886,883,スポーツ観覧料,48,-15.8,209,34,25,
2,7,9,4,4,877 878 881-886,877,ゴルフプレー料金,1230,-9.6,186,1307,665,
2,7,9,4,4,877 878 881-886,878,スポーツクラブ使用料,618,-26.8,628,619,583,
2,7,9,4,4,877 878 881-886,881,他のスポーツ施設使用料,328,40.2,1139,277,124,
2,7,9,4,4,877 878 881-886,884,文化施設入場料,195,9.6,159,198,148,
2,7,9,4,4,877 878 881-886,886,遊園地入場・乗物代,48,9.1,97,45,46,
2,7,9,4,4,877 878 881-886,885,他の入場・ゲーム代,303,28.9,97,318,325,
2,7,9,4,4,0,888,諸会費,458,16.5,1248,388,485,
2,7,9,4,4,0,887,写真撮影・プリント代,63,-43.2,81,62,52,
2,7,9,4,4,0,88X,教養娯楽賃借料,74,-26.7,42,76,73,
2,7,9,4,4,0,88Y,インターネット接続料,2102,7,2347,2086,1657,
2,7,9,4,4,0,889,他の教養娯楽サービスのその他,690,17.7,431,713,449,
2,4,10,0,0,0,0,その他の消費支出,43323,0,29967,44268,45144,
2,5,10,1,0,0,0,諸雑費,24785,22.8,17545,25288,25959,
2,6,10,1,1,0,0,理美容サービス,3454,-1.1,3284,3463,3290,
2,7,10,1,1,0,890,温泉・銭湯入浴料,70,-19.5,109,69,39,
2,7,10,1,1,0,891,理髪料,560,17.6,523,563,549,
2,7,10,1,1,0,892,パーマネント代,568,-2.2,87,601,855,
2,7,10,1,1,0,894,カット代,533,1.1,943,505,508,
2,7,10,1,1,0,899,他の理美容代,1723,-5.5,1622,1726,1340,
2,6,10,1,2,0,0,理美容用品,3813,13.7,3727,3819,3647,
2,7,10,1,2,0,900,理美容用電気器具,129,25.2,103,131,90,
2,7,10,1,2,0,901,歯ブラシ,141,23.7,175,139,129,
2,7,10,1,2,0,903,他の理美容用品,244,27.7,73,258,139,
2,7,10,1,2,904-915,0,石けん類・化粧品,3298,11.9,3376,3291,3290,
2,7,10,1,2,904-915,904,浴用・洗顔石けん,314,11,401,311,270,
2,7,10,1,2,904-915,905,シャンプー,168,5,177,167,163,
2,7,10,1,2,904-915,908,ヘアリンス・ヘアトリートメント,91,-8.1,146,87,70,
2,7,10,1,2,904-915,906,歯磨き,260,20.4,283,258,230,
2,7,10,1,2,904-915,907,整髪・養毛剤,187,-10.5,309,178,179,
2,7,10,1,2,904-915,909,化粧クリーム,357,26.6,238,366,447,
2,7,10,1,2,904-915,910,化粧水,276,6.2,376,270,265,
2,7,10,1,2,904-915,914,乳液,129,21.7,253,119,155,
2,7,10,1,2,904-915,911,ファンデーション,172,39.8,140,173,217,
2,7,10,1,2,904-915,912,口紅,46,-22,57,44,38,
2,7,10,1,2,904-915,915,ヘアカラーリング剤,149,13.7,153,148,109,
2,7,10,1,2,904-915,913,他の化粧品,1150,12.7,843,1171,1147,
2,6,10,1,3,0,0,身の回り用品,1282,12,850,1317,1052,
2,7,10,1,3,0,920,傘,87,35.9,13,93,80,
2,7,10,1,3,924-927,0,かばん類,458,4.6,171,481,350,
2,7,10,1,3,924-927,924,ハンドバッグ,280,-2.4,104,294,193,
2,7,10,1,3,924-927,925,通学用かばん,31,...,-,33,23,
2,7,10,1,3,924-927,926,旅行用かばん,36,5.9,-,39,16,
2,7,10,1,3,924-927,927,他のバッグ,111,-5.1,67,115,119,
2,7,10,1,3,0,928,装身具,305,-1.6,231,306,201,
2,7,10,1,3,0,930,腕時計,57,-36,116,56,89,
2,7,10,1,3,0,932,他の身の回り用品,286,43,310,287,219,
2,7,10,1,3,0,935,身の回り用品関連サービス,89,102.3,9,94,113,
2,6,10,1,4,0,940,たばこ,627,-15.6,1124,590,248,
2,6,10,1,5,0,0,他の諸雑費,15608,36.4,8559,16100,17722,
2,7,10,1,5,0,950,信仰・祭祀費,1594,8.8,870,1642,1606,
2,7,10,1,5,0,955,祭具・墓石,2031,483.6,226,2134,3757,
2,7,10,1,5,0,956,婚礼関係費,577,...,-,626,-,
2,7,10,1,5,0,957,葬儀関係費,2356,100,-,2539,3067,
2,7,10,1,5,0,958,他の冠婚葬祭費,142,43.4,39,149,132,
2,7,10,1,5,0,95X,医療保険料,1599,-18.2,1143,1637,1661,
2,7,10,1,5,0,952,他の非貯蓄型保険料,3968,-2.7,4196,3944,3672,
2,7,10,1,5,0,953,寄付金,739,85.2,1366,685,542,
2,7,10,1,5,0,954,保育費用,-,-,-,-,-,
2,7,10,1,5,0,951,介護サービス,1266,4.4,114,1350,1948,
2,7,10,1,5,0,959,他の諸雑費のその他,1338,89,606,1394,1337,
2,5,10,2,0,0,0,こづかい,5667,-2.4,4333,5761,5904,
2,6,10,2,0,0,960,世帯主こづかい,4359,6.6,2693,4475,4360,
2,6,10,2,0,0,961,他のこづかい,1307,-23.9,1641,1287,1544,
2,5,10,3,0,0,0,交際費,11790,-25.8,7927,12065,12629,
2,6,10,3,6,0,970,贈与金,9528,-29.4,4142,9925,10553,
2,7,10,3,6,0,0,贈与金,9528,-29.4,4142,9925,10553,
2,6,10,3,7,0,0,他の交際費,2262,-5.2,3784,2140,2075,
2,7,10,3,7,0,971,つきあい費,21,-46.2,6,23,30,
2,7,10,3,7,0,973,住宅関係負担費,1948,-8.5,3580,1817,1701,
2,7,10,3,7,0,972,他の負担費,292,33.3,199,300,345,
2,5,10,4,0,0,0,仕送り金,1082,-25.6,162,1153,653,
2,6,10,4,0,0,980,国内遊学仕送り金,-,-100,-,-,-,
2,6,10,4,0,0,981,他の仕送り金,1082,1.3,162,1153,653,
2,3,0,0,0,0,0,土地家屋購入,2306,...,-,2458,-,
2,2,0,0,0,0,0,その他の実支出,32033,8.4,30370,32205,30429,
2,3,0,0,0,0,0,直接税,14215,-2.6,14145,14212,13894,
2,4,0,0,0,0,0,勤労所得税,297,86.8,609,275,341,
2,4,0,0,0,0,0,個人住民税,3954,-7.6,1458,4126,3785,
2,4,0,0,0,0,0,他の税,9964,-1.9,12078,9811,9769,
2,3,0,0,0,0,0,社会保険料,17783,20.7,16225,17955,16528,
2,4,0,0,0,0,0,公的年金保険料,1688,40.3,6984,1390,1303,
2,4,0,0,0,0,0,健康保険料,10279,15,7549,10449,9157,
2,4,0,0,0,0,0,介護保険料,5791,26.2,1633,6095,6046,
2,4,0,0,0,0,0,他の社会保険料,24,118.2,60,21,22,
2,3,0,0,0,0,0,その他,35,-83.3,-,38,7,
2,1,0,0,0,0,0,実支出以外の支払(繰越金を除く),259623,25.9,206441,263486,247551,
2,2,0,0,0,0,0,預貯金,212045,26,154542,216298,209512,
2,2,0,0,0,0,0,保険料,8717,4.6,6823,8833,9360,
2,3,0,0,0,0,0,個人・企業年金保険料,419,-68.3,589,403,216,
2,3,0,0,0,0,0,他の保険料,8298,18.4,6234,8430,9144,
2,2,0,0,0,0,0,有価証券購入,4603,618.1,81,4844,2348,
2,2,0,0,0,0,0,土地家屋借金返済,2705,-8.1,4832,2547,2482,
2,2,0,0,0,0,0,他の借金返済,606,143.4,-,655,990,
2,2,0,0,0,0,0,分割払購入借入金返済,1407,90.7,1195,1423,1566,
2,2,0,0,0,0,0,一括払購入借入金返済,28657,19.5,38755,27959,20101,
2,2,0,0,0,0,0,実支出以外の支払のその他,884,-21.8,213,930,1193,
2,1,0,0,0,0,0,繰越金,63716,-1.2,52470,64444,62962,
,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,
第３１表　世帯主年齢階層別１世帯当たり年平均１か月間の収入と品目別生計支出　―　無職世帯　―,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払）,,,,,,,,,,,,,*G列305行目、G列306行目、E列684行目のコードを修正しました（令和2年9月30日）。
