年・期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男計／１５歳以上人口（千人）,男計／１５歳以上人口／労働力人口（千人）,男計／１５歳以上人口／労働力人口／就業者数（千人）,男計／１５歳以上人口／労働力人口／完全失業者数（千人）,男計／１５歳以上人口／非労働力人口（千人）,男計／労働力人口比率（％、ポイント）,男計／就業率（％、ポイント）,男計／完全失業率（％、ポイント）,女計／１５歳以上人口（千人）,女計／１５歳以上人口／労働力人口（千人）,女計／１５歳以上人口／労働力人口／就業者数（千人）,女計／１５歳以上人口／労働力人口／完全失業者数（千人）,女計／１５歳以上人口／非労働力人口（千人）,女計／労働力人口比率（％、ポイント）,女計／就業率（％、ポイント）,女計／完全失業率（％、ポイント）
実数／平成29年10～12月平均,12189,7953,7723,230,4227,65.2,63.4,2.9,5974,4456,4314,142,1516,74.6,72.2,3.2,6214,3497,3409,88,2711,56.3,54.9,2.5
実数／平成30年１～３月平均,12197,8094,7875,218,4099,66.4,64.6,2.7,5978,4501,4376,125,1476,75.3,73.2,2.8,6219,3593,3499,94,2623,57.8,56.3,2.6
実数／平成30年４～６月平均,12264,8202,7966,236,4049,66.9,65,2.9,6005,4587,4449,138,1415,76.4,74.1,3,6258,3615,3517,98,2634,57.8,56.2,2.7
実数／平成30年７～９月平均,12262,8098,7899,198,4154,66,64.4,2.4,6006,4542,4412,130,1460,75.6,73.5,2.9,6256,3556,3487,69,2694,56.8,55.7,1.9
実数／平成30年10～12月平均,12279,8136,7946,190,4139,66.3,64.7,2.3,6012,4537,4435,102,1475,75.5,73.8,2.2,6267,3599,3511,88,2665,57.4,56,2.4
実数／平成31年・令和元年１～３月平均,12291,8244,8051,193,4023,67.1,65.5,2.3,6017,4568,4461,108,1437,75.9,74.1,2.4,6274,3675,3591,85,2586,58.6,57.2,2.3
実数／平成31年・令和元年４～６月平均,12348,8352,8153,200,3988,67.6,66,2.4,6041,4625,4508,117,1413,76.6,74.6,2.5,6307,3728,3644,83,2576,59.1,57.8,2.2
実数／平成31年・令和元年７～９月平均,12359,8235,8053,182,4116,66.6,65.2,2.2,6047,4591,4480,111,1451,75.9,74.1,2.4,6312,3644,3573,71,2665,57.7,56.6,1.9
実数／平成31年・令和元年10～12月平均,12372,8184,7985,198,4180,66.1,64.5,2.4,6054,4550,4432,118,1497,75.2,73.2,2.6,6319,3633,3553,80,2683,57.5,56.2,2.2
実数／令和２年１～３月平均,12384,8262,8049,213,4114,66.7,65,2.6,6060,4568,4433,135,1488,75.4,73.2,3,6324,3694,3616,78,2626,58.4,57.2,2.1
実数／令和２年４～６月平均,12432,8398,8127,271,4027,67.6,65.4,3.2,6079,4633,4468,165,1442,76.2,73.5,3.6,6353,3765,3659,106,2585,59.3,57.6,2.8
実数／令和２年７～９月平均,12429,8313,8022,291,4106,66.9,64.5,3.5,6075,4660,4499,161,1411,76.7,74.1,3.5,6354,3653,3522,131,2694,57.5,55.4,3.6
実数／令和２年10～12月平均,12470,8552,8295,258,3910,68.6,66.5,3,6090,4726,4574,152,1360,77.6,75.1,3.2,6379,3826,3720,106,2550,60,58.3,2.8
実数／令和３年１～３月平均,12467,8411,8180,231,4039,67.5,65.6,2.7,6086,4652,4514,138,1426,76.4,74.2,3,6381,3759,3666,93,2613,58.9,57.5,2.5
実数／令和３年４～６月平均,12498,8431,8111,320,4058,67.5,64.9,3.8,6100,4639,4427,212,1455,76,72.6,4.6,6398,3792,3684,108,2602,59.3,57.6,2.8
実数／令和３年７～９月平均,12476,8490,8228,263,3979,68.1,66,3.1,6089,4667,4502,165,1419,76.6,73.9,3.5,6387,3824,3726,98,2559,59.9,58.3,2.6
実数／令和３年10～12月平均,12465,8608,8403,205,3851,69.1,67.4,2.4,6083,4729,4609,120,1352,77.7,75.8,2.5,6381,3879,3794,85,2500,60.8,59.5,2.2
実数／令和４年１～３月平均,12457,8452,8212,240,3994,67.8,65.9,2.8,6080,4635,4494,140,1443,76.2,73.9,3,6377,3817,3718,99,2551,59.9,58.3,2.6
対前年・対前年同期増減数／平成27年平均,85,76,88,-12,9,0.2,0.3,-0.2,38,48,49,-1,-10,0.3,0.4,-0.1,46,27,39,-11,20,0,0.3,-0.4
対前年・対前年同期増減数／平成28年平均,140,93,117,-24,47,0,0.2,-0.4,67,28,56,-27,40,-0.4,0.1,-0.6,72,64,61,4,8,0.4,0.4,0.1
対前年・対前年同期増減数／平成29年平均,93,140,165,-25,-48,0.6,0.9,-0.3,42,37,44,-8,5,0.1,0.3,-0.2,53,104,120,-18,-54,1.2,1.4,-0.6
対前年・対前年同期増減数／平成30年平均,93,225,240,-15,-134,1.4,1.5,-0.3,38,76,86,-11,-38,0.8,0.9,-0.3,53,149,155,-5,-96,2,2.1,-0.3
対前年・対前年同期増減数／平成31年・令和元年平均,92,121,139,-18,-33,0.5,0.6,-0.3,40,42,52,-10,-7,0.2,0.4,-0.2,53,79,86,-7,-27,0.7,0.9,-0.2
対前年・対前年同期増減数／令和２年平均,66,108,43,65,-38,0.5,0,0.8,27,54,15,40,-23,0.5,-0.1,0.8,39,54,29,25,-14,0.5,0.1,0.6
対前年・対前年同期増減数／令和３年平均,67,123,127,-3,-57,0.6,0.7,-0.1,22,34,28,6,-13,0.3,0.2,0.1,45,89,99,-9,-44,1,1.1,-0.3
対前年・対前年同期増減数／平成29年１～３月平均,96,161,194,-33,-68,0.9,1.1,-0.5,44,51,57,-7,-8,0.3,0.4,-0.2,52,110,137,-27,-60,1.3,1.8,-0.9
対前年・対前年同期増減数／平成29年４～６月平均,91,147,189,-42,-60,0.8,1.1,-0.6,41,49,63,-14,-9,0.3,0.5,-0.3,52,98,126,-28,-51,1.2,1.6,-0.9
対前年・対前年同期増減数／平成29年７～９月平均,95,167,165,2,-66,0.9,0.9,0,42,51,50,1,-4,0.3,0.3,0,53,115,115,1,-62,1.4,1.5,-0.1
対前年・対前年同期増減数／平成29年10～12月平均,91,84,112,-28,1,0.2,0.5,-0.4,39,-4,9,-13,43,-0.5,-0.3,-0.3,52,89,104,-15,-41,1,1.3,-0.5
対前年・対前年同期増減数／平成30年１～３月平均,87,299,315,-17,-210,2,2.2,-0.3,36,88,97,-8,-50,1,1.2,-0.2,51,211,218,-7,-160,3,3.1,-0.4
対前年・対前年同期増減数／平成30年４～６月平均,105,290,280,10,-191,1.8,1.8,0,43,101,96,4,-59,1.2,1.1,0,60,189,184,5,-132,2.5,2.4,0
対前年・対前年同期増減数／平成30年７～９月平均,87,128,142,-15,-46,0.5,0.7,-0.3,37,33,28,5,1,0.1,0.1,0.1,50,95,114,-19,-47,1,1.3,-0.6
対前年・対前年同期増減数／平成30年10～12月平均,90,183,223,-40,-88,1.1,1.3,-0.6,38,81,121,-40,-41,0.9,1.6,-1,53,102,102,0,-46,1.1,1.1,-0.1
対前年・対前年同期増減数／平成31年・令和元年１～３月平均,94,150,176,-25,-76,0.7,0.9,-0.4,39,67,85,-17,-39,0.6,0.9,-0.4,55,82,92,-9,-37,0.8,0.9,-0.3
対前年・対前年同期増減数／平成31年・令和元年４～６月平均,84,150,187,-36,-61,0.7,1,-0.5,36,38,59,-21,-2,0.2,0.5,-0.5,49,113,127,-15,-58,1.3,1.6,-0.5
対前年・対前年同期増減数／平成31年・令和元年７～９月平均,97,137,154,-16,-38,0.6,0.8,-0.2,41,49,68,-19,-9,0.3,0.6,-0.5,56,88,86,2,-29,0.9,0.9,0
対前年・対前年同期増減数／平成31年・令和元年10～12月平均,93,48,39,8,41,-0.2,-0.2,0.1,42,13,-3,16,22,-0.3,-0.6,0.4,52,34,42,-8,18,0.1,0.2,-0.2
対前年・対前年同期増減数／令和２年１～３月平均,93,18,-2,20,91,-0.4,-0.5,0.3,43,0,-28,27,51,-0.5,-0.9,0.6,50,19,25,-7,40,-0.2,0,-0.2
対前年・対前年同期増減数／令和２年４～６月平均,84,46,-26,71,39,0,-0.6,0.8,38,8,-40,48,29,-0.4,-1.1,1.1,46,37,15,23,9,0.2,-0.2,0.6
対前年・対前年同期増減数／令和２年７～９月平均,70,78,-31,109,-10,0.3,-0.7,1.3,28,69,19,50,-40,0.8,0,1.1,42,9,-51,60,29,-0.2,-1.2,1.7
対前年・対前年同期増減数／令和２年10～12月平均,98,368,310,60,-270,2.5,2,0.6,36,176,142,34,-137,2.4,1.9,0.6,60,193,167,26,-133,2.5,2.1,0.6
対前年・対前年同期増減数／令和３年１～３月平均,83,149,131,18,-75,0.8,0.6,0.1,26,84,81,3,-62,1,1,0,57,65,50,15,-13,0.5,0.3,0.4
対前年・対前年同期増減数／令和３年４～６月平均,66,33,-16,49,31,-0.1,-0.5,0.6,21,6,-41,47,13,-0.2,-0.9,1,45,27,25,2,17,0,0,0
対前年・対前年同期増減数／令和３年７～９月平均,47,177,206,-28,-127,1.2,1.5,-0.4,14,7,3,4,8,-0.1,-0.2,0,33,171,204,-33,-135,2.4,2.9,-1
対前年・対前年同期増減数／令和３年10～12月平均,-5,56,108,-53,-59,0.5,0.9,-0.6,-7,3,35,-32,-8,0.1,0.7,-0.7,2,53,74,-21,-50,0.8,1.2,-0.6
対前年・対前年同期増減数／令和４年１～３月平均,-10,41,32,9,-45,0.3,0.3,0.1,-6,-17,-20,2,17,-0.2,-0.3,0,-4,58,52,6,-62,1,0.8,0.1
,,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和４年１～３月期平均）,,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,,
