自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総数内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,"D　電子資料等の利用館外貸出
有：1
無：0","D　電子資料等の利用機器提供
有：1
無：0",H　 備考備考
目黒区,"277,803",14.67,8,0,0,0,"2,487","1,184,598","230,018","21,612","15,610","280,416","1,046",235,0,0,"39,132",0,122,0,0,514,"2,193,883","126,467","8,560","74,101","47,987","4,133,416","2,744,510","1,064,225","201,904","1,045","38,615","14,499","12,710","1,726",63,"1,192,583","1,178,096","7,184","6,987",648,"5,883",424,28,4,0,0,316,"233,493",8,"1,327",1,3,1,0,0,
大田区,"726,191",60.75,16,0,0,0,"5,223","1,824,372","425,668","14,643","49,872","578,313","1,959",146,0,"11,056","95,892",0,"1,554","3,727",0,0,"2,019,651","165,391","25,464","114,753","107,364","5,445,801","5,111,537","1,851,440","407,552","1,437","133,202","12,107","9,907",505,"1,695","1,492,258","1,483,272","1,311","7,674",597,"6,041",513,452,71,0,0,1,"214,828",0,"83,333",0,16,16,0,0,
世田谷区,"903,613",58.05,16,7,0,0,"5,096","1,889,262","487,121","12,110","51,258","206,200","2,974",181,0,342,"59,157",0,0,993,0,166,未取得,"260,824","42,719",不明,不明,"6,462,577",不明,"2,163,965","260,583",521,"77,264","7,309","6,619",626,64,"1,935,564","1,901,955","20,243","12,529",929,"10,912",512,50,112,14,0,837,"456,859",7,"78,364",1,16,2,0,0,
渋谷区,"225,717",15.11,10,0,0,0,"2,918","923,623","190,912","10,741","18,021","174,475","1,223",136,0,"3,847","21,001",0,0,"4,136",0,0,"1,449,278","126,710","8,728","126,710","67,113","1,910,637",不明,"540,563","71,909",421,"56,967","4,674","4,510",156,8,"719,753","711,856",0,"7,488",287,"5,111",154,85,4,0,"1,847",409,"94,133",1,"33,147",0,1,1,1,1,
中野区,"329,577",15.59,8,0,0,0,"2,654","978,904","192,811","12,574","34,657","308,910","1,183",327,"2,389","1,340","22,051",0,"5,309",199,"1,631",0,"878,211","54,845","8,458",不明,不明,"2,001,517",不明,"330,750","77,034",438,"29,599","9,616","8,879",723,14,"647,489","532,876","1,647","11,347",538,"10,319",382,不明,96,不明,12,"101,619","194,740",1,"74,528",1,8,1,0,1,
杉並区,"566,551",34.06,13,2,0,0,"4,245","2,243,803","611,316","9,660","35,758","757,562","2,005",250,"1,245",898,"28,657",0,0,0,"1,592",17,"2,778,233","183,580","21,865",不明,不明,"4,414,692",不明,"871,175","94,512","1,150","222,945","11,463","10,682",735,46,"1,399,951","1,392,658",不明,"6,351",723,"5,261",323,28,16,未取得,0,942,"327,785",4,"29,971",0,13,13,0,0,C サービス・貸出・予約の「予約受付」中「所蔵資料を提供」について、平成29年度からはweb予約、サービスコーナー等窓口での予約冊数を中央図書館の数値に含めた（平成28年度以前の調査では含んでいない）。
豊島区,"287,623",13.01,7,0,0,0,"2,323","760,814","185,242","7,846","15,612","117,182",934,86,0,0,"18,236",0,124,"3,986",108,0,"2,088,598","111,172","10,465",未取得,未取得,"2,231,234","1,598,469","695,608","120,525",910,"57,314","7,050","6,605",348,97,"592,316","587,081",不明,"5,235",495,"4,414",217,1,108,0,0,不明,"195,759",1,"51,587",0,1,1,1,0,
北区,"349,056",20.61,14,1,0,0,"4,049","1,348,899","286,112","14,697","51,287",不明,"2,047",209,0,398,"55,494",0,615,"4,841",106,183,"2,948,623","156,323","12,573",不明,不明,"3,873,446",不明,"827,462","339,361","20,687","114,855","9,727",不明,不明,不明,"269,650",不明,不明,"4,771",不明,不明,不明,不明,不明,不明,"4,771",不明,"264,843",14,"218,649",0,5,1,0,0,"図書総数(冊)には共通資料を含む（内訳は不明）/CD（枚）には共通資料を含まない。
共通資料：所蔵館を持たない資料で、返却された館の書架に配架される。
サービスポイント分を含む。"
荒川区,"214,603",10.16,5,2,0,0,"1,519","795,314","167,804","13,152","39,551","170,218","1,163",92,0,"1,992","44,187",0,"1,875","3,396",919,0,"1,559,381","80,353","11,572","80,353","63,760","2,053,385","1,702,482","543,990","198,910",919,"42,743","4,951",不明,不明,不明,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,"82,871",1,"4,161",0,5,5,0,0,
板橋区,"563,087",32.22,11,0,0,0,"3,618","1,457,926","320,459","9,686","34,873","385,437","1,846",226,0,"2,693","85,736","1,772","3,190","1,085",767,0,"2,948,255","194,158","18,559",不明,不明,"3,156,323",不明,"406,105","264,715",396,"52,623","8,829","8,417",145,267,"882,394",不明,不明,"9,982",592,"8,911",408,41,29,0,1,不明,"260,745",6,"61,109",1,11,11,0,0,
練馬区,"729,933",48.08,13,6,0,0,"4,085","1,778,345","599,171","13,744","45,513","529,480","2,107",320,"1,015","1,623","97,533",0,855,"2,221","3,140","3,298","4,512,380","225,284","40,729","147,639","131,857","6,656,577","5,301,012","2,323,185","525,304","1,603","154,172","7,727","7,216",510,1,"1,878,241",不明,不明,"15,718","1,228","13,585",629,84,192,0,0,96,"357,867",12,"17,001",0,12,2,0,0,
足立区,"686,619",53.25,15,6,0,0,"4,575","1,578,480","423,443",不明,"24,443",不明,"2,549",213,0,0,"18,628",0,"1,880","2,312",0,0,"2,596,029","198,794","20,383",未取得,未取得,"3,093,836",不明,"1,154,247","82,017","2,385","225,744","13,133","12,575",520,38,"893,731",不明,不明,"4,441",214,"3,988",222,不明,8,不明,9,未取得,"152,180",2,"38,737",0,15,1,0,0,
葛飾区,"461,060",34.8,13,3,0,0,"3,800","1,246,604","357,796","11,679","49,335",不明,"1,672",172,28,"3,071","36,116",0,338,"4,613",0,16,"2,945,429","217,783","21,453",不明,不明,"3,334,101",不明,"1,049,720","190,260","2,249","53,267","6,685","6,238",381,66,"909,478",不明,不明,"9,778",363,"9,025",331,不明,48,不明,11,不明,"171,229",3,"20,136",1,8,7,0,0,
江戸川区,"695,699",49.9,12,0,0,0,"4,147","1,536,265","461,227","6,605","31,142","347,520","1,944",260,0,0,"67,073",0,0,"12,890",0,0,未取得,"239,200","42,107","116,771","109,498","5,431,940","4,878,119","2,146,849","406,319",629,"182,620","6,082",不明,不明,不明,"1,023,377",不明,不明,"5,564",不明,不明,不明,不明,不明,不明,"5,564",不明,"128,754",1,"1,093",1,11,8,0,0,
区部計,"9,426,273",618.89,226,37,0,0,"71,845","27,681,442","6,743,870","234,255","802,969","5,463,169","36,200","3,973","29,200","36,895","1,114,300","3,013","34,658","89,973","10,372","9,384","44,902,393","3,623,359","402,342","1,275,643","854,032","76,948,287","32,985,299","22,525,146","5,721,595","39,056","1,839,158","176,820","141,851","10,539","3,252","19,818,331","11,578,186","59,176","156,456","9,079","121,394","5,564","1,014",760,22,"12,230","561,666","4,255,140",100,"818,210",30,185,113,3,2,
八王子市,"562,036",186.38,6,0,0,0,"2,040","1,646,637","439,688","7,172","65,375","1,014,409",888,146,"4,496","16,653","54,285","2,549","5,439","4,953",未取得,"3,102","1,642,540","134,511","10,718","134,511","125,319","2,557,157","2,421,046","760,206","164,880",118,"34,002","3,367",374,"2,962",31,"716,759",不明,不明,"12,119","3,673","1,269","7,154",12,10,1,0,未取得,"140,135",2,"25,486",2,0,2,1,0,
立川市,"182,843",24.36,9,0,0,0,"2,941","911,345","314,806","16,838","54,845","197,875",847,99,0,323,"38,361","2,596","4,557",206,"1,428",0,"591,667","59,267","8,873",不明,不明,"1,659,128",不明,"605,147","147,165",553,"79,156","4,264",416,"3,821",27,"352,106",不明,不明,"8,103","2,515",704,"4,815",57,10,1,1,不明,"69,251",1,"4,804",1,9,9,0,0,
武蔵野市,"145,491",10.98,3,0,0,0,720,"910,950","210,708","10,682","28,659","444,076","1,302",105,0,0,"11,581",0,"2,252","3,162",0,0,"2,842,625","196,469","19,099","74,951","39,417","2,421,438",不明,"716,535","75,339",26,"15,561","4,950",不明,不明,17,"609,587","601,155","4,362","4,070","1,267",不明,不明,11,80,21,"2,691",不明,"250,768",0,"1,103",0,3,3,0,0,
三鷹市,"186,680",16.42,5,0,1,19,"1,472","785,384","255,690","1,946","17,888","172,798",680,66,0,"2,987","6,244",0,0,0,0,61,"886,477","204,591","9,171","43,798","37,834","1,666,672","1,469,421","665,516","21,175",323,"45,330","3,910",190,"3,700",20,"290,544","241,903",271,"1,789",597,145,997,2,8,37,3,"46,581","36,177",1,627,1,5,3,0,0,
青梅市,"134,708",103.31,10,0,0,0,"3,237","572,146","165,726",不明,"22,345","165,980",564,67,0,0,"9,845",0,0,"7,427",0,0,"622,423","60,219","7,634",未取得,未取得,"979,508",不明,"287,749","135,743",216,"12,873","2,619",126,"2,486",7,"37,323","30,382","1,542","5,339","2,316",329,"2,660",4,30,0,0,60,"17,375",1,"7,422",1,1,1,0,0,
府中市,"258,567",29.43,13,0,0,0,"4,005","1,478,516","346,132","14,814","84,347","678,226","1,253",122,0,"8,446","42,778","3,219","10,697","7,551","3,998",0,"758,426","155,524","20,265",不明,不明,"2,086,059",不明,"628,854","195,414",55,"7,094","4,165",578,"3,556",31,"497,675",不明,不明,"9,034","2,736",未取得,"6,234",29,23,12,0,"57,666","105,536",1,"3,609",1,1,1,0,0,"①「予約受付総数」、「未提出等」には、web・携帯電話からの予約を含む。
②「借用内訳」の「多摩地域から」には、「２３区から」分を含む。"
昭島市,"113,251",17.34,5,0,1,13,"1,516","416,519","110,494","1,465","52,773","195,064",293,17,0,443,"4,039",0,0,0,0,0,"282,825","25,333","4,555","25,333","21,458","676,428","589,930","218,321","13,297",110,"19,695","5,593",190,"5,403",0,"133,254","121,773","4,054","7,427","2,575",647,"4,169",15,21,0,0,0,"11,264",1,244,0,1,1,0,0,参考業務の受付件数は、簡易レファレンスを除いた件数で集計。
調布市,"233,408",21.58,11,0,0,0,"3,211","1,366,288","273,279","7,563","73,710",不明,"1,183",112,0,"1,691","7,741",0,"5,490","2,388",426,241,"620,460","88,818","10,303","88,818","74,050","2,573,660",不明,"644,143","55,282",430,"40,574","4,676",650,"3,979",47,"645,868",不明,不明,"10,548","3,767",992,"5,334",54,98,269,34,不明,"101,569",1,"14,297",0,11,1,0,0,
町田市,"428,571",71.8,8,0,3,66,"2,185","1,174,773","265,886","4,982","61,239","324,919",767,82,0,837,"31,239","4,831","3,204","2,517",0,0,"2,041,910","430,022",不明,"112,944","96,276","3,780,172","3,474,126","1,109,615","131,201",204,"17,676","5,543",782,"4,656",105,"633,967",不明,不明,"10,969","4,065",812,"5,925",85,72,10,0,不明,"67,134",1,"38,437",1,1,1,0,0,
小金井市,"120,618",11.3,4,1,0,0,"1,232","469,101","161,810","1,008","15,550","192,713",353,80,0,0,"16,330",0,0,0,0,0,"241,215","147,046","9,502","39,204","34,855","878,125","805,174","368,358","53,796",187,"27,585","2,364",101,"2,252",11,"186,016","180,818",不明,"5,163","1,917",252,"2,953",4,37,0,0,35,"10,075",1,106,0,1,1,0,0,
小平市,"191,064",20.51,11,0,0,0,"3,071","1,189,829","352,366","1,621","68,793","412,160",895,94,"1,312","6,718","6,177","1,845","1,277","1,198",0,0,"561,656","162,649","11,266","39,759","35,960","1,517,898","1,371,717","472,934","16,434",17,"10,878","6,765",516,"6,215",34,"323,597","278,794","3,085","6,517","2,390",552,"3,530",12,33,0,0,"35,201","29,265",1,"48,442",0,8,2,0,0,
日野市,"184,761",27.55,7,0,1,20,"2,177","823,818","176,713",991,"59,441","184,693",936,177,5,515,"4,815",0,540,174,67,0,"461,616","36,622","5,457","36,622","33,435","1,623,059",不明,"522,893","15,420",127,"32,373","5,734",425,"5,291",18,"462,809","453,626",不明,"8,946","3,657",522,"4,577",90,100,0,0,237,"110,231",1,"3,549",0,7,7,0,0,
東村山市,"150,818",17.14,5,0,0,0,"1,477","699,441","223,504","9,310","26,335","374,359",291,57,0,837,"12,653",0,0,0,0,0,未取得,未取得,未取得,"28,305","25,875","1,068,015","975,459","406,370","25,086",207,"33,720","6,586",290,"6,188",108,"232,609","225,130",不明,"7,196","2,676",468,"3,997",17,38,0,0,283,"21,087",1,"2,726",0,5,5,0,0,
国分寺市,"122,201",11.46,6,0,0,0,"1,842","604,224","183,879","1,868","18,292","119,736",377,54,"1,224",0,"9,248",0,0,0,0,0,未取得,"56,454",不明,"22,758","20,867","895,763","827,035","295,383","22,319",324,"28,184","2,069",144,"1,916",9,"164,870","154,912","2,700","7,165","2,884",444,"3,609",13,23,19,173,93,"14,156",0,未取得,0,6,1,0,0,
国立市,"75,932",8.15,2,5,0,0,608,"257,119","59,212",不明,"20,232",不明,251,32,0,288,"2,497",0,0,0,0,0,未取得,"15,305",不明,"15,305",不明,"455,931","316,243","139,688","一般資料に
含む",80,"7,239","1,890",不明,不明,不明,"74,807","70,679",不明,"4,128","1,523",多摩地区からに含む,"2,588",0,17,他県からに含む,0,不明,"12,281",0,"6,901",0,2,0,0,0,
福生市,"58,448",10.16,4,0,0,0,"1,213","447,548","137,865",不明,"39,069","132,454",372,52,0,"1,890","9,410",0,"3,865","1,088",0,0,"259,469","12,175","2,082","12,175","9,450","595,674",不明,"181,476","35,221",20,"5,968","2,472",140,"2,238",94,"42,314","39,051",424,"2,472","1,134",102,"1,232",0,4,0,0,367,"4,395",1,"4,210",0,4,1,0,0,
狛江市　,"82,048",6.39,1,5,0,0,297,"294,483","99,362","1,276","12,704","103,607",190,15,0,0,159,0,0,0,0,0,"153,835","25,230","4,293","14,362","13,029","528,335","480,497","201,505","7,672",53,"3,693","1,801",95,"1,703",3,"108,277","89,228","3,397","4,257","1,027",208,"2,999",21,2,0,0,"11,395",未取得,0,"10,479",0,0,0,0,0,数値については、図書館設置条例に含まれない図書室分を含む。
東大和市,"85,698",13.42,3,0,1,5,787,"473,142","138,613","2,543","15,615",不明,368,34,0,73,"10,427",0,0,0,0,0,"186,862","36,428","9,706","16,418",不明,"702,793",不明,"190,134","38,044","5,979","28,635","4,396",不明,不明,不明,"86,024","83,269","2,475","4,148","1,546",多摩地区からに含む,"2,482",81,39,他県からに含む,0,31,"18,182",1,"27,767",3,3,3,0,0,予約受付件数と処理件数が同一でないのは、インターネット予約分の処理（貸出）が各館に分かれているため。また、前後年度での持越分、繰越分があるため。
清瀬市,"74,835",10.23,6,0,0,0,"1,752","407,553","101,127","2,331","6,600","41,861",166,26,"1,119","1,701","7,922",498,"7,199","2,646",0,222,"496,992","86,908","4,002","17,105","2,417","560,591","420,442","193,275","36,939",46,"11,751","3,288",106,"3,179",3,"123,445","110,295","1,687","7,325","2,745",373,"4,181",4,22,0,0,"4,138","6,260",0,"1,325",0,0,0,0,0,
東久留米市,"116,869",12.88,4,0,0,0,"1,195","473,482","149,820","6,076","11,654","214,443",452,45,0,"2,501","22,985",0,"1,673",818,0,0,未取得,"22,137","3,851","22,137","17,343","840,825",不明,"255,629","79,011",101,"9,832","2,988",49,"2,937",2,"165,003","160,612",不明,"4,371","1,214",200,"2,957",0,0,0,0,20,"18,891",1,"2,537",0,1,1,0,0,登録者については、有効登録者を登録者として計上。
武蔵村山市,"72,510",15.32,2,0,0,0,"1,809","314,419","123,278",358,"3,564","52,599",188,26,0,340,"6,604",0,0,0,0,0,未取得,"36,317","4,053","8,675","8,557","315,877","296,709","119,967","7,258",46,"7,377","2,983",87,"2,892",4,"58,025","48,657","1,305","3,067","1,170",111,"1,781",3,2,0,0,"4,996","3,556",0,"1,373",0,0,0,0,0,予約受付は、予約処理統計（以下、全館）。
多摩市,"148,654",21.01,8,0,0,0,"2,337","729,241","181,802","2,923","29,145","233,604",988,83,0,"2,023","10,629",0,185,147,0,0,未取得,"78,958","6,777","34,370","29,118","1,671,787","1,486,857","354,430","56,362",123,"29,344","6,619",645,"5,911",63,"471,603","407,914","4,295","8,285","3,876",443,"3,806",6,154,他県からに含む,0,"51,109","96,004",5,"70,252",0,8,8,0,0,
稲城市,"90,149",17.97,6,2,0,0,"1,833","633,186","222,130","2,162","19,901","203,539",750,58,0,0,"13,806",0,"1,655","8,775",0,0,"783,696","38,959","7,760","38,959","26,286","1,204,365","829,675","490,758","124,733",337,"53,689","2,972",164,"2,805",3,"235,436","215,937","1,218","3,462","1,095",206,"2,135",0,26,0,0,"14,819","12,447",1,629,1,6,1,0,0,登録更新は３年に一度のため、有効登録者は平成29年度利用以外の利用者も含む。
羽村市　,"55,710",9.9,1,0,0,0,290,"404,314","110,201","1,809","20,649","102,161",222,25,0,873,"11,140",0,"4,205","1,955",0,0,"182,187","33,967","2,894","33,967","24,442","318,760","264,729","53,579","14,885",12,"2,559",611,43,563,5,"21,242","16,816",992,"2,635",922,101,"1,601",5,6,0,0,799,"9,790",1,"5,144",1,1,1,0,0,
あきる野市,"80,925",73.47,4,0,0,0,"1,179","587,097","173,733","1,885","28,264","234,290",579,64,0,150,"8,113",0,105,"4,655",666,0,"542,139","52,087","5,191","52,087","41,765","677,758","557,188","219,398","31,074",232,"8,084","2,920",155,"2,757",8,"83,419","78,163",969,"4,182","1,220",246,"2,652",7,40,17,0,105,"9,035",2,410,1,4,1,0,0,
西東京市,"201,292",15.75,6,2,0,0,"1,752","797,273","197,842","3,644","92,936","224,149",752,90,0,914,"18,199",0,0,0,0,0,"910,255","210,110","11,148","48,713","35,909","2,175,911","1,727,857","617,366","65,031",440,"63,030","8,144",600,"7,517",27,"731,592","613,162","16,971","9,973","3,404",900,"5,516",15,119,19,0,"91,486","26,351",0,"7,096",0,4,4,0,0,
