自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,"D　電子資料等の利用館外貸出
有：1
無：0","D　電子資料等の利用機器提供
有：1
無：0",E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,"F　運営形態・ボランティアの受入運営形態直営(委託なし）
（館）","F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）
（館）",F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,"F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外
業務あり",F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円） 図書館費(a+b+c+d+e+f)（一般職員給料は除く）  ,G　図書館の予算（千円）   経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)  ,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ア  図書費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ア  図書費（千円） うち児童関係図書費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a イ  雑誌・新聞費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ウ  視聴覚資料費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a エ  その他図書館資料費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a オ  資料費区分せず(千円),"G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｂ賃金・報酬
（千円）",G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｃ講師・謝礼（千円）,G　図書館の予算（千円）  経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｄ委託費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｄ委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｅ その他の図書館費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｆ 臨時的経費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　 備考備考
足立区,"692,793",53.25,15,6,0,0,"4,631","1,571,734","419,625",不明,"25,331",不明,"2,459",226,0,0,"19,304",0,"1,869","2,443",0,0,"2,502,253","175,097","19,666",不明,不明,"2,937,701",不明,"1,094,146","70,672","2,518","99,644","13,029","12,573",437,19,"918,257",不明,不明,"4,365",176,"3,951",233,不明,1,不明,4,不明,"121,344",1,"40,482",0,15,1,0,0,1,0,0,0,0,0,0,14,22,3,29,26,0,0,0,1,1,0,1,0,1,0,1,14,0,14,15,0,1,0,"525,567","152,795","126,871","26,436","23,983","1,941",0,0,180,"5,265","237,451","237,451","72,382","57,494",0,"予約受付数のうち、Web・携帯予約分696,259件は中央図書館に一括計上。図書館の予算に地域図書館の指定管理料、区雇用の非常勤職員の報酬は含まず。職員数に、一部業務委託業者の従業員は含まず。"
葛飾区,"465,079",34.8,13,2,0,0,"3,704","1,271,134","365,686","12,281","53,732",不明,"1,638",170,28,"2,473","37,147",0,325,"4,602",0,16,"2,640,055","219,832","20,496",不明,不明,"3,104,406",不明,"852,757","161,180","1,663","46,762","6,425","6,111",295,19,"949,404",不明,不明,"9,882",364,"9,146",351,不明,18,不明,4,不明,"137,073",2,"14,113",1,8,2,0,0,6,1,0,0,0,0,0,0,42,5,124.6,74.1,34.4,不明,12,1,0,1,0,1,13,0,0,0,0,0,9,0,7,1,"1,212,252","130,509","97,868","35,460","22,798","5,010","4,833",0,"302,109","1,418","308,127","219,134","455,398","14,691",53,G：予算の臨時的経費はにいじゅく地区図書館整備に伴う経費
江戸川区,"699,776",49.9,12,0,0,0,"4,145","1,546,197","466,642","7,178","32,411","371,654","1,947",257,0,0,"68,557",0,0,"13,856",0,0,未取得,"230,737","40,981","109,853","102,913","4,989,461","4,447,549","1,993,285","336,683",590,"165,699","5,864",不明,不明,不明,"1,066,117",不明,不明,"5,358",不明,不明,不明,不明,不明,不明,"5,358",不明,"114,699",1,"1,086",1,11,8,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,9,1,1,1,"1,827,312","202,520","146,782","43,862","32,373","12,008","11,357",0,0,0,"1,335,092","1,335,092","271,331","18,369",0,自治体面積：49.09Ｋ㎡（出典：「2019年（令和元年）統計江戸川」）
区部計,"9,599,585",618.97,228,43,0,0,"72,147","27,764,556","6,993,878","263,498","839,238","5,976,415","35,711","4,018","29,193","26,827","1,117,351","1,968","25,790","98,001","6,077","8,177","43,003,531","3,448,905","407,035","1,176,942","809,167","74,869,166","33,155,568","21,925,893","4,902,777","39,223","1,749,699","176,911","140,922","9,555","2,250","22,215,903","12,809,842","54,982","157,820","8,648","131,882","6,229",578,790,36,"9,658","580,926","3,702,765",84,"806,258",29,188,108,3,4,50,13,1,0,2,0,26,102,685,207,742.5,488.7,81.3,6.3,12,82,49,7,48,26,107,0,22,134,81,53,178,13,76,14,"31,946,548","3,009,661","2,174,316","338,344","478,445","126,148","117,632","113,120","1,250,282","59,800","15,195,724","12,446,650","4,088,242","8,342,839","215,407",
八王子市,"561,622",186.38,9,0,0,0,"2,684","1,673,056","446,583","7,036","130,144","671,832",877,128,"4,498","16,571","54,848","2,548","5,371","5,073",未取得,"2,973","1,476,591","123,092","10,084","123,092","113,388","2,202,238","2,112,593","686,205","128,792","1,171","33,510","3,626",517,"3,082",27,"764,495",不明,不明,"11,653","2,575","1,258","7,740",25,4,51,0,不明,"120,879",1,"26,655",2,0,2,1,0,4,0,5,0,0,0,0,0,43,12,81.6,79.6,65.7,11.9,0,9,5,0,9,0,9,0,9,0,0,0,4,4,4,0,"758,544","76,465","62,469",不明,"12,365","1,631",0,0,"323,299","2,382","106,504","106,504","249,894",0,0,令和2年3月27日から3月29日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
立川市,"184,195",24.36,9,0,0,0,"2,901","909,989","317,662","16,881","56,038","196,577",799,98,0,322,"39,795","2,593","4,557",335,"1,432",0,"600,196","64,885","9,501",不明,不明,"1,534,296",不明,"599,647","85,288",539,"86,342","4,219",419,"3,780",20,"393,698",不明,不明,"7,405","2,159",655,"4,553",26,12,0,0,不明,"65,477",1,"4,402",1,9,9,0,0,0,1,0,0,0,0,0,0,28,16,18.8,14.2,8.7,0,0,1,0,0,0,1,1,0,1,8,0,8,9,0,1,0,"647,742","75,057","57,919",不明,"13,128","3,143",867,0,"14,521","2,556","349,504","303,922","206,104",0,0,
武蔵野市,"147,519",10.98,3,0,0,0,816,"932,167","181,911","10,407","31,094","465,256","1,310",111,0,0,"11,685",0,"2,236","3,342",0,0,"2,940,497","193,563","19,240","74,038","39,041","2,364,437",不明,"716,098","51,275",29,"16,813","5,157",不明,不明,18,"625,273","617,286","4,112","3,875","1,299",不明,不明,24,67,5,"2,480",不明,"224,824",0,621,0,3,3,0,0,1,0,0,0,0,0,1,1,16,6,27,19,3.7,2,0,1,0,0,0,1,1,0,1,2,0,2,3,0,1,0,"825,134","95,009","65,842","8,859","21,453","3,676","4,038",0,"105,521","2,976","244,677","244,677","157,709","219,242",0,令和２年３月２日から６月14日まで新型コロナウイルス感染症拡大防止対策のため臨時休館
三鷹市,"189,478",16.42,5,0,1,19,"1,382","790,776","223,206","2,000","18,817","177,114",678,66,0,"2,986","6,185",0,0,0,0,66,"788,765","214,613","8,987","42,770","36,735","1,635,422","1,438,514","558,485","15,894",320,"42,368","4,397",220,"4,164",13,"289,831","230,657",236,"1,464",447,96,895,2,8,0,16,"57,474","26,630",1,"1,382",1,5,3,0,0,3,1,1,0,0,0,0,0,27,13,22.2,14,6.2,1.3,0,5,0,0,0,0,5,0,0,0,0,0,5,3,1,3,"579,790","71,277","59,895",不明,"9,416",371,"1,595",0,"73,474","1,333","79,241","79,241","135,070","219,395",0,令和２年３月１日から３月16日及び３月28日から５月31日まで、全館で新型コロナウイルス感染症の感染拡大を防ぐため臨時休館
青梅市,"132,593",103.31,10,0,0,0,"3,302","587,361","172,528",不明,"23,668","173,452",544,67,0,0,"10,799",0,0,"7,899",0,0,"526,884","54,183","7,126",不明,不明,"848,895",不明,"251,077","107,220",182,"8,338","2,893",126,"2,759",8,"37,970","32,278",947,"4,719","1,926",332,"2,423",1,33,4,0,26,"11,609",1,"6,577",0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1,4,0,0,"412,566","45,908","29,077","3,523","7,658","7,370","1,803",0,0,0,0,0,"366,658",0,0,
府中市,"260,382",29.43,13,0,0,0,"4,071","1,518,458","353,065","15,149","86,645","709,084","1,239",122,0,"8,433","43,177","3,218","8,980","7,970","4,000",0,"690,444","147,640","19,972",不明,不明,"1,942,836",不明,"596,264","167,692",53,"8,256","4,188",655,"3,492",41,"623,291","555,028",不明,"8,166","2,509",多摩地区からに含む,"5,575",31,32,19,0,"60,097","99,974",1,"4,843",1,1,1,0,0,0,1,0,0,0,0,0,0,21,7,19,16,71,20,0,12,0,0,0,12,12,0,0,1,0,1,13,0,13,0,"817,542","111,459","78,759",不明,"18,500","5,100","9,100",0,"79,370",571,"324,493","324,493","301,649",0,0,
昭島市,"113,610",17.34,5,0,2,13,"1,390","457,296","114,506","1,379","53,529","172,162",350,21,0,446,"4,143",0,0,80,0,0,"237,837","24,297","4,457","24,297","23,066","578,295","521,682","200,886","4,755",58,"7,775","3,927",154,"3,769",4,"108,457","100,508","1,988","5,961","2,066",343,"3,529",2,21,0,0,0,"5,600",1,143,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,0,1,"48,940","38,940","33,000",不明,"4,510","1,430",0,0,0,0,0,0,0,"10,000",0,市民図書館は移転のため令和元年12月29日から閉館、令和２?年6月9日開館
調布市,"237,506",21.58,11,0,0,0,"3,207","1,383,916","275,204","7,578","77,918",不明,"1,160",115,0,"1,685","7,945",0,"5,063","2,604",426,241,"556,407","9,537","1,942","86,696","72,379","2,431,540",不明,"614,273","48,849",461,"40,033","4,816",658,"4,118",40,"687,750","677,123",不明,"10,627","4,102",930,"5,223",38,64,187,83,不明,"85,925",1,"20,449",0,11,1,0,0,0,1,0,0,0,0,0,0,63,46,113.8,33.4,0,0,0,11,0,0,0,11,11,0,11,0,0,0,0,11,11,2,"498,335","93,952","68,521",不明,"17,547","2,475","5,409",0,"192,764","6,713","128,711","128,711","71,442","4,753","4,753","自館資料の予約については，所蔵資料を提供，購入して提供しての区別をしていないため，一律で所蔵資料を提供の欄に入力した。
令和２年３月28日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館"
町田市,"428,851",71.55,8,0,3,66,"2,201","1,168,080","261,462","4,992","63,512","339,067",745,80,0,830,"31,518","4,826","3,046","2,585",0,0,"1,892,224","449,104",不明,"101,744","86,567","3,283,285","3,002,686","965,163","101,604",205,"19,170","5,018",738,"4,213",67,"621,823",不明,不明,"9,026","3,167",677,"5,036",25,103,18,0,不明,"54,858",1,"42,895",1,1,1,0,0,0,1,0,0,0,0,0,0,48,12,109.9,98.4,9.1,0,0,8,0,0,0,0,8,0,8,0,0,0,8,0,8,0,"438,063","47,769","35,180",不明,"9,363",715,"2,511",0,504,"1,752","112,595","59,719","242,867","32,576",0,令和２年３月２日から６月８日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
小金井市,"122,542",11.3,4,1,0,0,"1,231","491,046","169,555","1,161","16,031","197,168",382,76,0,6,"16,589",0,0,0,0,0,"245,188","155,525","5,898","21,012","19,016","886,167","820,023","349,999","46,625",182,"28,499","2,774",56,"2,716",2,"208,439","203,835",不明,"4,534","1,472",225,"2,799",1,37,0,0,70,"9,950",1,66,0,2,1,0,0,0,1,0,0,0,0,0,0,13,4,19,19,1,0,0,4,2,0,4,0,4,0,1,0,0,0,4,0,1,0,"152,415","48,921","44,671","12,700","3,101",436,713,0,"46,053",766,"18,929","11,725","33,430","4,316",0,
小平市,"194,941",20.51,11,0,0,0,"2,799","1,168,127","339,820","1,494","69,748","400,425",830,77,"1,312","6,591","6,434","1,845","1,277","1,256",0,0,"514,343","138,900","11,733","33,948","33,795","1,357,379","1,227,391","441,029","11,783",17,"11,078","6,412",473,"5,926",13,"294,942","255,246","2,553","5,009","1,793",460,"2,717",16,23,0,0,"32,134","21,679",1,"42,928",0,8,2,0,0,5,3,0,0,0,0,0,0,40,8,51,0,0,0,0,11,0,0,0,0,11,0,11,0,0,0,1,1,8,1,"653,255","50,159","38,147","10,269","11,182",255,575,0,"118,174",795,"151,070","25,880","333,057",0,0,令和２年３月２日から６月８日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
日野市,"186,731",27.55,7,0,1,21,"2,182","843,715","184,599","1,063","60,007","189,788",954,171,0,14,"4,315",0,380,269,0,20,"440,472","35,166","4,990","35,166","31,966","1,574,761",不明,"507,295","14,005",53,"33,812","5,315",485,"4,798",32,"494,236","484,443",不明,"9,525","3,647",570,"5,034",211,63,0,0,268,"102,900",1,"3,349",0,7,7,0,0,0,7,0,0,0,0,0,0,31,26,43.4,5.6,0,0,0,7,0,0,0,0,7,0,1,0,0,0,1,0,7,0,"330,589","64,067","48,221",不明,"11,385",309,"4,152",0,"60,665","2,261","44,647","21,728","85,949","73,000",0,
東村山市,"151,233",17.14,5,0,0,0,"1,245","706,955","267,556","10,020","26,685","387,468",285,56,0,833,"13,055",0,0,0,0,0,未取得,未取得,未取得,"25,385","23,137","921,172","834,229","397,239","20,954",338,"33,395","5,095",252,"4,830",13,"212,270","205,217",不明,"6,812","2,460",484,"3,833",21,13,1,0,241,"15,486",1,"1,375",0,5,5,0,0,0,5,0,0,0,0,0,0,22,14,33.8,31.3,4.5,1.4,0,5,0,0,5,0,5,0,0,0,0,0,5,5,5,5,"213,739","39,440","33,262","11,344","4,860",662,656,0,"116,749",564,"24,455","6,599","25,498","7,033","1,650",3月2日から6月8日まで、全館で新型ウイルス感染拡大防止のため臨時休館
国分寺市,"125,881",11.46,6,2,0,0,"1,597","601,274","180,593","1,955","19,507","118,789",367,54,"1,224",0,"9,451",0,0,0,0,0,未取得,"49,305","6,489","20,848","19,054","734,447","699,733","250,014","15,195",304,"30,484","1,415",97,"1,311",7,"175,296","165,097","2,823","7,334","2,881",389,"3,992",11,39,0,22,42,"11,431",0,未取得,0,6,1,0,0,4,1,0,0,0,0,0,0,14,3,13.3,13.3,4.6,1.2,0,6,0,4,0,6,6,0,0,0,0,0,0,5,0,1,"151,217","27,374","21,318",不明,"5,276",306,474,0,"36,696",512,"78,619","78,619","8,016",0,0,令和元年9月1日から16日システム入れ替えのため休館。令和2年3月2日から6月2日までコロナ対策のため休館
国立市,"76,282",8.15,2,4,0,0,598,"360,277","99,943",不明,"21,137",不明,303,32,0,0,"2,826",0,0,0,0,0,未取得,"25,627",不明,"14,828","12,770","470,824","435,273","155,435","4,638",283,"6,097","1,434",多摩地区へに含む,"1,434",不明,"81,616","68,389",不明,"3,393","1,375",多摩地区からに含む,"2,015",0,3,他県からに含む,0,"9,834","11,260",1,"6,451",0,2,0,0,0,0,1,0,0,0,0,0,0,11,6,25.9,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,"134,828","27,044","22,408",不明,"4,260",不明,376,0,"53,485","1,535","23,087","23,087","28,624","1,053",0,分室（「サービスポイント」ではない）を５か所設置しており、その分も含めた数値である。
福生市,"57,378",10.16,4,0,0,0,"1,213","455,686","138,978",不明,"40,642","137,216",372,53,0,"1,872","9,789",0,"3,829","1,312",0,0,"324,132","11,348","1,960","11,348","8,730","552,858",不明,"168,701","31,164",26,"8,400","2,247",不明,不明,不明,"52,542","49,697",417,"2,068","1,040",75,948,0,5,0,0,360,"3,006",1,"3,500",0,4,1,0,0,1,0,0,0,0,0,0,0,16,6,20.1,15.4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,"126,753","25,911","17,228","4,837","5,921","2,154",608,0,"38,184",620,"20,884","4,668","36,225","4,929",0,
狛江市　,"83,503",6.39,1,5,0,0,294,"294,625","100,059","1,363","13,760","105,239",184,15,0,0,157,0,0,0,0,0,"149,087","25,335","4,450","14,022","12,729","519,531","472,665","205,373","7,634",55,"3,072","1,573",126,"1,439",8,"116,895","100,212","3,116","3,797",793,140,"2,840",14,10,0,0,"9,770",未取得,0,"7,614",0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,12.8,10.5,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,"70,307","22,510","13,491","2,600","2,209",0,750,"6,060","25,705",735,"9,742","9,742","11,615",0,0,"数値については、図書館設置条例に含まれない図書室分を含む。
令和２年３月28日から５月31日まで新型コロナウイルス感染症防止対策のため臨時休館"
東大和市,"85,266",13.42,3,0,1,5,725,"477,617","139,167","2,552","16,086",不明,357,34,0,75,"10,899",0,0,0,0,0,"178,609","34,872","5,046","13,438",不明,"618,382",不明,"170,196","31,800","5,117","25,930","3,453",不明,不明,不明,"88,905","81,227","3,387","4,137","1,393",多摩地区からに含む,"2,679",19,46,他県からに含む,0,154,"11,118",1,"29,581",3,3,3,0,0,1,2,0,0,0,0,0,0,14,4,54.4,14,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,3,0,"200,489","34,475","28,975",不明,"4,504",800,196,0,"47,908",464,327,327,"33,551","83,764",0,令和２年3月5日から5月27日まで、全館で新型コロナウイルス感染症防止対策のため臨時休館
清瀬市,"74,663",10.23,6,0,0,0,"1,625","406,805","100,732","2,328","6,723","44,631",169,26,"1,119","1,673","8,287",498,"6,747","2,904",0,222,"448,729","90,756","3,725","15,519","11,368","503,756","371,968","175,714","26,008",44,"10,806","3,332",96,"3,233",3,"139,312","126,894","2,012","6,562","2,404",284,"3,854",6,14,0,0,"3,844","5,327",0,"1,144",0,0,0,0,0,0,0,0,0,1,0,0,0,11,6,33.4,29,5.9,3.2,0,6,0,0,0,6,6,0,0,0,0,0,6,0,0,0,"142,435","23,256",不明,不明,"2,775",不明,481,"20,000","76,572",154,"6,840","2,519","35,613",0,0,令和２年３月６日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
東久留米市,"116,807",12.88,4,0,0,0,"1,146","471,632","150,118","6,378","13,075","227,100",442,47,0,"2,421","23,400",0,985,824,0,0,未取得,"20,571","3,382","20,571","15,815","777,505",不明,"246,130","60,334",103,"8,456","2,681",36,"2,640",5,"169,871","164,876",不明,"4,967","1,400",313,"3,253",1,0,0,0,28,"16,840",1,"2,235",0,1,1,0,0,1,0,0,0,0,0,2,1,8,3,15.9,15.9,2.8,不明,0,1,0,0,0,0,1,0,1,3,0,3,4,1,1,0,"1,046,248","37,468","30,368",不明,"5,645",450,"1,005",0,"47,325",505,"154,132","138,897","34,116","772,702",0,"登録者については、有効登録者を登録者として計上
令和２年３月２日～３月17日、３月28日・29日、４月３日・４日、４月９日～５月27日は、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館"
武蔵村山市,"72,277",15.32,2,0,0,0,"1,981","316,462","123,036",333,"3,507","27,972",188,27,0,221,"6,684",0,0,0,0,233,未取得,"38,518","3,025","6,321","6,251","299,807","279,548","107,585","8,379",32,"10,188","2,518",70,"2,446",2,"59,617","50,636","1,464","3,119","1,278",100,"1,738",2,1,0,0,"4,398","2,924",0,"1,059",0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,21.4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,"98,934","15,065","11,590","4,290","3,119",356,0,0,"52,810",54,"3,295","3,293","27,710",0,0,令和２年３月28日・29日の２日間、４月４日から５月17日まで全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
多摩市,"148,835",21.01,8,0,0,0,"2,276","736,972","192,909","4,248","39,449","247,272",656,80,0,"1,909","10,494",0,165,227,0,32,未取得,"86,858",810,"32,058","27,496","1,537,505","1,372,554","317,433","45,987",138,"26,912","7,101",649,"6,425",27,"456,494","397,283","3,581","8,827","3,922",543,"4,160",7,195,他県からに含む,0,"46,803","69,174",3,"75,650",0,8,8,0,0,1,2,0,0,0,0,0,0,33,14,70.6,41.3,0,0,0,8,1,0,8,0,8,0,8,0,0,0,8,0,0,0,"1,339,544","59,209","46,695","11,895","10,048",500,"1,966",0,"197,119","1,484","99,535","99,535","38,453","943,744","20,000","令和2年３月２日から３月９日まで新型コロナウイルス感染症拡大防止に伴い、全館で臨時休館
令和2年度ICタグ関連機器を関戸図書館、永山図書館で導入を予定し、既存資料へのＩＣタグ貼付を令和２年度に実施する。
令和２年度から令和３年度にかけて地域資料・貴重資料のデジタルアーカイブ作成事業を実施予定
令和２年度多摩市立中央図書館整備事業として建設工事を着工予定"
稲城市,"91,706",17.97,6,2,0,0,"1,819","654,738","231,016","2,775","21,420","185,370",742,58,0,0,"14,625",0,"1,624","9,171",0,0,"755,303","38,392","7,794","38,392","25,884","1,164,835","797,815","474,583","111,731",362,"56,393","2,727",165,"2,556",6,"237,130","217,506","1,382","3,580","1,193",211,"2,156",0,20,0,0,"14,662","11,478",1,576,1,6,1,0,0,1,0,0,0,0,0,0,0,5,3,11,11,7.2,5.3,0,4,2,0,6,0,6,0,2,2,0,2,6,1,1,1,"252,255","38,014","23,424","8,541","9,904","3,839",847,0,"12,706",543,"182,019","181,672","18,973",0,0,"登録更新は3年に１度のため、有効登録者数には31年度以外の数も含む。
令和2年3月29日午後2時から5月31日まで、全館で新型コロナウイルス感染症拡大防止のため臨時休館"
羽村市　,"55,091",9.9,1,0,0,0,297,"416,189","112,658","2,820","21,489","109,931",221,25,0,865,"11,358",0,"4,187","2,233",0,241,"167,333","20,528","2,166","20,528","15,538","283,565","234,438","66,738","17,114",122,"5,752",492,32,457,3,"25,331","19,216","1,019","2,070",734,91,"1,232",2,11,0,0,"3,026","7,366",1,"4,800",1,1,1,0,0,1,0,0,0,0,0,0,0,7,6,7,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"99,353","15,658","11,627","2,968","2,583",678,770,0,"44,698",120,"13,991",95,"24,886",0,0,
あきる野市,"80,575",73.47,4,0,0,0,"1,169","612,027","179,657","2,038","29,246","257,360",571,64,0,150,"8,452",0,113,"4,784",666,0,"484,944","20,747","3,546","20,747","16,918","619,394","500,764","200,034","26,266",68,"8,172","2,214",195,"2,019",0,"87,668","82,345","1,003","4,237","1,061",175,"2,933",13,52,3,0,83,"8,267",2,261,1,4,1,0,0,1,0,0,0,0,0,0,0,17,10,18.1,15.6,13.4,4.8,0,4,1,0,0,4,0,0,0,0,0,0,3,1,3,1,"190,448","37,397","27,288",不明,"7,670","1,694",745,0,"62,269",165,"56,398","56,398","34,219",0,0,登録者総数及び有効登録者数は、有効期間（最大３年）内の数値とした。
