自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,H　 備考備考
目黒区,275278,14.67,8,0,0,0,2527,1171916,224434,21357,14872,260070,1053,240,0,0,38863,0,114,0,0,473,2318043,125085,8963,125085,74634,4294870,2816018,1042449,229369,917,42116,17993,15882,2047,64,1232995,1216936,8651,6958,564,5944,410,16,24,0,0,450,241179,8,1460,1,3,1,
大田区,720518,60.66,16,0,0,0,5438,1827599,421492,14449,49067,567656,1969,146,0,13338,95024,0,2152,3259,0,0,2092855,164301,24732,114803,107524,5593757,5241348,1822411,440661,1280,122363,14830,12731,572,1527,1548442,1538597,1156,8681,668,6792,576,526,119,0,0,8,226649,0,84024,0,16,16,
世田谷区,896057,58.05,16,7,0,0,5058,1890570,482343,12488,48083,206408,4100,175,0,372,59763,0,0,446,0,166,未取得,343282,52087,不明,不明,6282380,不明,1988207,281559,815,95742,9882,7914,1883,85,1915092,1876049,23899,14365,1234,12260,608,30,199,34,0,779,478657,7,75400,1,16,2,
渋谷区,223412,15.11,10,0,0,0,2971,911602,188284,10511,17548,185781,1226,136,0,3852,20862,0,0,4107,0,0,1568450,84376,6385,84376,44831,1578018,不明,433676,56169,457,45855,4993,4864,114,15,765644,758584,0,6823,307,6246,206,52,2,10,0,237,98449,1,47269,0,1,1,
中野区,326839,15.59,8,0,0,0,2650,973461,191518,12604,33476,309150,1260,251,2389,1348,21990,0,4757,160,1612,0,490906,62376,7384,不明,不明,1890542,不明,299076,76312,447,33491,9559,8862,677,20,656448,544613,1730,10345,301,9590,361,不明,不明,19,74,99760,160691,1,69839,1,8,1,
杉並区,562065,34.06,13,2,0,0,4312,2204101,627350,11099,49302,717979,1976,225,1247,909,30101,0,0,0,1592,17,2761796,177770,19844,不明,不明,4523324,不明,850793,105487,1076,220316,13117,12222,845,50,276643,270313,不明,6220,719,5129,320,31,21,不明,不明,110,351488,4,34662,0,13,13,
豊島区,284921,13.01,7,0,0,0,2178,744606,180787,3581,15346,113712,876,89,0,0,18210,0,214,3714,108,0,2038383,108215,9778,未取得,未取得,2188448,1561264,711303,124025,1393,57262,6737,不明,不明,不明,578045,不明,不明,5140,不明,不明,不明,不明,不明,不明,不明,不明,206551,1,47929,1,1,1,
北区,346249,20.61,14,1,0,0,4117,1337731,284298,15047,49886,不明,2046,209,0,1098,56310,0,845,4596,106,188,3020194,204860,13405,不明,不明,3942709,不明,779164,374439,27595,115791,11013,不明,不明,不明,270847,不明,不明,5301,不明,不明,不明,不明,不明,不明,不明,不明,263365,14,214688,0,4,1,
荒川区,213203,10.16,5,2,0,0,1399,800265,162933,12570,38440,232657,1364,101,0,2070,44771,0,1905,2774,936,43,1212764,63732,8245,63732,50914,1760546,1447048,496404,177779,894,55983,5409,198,12,2,520874,39741,305,6344,4,335,13,569,13,0,0,5077,59750,1,4001,0,5,0,「他自治体への貸出」「予約受付」の内訳については、新システム切り替えにより不明。「図書館設置条例記載館数」には、荒川図書館（平成28年12月閉館）も含む。
板橋区,558809,32.22,11,0,0,0,3621,1426753,303600,9500,34777, ,1806,225,0,2866,84765,1774,3194,1048,850,0,2999660,200415,19484,不明,不明,3262277,不明,991836,291268,753,72646,7905,7728,165,12,832280,不明,不明,11593,554,10371,583,40,32,0,13,不明,280523,6,56785,2,11,11,
練馬区,725608,48.08,13,4,0,0,4076,1755190,584524,13558,44070,510958,2077,317,1017,1649,97037,0,1029,1476,3140,3261,4443694,222808,39695,222808,195317,6546356,6121072,2159145,533298,1525,150527,8584,6091,562,1931,2216245,不明,不明,16724,1079,14612,658,71,304,不明,不明,119,381409,8,15938,0,12,2,
足立区,682950,53.25,15,6,0,0,4620,1578415,419452,未取得,未取得,未取得,2398,218,0,0,18420,0,1928,2223,0,0,2680244,205575,20662,未取得,未取得,3155709,未取得,1138757,89825,2340,220930,13267,12588,642,37,868911,未取得,未取得,5049,196,4583,250,未取得,8,未取得,12,未取得,157181,3,39889,0,15,1,
葛飾区,457927,34.8,12,2,0,0,3831,1279099,396870,11640,48229,不明,1753,178,0,3423,35362,0,257,4340,0,0,3063791,218396,21523,不明,不明,3488756,不明,923001,214019,2415,125502,5712,5320,338,54,945177,不明,不明,10516,334,9767,358,不明,46,不明,11,不明,185928,3,16212,1,8,7,「臨時的経費」は新宿図書センター解体経費。
江戸川区,692801,49.09,12,0,0,0,4154,1505001,420502,5849,29681,332073,1941,255,0,0,65009,0,0,12056,0,17,未取得,242530,42335,118352,111130,5491245,4885420,2096314,427911,610,176469,6650,未取得,未取得,未取得,1031129,未取得,未取得,5224,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,128444,1,968,1,11,8,
区部計,9338582,617.99,225,33,0,0,71656,27469599,6716582,226908,771227,5008110,37437,3845,29174,41431,1109127,3878,37310,83145,11011,4609,42373403,3622154,414976,1423760,861440,76256928,31670219,21698242,6359487,46141,1885067,189753,138958,11723,4729,19660182,10015914,73745,174136,8570,129987,6055,1480,838,87,110,570622,4402358,93,822216,31,186,107,
八王子市,562773,186.38,6,0,0,0,2002,1636623,436745,7040,63878,1008201,891,162,4496,16659,54081,2549,5475,4826,未取得,0,1688392,134742,10540,134742,125782,2647230,2530718,762463,180063,108,35520,4097,389,3678,30,739085,未取得,未取得,12547,3870,未取得,未取得,7,7,2,8661,未取得,144568,2,18940,2,4,2,
立川市,182092,24.36,9,0,0,0,2941,903344,309698,16543,54003,198964,857,101,0,325,37882,2596,4558,140,1388,0,601796,80550,9665,不明,不明,1620640,不明,604437,117942,538,77628,4903,481,4395,27,351818,不明,不明,7639,2357,539,4691,22,22,1,7,不明,68037,1,5428,1,9,9,
武蔵野市,144606,10.98,3,0,0,0,883,918718,172658,10443,30511,443617,1306,105,0,0,12038,0,2551,3137,0,0,3024384,191871,不明,未取得,未取得,2657624,不明,767800,91996,26,15066,5198,不明,不明,19,610955,604487,5101,1367,1255,不明,不明,13,85,14,0,0,277363,1,1919,1,3,3,
三鷹市,185725,16.42,6,0,1,19,1748,730898,207042,1891,17432,161961,719,67,0,2987,6299,0,0,0,0,0,950717,198733,9107,43634,37637,1594171,1407889,630061,24579,330,45259,3893,156,3723,14,273761,225265,316,2216,704,182,1294,0,10,18,8,45964,47193,1,837,1,3,3,「自動車図書館巡回箇所」は平成29年度より19ヵ所に増設。「図書館設置条例記載館数」には、下連雀図書館（平成29年3月閉館）も含む。
青梅市,135570,103.31,10,0,0,0,3302,563320,163120,未取得,21941,159532,567,67,0,0,9334,0,0,7107,0,0,648849,68264,6848,未取得,未取得,1017906,未取得,287216,150738,178,13088,3150,131,2997,22,38303,31266,1918,5050,1764,321,2941,6,18,0,0,69,18109,1,7102,1,1,1,
府中市,257902,29,13,0,0,0,4137,1458830,343497,14684,83554,663006,1255,122,0,8453,42663,3219,10721,7338,3998,0,824898,159871,20194,不明,不明,2215953,不明,649290,223176,54,7058,4936,748,4125,63,516496,不明,不明,9317,2287,不明,6973,28,14,15,0,58075,120103,1,4284,1,1,1,「予約受付総数」「未提供等」には、WEB・携帯電話からの予約を含む。「借用内訳」の「多摩地域から」には、「２３区から」分を含む。
昭島市,112850,17,5,0,1,13,1535,414117,109664,1019,55450,165128,328,18,0,448,3976,0,0,0,0,0,255273,25474,4431,25474,21399,587457,497210,181888,11066,107,19077,5716,214,5488,14,132965,123009,3271,6685,2069,415,4174,10,17,0,0,0,5313,1,11222,0,1,0,
調布市,230865,22,11,0,0,0,3155,1352625,271791,7519,72181,不明,1193,112,0,1704,7783,1888,5502,2105,0,0,633235,90082,10378,90082,75000,2581441,不明,649588,59196,442,35867,4508,625,3840,43,652305,不明,不明,10629,3106,986,5853,143,96,445,0,不明,114666,1,14015,0,11,1,
町田市,429114,72,8,0,3,66,2397,1165289,262481,4880,59381,318593,763,82,0,842,31182,4846,4239,2457,0,0,2177458,419580,未取得,115176,97631,4059478,3716857,1165144,149983,200,17918,6520,795,5596,129,652034,未取得,未取得,10366,3597,848,5684,125,94,18,0,未取得,67647,1,43679,1,1,1,
小金井市,119598,11,3,1,0,0,1233,451616,158527,939,14919,184204,356,80,0,0,16141,0,0,0,0,0,256042,142607,9563,37915,33890,956422,853914,315039,56576,205,28653,2346,94,2248,4,181095,175795,不明,5279,1389,277,3565,3,42,2,1,21,15148,1,156,0,1,1,登録者統計は平成２８年度より長期未使用者を除いた人数。
小平市,189955,21,11,0,0,0,3051,1184148,352099,1585,69248,404110,943,94,1312,6780,6027,1845,1282,1136,0,0,570056,161252,11354,40790,36855,1545789,1399056,466250,17600,17,11049,7655,485,7130,40,327583,281074,3070,7489,1852,693,4876,24,44,0,0,35950,32978,1,47642,0,8,2,
日野市,183985,28,7,0,1,20,2171,820006,172689,863,59155,185514,890,172,5,515,4641,0,540,172,67,0,465362,37210,5629,37210,33957,1632304,不明,503338,16251,52,23361,6798,467,6284,47,462591,453137,0,9167,2764,765,5462,97,79,0,0,287,109454,1,2632,0,7,7,
東村山市,150541,17,5,0,0,0,1481,697409,227256,9129,26023,363633,297,60,0,839,12359,0,0,0,0,0,未取得,未取得,未取得,29236,26687,1089257,994979,411254,26840,118,31540,7367,365,6870,132,235263,227535,不明,7418,2546,492,4307,24,48,1,0,310,23679,1,2790,0,5,5,
国分寺市,121234,11,6,0,0,0,1838,603781,183878,1863,17812,117235,374,54,1224,237,9150,0,0,0,0,0,未取得,54225,未取得,23892,21981,924721,877791,294848,24736,301,27146,2156,124,2021,11,159634,149442,3035,7110,2320,514,4203,24,26,1,22,47,15481,0,未取得,0,6,1,
国立市,75466,8,2,5,0,0,608,263879,59578,不明,19189,不明,261,32,0,308,2433,0,0,0,33,0,未取得,26570,不明,26570,21956,462905,438391,137718,一般資料に含む,82,8462,1681,多摩地区に含む,1681,0,81579,77468,不明,4111,1444,多摩地区に含む,2651,0,16,"他県に
含む",0,不明,15590,0,6478,0,2,0,分室の利用実績は含まない。
福生市,58618,10,4,0,0,0,1213,445029,137262,不明,37927,128663,372,52,0,1910,9281,0,3918,1033,0,0,269919,12780,2769,12780,9962,620562,不明,191197,36775,23,6459,2168,109,1935,124,42633,39315,366,2617,1013,109,1484,2,8,1,0,335,6218,1,5194,0,4,1,
狛江市　,81326,6,1,5,0,0,295,295255,99067,1248,12026,102323,193,14,0,0,159,0,0,0,0,0,153791,30882,4680,14914,13508,519988,472296,188367,8306,50,3406,1627,59,1565,3,105014,86582,3108,4557,946,261,3339,8,3,0,0,10767,未取得,0,8893,0,0,0,数値については、図書館設置条例に含まれない図書室分を含む
東大和市,85857,13,3,0,1,5,784,471467,139541,2499,15436,未取得,378,34,0,109,10794,0,0,0,0,0,196248,37057,4397,16843,未取得,722976,未取得,200923,40937,5963,29849,5298,276,4998,24,89069,81281,2637,5049,1549,351,3025,93,31,"他県に
含む",0,102,16541,1,26385,3,3,3,予約受付件数と処理件数が同一でないのは、インターネット予約分の処理（貸出）が各館に分かれるため。また、前後年度での持越分、繰越分があるため。
清瀬市,74642,10,6,0,0,0,1676,406960,100986,2334,2569,41538,164,26,1119,1702,7950,498,7367,2692,0,268,519425,84868,4132,17472,12772,563190,421562,186435,39968,52,10670,3027,99,2919,9,120871,109509,1788,6032,1958,331,3717,1,25,0,0,3499,6746,0,1388,0,0,0,
東久留米市,116897,13,4,0,0,0,1186,471271,147859,5780,11672,209996,449,45,0,2523,22626,0,1982,821,0,0,未取得,108423,14454,22994,18049,848050,677272,244881,83952,112,9076,3355,48,3304,3,166327,161676,不明,4622,1179,334,3109,0,0,0,0,29,17632,1,2098,1,1,1,
武蔵村山市,72275,15,2,0,0,0,1881,312434,124089,344,3294,27420,192,27,0,340,6381,0,0,0,0,0,未取得,35087,3501,8932,8485,323507,304141,120389,10905,57,8837,3018,130,2883,5,65377,55012,1675,3303,992,139,2169,2,1,0,0,5387,3186,0,961,0,0,0,予約受付は、予約処理統計（以下、全館）。
多摩市,148511,21,8,0,0,0,2351,721022,182062,4324,36780,226487,371,31,0,2038,10718,0,185,166,0,103,未取得,73758,7993,35571,30089,1696104,1504937,364550,57986,119,27934,6826,643,6155,28,470470,407026,4419,8097,3384,489,4042,17,165,0,0,50928,101065,3,64016,0,8,8,
稲城市,89344,18,6,2,0,0,1825,621671,217247,1887,19388,169499,791,58,0,0,13331,0,1827,8600,0,0,800379,40361,7709,40361,27241,1213625,866644,426078,127677,324,51934,2604,136,2452,16,225451,205645,1415,4203,1253,345,2577,5,23,0,0,14188,15320,1,564,1,6,1,
羽村市　,56079,10,1,0,0,0,287,397219,108388,1799,20337,98159,239,24,0,879,11040,0,4223,1783,0,0,192936,32519,2914,32519,23454,327918,276788,80238,23219,8,3213,765,52,704,9,23917,18984,1035,2963,737,114,2084,5,19,4,0,935,8146,1,5628,1,1,1,
あきる野市,81315,73,4,0,0,0,1178,570380,168908,1821,25359,219642,576,64,0,150,7948,0,105,4547,666,0,549649,49648,5238,49648,40188,688801,568925,216170,34110,213,7917,2961,150,2786,25,83862,78618,949,4236,966,302,2864,22,15,67,0,59,9689,2,533,1,4,1,
西東京市,200098,16,6,2,0,0,1752,809307,195585,3490,90587,222742,743,78,0,920,16891,0,0,0,0,0,921009,205751,11622,50579,38109,2217893,1761874,616450,68439,434,62197,9786,575,9180,31,725878,620407,17276,9170,2558,864,5644,11,86,7,0,79025,28423,0,8046,0,4,4,
市部計,4147238,784,150,15,7,123,46910,18686618,5051717,103924,940052,5820167,15468,1781,8156,50668,373108,17441,54475,48060,6152,371,15699818,2502165,167118,907334,754632,35335912,19571244,10662012,1683016,10113,618184,112359,7351,98957,872,7534336,4212533,51379,161239,49859,9671,90728,692,994,596,8699,305977,1288295,24,290830,15,94,57,
瑞穂町,33624,17,1,0,0,0,294,225312,37177,404,不明,73413,96,11,680,0,5241,0,0,447,0,0,56618,5147,898,3510,2989,115071,102134,41706,5498,40,4728,1474,53,1414,7,15180,13054,532,1300,430,39,824,1,6,0,0,294,304,0,未取得,1,1,1,
日の出町　,17003,28,1,1,0,0,278,108820,45559,不明,2431,11491,43,7,0,0,0,0,0,0,0,不明,16610,10336,1249,不明,不明,56128,43685,17442,不明,20,7212,318,6,312,0,2313,1090,187,957,387,16,553,0,1,0,0,79,1176,0,235,0,1,0,
檜原村　,2271,105,1,0,1,16,281,40196,12191,0,226,3144,64,12,0,0,300,0,720,566,0,0,未取得,1409,不明,235,179,11836,不明,3414,501,16,2473,2,0,2,0,1233,656,51,524,212,0,312,未実施,未実施,未実施,0,2,322,0,560,0,0,0,
奥多摩町,5264,226,2,0,1,20,590,75406,22192,31,140,11377,106,6,0,0,0,0,94,0,0,0,15042,4042,187,3711,3383,26320,20047,4865,86,50,3878,613,23,590,0,2983,1905,563,507,120,9,378,0,0,0,0,8,451,0,未取得,0,0,0,
町村部計,58162,376,5,1,2,36,1443,449734,117119,435,2797,99425,309,36,680,0,5541,0,814,1013,0,0,88270,20934,2334,7456,6551,209355,165866,67427,6085,126,18291,2407,82,2318,7,21709,16705,1333,3288,1149,64,2067,1,7,0,0,383,2253,0,795,1,2,1,
大島町　,7818,91,1,0,1,10,298,38018,不明,不明,不明,不明,3,1,0,0,112,0,458,0,387,0,5888,486,153,486,486,4344,4344,不明,不明,4,不明,0,0,0,0,51,26,11,4,4,0,0,0,0,0,0,10,876,0,未取得,0,0,0,
神津島村　,1860,19,1,0,0,0,295,14505,3513,0,20,未取得,24,0,0,0,0,0,0,0,0,0,8827,656,147,543,543,8335,8335,未取得,0,9,89,0,0,0,0,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,0,未取得,0,0,0,
三宅村　,2497,55,1,0,0,0,306,13417,2813,不明,不明,不明,31,3,0,0,0,0,0,0,0,0,3513,741,不明,不明,不明,4276,4276,不明,不明,0,0,0,0,0,0,26,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1,0,
八丈町　,7490,72,1,0,0,0,279,32135,11069,84,2146,1158,31,6,0,0,0,0,30,1089,0,0,16243,3975,414,1195,1109,36425,34522,12658,6237,5,97,0,0,0,0,691,305,53,315,142,31,142,0,0,0,0,18,877,0,1112,0,1,0,第2次八丈町子ども読書活動推進計画　平成30年3月策定予定。
青ヶ島村　,145,6,1,0,0,0,217,10000,0,0,0,4856,0,1,0,0,0,0,207,46,0,0,294,35,不明,35,35,187,1857,不明,不明,0,0,0,0,0,0,156,0,0,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,
島嶼部計,19810,243,5,0,1,10,1395,108075,17395,84,2166,6014,89,11,0,0,112,0,695,1135,387,0,34765,5893,714,2259,2173,53567,53334,12658,6237,18,186,0,0,0,0,924,344,64,488,315,31,142,0,0,0,0,28,1753,0,1112,0,2,0,
区市町村島嶼計,13563792,2021,385,49,10,169,121404,46714026,11902813,331351,1716242,10933716,53303,5673,38010,92099,1487888,21319,93294,133353,17550,4980,58196256,6151146,585142,2340809,1624796,111855762,51460663,32440339,8054825,56398,2521728,304519,146391,112998,5608,27217151,14245496,126521,339151,59893,139753,98992,2173,1839,683,8809,877010,5694659,117,1114953,47,284,165,
東京都計,,,387,49,10,169,122016,48917213,12129797,620728,1953766,12593141,78766,7036,42058,93237,1489597,21962,99592,134846,29059,4980,58582885,6151146,585142,2340809,1624796,111855762,51460663,32440339,8054825,56398,2521728,368461,157616,165081,6242,27217228,14245496,126521,339228,59893,139753,98992,2188,1901,683,8809,877010,7078692,119,1179949,49,286,167,
