自治体名,人口,自治体面積（km2）,A施設図書館設置条例記載の有無（有：１／無：０）,A施設サービスポイント数,A施設自動車図書館台数（台）,A施設自動車図書館巡回箇所,A施設年間開館日数,B蔵書数図書総数(冊),B蔵書数図書総数内訳うち児童資料(冊),B蔵書数図書総数内訳うち外国語資料(冊),B蔵書数図書総数内訳うち地域資料（郷土及び行政資料）(冊),B蔵書数図書総数内訳うち閉架資料(冊),B蔵書数雑誌（種）,B蔵書数新聞（種）,B蔵書数レコード（枚）,B蔵書数カセット（巻）,B蔵書数ＣＤ（枚）,B蔵書数ＬＤ（枚）,B蔵書数ビデオ（巻）,B蔵書数DVD（枚）,B蔵書数フィルム（巻）,B蔵書数その他（点）,Cサービス・貸出・予約来館者数（人）,Cサービス・貸出・予約個人貸出登録者（１）登録者総数(人),Cサービス・貸出・予約個人貸出登録者（１）登録者総数内訳うち児童(人),Cサービス・貸出・予約個人貸出登録者（２）有効登録者数(人),Cサービス・貸出・予約個人貸出登録者（２）有効登録者数内訳（３）うち自治体内有効登録者数(人),Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数(冊),Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳（５）うち自治体内貸出数(冊）,Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳うち児童資料(冊）,Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳うち視聴覚資料(冊）,Cサービス・貸出・予約団体貸出団体数,Cサービス・貸出・予約団体貸出貸出冊数（冊）,Cサービス・貸出・予約他自治体への貸出貸出総数(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳23区へ(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳多摩地区へ(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳他県その他へ(冊),Cサービス・貸出・予約予約受付予約受付総数(冊),Cサービス・貸出・予約予約受付予約内訳所蔵資料を提供(冊),Cサービス・貸出・予約予約受付予約内訳購入して提供(冊),Cサービス・貸出・予約予約受付予約内訳他から借用して提供(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳都立から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳23区から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳多摩地区から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳他県から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳国会(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳大学等(冊),Cサービス・貸出・予約予約受付予約内訳不明(冊),Cサービス・貸出・予約予約受付予約内訳未提供等(冊),Cサービス・貸出・予約文献複写枚数（枚）,Cサービス・貸出・予約参考業務専用カウンターの有：1/無：0,Cサービス・貸出・予約参考業務受付件数（件）,D電子資料等の利用利用者向けCD-ROMの利用有：1/無：0,D電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用有：1/無：0,D電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用有：1/無：0,H備考備考
豊島区,281540,13.01,7,0,0,0,1672,737251,176104,3662,14782,107915,812,78,0,0,17901,0,296,3207,114,0,1770634,111753,9466,未取得,未取得,2126647,1335037,635914,129535,1052,57523,5707,不明,不明,不明,557534,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,200019,1,47812,1,1,1,閲覧席数は、椅子のみ及びパソコン利用席を除いた数字
北区,342732,20.61,14,1,0,0,4130,1340237,281312,14836,47986,不明,2022,210,0,1130,58248,0,910,4218,103,189,3073609,257053,13171,不明,不明,4042982,不明,756414,400564,26854,111455,12232,不明,不明,不明,282606,不明,不明,5330,不明,不明,不明,不明,不明,不明,不明,不明,244613,14,208798,0,4,1,図書総数(冊)には共通資料を含む（内訳は不明）/CD（枚）には共通資料を含まない　共通資料：所蔵館を持たない資料で、返却された館の書架に配架される。サービスポイント分を含む。
荒川区,211808,10.16,5,2,0,0,1477,719531,155927,12023,36385,170333,1122,64,0,2185,41541,0,2303,2318,936,0,1271337,52793,7031,52793,42449,1901811,1550583,442136,202520,915,55196,7175,6891,256,28,588498,497203,3413,7029,204,4873,161,1784,7,0,0,80853,76286,0,4475,0,5,0,
板橋区,553257,32.22,11,0,0,0,3630,1400514,297173,9800,34315,1042701,1827,224,0,3255,83765,1786,3479,791,780,0,3112432,203675,19904,不明,不明,3298527,不明,418066,312653,1019,74340,7686,7504,177,5,836522,不明,不明,12634,769,11356,417,11,79,0,2,不明,312864,7,54039,0,11,11,
練馬区,720915,48.08,13,4,0,0,4108,1737844,573780,13349,43615,509432,2041,322,1448,2002,95866,0,1783,703,3140,3261,4471306,230990,39840,230990,203017,6627694,6248735,1784352,568261,1520,134575,7563,7076,487,0,2214959,不明,不明,17900,1485,15292,598,80,307,0,0,138,403744,8,14286,0,12,1,
足立区,680109,53.25,15,6,0,0,4907,1670815,489817,未取得,未取得,未取得,2442,218,0,0,17998,0,2194,2133,0,0,2919882,207249,20354,未取得,未取得,3409209,未取得,1228352,97022,3468,525917,14804,14123,653,28,886062,未取得,未取得,4480,225,4044,197,未取得,1,未取得,13,未取得,164822,3,46619,0,15,1,
葛飾区,453734,34.80,12,2,0,0,3517,1312887,402820,11337,45862,0,1741,184,0,3807,34442,0,344,4104,0,0,3082577,226082,21466,0,0,3411665,0,873782,217173,2373,129422,6620,6167,387,66,915703,不明,不明,11762,395,10929,378,不明,49,不明,7,不明,183198,2,14747,1,8,7,
江戸川区,687856,49.90,12,0,0,0,4048,1485298,419573,5508,28339,315469,1921,250,0,0,64148,0,27,11895,0,22,未取得,245818,42958,121517,114068,5569453,5002009,2063494,453011,718,183745,6511,未取得,未取得,未取得,1058814,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,144532,1,1108,3,10,8,
区部計,9245184,618.80,223,32,0,0,71195,27184048,6599602,219297,751152,6188673,36698,3804,29636,44963,1088185,3870,42444,76298,11032,4478,43247808,3705436,402049,1347824,932788,77696712,33794148,20104153,6547481,47054,2075366,194975,154430,13412,2683,21060335,11141249,68361,173332,10939,147145,5923,2705,880,196,72,647081,4851667,91,852330,22,184,107,
八王子市,562019,186.38,5,0,0,0,1839,1625298,434423,7224,62686,995475,893,162,4496,16689,53774,2549,5661,4677,0,0,1702629,136910,10269,136910,未取得,2706484,不明,736393,199848,130,29971,3081,252,2793,36,711656,未取得,未取得,13294,4668,未取得,未取得,22,2,0,8602,未取得,155448,2,10445,2,4,2,
立川市,180277,24.36,9,0,0,0,2940,897879,305236,16229,52958,194611,871,100,0,326,37205,2596,4559,73,1376,0,612399,81724,9545,不明,不明,1679116,不明,614455,130319,542,74824,5377,462,4877,38,363012,不明,不明,7640,2965,466,4143,41,17,1,7,不明,70100,1,5568,1,9,9,
武蔵野市,143630,10.98,3,0,0,0,884,880970,163190,10202,29402,425630,1298,101,0,0,11706,0,2551,2877,0,0,2738514,156391,不明,未取得,未取得,2447925,不明,698009,97659,27,16204,4679,不明,不明,35,603909,594268,5586,4055,1552,不明,不明,11,48,4,0,0,276210,1,22308,1,3,3,
三鷹市,183951,16.42,6,0,1,13,1651,720201,232187,2939,16873,154105,732,74,0,2983,6352,0,0,0,0,20,891205,193362,9168,44421,38391,1491884,1326370,571875,26306,317,42177,2653,108,2540,5,242739,201525,171,2106,848,113,1124,2,6,13,0,38937,55684,1,274,1,3,3,
青梅市,136545,103.31,12,0,0,0,3469,592430,177719,0,22697,157601,577,71,0,0,8775,0,0,6758,0,0,544849,67149,6971,未取得,未取得,929799,未取得,245969,139081,166,12933,3103,119,2975,9,41700,34653,1674,5221,2288,346,2569,0,18,0,0,152,16761,1,7593,1,1,1,東青梅図書館および河辺図書館廃館（Ｈ２８年３月末）のため、現在は１０館。
府中市,257318,29,13,0,0,0,4152,1438010,339829,14351,82435,640331,1272,122,0,8471,42416,3219,10775,7305,3998,0,873298,160103,20176,不明,不明,2318763,不明,662537,249121,55,6084,4402,573,3789,40,521116,不明,不明,9196,3007,不明,6120,18,24,27,0,59520,117910,1,3991,1,1,1,（１）「予約受付総数」「未提供等」にはWEB・携帯電話からの予約を含む。／（２）「借用内訳」の「多摩地域から」には２３区分も含む。
昭島市,112906,17,5,0,1,13,1510,426713,111450,1007,54862,181237,330,18,0,449,3855,0,0,0,0,0,299904,25834,4437,25834,21585,658221,548469,195449,12789,117,21440,4626,148,4461,17,121924,111558,2631,7735,3008,383,4327,5,12,0,0,0,7824,1,10353,0,1,0,
調布市,227208,22,11,0,0,0,3121,1336656,269266,7466,70546,不明,1205,107,0,1707,7808,1893,5525,2031,0,0,628798,91295,10330,91295,75928,2691024,不明,646656,66067,431,37345,5377,812,4547,43,679526,不明,不明,11033,4024,978,5389,41,105,496,0,不明,144737,1,16562,0,11,1,
町田市,427180,72,8,0,3,67,2368,1154494,258268,4789,57501,315791,1070,93,0,843,30616,4850,4291,2376,0,0,2397111,408050,0,117975,99534,4285185,3922555,1183727,168869,199,17967,6296,881,5351,64,692340,未取得,未取得,11496,4772,890,5583,169,64,18,0,未取得,74949,1,40606,1,1,1,2015年3月システム更改後、市内図書館全館でBDSによる入館者数統計が取得できるようになり、来館者数の数値を2015年度より、貸出者数から入館者数に変更した。
小金井市,118346,11,3,1,0,0,1197,443345,152293,931,27891,143263,354,81,0,0,16363,0,0,0,0,0,252665,140253,8022,73301,65451,941853,848309,302686,58397,146,28544,1645,50,1595,0,174807,169064,不明,5713,1908,742,3009,17,37,0,0,30,15868,1,204,0,0,0,
小平市,188576,21,11,0,0,0,3077,1175255,348642,1514,68556,398763,911,93,1312,6842,5841,1845,1288,1057,0,0,575720,155001,11375,41940,37906,1573185,1428088,465039,25949,17,12340,7635,456,7141,38,327690,281109,3256,7880,2717,516,4572,41,34,0,0,35445,34755,1,46243,0,8,2,
日野市,182953,28,7,0,1,20,2184,805663,169556,775,58483,178952,970,162,0,515,4505,0,540,172,67,0,474271,38139,5810,38139,34830,1658153,0,487579,16071,52,21205,6325,343,5946,36,462716,453080,不明,9365,3820,831,4612,70,32,0,0,271,113504,1,2848,0,7,7,
東村山市,150790,17,5,0,0,0,1488,699257,230755,8947,26209,371301,304,43,0,876,12061,0,0,0,0,0,未取得,未取得,未取得,30109,27520,1109926,1013405,405136,29488,110,35682,7153,283,6842,28,235345,228259,不明,6859,2710,396,3717,12,20,1,0,227,27718,1,3224,0,5,5,
国分寺市,120333,11,6,0,0,0,1842,604168,182940,1862,17830,114319,382,54,1224,237,8991,0,0,0,0,0,未取得,77682,0,24952,22711,957912,911982,296498,25647,302,30804,2995,166,2824,5,190184,179941,3146,7037,3049,354,3566,不明,22,不明,46,60,19805,0,未取得,0,6,1,
国立市,75054,8,2,5,0,0,610,266910,60701,不明,17800,不明,259,32,0,779,2377,0,0,0,33,1178,未取得,26441,不明,26441,21746,457706,429038,130441,一般資料に含む,93,9549,640,多摩地区に含む,628,12,90726,90726,0,6449,1849,0,4593,2,5,他県に含む,0,不明,17308,0,5810,2,2,2,分室・サービスポイントの利用実績は含まない。
福生市,58798,10,4,0,0,0,1213,438144,134930,不明,35599,147003,372,52,0,1986,9077,0,3943,920,0,0,275872,12867,2769,12867,10119,655933,不明,209633,39945,28,7185,2000,119,1870,11,43251,39749,564,2607,1143,91,1364,6,3,0,0,331,6753,1,4777,0,4,1,
狛江市,80422,6,1,5,0,0,293,293149,98985,1212,11252,96582,187,14,0,0,160,0,0,0,0,0,155041,31184,4663,15176,13734,522336,476164,184441,8301,46,3995,1665,83,1577,5,97323,79242,3045,4786,1299,254,3220,12,1,0,0,10250,不明,0,9690,0,0,0,数値については、図書館設置条例に含まれない図書室分を含む
東大和市,86044,13,3,0,1,5,793,470952,138494,2470,14998,未取得,383,33,0,110,10420,0,0,0,0,0,194073,37497,4415,17262,未取得,743015,未取得,202716,41416,5694,29655,5143,390,4725,28,105423,81492,2667,20995,2073,196,3198,84,41,他県に含む,0,269,18648,1,24999,1,3,3,予約受付件数と処理件数が同一でないのは、インターネット予約分の処理（貸出）が各館に分かれるため。また、前後年度での持越分、繰越分があるため。
清瀬市,74485,10,6,0,0,0,1751,407613,100781,2350,2501,41413,169,25,1119,1705,8034,498,7929,2730,0,222,555216,82474,3344,11711,8394,589503,438221,186501,48556,53,10895,2858,113,2741,4,120523,97280,12791,6894,2588,317,3956,1,32,0,0,3558,7462,0,1719,0,0,0,
東久留米市,117053,13,4,0,0,0,1204,464399,146095,5569,10917,218542,446,43,0,2560,22552,0,1986,793,0,0,0,105511,13541,23992,18902,898901,不明,252888,94112,128,7965,3008,35,2969,4,173257,168390,不明,4826,1580,270,2967,4,5,0,0,41,22210,1,2408,1,1,1,
武蔵村山市,72165,15,2,0,0,0,1982,308157,123537,298,3311,24921,188,27,0,340,6089,0,0,0,0,0,未取得,33978,5054,5896,5418,348509,335115,132402,11376,74,8075,3162,142,3015,5,62641,52869,1311,3467,1284,144,2034,1,4,0,0,4994,3320,0,784,0,0,0,予約統計は、処理件数／臨時的経費：雷塚図書館ほか１施設空調設備改修工事費
多摩市,148155,21,8,0,0,0,2344,730418,186271,4321,36791,228487,725,79,0,2044,10413,0,188,147,0,103,未取得,68137,8129,36524,30652,1718820,1517042,364903,64002,117,26641,7430,589,6161,680,480790,410691,4595,12070,4143,676,3942,2649,180,480,0,53434,117542,3,59312,0,8,8,臨時的経費は市立図書館再構築構想のための経費
稲城市,87828,18,6,2,0,0,1847,606683,194936,1347,12028,139118,782,58,0,0,12647,0,1873,8255,0,0,821880,38332,6827,38332,25642,1231216,847807,409937,137663,307,50909,3047,123,2905,19,233445,215638,1562,3937,1235,323,2353,9,17,0,0,65,17513,1,659,1,6,1,
羽村市,56281,10,1,0,0,0,295,390620,106967,1777,19999,94835,247,24,0,884,10960,0,4277,1601,0,0,204689,31255,2940,31255,22463,339730,285114,75954,25743,9,2694,604,49,552,3,23274,17757,1764,2664,980,83,1592,0,6,3,0,1089,11275,1,5106,0,1,1,
あきる野市,81443,73,4,0,0,0,1186,560071,166616,1784,25129,340671,573,56,0,150,7702,0,105,4439,0,0,561663,47640,5235,47640,38511,698263,580649,215509,36254,56,6361,2300,138,2154,8,79019,73065,918,4975,1791,322,2776,12,51,23,0,61,10926,2,411,1,4,1,
西東京市,199297,16,7,0,0,0,1978,804696,193397,3391,87598,270967,719,77,0,920,16098,0,0,0,0,0,938340,51073,6704,51073,39306,2280593,1835860,636345,66438,426,63512,8948,462,8448,38,738491,614086,16885,10635,3648,840,6063,7,56,9,12,96885,31521,0,11083,0,4,4,
市部計,4129057,784,152,13,7,118,47218,18542151,5027464,102755,926852,5873918,16219,1801,8151,51416,366797,17450,55491,46211,5474,1523,15698137,2298282,159724,943045,658743,35933955,16744188,10513678,1819417,9642,614956,106152,6896,93426,1211,7616827,4194442,62566,192935,64949,9531,86789,3236,842,1075,8667,305619,1395751,24,296977,14,93,58,
瑞穂町,33822,17,1,0,0,0,293,222021,52497,404,不明,63578,95,12,679,0,5827,0,0,413,0,0,32285,25189,1234,2109,1530,114989,102771,20411,3813,11,633,1211,35,1174,2,9083,7034,465,1540,484,34,1018,0,2,2,0,44,489,0,105,0,1,0,
日の出町,17033,28,1,1,0,0,278,113405,48775,不明,2364,14427,45,7,0,337,0,0,0,0,0,不明,17485,10035,1113,不明,不明,46692,37996,14283,不明,20,4975,206,18,188,0,1872,1045,26,746,363,15,334,0,0,0,34,55,2198,0,285,0,1,0,
檜原村,2323,105,1,0,1,16,284,39283,10622,0,275,3682,66,10,0,0,296,105,773,521,0,0,3731,1338,76,282,227,12287,10794,3633,548,14,1592,3,0,3,0,886,557,50,636,282,0,353,0,0,0,0,0,659,0,644,0,1,0,
奥多摩町,5372,226,2,0,1,20,590,76783,21673,31,125,11265,106,6,0,0,0,0,95,0,0,0,14378,3939,180,3697,3316,25788,19973,4622,172,50,3493,433,23,406,4,3535,2005,629,888,359,17,341,0,0,0,0,13,516,0,未取得,0,0,0,賃金については、受託費から支出している。
町村部計,58550,376,5,1,2,36,1445,451492,133567,435,2764,92952,312,35,679,337,6123,105,868,934,0,0,67879,40501,2603,6088,5073,199756,171534,42949,4533,95,10693,1853,76,1771,6,15376,10641,1170,3810,1488,66,2046,0,2,2,34,112,3862,0,1034,0,3,0,
大島町,7928,91,1,0,1,12,298,38148,不明,不明,不明,38148,3,1,0,0,112,0,458,0,387,0,5852,438,138,438,438,6465,6465,不明,不明,5,不明,0,0,0,0,未取得,未取得,未取得,22,22,0,0,0,0,0,0,0,663,0,未取得,0,0,0,
神津島村,1870,19,1,0,0,0,295,12916,3235,不明,不明,不明,26,1,0,0,0,0,0,0,0,0,9042,467,106,467,467,8451,8451,不明,0,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不明,0,不明,0,0,0,
三宅村,2535,55,1,0,0,0,308,13948,3265,不明,不明,不明,31,3,0,0,0,0,0,0,0,0,4062,712,不明,不明,不明,5192,5192,不明,不明,0,0,0,0,0,0,404,0,0,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,
八丈町,7659,72,1,0,0,0,277,30746,10558,83,1961,803,31,6,0,0,0,0,30,1043,0,0,15804,3731,385,1172,1087,37802,36585,12276,6446,5,278,0,0,0,0,840,424,47,348,181,14,153,0,0,0,0,21,412,0,987,0,1,0,・「A施設占有延床面積」増加理由：昨年度に引き続き、書庫（旧教育長室）に書架を増設し、図書館のみ使用することにしたため、専有面積が増加した。／・2015年4月、町内在住の方から「子供向けの本を購入してほしい」と100万円寄付があり、本棚と児童書を購入。
青ヶ島村,152,6,1,0,0,0,256,10000,0,0,0,4856,0,1,0,0,0,0,207,46,0,0,357,35,不明,35,35,480,306,不明,不明,0,0,0,0,0,0,174,0,0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,
島嶼部計,20144,243,5,0,1,12,1434,105758,17058,83,1961,43807,91,12,0,0,112,0,695,1089,387,0,35117,5383,629,2112,2027,58390,56999,12276,6446,19,316,0,0,0,0,1418,424,47,948,781,14,153,0,0,0,0,21,1075,0,987,0,1,0,
区市町村島嶼計,13452935,2022,385,46,10,166,121292,46283449,11777691,322570,1682729,12199350,53320,5652,38466,96716,1461217,21425,99498,124532,16893,6001,59048941,6049602,565005,2299069,1598631,113888813,50766869,30673056,8377877,56810,2701331,302980,161402,108609,3900,28693956,15346756,132144,371025,78157,156756,94911,5941,1724,1273,8773,952833,6252355,115,1151328,36,281,165,
東京都計,,,387,46,10,166,121949,48771737,11998063,603884,1914791,13772410,78454,7008,42514,97854,1462849,22068,105796,125931,28401,6001,59403320,6049602,565005,2299069,1598631,113888813,50766869,30673056,7911418,56810,2701331,385947,174671,176950,5257,28694167,15346756,132144,371236,78157,156756,94911,5974,1902,1273,8773,952833,7808083,117,1218680,38,283,167,
