区名,番号,地区名,面積(ha)
豊島区,※／豊.15,雑司ヶ谷・南池袋地区,60
北区,北.1,豊島地区,12
北区,北.2,環状７号線沿道地区,14
北区,△／北.6,田端地区,8
北区,△／北.7,上十条三・四丁目地区,19
北区,△／北.10,桐ヶ丘・赤羽台地区,122
北区,△／北.11,十条駅西口地区,25
北区,北.15,神谷二丁目地区,2
北区,△／北.16,西ヶ原外大跡地周辺地区,31
北区,北.17,西ヶ原一丁目地区,1
北区,北.18,豊島五・六丁目地区,3
北区,北.19,豊島四丁目地区,3
北区,北.20,補助88号線沿道地区,7
北区,△／北.21,志茂東地区,100
北区,北.22,赤羽駅東口一番街地区,1
北区,△／北.23,上十条一丁目、中十条一・二・三丁目地区,40
北区,※／北.25,王子本町三丁目地区,4
北区,※／北.26,滝野川二丁目地区,1
北区,※／北.27,中十条一丁目地区,1
北区,※／北.28,浮間一丁目地区,1
北区,※／北.29,十条北地区,27
北区,※／北.30,上中里地区,6
荒川区,荒.1,白鬚西・南千住駅周辺地区,159
荒川区,荒.2,町屋・隅田川地区,29
荒川区,荒.3,小台通り地区,7
荒川区,荒.4,旭電化工場跡地周辺地区,27
荒川区,荒.5,尾竹橋通り地区,19
荒川区,荒.6,町屋駅前地区,5
荒川区,荒.7,補助306号線地区,7
荒川区,荒.8,荒川五・六丁目地区,30
荒川区,荒.9,町屋二・三・四・五・六丁目地区,44
荒川区,荒.11,放射12号線・補助107号線沿道地区,14
荒川区,荒.12,補助90号線地区,12
荒川区,△／荒.13,南千住・荒川地区,49
荒川区,荒.14,日暮里駅周辺地区,61
荒川区,荒.15,荒川二丁目周辺地区,44
荒川区,荒.16,尾久地区,133
荒川区,※／荒.17,西尾久八丁目地区,1
板橋区,△／板.1,大山駅周辺地区,42
板橋区,△／板.2,環状７号線・川越街道沿道地区,72
板橋区,△／板.3,上板橋駅南口地区,17
板橋区,板.4,仲宿地区,60
板橋区,板.5,前野町地区,74
板橋区,△／板.6,大谷口地区,70
板橋区,板.7,若木地区,18
板橋区,板.9,向原三丁目地区,6
板橋区,板.12,環状８号線沿道地区,22
板橋区,板.13,川越街道北地区,22
板橋区,△／板.15,板橋駅西口地区,2
板橋区,△／板.20,西台一丁目、若木二・三丁目周辺地区,42
板橋区,板.22,板橋富士見町地区,4
板橋区,板.23,成増五丁目地区,8
板橋区,板.24,加賀一丁目地区,1
板橋区,※／板.25,幸町地区,4
板橋区,※／板.26,相生町地区,1
板橋区,※／板.27,舟渡二丁目地区,1
板橋区,※／板.28,坂下二丁目地区,1
練馬区,練.1,石神井公園駅周辺地区,28
練馬区,練.2,練馬春日町駅周辺・環状８号線沿道地区,32
練馬区,練.3,大泉学園駅周辺地区,19
練馬区,練.4,練馬地区,20
練馬区,練.5,江古田地区,48
練馬区,練.15,土支田・高松地区,67
練馬区,△／練.20,練馬駅周辺地区,23
練馬区,練.23,川越街道北練馬地区,14
練馬区,練.24,北町地区,31
練馬区,練.26,環状７号線沿道（練馬区）地区,16
練馬区,△／練.27,上石神井四丁目地区,11
練馬区,練.29,笹目通り・環状８号線沿道地区,26
練馬区,△／練.33,上石神井駅周辺地区,72
練馬区,練.35,東大泉三丁目地区,2
練馬区,練.37,中村橋駅周辺地区,24
練馬区,△／練.39,大泉町二丁目地区,19
練馬区,※／練.42,貫井・富士見台地区,93
練馬区,※／練.43,放射７号線沿道周辺地区,176
練馬区,※／練.44,北町二丁目地区,1
練馬区,※／練.45,田柄・春日町・高松地区,76
練馬区,※／練.46,外郭環状道路周辺地区,195
練馬区,※／練.47,大泉学園町地区,31
足立区,△／足.1,千住大川端地区,65
足立区,足.2,千住桜木地区,56
足立区,足.3,小台通り地区,3
足立区,△／足.6,関原地区,43
足立区,足.7,環状７号線沿道等足立地区,169
足立区,△／足.9,足立一・二・三・四丁目他地区,65
足立区,足.10,青井地区,59
足立区,足.12,高野地区,15
足立区,足.13,江北三・四丁目地区,20
足立区,足.14,西新井一丁目地区,3
足立区,足.16,西新井三丁目地区,7
足立区,足.17,舎人・江北北部地区,333
足立区,足.19,扇一丁目地区,4
足立区,足.20,神明・六木地区,81
足立区,足.22,興野地区,39
足立区,足.23,六町地区,69
足立区,△／足.24,桑袋・花畑地区,172
足立区,足.25,新田地区,80
足立区,足.26,舎人・古千谷本町・西伊興・東伊興地区,303
足立区,足.27,上沼田南地区,15
足立区,足.28,佐野・六木地区,24
足立区,足.29,伊興前沼地区,8
足立区,足.30,舎人四丁目地区,10
足立区,足.31,補助136号線地区,7
足立区,△／足.32,西新井駅西口周辺地区,99
足立区,足.33,東綾瀬二・三丁目地区,9
足立区,足.36,綾瀬七丁目地区,1
足立区,足.38,花畑五丁目地区,21
足立区,△／足.39,中央本町地区,63
足立区,足.40,小台一丁目地区,19
足立区,△／足.41,江北駅周辺地区,19
足立区,足.42,北千住駅西口周辺地区,115
足立区,△／足.43,柳原地区,26
足立区,足.44,島根四丁目地区,13
足立区,足.45,鹿浜二丁目地区,3
足立区,足.46,見沼代親水公園駅周辺地区,22
足立区,足.47,東六月町・平野地区,56
足立区,足.48,島根二丁目地区,10
足立区,足.49,千住大橋駅周辺地区,41
足立区,△／足.50,保塚町地区,24
足立区,△／足.52,補助136号線（扇・本木）地区,11
足立区,足.54,弘道二丁目地区,2
足立区,足.55,竹ノ塚駅周辺地区,120
足立区,足.56,五反野駅周辺地区,9
足立区,足.57,千住旭町・日ノ出町地区,43
足立区,足.58,綾瀬新橋周辺地区,4
足立区,足.59,扇一丁目周辺地区,49
足立区,△／足.60,花畑七・八丁目地区,16
足立区,足.61,神明南・辰沼・北加平地区,87
足立区,足.62,花畑四丁目地区,1
足立区,※／足.63,千住北部地区,45
足立区,※／足.64,宮城一丁目地区,1
葛飾区,△／葛.1,新小岩駅周辺地区,54
葛飾区,△／葛.2,亀有駅周辺地区,55
葛飾区,△／葛.3,環状７号線沿道等葛飾地区,90
葛飾区,△／葛.4,四ツ木駅周辺地区,123
葛飾区,△／葛.5,金町駅周辺地区,69
葛飾区,△／葛.11,奥戸四丁目地区,33
葛飾区,△／葛.12,平和橋通り沿道地区,27
葛飾区,△／葛.13,立石駅周辺地区,82
葛飾区,葛.16,新柴又駅周辺地区,12
葛飾区,△／葛.19,高砂四丁目地区,13
葛飾区,△／葛.20,奥戸街道沿道地区,11
葛飾区,葛.21,水元西南部地区,15
葛飾区,△／葛.23,青戸六・七丁目地区,22
葛飾区,葛.24,新宿六丁目第二地区,34
葛飾区,葛.25,綾瀬駅周辺地区,6
葛飾区,△／葛.26,堀切菖蒲園駅周辺地区,71
葛飾区,葛.27,お花茶屋駅周辺地区,24
葛飾区,△／葛.28,青砥駅周辺地区,18
葛飾区,葛.29,高砂駅周辺地区,22
葛飾区,葛.30,柴又駅周辺地区,22
葛飾区,葛.31,西亀有一丁目地区,2
葛飾区,※／葛.32,東立石四丁目地区,20
葛飾区,※／葛.33,西新小岩三丁目地区,2
葛飾区,※／葛.34,南水元三丁目地区,3
葛飾区,※／葛.35,亀有四丁目地区,3
江戸川区,江戸川.2,葛西・東葛西地区,132
江戸川区,江戸川.3,春江地区,40
江戸川区,江戸川.4,亀戸・大島・小松川地区,72
江戸川区,江戸川.5,環状７号線沿道江戸川地区,42
江戸川区,江戸川.6,一之江駅付近地区,7
江戸川区,江戸川.7,上篠崎地区,50
江戸川区,江戸川.8,篠崎駅付近地区,16
江戸川区,江戸川.9,篠崎駅東部地区,21
江戸川区,江戸川.10,瑞江駅付近地区,29
江戸川区,江戸川.11,瑞江駅南部地区,34
江戸川区,江戸川.12,瑞江駅西部地区,30
江戸川区,江戸川.13,谷河内一丁目地区,9
江戸川区,江戸川.14,一之江駅付近西部第二地区,25
江戸川区,江戸川.15,船堀地区,30
江戸川区,江戸川.16,篠崎駅西部地区,14
江戸川区,江戸川.17,一之江駅西部地区,24
江戸川区,江戸川.18,瑞江駅北部地区,22
江戸川区,江戸川.19,平井駅南口地区,1
江戸川区,江戸川.20,下鎌田地区,34
江戸川区,江戸川.21,一之江駅付近西部地区,13
江戸川区,△／江戸川.22,補助120号線平井南部地区,4
江戸川区,江戸川.23,平井七丁目北部地区,4
江戸川区,江戸川.24,一之江中央地区,29
江戸川区,△／江戸川.25,ＪＲ小岩駅周辺地区,57
江戸川区,江戸川.26,一之江・春江・西瑞江地区,61
江戸川区,江戸川.27,東篠崎一丁目地区,7
江戸川区,江戸川.28,補助120号線平井北部地区,7
江戸川区,江戸川.29,松島三丁目地区,26
江戸川区,江戸川.30,江戸川一丁目地区,35
江戸川区,江戸川.31,東葛西五丁目付近地区,39
江戸川区,江戸川.32,西篠崎地区,11
江戸川区,江戸川.35,小岩四東地区,7
江戸川区,江戸川.36,中葛西八丁目地区,17
江戸川区,江戸川.37,二之江西地区,51
江戸川区,△／江戸川.38,中葛西二丁目地区,17
江戸川区,江戸川.39,京成小岩駅周辺地区,8
江戸川区,△／江戸川.40,東葛西一・二・三丁目地区,52
江戸川区,△／江戸川.41,江戸川五・六丁目地区,44
江戸川区,△／江戸川.42,一之江境川親水公園景観形成地区,19
江戸川区,※／江戸川.43,平井二丁目付近地区,29
江戸川区,※／江戸川.44,北小岩一丁目東部地区,2
江戸川区,※／江戸川.45,松江五丁目地区,1
江戸川区,※／江戸川.46,船堀一丁目地区,2
江戸川区,※／江戸川.47,西瑞江四丁目地区,1
江戸川区,※／江戸川.48,新川沿線地区,17
