全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,つくし野コミュニティセンター,,,132098,,東京都町田市つくし野2-26-5,東京都,町田市,つくし野,2-26-5,,,35.52709328,139.4846571,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：第3水曜日。ベビーシート,,,
132098,,町田市,つくし野セントラルパーク,,,132098,,東京都町田市つくし野3-19,東京都,町田市,つくし野,3月19日,,,35.5204266,139.4824472,,,,,,,,,,,,,,有,有,無,6:00,19:00,,,,
132098,,町田市,鶴間公園クラブハウス,,,132098,,東京都町田市鶴間2-5-13,東京都,町田市,鶴間,2002/5/13,,,35.50947826,139.4661278,,,,,,,,,,,,,,有,有,有,8:30,21:00,ベビーチェア、多目的シート,,,
132098,,町田市,鶴間公園,,,132098,,東京都町田市鶴間3-1-1,東京都,町田市,鶴間,2003/1/1,,,35.51087305,139.4661973,,,,,,,,,,,,,,有,有,有,,,多目的トイレのみ8:30～18：30、男子・女子トイレは24時間使用可能ベビーシート、ベビーチェア、多目的シート,,,
132098,,町田市,成瀬弁天橋公園,,,132098,,東京都町田市成瀬8-2045,東京都,町田市,成瀬,8-2045,,,35.54278613,139.4693299,,,,,,,,,,,,,,有,有,無,6:00,17:30,6月～8月 6:00～18:30,,,
132098,,町田市,成瀬うさぎ谷戸公園（鞍掛グラウンド）,,,132098,,東京都町田市西成瀬1-2738-3,東京都,町田市,西成瀬,1-2738-3,,,35.54544511,139.467174,,,,,,,,,,,,,,有,有,有,8:00,17:30,ベビーシート、ベビーチェア、多目的シート,,,
132098,,町田市,成瀬コミュニティセンター,,,132098,,東京都町田市西成瀬2-49-1,東京都,町田市,西成瀬,2-49-1,,,35.54353038,139.4727757,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：第2火曜日.ベビーシート・ベビーチェア,,,
132098,,町田市,なるせ駅前市民センター,,,132098,,東京都町田市南成瀬1-2-5,東京都,町田市,南成瀬,2001/2/5,,,35.53682154,139.4730256,,,,,,,,,,,,,,有,有,有,8:00,22:00,定休日：年末年始（12/29～1/3）ベビーシート、介助ベッド,,,
132098,,町田市,町田市立総合体育館,,,132098,,東京都町田市南成瀬5-12,東京都,町田市,南成瀬,5月12日,,,35.5359569,139.479313,,,,,,,,,,,,,,有,有,有,9:00,21:00,定休日：第1・第3月曜日（祝日の場合は翌日）。ベビーチェア,,,
132098,,町田市,堂之坂公苑,,,132098,,東京都町田市南成瀬5-8,東京都,町田市,南成瀬,5月8日,,,35.53623535,139.4769298,,,,,,,,,,,,,,有,有,無,8:30,17:30,6～8月 8:30～19:00,,,
132098,,町田市,成瀬クリーンセンター,,,132098,,東京都町田市南成瀬8-1-1,東京都,町田市,南成瀬,2008/1/1,,,35.53515186,139.483665,,,,,,,,,,,,,,有,有,有,8:30,17:00,定休日：土、日、祝日、年末年始。ベビーチェア、多目的シート,,,
