"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114004001","13","114","004001","東京都","中野区","中央一丁目","406","216","190","7","2","5","30","61","90","56","37","30","24","23","15","10","7","3","6","5","1","1","12","33","49","32","21","16","13","12","9","6","3","1","2","2","1","4","18","28","41","24","16","14","11","11","6","4","4","2","4","139.68563112818","35.6990138966392","314 ～"
"13114004002","13","114","004002","東京都","中野区","中央二丁目","308","145","163","1","0","2","12","63","67","57","26","13","23","15","12","5","5","2","5","1","0","0","5","32","35","26","13","8","9","4","5","4","2","0","1","0","0","2","7","31","32","31","13","5","14","11","7","1","3","2","4","139.679241144486","35.6994674880177","252 ～ 314"
"13114004003","13","114","004003","東京都","中野区","中央三丁目","321","171","150","8","3","2","10","48","91","51","42","19","13","13","9","10","0","1","1","3","2","0","3","26","45","33","21","15","6","6","6","4","0","0","1","5","1","2","7","22","46","18","21","4","7","7","3","6","0","1","0","139.673288125946","35.7000259035886","314 ～"
"13114004004","13","114","004004","東京都","中野区","中央四丁目","420","185","235","3","3","1","27","107","106","60","22","18","23","19","13","6","4","3","5","2","1","0","9","45","51","26","12","10","7","7","6","4","1","3","1","1","2","1","18","62","55","34","10","8","16","12","7","2","3","0","4","139.66882864583","35.7002489598244","314 ～"
"13114004005","13","114","004005","東京都","中野区","中央五丁目","335","145","190","6","3","5","8","79","84","43","23","25","22","11","7","7","8","2","2","3","1","2","6","31","34","23","11","13","8","3","5","2","2","1","0","3","2","3","2","48","50","20","12","12","14","8","2","5","6","1","2","139.664667776935","35.7000562392736","314 ～"
"13114005001","13","114","005001","東京都","中野区","東中野一丁目","610","356","254","20","4","5","27","142","135","97","66","38","20","25","11","5","6","2","7","12","1","2","18","90","74","49","45","27","10","14","4","0","5","1","4","8","3","3","9","52","61","48","21","11","10","11","7","5","1","1","3","139.685177472137","35.7036354659833","314 ～"
"13114005002","13","114","005002","東京都","中野区","東中野二丁目","295","163","132","2","1","3","26","91","64","35","19","14","12","12","5","4","1","3","3","1","1","1","8","52","42","24","12","5","8","4","2","2","0","1","0","1","0","2","18","39","22","11","7","9","4","8","3","2","1","2","3","139.679631608041","35.7035087971788","252 ～ 314"
"13114005003","13","114","005003","東京都","中野区","東中野三丁目","259","132","127","3","5","3","12","60","59","40","22","19","10","9","7","6","1","1","2","3","2","2","6","29","26","22","12","13","8","3","2","3","0","0","1","0","3","1","6","31","33","18","10","6","2","6","5","3","1","1","1","139.681560781287","35.7081804572918","252 ～ 314"
"13114005004","13","114","005004","東京都","中野区","東中野四丁目","468","254","214","7","3","4","27","113","123","58","56","22","14","10","14","9","4","2","2","4","1","3","16","62","60","31","36","11","9","6","5","6","2","2","0","3","2","1","11","51","63","27","20","11","5","4","9","3","2","0","2","139.68621788878","35.7086717760593","314 ～"
"13114005005","13","114","005005","東京都","中野区","東中野五丁目","314","157","157","10","8","6","24","69","52","45","40","19","17","7","5","7","3","1","1","5","3","3","14","38","23","27","15","12","9","2","1","2","1","1","1","5","5","3","10","31","29","18","25","7","8","5","4","5","2","0","0","139.69021511275","35.7086984390765","314 ～"
"13114006001","13","114","006001","東京都","中野区","中野一丁目","450","226","224","11","6","5","37","128","98","53","32","17","14","21","12","5","4","4","3","7","4","2","15","63","44","30","13","12","9","10","7","4","2","3","1","4","2","3","22","65","54","23","19","5","5","11","5","1","2","1","2","139.67620858374","35.7035342706179","314 ～"
"13114006002","13","114","006002","東京都","中野区","中野二丁目","139","66","73","3","1","2","9","44","27","18","4","6","7","6","5","0","2","2","3","1","1","1","3","23","14","10","2","2","3","1","2","0","0","1","2","2","0","1","6","21","13","8","2","4","4","5","3","0","2","1","1","139.669093459576","35.7041812440605","128 ～ 179"
"13114006003","13","114","006003","東京都","中野区","中野三丁目","396","204","192","6","5","2","17","126","98","47","33","11","15","14","10","5","3","1","3","3","3","1","12","68","47","24","16","8","5","6","6","2","2","0","1","3","2","1","5","58","51","23","17","3","10","8","4","3","1","1","2","139.661781788124","35.7028649739201","314 ～"
"13114006004","13","114","006004","東京都","中野区","中野四丁目","455","240","215","0","0","2","218","167","29","10","6","5","5","4","5","2","0","2","0","0","0","1","117","89","16","5","3","2","0","3","2","1","0","1","0","0","0","1","101","78","13","5","3","3","5","1","3","1","0","1","0","139.661468058502","35.7076937742814","314 ～"
"13114006005","13","114","006005","東京都","中野区","中野五丁目","488","239","249","6","4","1","18","134","123","54","43","32","18","14","11","5","12","5","8","4","1","1","9","59","56","35","23","22","7","5","4","2","5","3","3","2","3","0","9","75","67","19","20","10","11","9","7","3","7","2","5","139.66897568276","35.7076757824246","314 ～"
"13114006006","13","114","006006","東京都","中野区","中野六丁目","226","110","116","2","1","2","21","68","51","25","18","9","7","7","9","4","0","0","2","0","1","1","8","28","32","12","5","5","4","4","7","3","0","0","0","2","0","1","13","40","19","13","13","4","3","3","2","1","0","0","2","139.675852340594","35.707564031603","179 ～ 252"
"13114007001","13","114","007001","東京都","中野区","上高田一丁目","424","220","204","5","3","4","38","168","88","37","25","19","16","10","7","3","0","0","1","2","3","2","26","72","50","21","15","10","11","5","2","1","0","0","0","3","0","2","12","96","38","16","10","9","5","5","5","2","0","0","1","139.677869528936","35.7105857272966","314 ～"
"13114007002","13","114","007002","東京都","中野区","上高田二丁目","331","182","149","2","2","2","18","90","98","42","23","15","13","9","6","2","3","1","5","0","2","1","13","49","58","23","11","8","8","4","2","0","0","1","2","2","0","1","5","41","40","19","12","7","5","5","4","2","3","0","3","139.671141642535","35.7119477415905","314 ～"
"13114007003","13","114","007003","東京都","中野区","上高田三丁目","269","147","122","1","3","4","19","81","67","37","20","11","8","5","3","3","3","3","1","1","1","1","10","50","38","19","8","7","4","2","2","1","2","0","1","0","2","3","9","31","29","18","12","4","4","3","1","2","1","3","0","139.674004619858","35.7139967134569","252 ～ 314"
"13114007004","13","114","007004","東京都","中野区","上高田四丁目","282","145","137","4","9","6","27","70","47","24","19","24","18","18","6","4","3","0","3","3","7","4","10","39","26","12","8","9","9","9","3","2","1","0","3","1","2","2","17","31","21","12","11","15","9","9","3","2","2","0","0","139.678244464293","35.7134588796682","252 ～ 314"
"13114007005","13","114","007005","東京都","中野区","上高田五丁目","162","83","79","0","2","1","10","59","39","18","10","4","2","6","5","4","1","1","0","0","2","1","4","35","16","8","9","2","1","1","0","3","1","0","0","0","0","0","6","24","23","10","1","2","1","5","5","1","0","1","0","139.675475144169","35.7177646413265","128 ～ 179"
"13114008001","13","114","008001","東京都","中野区","新井一丁目","315","178","137","3","2","3","4","104","93","43","17","9","10","10","5","4","2","3","3","2","2","2","3","55","54","29","8","6","5","5","0","3","2","1","1","1","0","1","1","49","39","14","9","3","5","5","5","1","0","2","2","139.667697937877","35.7120911572706","314 ～"
"13114008002","13","114","008002","東京都","中野区","新井二丁目","285","140","145","2","2","1","9","71","75","52","27","9","16","9","7","3","1","1","0","1","0","1","4","33","36","31","12","5","9","3","4","0","1","0","0","1","2","0","5","38","39","21","15","4","7","6","3","3","0","1","0","139.66307280542","35.7120822502015","252 ～ 314"
"13114008003","13","114","008003","東京都","中野区","新井三丁目","128","63","65","0","2","2","10","45","30","10","13","5","1","1","3","2","1","3","0","0","1","2","4","21","13","7","6","3","0","0","1","1","1","3","0","0","1","0","6","24","17","3","7","2","1","1","2","1","0","0","0","139.662419534714","35.715908084647","128 ～ 179"
"13114008004","13","114","008004","東京都","中野区","新井四丁目","96","41","55","4","0","2","4","19","21","16","7","6","7","2","4","2","1","0","1","2","0","0","3","11","7","7","4","2","1","0","1","2","1","0","0","2","0","2","1","8","14","9","3","4","6","2","3","0","0","0","1","139.666321397554","35.716577302899"," ～ 128"
"13114008005","13","114","008005","東京都","中野区","新井五丁目","128","59","69","3","4","2","4","23","32","20","10","9","3","4","3","5","2","2","2","1","2","0","1","10","16","12","5","4","0","2","0","2","2","1","1","2","2","2","3","13","16","8","5","5","3","2","3","3","0","1","1","139.669043923667","35.7152974015318","128 ～ 179"
"13114009001","13","114","009001","東京都","中野区","沼袋一丁目","282","143","139","5","4","1","15","98","75","33","16","8","7","5","5","2","4","2","2","1","1","1","8","48","39","19","7","4","3","4","3","1","2","1","1","4","3","0","7","50","36","14","9","4","4","1","2","1","2","1","1","139.665962380587","35.7193085000846","252 ～ 314"
"13114009002","13","114","009002","東京都","中野区","沼袋二丁目","238","105","133","2","0","2","18","81","56","24","12","8","7","9","8","5","2","2","2","0","0","0","9","30","30","14","5","2","4","2","3","3","0","1","2","2","0","2","9","51","26","10","7","6","3","7","5","2","2","1","0","139.665778737259","35.7222624207704","179 ～ 252"
"13114009003","13","114","009003","東京都","中野区","沼袋三丁目","305","170","135","5","3","0","33","116","70","34","11","9","6","5","1","3","3","3","3","4","1","0","22","57","45","17","6","4","2","4","1","3","0","2","2","1","2","0","11","59","25","17","5","5","4","1","0","0","3","1","1","139.660629951083","35.7183314857835","252 ～ 314"
"13114009004","13","114","009004","東京都","中野区","沼袋四丁目","208","116","92","2","3","2","16","78","47","18","13","6","3","5","5","7","0","1","2","0","2","1","9","48","26","10","6","3","2","1","2","5","0","0","1","2","1","1","7","30","21","8","7","3","1","4","3","2","0","1","1","139.660190260831","35.7217340370417","179 ～ 252"
"13114010001","13","114","010001","東京都","中野区","松が丘一丁目","248","142","106","0","2","0","10","94","52","23","20","10","12","9","5","3","0","1","7","0","1","0","5","64","29","15","8","6","5","3","1","1","0","0","4","0","1","0","5","30","23","8","12","4","7","6","4","2","0","1","3","139.67253741837","35.7198904094131","179 ～ 252"
"13114010002","13","114","010002","東京都","中野区","松が丘二丁目","194","104","90","3","0","3","24","72","36","16","12","5","7","6","3","5","1","0","1","1","0","1","13","38","20","9","6","4","6","2","2","1","1","0","0","2","0","2","11","34","16","7","6","1","1","4","1","4","0","0","1","139.671114401543","35.7207583206409","179 ～ 252"
"13114011001","13","114","011001","東京都","中野区","江原町一丁目","145","66","79","6","4","2","5","28","35","20","14","12","9","6","1","3","0","0","0","3","0","1","2","9","20","10","9","6","3","3","0","0","0","0","0","3","4","1","3","19","15","10","5","6","6","3","1","3","0","0","0","139.673536674525","35.7292827190922","128 ～ 179"
"13114011002","13","114","011002","東京都","中野区","江原町二丁目","119","59","60","4","2","2","4","9","26","16","13","12","14","5","4","3","4","0","1","4","0","1","3","6","14","11","7","4","7","0","0","0","2","0","0","0","2","1","1","3","12","5","6","8","7","5","4","3","2","0","1","139.669808341814","35.7301910297813"," ～ 128"
"13114011003","13","114","011003","東京都","中野区","江原町三丁目","139","74","65","2","1","1","10","24","49","23","9","7","4","5","3","0","0","0","1","1","1","0","5","13","27","11","4","4","2","5","1","0","0","0","0","1","0","1","5","11","22","12","5","3","2","0","2","0","0","0","1","139.674234922446","35.7316415754499","128 ～ 179"
"13114012001","13","114","012001","東京都","中野区","江古田一丁目","90","44","46","2","2","3","3","13","15","10","9","10","4","7","7","3","0","1","1","2","0","2","2","6","9","3","6","5","0","3","4","2","0","0","0","0","2","1","1","7","6","7","3","5","4","4","3","1","0","1","1","139.672776106807","35.7254002225423"," ～ 128"
"13114012002","13","114","012002","東京都","中野区","江古田二丁目","145","78","67","1","0","1","4","44","51","17","6","4","3","3","3","2","3","1","2","0","0","1","3","25","25","13","1","2","2","1","2","0","2","0","1","1","0","0","1","19","26","4","5","2","1","2","1","2","1","1","1","139.666538014052","35.7258724054634","128 ～ 179"
"13114012003","13","114","012003","東京都","中野区","江古田三丁目","93","39","54","8","6","2","3","5","15","9","7","8","6","6","10","4","1","1","2","3","2","0","1","2","7","3","4","3","3","3","5","2","0","1","0","5","4","2","2","3","8","6","3","5","3","3","5","2","1","0","2","139.666869197116","35.7286824437866"," ～ 128"
"13114012004","13","114","012004","東京都","中野区","江古田四丁目","320","171","149","3","1","4","31","106","75","35","11","15","13","12","9","1","3","1","0","2","1","2","17","58","41","15","6","8","9","7","3","1","1","0","0","1","0","2","14","48","34","20","5","7","4","5","6","0","2","1","0","139.662137621209","35.7253606576189","314 ～"
"13114013001","13","114","013001","東京都","中野区","丸山一丁目","136","75","61","2","0","3","11","35","32","15","9","11","6","4","4","2","1","1","0","1","0","2","8","21","14","9","6","4","4","2","2","1","1","0","0","1","0","1","3","14","18","6","3","7","2","2","2","1","0","1","0","139.655921127399","35.7245720650114","128 ～ 179"
"13114013002","13","114","013002","東京都","中野区","丸山二丁目","173","94","79","0","1","2","17","53","35","24","8","8","8","9","4","2","1","1","0","0","1","2","7","27","24","12","5","4","3","4","2","1","1","1","0","0","0","0","10","26","11","12","3","4","5","5","2","1","0","0","0","139.651635078675","35.724867765713","128 ～ 179"
"13114014001","13","114","014001","東京都","中野区","野方一丁目","270","134","136","5","4","0","13","63","69","47","26","12","10","3","7","8","2","1","0","3","3","0","8","32","29","24","14","9","4","2","3","1","2","0","0","2","1","0","5","31","40","23","12","3","6","1","4","7","0","1","0","139.657121987782","35.7112128932395","252 ～ 314"
"13114014002","13","114","014002","東京都","中野区","野方二丁目","293","167","126","6","2","3","16","84","69","41","20","17","6","10","9","5","0","0","5","5","1","3","12","49","38","27","12","6","3","5","4","1","0","0","1","1","1","0","4","35","31","14","8","11","3","5","5","4","0","0","4","139.656835064834","35.7144140548478","252 ～ 314"
"13114014003","13","114","014003","東京都","中野区","野方三丁目","179","99","80","1","0","0","9","62","51","17","9","9","7","3","1","6","1","1","2","1","0","0","5","36","27","11","5","4","3","1","0","3","0","1","2","0","0","0","4","26","24","6","4","5","4","2","1","3","1","0","0","139.656203040754","35.7174474319749","179 ～ 252"
"13114014004","13","114","014004","東京都","中野区","野方四丁目","161","72","89","1","4","0","15","47","22","16","13","8","9","4","7","2","7","1","5","1","1","0","10","26","8","4","6","1","3","3","2","1","5","0","1","0","3","0","5","21","14","12","7","7","6","1","5","1","2","1","4","139.65630092644","35.720939562943","128 ～ 179"
"13114014005","13","114","014005","東京都","中野区","野方五丁目","173","83","90","2","3","1","14","47","39","20","15","8","8","0","4","2","3","4","3","1","0","1","5","24","18","13","6","3","6","0","1","0","2","1","2","1","3","0","9","23","21","7","9","5","2","0","3","2","1","3","1","139.651654222134","35.718299189242","128 ～ 179"
"13114014006","13","114","014006","東京都","中野区","野方六丁目","314","164","150","1","1","4","39","103","75","34","15","7","11","11","5","2","2","3","1","1","0","1","18","52","42","20","7","2","7","7","3","0","1","3","0","0","1","3","21","51","33","14","8","5","4","4","2","2","1","0","1","139.651272570496","35.7216632666469","314 ～"
"13114015001","13","114","015001","東京都","中野区","大和町一丁目","482","259","223","11","4","2","54","127","117","61","46","19","12","12","7","6","3","0","1","5","3","0","42","55","60","30","26","14","9","7","2","4","1","0","1","6","1","2","12","72","57","31","20","5","3","5","5","2","2","0","0","139.651621741987","35.7115956436268","314 ～"
"13114015002","13","114","015002","東京都","中野区","大和町二丁目","161","77","84","3","3","0","8","43","40","12","12","12","7","6","8","4","1","1","1","3","2","0","3","18","18","9","6","6","4","3","3","1","1","0","0","0","1","0","5","25","22","3","6","6","3","3","5","3","0","1","1","139.650603183389","35.7151852621923","128 ～ 179"
"13114015003","13","114","015003","東京都","中野区","大和町三丁目","143","63","80","2","0","0","6","24","37","24","12","10","5","8","4","5","5","0","1","0","0","0","4","8","12","11","8","5","5","3","1","4","2","0","0","2","0","0","2","16","25","13","4","5","0","5","3","1","3","0","1","139.646022708631","35.7114196069859","128 ～ 179"
"13114015004","13","114","015004","東京都","中野区","大和町四丁目","180","98","82","5","3","4","8","60","34","17","11","6","15","6","8","2","0","1","0","2","1","4","2","28","22","11","6","5","8","4","3","1","0","1","0","3","2","0","6","32","12","6","5","1","7","2","5","1","0","0","0","139.644859081901","35.7144366433394","179 ～ 252"
"13114016001","13","114","016001","東京都","中野区","若宮一丁目","235","114","121","2","1","2","17","93","63","10","16","8","7","3","7","3","1","1","1","0","0","2","8","50","30","4","6","5","3","0","3","2","0","1","0","2","1","0","9","43","33","6","10","3","4","3","4","1","1","0","1","139.648772719922","35.7186693615762","179 ～ 252"
"13114016002","13","114","016002","東京都","中野区","若宮二丁目","193","110","83","3","2","2","10","45","49","21","19","10","12","9","3","1","0","3","4","2","0","1","8","29","27","12","11","5","7","3","1","1","0","1","2","1","2","1","2","16","22","9","8","5","5","6","2","0","0","2","2","139.643381588491","35.716927613982","179 ～ 252"
"13114016003","13","114","016003","東京都","中野区","若宮三丁目","237","117","120","3","2","3","19","74","60","24","16","12","5","4","7","1","3","1","3","1","1","0","12","41","30","11","5","5","4","3","2","0","1","0","1","2","1","3","7","33","30","13","11","7","1","1","5","1","2","1","2","139.642630684078","35.7204489656902","179 ～ 252"
"13114017001","13","114","017001","東京都","中野区","白鷺一丁目","198","102","96","7","8","6","12","30","37","22","23","16","8","11","8","3","4","1","2","4","3","4","6","20","20","10","10","12","5","2","1","3","0","0","2","3","5","2","6","10","17","12","13","4","3","9","7","0","4","1","0","139.638625675165","35.7188649495603","179 ～ 252"
"13114017002","13","114","017002","東京都","中野区","白鷺二丁目","262","133","129","16","7","1","17","42","36","50","27","18","22","8","5","7","4","0","2","7","4","0","8","27","15","23","15","10","13","3","2","3","2","0","1","9","3","1","9","15","21","27","12","8","9","5","3","4","2","0","1","139.634577679552","35.7196153809163","252 ～ 314"
"13114017003","13","114","017003","東京都","中野区","白鷺三丁目","239","112","127","21","7","9","13","48","41","33","33","8","6","11","5","3","1","0","0","12","3","3","7","21","19","15","17","4","4","3","3","0","1","0","0","9","4","6","6","27","22","18","16","4","2","8","2","3","0","0","0","139.632804785878","35.7217872717603","179 ～ 252"
"13114018001","13","114","018001","東京都","中野区","鷺宮一丁目","252","131","121","1","0","1","27","105","66","20","15","5","3","3","2","1","0","3","0","0","0","0","19","51","33","10","6","3","1","2","2","1","0","3","0","1","0","1","8","54","33","10","9","2","2","1","0","0","0","0","0","139.646600422625","35.7230319849964","252 ～ 314"
"13114018002","13","114","018002","東京都","中野区","鷺宮二丁目","76","42","34","1","0","0","5","23","33","8","2","1","1","1","0","1","0","0","0","0","0","0","3","10","20","7","1","1","0","0","0","0","0","0","0","1","0","0","2","13","13","1","1","0","1","1","0","1","0","0","0","139.64673243354","35.7252462202713"," ～ 128"
"13114018003","13","114","018003","東京都","中野区","鷺宮三丁目","252","125","127","3","3","0","11","97","55","28","15","8","4","6","3","5","5","2","7","2","0","0","3","44","34","17","8","3","2","3","2","3","2","0","2","1","3","0","8","53","21","11","7","5","2","3","1","2","3","2","5","139.641163607329","35.7243532584294","252 ～ 314"
"13114018004","13","114","018004","東京都","中野区","鷺宮四丁目","227","113","114","1","0","0","12","90","76","13","11","5","4","3","3","2","2","2","3","1","0","0","8","46","33","8","5","2","1","2","2","1","2","1","1","0","0","0","4","44","43","5","6","3","3","1","1","1","0","1","2","139.634359528186","35.7247047384778","179 ～ 252"
"13114018005","13","114","018005","東京都","中野区","鷺宮五丁目","121","80","41","2","3","2","10","26","21","11","9","14","9","6","1","3","0","2","2","2","3","0","7","21","9","5","7","10","6","6","1","2","0","1","0","0","0","2","3","5","12","6","2","4","3","0","0","1","0","1","2","139.633144480032","35.7255122024833"," ～ 128"
"13114018006","13","114","018006","東京都","中野区","鷺宮六丁目","93","40","53","3","1","2","3","15","14","14","9","7","7","9","7","1","1","0","0","3","1","2","2","3","7","5","5","4","4","2","1","1","0","0","0","0","0","0","1","12","7","9","4","3","3","7","6","0","1","0","0","139.628338838769","35.725302294214"," ～ 128"
"13114019001","13","114","019001","東京都","中野区","上鷺宮一丁目","84","46","38","1","3","2","2","26","19","7","6","2","2","8","1","3","1","1","0","1","1","0","1","16","10","2","2","1","1","6","1","2","1","1","0","0","2","2","1","10","9","5","4","1","1","2","0","1","0","0","0","139.636584962823","35.7292748819846"," ～ 128"
"13114019002","13","114","019002","東京都","中野区","上鷺宮二丁目","129","59","70","9","5","0","7","33","10","9","13","11","14","8","5","3","1","1","0","3","3","0","3","18","6","3","7","5","5","2","1","2","1","0","0","6","2","0","4","15","4","6","6","6","9","6","4","1","0","1","0","139.633969715928","35.7291305081804","128 ～ 179"
"13114019003","13","114","019003","東京都","中野区","上鷺宮三丁目","72","28","44","2","2","1","1","18","8","6","12","4","3","3","6","4","0","1","1","0","0","1","1","7","3","3","4","4","0","2","1","2","0","0","0","2","2","0","0","11","5","3","8","0","3","1","5","2","0","1","1","139.632836746046","35.7334667667378"," ～ 128"
