"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","世帯数","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114004004","13","114","004004","東京都","中野区","中央四丁目","315","412","191","221","4","5","4","19","118","75","58","34","17","23","23","14","5","3","4","6","2","2","3","6","60","36","23","15","10","8","9","7","3","2","2","3","2","3","1","13","58","39","35","19","7","15","14","7","2","1","2","3","139.66882864583","35.7002489598244","285 ～"
"13114004005","13","114","004005","東京都","中野区","中央五丁目","233","327","149","178","3","7","1","11","74","69","49","30","21","20","16","6","8","7","4","1","1","4","0","5","32","30","28","14","12","10","4","2","3","2","2","0","2","3","1","6","42","39","21","16","9","10","12","4","5","5","2","1","139.664667776935","35.7000562392736","285 ～"
"13114005001","13","114","005001","東京都","中野区","東中野一丁目","380","528","302","226","22","5","5","11","100","103","93","71","40","26","13","17","8","4","3","7","13","5","2","10","57","55","51","39","29","13","10","7","2","2","3","4","9","0","3","1","43","48","42","32","11","13","3","10","6","2","0","3","139.685177472137","35.7036354659833","285 ～"
"13114005002","13","114","005002","東京都","中野区","東中野二丁目","183","245","130","115","6","2","2","16","42","55","34","23","20","16","15","6","3","0","2","3","3","0","0","13","21","29","17","14","12","10","6","2","2","0","1","0","3","2","2","3","21","26","17","9","8","6","9","4","1","0","1","3","139.679631608041","35.7035087971788","241.9 ～ 285"
"13114005003","13","114","005003","東京都","中野区","東中野三丁目","158","215","115","100","5","0","5","6","44","44","37","23","20","10","8","3","6","1","1","2","4","0","3","1","24","20","21","13","9","8","5","2","3","1","0","1","1","0","2","5","20","24","16","10","11","2","3","1","3","0","1","1","139.681560781287","35.7081804572918","160.3 ～ 241.9"
"13114005004","13","114","005004","東京都","中野区","東中野四丁目","313","407","217","190","13","7","1","8","96","99","66","46","24","14","7","10","7","5","2","2","5","4","0","5","47","56","30","31","12","6","7","6","3","4","1","0","8","3","1","3","49","43","36","15","12","8","0","4","4","1","1","2","139.68621788878","35.7086717760593","285 ～"
"13114005005","13","114","005005","東京都","中野区","東中野五丁目","204","315","169","146","18","7","3","8","39","69","56","38","25","18","11","4","8","5","5","1","7","6","1","2","25","39","30","18","16","11","4","3","1","3","2","1","11","1","2","6","14","30","26","20","9","7","7","1","7","2","3","0","139.69021511275","35.7086984390765","285 ～"
"13114006001","13","114","006001","東京都","中野区","中野一丁目","333","430","258","172","8","5","5","30","117","95","47","39","14","18","12","21","5","6","4","4","3","3","3","19","79","54","26","22","8","13","6","11","4","4","2","1","5","2","2","11","38","41","21","17","6","5","6","10","1","2","2","3","139.67620858374","35.7035342706179","285 ～"
"13114006002","13","114","006002","東京都","中野区","中野二丁目","80","121","55","66","2","0","4","4","27","27","14","8","5","10","6","4","3","3","0","4","1","0","2","2","15","8","8","6","0","6","1","1","2","1","0","2","1","0","2","2","12","19","6","2","5","4","5","3","1","2","0","2","139.669093459576","35.7041812440605"," ～ 122.6"
"13114006003","13","114","006003","東京都","中野区","中野三丁目","209","281","131","150","1","4","4","9","50","75","42","25","19","13","13","10","6","5","1","4","0","2","1","9","28","32","21","11","6","7","4","3","2","3","1","1","1","2","3","0","22","43","21","14","13","6","9","7","4","2","0","3","139.661781788124","35.7028649739201","241.9 ～ 285"
"13114006004","13","114","006004","東京都","中野区","中野四丁目","264","302","144","158","4","1","1","77","122","37","20","13","6","5","5","3","5","1","1","1","2","1","1","34","56","19","11","7","3","1","3","1","3","1","0","1","2","0","0","43","66","18","9","6","3","4","2","2","2","0","1","0","139.661468058502","35.7076937742814","285 ～"
"13114006005","13","114","006005","東京都","中野区","中野五丁目","349","445","230","215","8","3","2","13","102","117","56","46","28","19","12","11","4","6","9","9","4","0","1","6","50","59","37","24","17","10","5","6","2","2","3","4","4","3","1","7","52","58","19","22","11","9","7","5","2","4","6","5","139.66897568276","35.7076757824246","285 ～"
"13114006006","13","114","006006","東京都","中野区","中野六丁目","167","215","103","112","1","1","3","14","59","52","24","19","8","9","7","7","7","0","1","3","0","1","1","8","24","23","16","6","4","6","3","4","5","0","1","1","1","0","2","6","35","29","8","13","4","3","4","3","2","0","0","2","139.675852340594","35.707564031603","160.3 ～ 241.9"
"13114007001","13","114","007001","東京都","中野区","上高田一丁目","301","382","212","170","6","3","2","22","127","82","46","29","26","15","11","9","2","1","0","1","3","2","2","14","66","40","30","19","16","8","8","3","0","1","0","0","3","1","0","8","61","42","16","10","10","7","3","6","2","0","0","1","139.677869528936","35.7105857272966","285 ～"
"13114007002","13","114","007002","東京都","中野区","上高田二丁目","201","262","132","130","6","3","0","6","61","69","42","22","16","12","9","7","1","1","1","6","3","2","0","2","32","33","23","11","10","6","4","3","0","0","0","3","3","1","0","4","29","36","19","11","6","6","5","4","1","1","1","3","139.671141642535","35.7119477415905","241.9 ～ 285"
"13114007003","13","114","007003","東京都","中野区","上高田三丁目","195","241","127","114","2","1","5","5","76","59","32","17","11","12","9","4","4","2","2","0","1","1","1","2","34","42","16","5","6","7","6","3","2","1","0","0","1","0","4","3","42","17","16","12","5","5","3","1","2","1","2","0","139.674004619858","35.7139967134569","160.3 ～ 241.9"
"13114007004","13","114","007004","東京都","中野区","上高田四丁目","179","285","148","137","4","7","9","15","59","49","33","28","22","23","16","6","5","6","0","3","1","6","6","8","31","28","15","16","10","10","8","2","3","1","0","3","3","1","3","7","28","21","18","12","12","13","8","4","2","5","0","0","139.678244464293","35.7134588796682","285 ～"
"13114007005","13","114","007005","東京都","中野区","上高田五丁目","119","152","85","67","1","1","1","13","39","44","18","12","6","1","7","5","2","1","1","0","1","1","0","8","22","27","11","7","2","1","3","0","1","1","0","0","0","0","1","5","17","17","7","5","4","0","4","5","1","0","1","0","139.675475144169","35.7177646413265","122.6 ～ 160.3"
"13114008001","13","114","008001","東京都","中野区","新井一丁目","209","250","132","118","2","1","3","6","62","64","51","17","10","7","9","7","2","3","4","2","2","1","3","3","31","28","32","11","7","3","4","1","1","2","2","1","0","0","0","3","31","36","19","6","3","4","5","6","1","1","2","1","139.667697937877","35.7120911572706","241.9 ～ 285"
"13114008002","13","114","008002","東京都","中野区","新井二丁目","218","282","131","151","2","3","1","4","63","76","51","28","12","15","14","6","5","1","1","0","1","1","0","3","30","36","26","10","4","7","10","2","0","1","0","0","1","2","1","1","33","40","25","18","8","8","4","4","5","0","1","0","139.66307280542","35.7120822502015","241.9 ～ 285"
"13114008003","13","114","008003","東京都","中野区","新井三丁目","103","124","76","48","0","1","2","9","39","33","14","6","9","1","0","2","3","2","1","2","0","0","2","3","21","26","11","2","5","0","0","0","2","1","1","2","0","1","0","6","18","7","3","4","4","1","0","2","1","1","0","0","139.662419534714","35.715908084647","122.6 ～ 160.3"
"13114008004","13","114","008004","東京都","中野区","新井四丁目","60","87","33","54","0","1","2","8","19","9","14","6","8","7","1","7","1","3","0","1","0","0","0","2","8","6","5","2","3","2","1","1","1","2","0","0","0","1","2","6","11","3","9","4","5","5","0","6","0","1","0","1","139.666321397554","35.716577302899"," ～ 122.6"
"13114008005","13","114","008005","東京都","中野区","新井五丁目","106","142","65","77","2","1","1","12","37","27","17","14","7","9","2","3","4","0","3","3","1","1","0","3","19","13","10","6","2","3","1","1","1","0","3","1","1","0","1","9","18","14","7","8","5","6","1","2","3","0","0","2","139.669043923667","35.7152974015318","122.6 ～ 160.3"
"13114009001","13","114","009001","東京都","中野区","沼袋一丁目","173","215","120","95","8","0","1","12","59","50","29","18","12","7","4","4","4","3","2","2","5","0","0","6","35","29","14","8","8","4","3","3","2","2","0","1","3","0","1","6","24","21","15","10","4","3","1","1","2","1","2","1","139.665962380587","35.7193085000846","160.3 ～ 241.9"
"13114009002","13","114","009002","東京都","中野区","沼袋二丁目","147","201","93","108","7","1","1","8","50","52","23","18","6","6","5","11","7","2","1","3","3","0","0","5","23","25","13","8","3","2","2","4","3","0","0","2","4","1","1","3","27","27","10","10","3","4","3","7","4","2","1","1","139.665778737259","35.7222624207704","160.3 ～ 241.9"
"13114009003","13","114","009003","東京都","中野区","沼袋三丁目","221","274","160","114","6","5","1","14","101","64","35","8","10","8","9","1","2","5","3","2","4","2","1","8","58","37","22","4","6","3","7","0","2","2","2","2","2","3","0","6","43","27","13","4","4","5","2","1","0","3","1","0","139.660629951083","35.7183314857835","241.9 ～ 285"
"13114009004","13","114","009004","東京都","中野区","沼袋四丁目","142","182","105","77","4","1","0","11","45","46","24","16","11","4","6","6","4","1","1","2","2","1","0","7","23","32","15","11","3","2","2","2","3","1","0","1","2","0","0","4","22","14","9","5","8","2","4","4","1","0","1","1","139.660190260831","35.7217340370417","160.3 ～ 241.9"
"13114010001","13","114","010001","東京都","中野区","松が丘一丁目","161","206","115","91","1","2","2","13","53","40","24","19","21","6","9","6","2","2","2","4","1","1","1","6","30","23","17","9","13","4","3","3","0","2","0","2","0","1","1","7","23","17","7","10","8","2","6","3","2","0","2","2","139.67253741837","35.7198904094131","160.3 ～ 241.9"
"13114010002","13","114","010002","東京都","中野区","松が丘二丁目","99","144","69","75","2","3","2","4","35","45","11","11","7","8","4","5","2","4","0","1","1","0","0","3","18","17","6","6","4","6","3","3","0","2","0","0","1","3","2","1","17","28","5","5","3","2","1","2","2","2","0","1","139.671114401543","35.7207583206409","122.6 ～ 160.3"
"13114011001","13","114","011001","東京都","中野区","江原町一丁目","132","182","103","79","4","4","4","11","36","26","29","27","15","15","3","4","3","1","0","0","2","1","0","11","26","18","13","13","6","8","2","2","0","1","0","0","2","3","4","0","10","8","16","14","9","7","1","2","3","0","0","0","139.673536674525","35.7292827190922","160.3 ～ 241.9"
"13114011002","13","114","011002","東京都","中野区","江原町二丁目","61","118","51","67","6","0","4","4","17","15","14","6","10","11","12","8","2","5","1","3","3","0","1","2","12","5","6","3","5","5","5","0","0","2","0","2","3","0","3","2","5","10","8","3","5","6","7","8","2","3","1","1","139.669808341814","35.7301910297813"," ～ 122.6"
"13114011003","13","114","011003","東京都","中野区","江原町三丁目","96","123","48","75","5","1","1","2","18","29","24","16","12","7","3","3","1","0","0","1","3","1","1","0","5","11","10","3","7","3","2","2","0","0","0","0","2","0","0","2","13","18","14","13","5","4","1","1","1","0","0","1","139.674234922446","35.7316415754499","122.6 ～ 160.3"
"13114012001","13","114","012001","東京都","中野区","江古田一丁目","37","73","42","31","1","2","2","1","4","11","13","4","7","9","6","4","5","2","0","2","1","1","0","1","2","8","10","3","3","4","2","2","4","1","0","0","0","1","2","0","2","3","3","1","4","5","4","2","1","1","0","2","139.672776106807","35.7254002225423"," ～ 122.6"
"13114012002","13","114","012002","東京都","中野区","江古田二丁目","87","103","50","53","1","0","0","2","17","36","18","3","5","4","5","3","2","3","2","2","0","0","0","1","5","22","9","1","2","2","3","1","1","2","0","1","1","0","0","1","12","14","9","2","3","2","2","2","1","1","2","1","139.666538014052","35.7258724054634"," ～ 122.6"
"13114012003","13","114","012003","東京都","中野区","江古田三丁目","131","254","109","145","17","10","12","10","31","27","38","34","20","18","10","16","4","5","1","1","5","2","7","4","12","7","21","20","8","4","5","10","3","1","0","0","12","8","5","6","19","20","17","14","12","14","5","6","1","4","1","1","139.666869197116","35.7286824437866","241.9 ～ 285"
"13114012004","13","114","012004","東京都","中野区","江古田四丁目","227","298","142","156","3","2","2","19","94","69","29","21","12","10","16","13","4","1","2","1","1","2","1","9","39","35","14","10","6","8","11","6","0","0","0","0","2","0","1","10","55","34","15","11","6","2","5","7","4","1","2","1","139.662137621209","35.7253606576189","285 ～"
"13114013001","13","114","013001","東京都","中野区","丸山一丁目","88","123","68","55","1","1","0","4","49","23","10","5","8","10","2","6","1","2","0","1","0","1","0","4","28","13","5","2","3","5","1","4","1","1","0","0","1","0","0","0","21","10","5","3","5","5","1","2","0","1","0","1","139.655921127399","35.7245720650114","122.6 ～ 160.3"
"13114013002","13","114","013002","東京都","中野区","丸山二丁目","118","158","94","64","0","3","2","9","49","32","21","11","9","2","13","3","3","0","1","0","0","3","2","6","30","16","14","6","6","1","5","3","1","0","1","0","0","0","0","3","19","16","7","5","3","1","8","0","2","0","0","0","139.651635078675","35.724867765713","122.6 ～ 160.3"
"13114014001","13","114","014001","東京都","中野区","野方一丁目","212","258","134","124","4","1","0","13","65","60","39","34","11","3","7","7","7","6","1","0","2","1","0","8","34","36","18","18","6","1","1","5","2","2","0","0","2","0","0","5","31","24","21","16","5","2","6","2","5","4","1","0","139.657121987782","35.7112128932395","241.9 ～ 285"
"13114014002","13","114","014002","東京都","中野区","野方二丁目","172","230","126","104","2","4","2","7","61","52","33","18","13","7","10","12","4","2","0","3","1","3","2","6","40","21","21","13","4","3","6","5","0","1","0","0","1","1","0","1","21","31","12","5","9","4","4","7","4","1","0","3","139.656835064834","35.7144140548478","160.3 ～ 241.9"
"13114014003","13","114","014003","東京都","中野区","野方三丁目","136","163","98","65","2","0","1","10","45","44","18","12","7","6","4","3","5","3","0","3","0","0","1","8","28","31","11","5","2","1","3","0","4","1","0","3","2","0","0","2","17","13","7","7","5","5","1","3","1","2","0","0","139.656203040754","35.7174474319749","160.3 ～ 241.9"
"13114014004","13","114","014004","東京都","中野区","野方四丁目","92","132","67","65","1","2","1","4","30","27","16","9","10","9","3","7","3","2","4","4","1","0","0","4","21","14","6","2","6","2","3","4","0","1","3","0","0","2","1","0","9","13","10","7","4","7","0","3","3","1","1","4","139.65630092644","35.720939562943","122.6 ～ 160.3"
"13114014005","13","114","014005","東京都","中野区","野方五丁目","114","152","75","77","2","2","2","10","35","38","19","18","4","5","2","3","2","4","2","4","2","1","0","8","18","15","12","8","2","2","2","1","0","1","1","2","0","1","2","2","17","23","7","10","2","3","0","2","2","3","1","2","139.651654222134","35.718299189242","122.6 ～ 160.3"
"13114014006","13","114","014006","東京都","中野区","野方六丁目","219","269","126","143","5","1","2","20","95","52","35","11","11","9","12","7","4","2","1","2","3","0","0","8","41","25","21","4","4","5","7","4","2","0","1","1","2","1","2","12","54","27","14","7","7","4","5","3","2","2","0","1","139.651272570496","35.7216632666469","241.9 ～ 285"
"13114015001","13","114","015001","東京都","中野区","大和町一丁目","287","382","201","181","6","4","3","12","96","91","60","48","26","9","9","7","7","2","1","1","3","2","3","7","50","46","32","21","18","8","4","2","3","0","1","1","3","2","0","5","46","45","28","27","8","1","5","5","4","2","0","0","139.651621741987","35.7115956436268","285 ～"
"13114015002","13","114","015002","東京都","中野区","大和町二丁目","113","158","83","75","4","1","1","5","40","39","14","11","8","11","7","10","3","1","2","1","3","1","1","1","23","23","4","7","5","5","4","2","2","1","1","0","1","0","0","4","17","16","10","4","3","6","3","8","1","0","1","1","139.650603183389","35.7151852621923","122.6 ～ 160.3"
"13114015003","13","114","015003","東京都","中野区","大和町三丁目","107","159","77","82","2","2","0","5","26","35","36","13","13","6","6","5","4","6","0","0","2","1","0","2","15","13","14","8","8","5","2","1","3","3","0","0","0","1","0","3","11","22","22","5","5","1","4","4","1","3","0","0","139.646022708631","35.7114196069859","122.6 ～ 160.3"
"13114015004","13","114","015004","東京都","中野区","大和町四丁目","90","143","70","73","5","1","4","5","32","35","11","10","8","6","10","6","7","1","1","1","0","1","3","4","13","16","7","5","4","3","7","2","3","0","1","1","5","0","1","1","19","19","4","5","4","3","3","4","4","1","0","0","139.644859081901","35.7144366433394","122.6 ～ 160.3"
"13114016001","13","114","016001","東京都","中野区","若宮一丁目","152","200","104","96","3","3","3","12","53","46","18","16","16","9","4","7","6","2","1","1","1","1","3","6","32","21","9","8","11","5","0","3","2","1","1","0","2","2","0","6","21","25","9","8","5","4","4","4","4","1","0","1","139.648772719922","35.7186693615762","160.3 ～ 241.9"
"13114016002","13","114","016002","東京都","中野区","若宮二丁目","155","208","112","96","2","3","5","9","71","39","19","13","12","14","6","8","1","1","2","3","2","1","1","8","38","26","10","5","7","6","1","4","1","1","0","1","0","2","4","1","33","13","9","8","5","8","5","4","0","0","2","2","139.643381588491","35.716927613982","160.3 ～ 241.9"
"13114016003","13","114","016003","東京都","中野区","若宮三丁目","179","228","117","111","2","4","1","12","64","53","29","16","17","8","6","6","2","2","3","3","1","1","0","7","35","30","15","6","8","5","5","1","1","1","0","1","1","3","1","5","29","23","14","10","9","3","1","5","1","1","3","2","139.642630684078","35.7204489656902","160.3 ～ 241.9"
"13114017001","13","114","017001","東京都","中野区","白鷺一丁目","123","237","126","111","13","16","8","3","25","40","28","31","27","9","8","15","3","3","4","4","5","13","3","1","15","28","13","13","18","5","4","2","1","1","1","3","8","3","5","2","10","12","15","18","9","4","4","13","2","2","3","1","139.638625675165","35.7188649495603","160.3 ～ 241.9"
"13114017002","13","114","017002","東京都","中野区","白鷺二丁目","191","334","169","165","20","15","5","18","48","62","52","41","17","23","16","7","4","4","0","2","14","7","1","11","21","31","24","21","11","13","8","3","1","2","0","1","6","8","4","7","27","31","28","20","6","10","8","4","3","2","0","1","139.634577679552","35.7196153809163","285 ～"
"13114017003","13","114","017003","東京都","中野区","白鷺三丁目","153","286","142","144","27","9","7","10","42","48","52","41","16","12","10","7","3","2","0","0","16","5","3","4","29","16","24","19","10","8","4","4","0","0","0","0","11","4","4","6","13","32","28","22","6","4","6","3","3","2","0","0","139.632804785878","35.7217872717603","285 ～"
"13114018001","13","114","018001","東京都","中野区","鷺宮一丁目","188","210","108","102","2","0","0","14","80","50","34","13","5","4","0","5","1","0","2","0","0","0","0","8","41","25","14","8","4","2","0","3","1","0","2","0","2","0","0","6","39","25","20","5","1","2","0","2","0","0","0","0","139.646600422625","35.7230319849964","160.3 ～ 241.9"
"13114018002","13","114","018002","東京都","中野区","鷺宮二丁目","69","81","47","34","0","0","0","6","30","23","12","3","1","2","2","0","1","1","0","0","0","0","0","4","24","11","6","0","0","2","0","0","0","0","0","0","0","0","0","2","6","12","6","3","1","0","2","0","1","1","0","0","139.64673243354","35.7252462202713"," ～ 122.6"
"13114018003","13","114","018003","東京都","中野区","鷺宮三丁目","198","249","143","106","5","1","2","7","80","65","32","15","11","7","3","4","3","6","3","5","2","1","0","3","49","40","16","9","6","5","2","3","2","2","2","1","3","0","2","4","31","25","16","6","5","2","1","1","1","4","1","4","139.641163607329","35.7243532584294","241.9 ～ 285"
"13114018004","13","114","018004","東京都","中野区","鷺宮四丁目","232","266","148","118","3","1","0","31","80","70","33","15","9","8","2","4","1","3","3","3","1","0","0","20","44","40","17","8","5","3","1","4","0","2","2","1","2","1","0","11","36","30","16","7","4","5","1","0","1","1","1","2","139.634359528186","35.7247047384778","241.9 ～ 285"
"13114018005","13","114","018005","東京都","中野区","鷺宮五丁目","53","86","47","39","2","0","4","2","10","17","8","14","8","8","5","0","4","0","1","3","2","0","3","2","4","10","4","5","6","4","4","0","2","0","0","1","0","0","1","0","6","7","4","9","2","4","1","0","2","0","1","2","139.633144480032","35.7255122024833"," ～ 122.6"
"13114018006","13","114","018006","東京都","中野区","鷺宮六丁目","54","89","39","50","2","2","2","2","14","13","9","12","9","7","6","6","4","0","1","0","1","2","2","0","6","5","4","6","5","3","2","2","1","0","0","0","1","0","0","2","8","8","5","6","4","4","4","4","3","0","1","0","139.628338838769","35.725302294214"," ～ 122.6"
"13114019001","13","114","019001","東京都","中野区","上鷺宮一丁目","48","75","36","39","3","3","2","3","13","13","10","5","6","1","5","6","3","1","1","0","1","1","1","1","6","5","3","4","1","0","5","4","2","1","1","0","2","2","1","2","7","8","7","1","5","1","0","2","1","0","0","0","139.636584962823","35.7292748819846"," ～ 122.6"
