 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"3,952",740,"48,907","14,971",582,739,"8,846","14,967","3,370",1,"40,061",4
,239.4%,48.4%,248.2%,149.2%,177.4%,48.4%,286.6%,149.2%,254.7%,-,241.1%,66.7%
印パ･ペルシャ･ベンガル,-,-,"23,426",870,-,-,"18,538",861,-,-,"4,888",9
,-,-,23.7%,14.0%,-,-,30.9%,14.0%,-,-,12.7%,22.5%
東南アジア,"127,047","28,356","1,275,769","227,142","35,025","28,044","358,039","224,186","92,022",312,"917,730","2,956"
,115.2%,166.2%,113.7%,108.0%,127.3%,165.7%,121.0%,108.2%,111.2%,226.1%,111.1%,96.1%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"13,081","6,158","129,577","51,409","3,499","6,061","37,112","50,096","9,582",97,"92,465","1,313"
,92.3%,111.0%,103.5%,100.3%,103.9%,113.0%,105.6%,101.0%,88.6%,52.7%,102.6%,79.0%
中国(香港含む),"83,008","53,516","846,745","527,671","14,230","53,336","159,199","525,708","68,778",180,"687,546","1,963"
,87.0%,93.5%,92.1%,104.9%,88.9%,93.4%,87.8%,105.0%,86.6%,132.4%,93.2%,86.2%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,690","20,385","255,492","239,885","11,291","17,991","136,025","219,421","11,399","2,394","119,467","20,464"
,88.8%,82.2%,96.2%,103.1%,82.8%,80.4%,92.5%,103.1%,95.7%,98.8%,100.7%,102.6%
内航定期計,"16,742","3,984","175,594","40,586","8,730","1,908","90,897","23,881","8,012","2,076","84,697","16,705"
,107.6%,105.4%,102.3%,103.5%,116.1%,96.9%,105.4%,109.0%,99.7%,114.6%,99.1%,96.5%
北海道,"6,006",160,"64,093","2,269","3,259",60,"33,649","1,069","2,747",100,"30,444","1,200"
,97.1%,47.3%,95.9%,68.0%,105.8%,107.1%,97.1%,123.4%,88.4%,35.5%,94.5%,48.5%
東北,"2,868","1,419","36,200","11,647","1,391","1,097","17,392","10,138","1,477",322,"18,808","1,509"
,84.1%,110.4%,106.1%,93.6%,89.0%,99.3%,110.0%,90.2%,80.0%,178.9%,102.7%,125.2%
関東,-,-,93,90,-,-,93,-,-,-,-,90
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,720",471,"14,036","7,985",439,471,"2,141","7,586","1,281",-,"11,895",399
,313.3%,4281.8%,96.4%,97.6%,1254.3%,4281.8%,171.4%,92.7%,249.2%,-,89.4%,39900.0%
近畿,627,333,"5,181","5,141",17,280,279,"5,088",610,53,"4,902",53
,47.0%,37.7%,77.9%,241.2%,19.3%,35.1%,35.1%,344.2%,48.9%,61.6%,83.7%,8.1%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,321",-,"23,354",-,"1,171",-,"11,782",-,"1,150",-,"11,572",-
,105.1%,-,99.4%,-,106.5%,-,101.8%,-,103.8%,-,97.0%,-
沖縄,"3,200","1,601","32,637","13,454","2,453",-,"25,561",-,747,"1,601","7,076","13,454"
,171.4%,126.8%,125.5%,102.7%,148.3%,-,115.2%,-,350.7%,126.8%,184.8%,103.7%
内航不定期,"5,948","16,401","79,898","199,299","2,561","16,083","45,128","195,540","3,387",318,"34,770","3,759"
,59.6%,78.0%,85.1%,103.0%,41.9%,78.8%,74.3%,102.4%,87.3%,52.0%,104.9%,141.8%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
