 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
29,鋼材,"147,759","1,431,276","24,507","263,067","24,497","259,960","11,564","113,756","11,433","94,176","1,820","12,559","109,868","1,041,894"
30,非鉄金属,"25,070","272,034","7,065","85,748","7,065","85,736","13,905","141,452","13,894","141,433",405,"6,280","3,695","38,554"
31,金属製品,"181,884","1,704,561","33,415","308,807","33,383","308,746","141,482","1,316,751","139,202","1,301,339","4,281","50,641","2,706","28,362"
32,鉄道車両,638,"3,726",74,966,74,966,564,"2,745",564,"2,735",-,15,-,-
33,完成自動車,"1,170,323","12,993,176","11,314","94,429","11,233","93,747","2,684","25,022","2,668","23,804","661,414","7,358,212","494,911","5,515,513"
34,その他輸送用車両,"13,288","125,288",219,"2,514",219,"2,439","10,308","96,412","9,317","87,730","1,811","14,902",950,"11,460"
35,二輪自動車,"7,917","58,167","1,316","6,952","1,316","6,952","6,570","50,395","6,570","50,395",16,484,15,336
36,自動車部品,"244,686","2,401,643","140,225","1,453,922","140,225","1,453,922","97,023","860,962","97,007","860,597","2,677","27,903","4,761","58,856"
37,その他輸送機械,"48,810","559,021","3,059","40,226","3,059","40,224","25,755","320,478","25,755","312,223","7,376","86,392","12,620","111,925"
38,産業機械,"333,807","3,445,425","157,967","1,780,396","157,453","1,771,317","149,077","1,430,492","149,010","1,429,601","20,216","161,679","6,547","72,858"
39,電気機械,"368,035","3,660,039","55,141","677,976","55,125","676,872","309,170","2,926,132","309,111","2,923,857","2,695","40,099","1,029","15,832"
40,測量・光学・医療用機械,"54,836","554,382","18,910","207,160","18,585","198,830","33,262","322,958","33,069","322,056","1,078","11,912","1,586","12,352"
41,事務用機器,"18,160","220,637","3,087","32,029","3,087","32,029","12,639","135,301","12,639","135,301","2,354","52,372",80,935
42,その他機械,"5,634","53,749","1,073","10,366","1,073","10,366","2,646","23,562","2,646","23,562",837,"9,350","1,078","10,471"
化学工業品,,"1,222,832","13,048,470","200,317","2,192,972","200,304","2,192,851","320,023","3,387,264","318,747","3,348,287","49,584","476,713","652,908","6,991,521"
43,陶磁器,"11,566","137,661",787,"10,638",787,"10,637","10,779","126,385","10,779","126,385",-,638,-,-
44,セメント,"254,754","2,594,965",132,"3,283",132,"3,283","1,305","12,060","1,305","12,060","2,826","26,868","250,491","2,552,754"
45,ガラス類,"28,934","283,485","9,631","80,879","9,631","80,879","17,969","185,896","17,969","185,891",893,"15,650",441,"1,060"
46,窯業品,"32,612","399,810","8,304","136,233","8,291","136,217","18,167","207,607","18,160","207,595","3,322","27,579","2,819","28,391"
47,重油,"45,452","457,682",-,-,-,-,-,-,-,-,"21,827","220,839","23,625","236,843"
48,揮発油,46,751,-,-,-,-,-,-,-,-,46,751,-,-
49,その他の石油,"369,132","4,078,496","1,805","19,931","1,805","19,931","2,266","19,291","2,266","19,291","1,862","18,838","363,199","4,020,436"
50,LNG/液化天然ガス,165,537,-,-,-,-,165,517,165,517,-,-,-,20
51,LPG/液化石油ガス,524,"6,141",-,-,-,-,-,-,-,-,477,"5,989",47,152
52,その他石油製品,"4,103","53,467","1,447","15,520","1,447","15,520","1,212","17,724","1,212","17,724",344,"6,538","1,100","13,685"
53,コークス,"5,021","73,178",-,-,-,-,480,"44,750",480,"11,018","4,541","7,969",-,"20,459"
54,石炭製品,487,"5,218",362,"4,594",362,"4,594",90,589,90,589,15,15,20,20
55,化学薬品,"94,630","959,940","24,589","263,860","24,589","263,860","60,017","590,059","58,752","584,886","4,230","43,747","5,794","62,274"
56,化学肥料,"5,430","57,738",45,"1,934",45,"1,934","4,880","48,112","4,880","48,112",170,"3,682",335,"4,010"
57,その他化学工業品,"369,976","3,939,401","153,215","1,656,100","153,215","1,655,996","202,693","2,134,274","202,689","2,134,219","9,031","97,610","5,037","51,417"
軽工業品,,"737,509","7,600,154","55,966","591,253","55,955","591,160","437,435","4,445,955","436,137","4,430,464","76,499","772,064","167,609","1,790,882"
58,紙・パルプ,"235,861","2,432,898","21,647","242,830","21,636","242,741","63,053","659,270","61,778","643,968","27,229","202,309","123,932","1,328,489"
59,糸及び紡績半製品,"4,685","54,784",138,"3,208",138,"3,208","4,538","49,147","4,538","49,147",9,380,-,"2,049"
60,その他繊維工業品,"32,052","350,579","4,304","55,183","4,304","55,179","27,718","293,494","27,718","293,479",20,"1,550",10,352
61,砂糖,"10,761","132,556",31,305,31,305,"4,586","49,583","4,586","49,583","1,565","20,107","4,579","62,561"
62,製造食品,"291,422","2,855,569","25,020","237,534","25,020","237,534","240,705","2,341,116","240,682","2,341,021","15,737","182,038","9,960","94,881"
63,飲料,"104,495","1,121,370","4,032","46,705","4,032","46,705","63,228","658,579","63,228","658,500","24,367","269,468","12,868","146,618"
64,水,"21,965","244,859",535,"4,599",535,"4,599","15,123","165,311","15,123","165,311","4,562","56,347","1,745","18,602"
65,たばこ,"7,078","85,711",15,203,15,203,"5,533","70,393","5,533","70,393",650,"8,185",880,"6,930"
66,その他食料工業品,"29,190","321,828",244,686,244,686,"12,951","159,062","12,951","159,062","2,360","31,680","13,635","130,400"
雑工業品,,"1,094,419","11,063,847","91,009","1,059,119","91,009","1,059,081","964,851","9,601,372","964,807","9,600,904","31,693","328,125","6,866","75,231"
67,がん具,"78,306","643,246","2,087","19,764","2,087","19,764","76,194","623,309","76,194","623,309",25,173,-,-
68,衣服・身廻品・はきもの,"442,068","4,484,646","14,730","143,313","14,730","143,295","426,711","4,326,598","426,706","4,326,590",292,"12,138",335,"2,597"
69,文房具・運動娯楽用品・楽器,"71,543","764,190","9,101","116,576","9,101","116,572","61,595","634,672","61,562","634,388",565,"10,160",282,"2,782"
70,家具装備品,"200,564","2,000,473","9,391","98,367","9,391","98,367","188,367","1,870,877","188,367","1,870,847","1,891","20,675",915,"10,554"
71,その他日用品,"64,881","723,639","7,463","119,153","7,463","119,153","35,359","388,446","35,359","388,446","19,815","189,219","2,244","26,821"
72,ゴム製品,"61,826","757,536","20,586","312,175","20,586","312,175","38,967","417,261","38,967","417,260","1,478","19,126",795,"8,974"
73,木製品,"116,398","1,096,930","1,010","8,354","1,010","8,338","112,841","1,065,695","112,841","1,065,615","2,422","22,282",125,599
74,その他製造工業品,"58,833","593,187","26,641","241,417","26,641","241,417","24,817","274,514","24,811","274,449","5,205","54,352","2,170","22,904"
特殊品,,"1,117,988","12,127,860","239,739","2,929,431","213,810","2,497,519","210,153","2,092,260","204,554","2,002,654","436,727","4,751,918","231,369","2,354,251"
75,金属くず,"42,212","589,035","32,672","484,487","7,207","64,663","7,272","65,881","7,272","65,709",884,"19,700","1,384","18,967"
76,再利用資材,"200,631","2,351,693","173,327","2,008,800","173,327","2,008,800","5,056","45,139","5,056","45,139","20,375","279,718","1,873","18,036"
77,動植物性製造飼肥料,"98,504","1,030,412","1,447","21,981","1,447","21,981","92,029","944,026","92,029","944,026","4,628","60,350",400,"4,055"
78,廃棄物,732,"12,908",-,-,-,-,-,-,-,-,240,"3,870",492,"9,038"
79,廃土砂,"145,364","1,536,636",-,-,-,-,-,-,-,-,"145,273","1,536,250",91,386
80,輸送用容器,"142,478","1,440,189","19,435","190,069","18,971","177,981","94,166","966,135","88,567","876,701","9,555","99,228","19,322","184,757"
81,取合せ品,"488,067","5,166,987","12,858","224,094","12,858","224,094","11,630","71,079","11,630","71,079","255,772","2,752,802","207,807","2,119,012"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
