実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 3月,-,-,-,-,14.3,14.3,0.8,-5.2,-1.3,27.6,22.2,16.7,54.1,29.3,11,25.2,8.4,-
jissitu,nen,対前年（同期・同月）実質増加率_平成29年平均,-,-,-,-,-,2.1,0.6,-2.8,0.8,8.4,-3,2.4,10.5,-1.9,2.1,-,-0.2,-
jissitu,nen,対前年（同期・同月）実質増加率_平成30年平均,-,-,-,-,-,-2.9,-0.7,-0.1,-2.4,-11.4,-3.9,1.9,-3.5,3.5,-4.5,-,-1.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成31年・令和元年平均,-,-,-,-,-,0.4,1.4,-2.3,-3.7,11.8,1.7,3,3,-4.5,2.3,-,0.3,-
jissitu,nen,対前年（同期・同月）実質増加率_令和 2年平均,-,-,-,-,-,-2.2,1.3,15,4.3,8.3,-20.6,5.5,-6.9,6.4,-15.1,-,-3.4,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 1～ 3月,-,-,-,-,-,0.8,4.4,38.8,-1.6,8,-12.6,13,-9.2,-9.3,-8,-,10,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 4～ 6月,-,-,-,-,-,-11.9,-3,12.3,5.9,20.7,-38.2,-10.4,-16.1,-1.9,-33.2,-,-23.5,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 7～ 9月,-,-,-,-,-,-6.4,-0.5,1.2,4.7,1.2,-20.4,16.8,-22.3,-3.2,-16.9,-,-5.4,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年10～12月,-,-,-,-,-,8.9,4.6,14.5,9.7,6.5,-11.5,2.7,25.4,45.7,-2.3,-,6,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 3年 1～ 3月,-,-,-,-,-,1.7,0.8,0,4.6,9.5,-7.8,3,5.6,16.5,-6.5,-,-3.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 3月,-,-,-,-,-,-2,2.5,76.5,2.6,7.9,-29.5,1.9,-9.4,-24.7,-20.2,-,16.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 4月,-,-,-,-,-,-9,-4.8,24.6,9.6,-13.7,-58.3,5.3,-9.7,38.8,-34.2,-,-19.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 5月,-,-,-,-,-,-22.3,-3.7,-10.7,-2.2,14.6,-48.4,-17.8,-32.9,-53.3,-36.8,-,-31.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 6月,-,-,-,-,-,-3.3,-0.8,26.6,10.4,60.3,-7.9,-16.1,-0.6,12.2,-28.5,-,-18.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 7月,-,-,-,-,-,-7.5,-2.2,22,5.3,13.7,-23,20,-38,7.4,-24.3,-,-8.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 8月,-,-,-,-,-,-4.7,-0.6,6.8,6.8,18.5,-26.4,37,-16.8,-35.5,-14.1,-,1.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 9月,-,-,-,-,-,-6.9,1.2,-21.8,2.4,-21.7,-10.9,-5.6,-10.4,9.4,-11.1,-,-9.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年10月,-,-,-,-,-,16.4,5.7,77.5,16.9,-11,-5.3,26.6,30.3,55,11,-,3.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年11月,-,-,-,-,-,5.7,4.4,-4.6,8.9,13.4,-17.5,3.8,37.4,40.6,-10.7,-,5.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年12月,-,-,-,-,-,5.3,3.9,-3.3,4,15.9,-11,-16.3,11.3,35.3,-5.2,-,8.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 1月,-,-,-,-,-,-6.7,2.8,11.4,5.9,13.7,-30.3,4.9,-21.3,-12.3,-16.5,-,-11.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 2月,-,-,-,-,-,-3,-1.8,-0.7,1.7,-9.5,-6.3,-13.5,-11.5,28.8,-13.1,-,-7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 3月,-,-,-,-,-,14.9,1.1,-6.9,6.2,23.5,21.5,17.1,54.6,33.2,11.2,-,7.4,-
,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年 3月,,,,,,,,,,,,,,,,,,,,
主　　要　　指　　標　　　１　　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,,
注1）平成30年1月に調査で使用する家計簿を改正し順次変更を行ったため、平成30年及び平成31年・令和元年の「対前年増加率」の値には当該改正の影響による変動が含まれ得る。,,,,,,,,,,,,,,,,,,,,
注2）平成30年12月までは農林漁家世帯を調査対象から除外していたが、平成31年1月からは含めている。,,,,,,,,,,,*「実質増加率」のうち令和3年は、令和3年10月29日に改定しました。,,,,,,,,,
hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou3,hyoutou1,,,
youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018,,,
