年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成23年７～９月平均,2011,07～09,1728,2015,2038,1001,1141,1248,727,874,790
実数／平成23年10～12月平均,2011,10～12,1804,1972,2098,1040,1101,1279,764,871,819
実数／平成24年１～３月平均,2012,01～03,1771,2014,2043,995,1127,1200,776,887,843
実数／平成24年４～６月平均,2012,04～06,1795,1878,2145,1040,1067,1299,755,811,847
実数／平成24年７～９月平均,2012,07～09,1764,1995,2076,1028,1104,1244,736,891,833
対前年・前年同期増減数／平成17年平均,2005,,19,16,65,13,27,12,6,-11,53
対前年・前年同期増減数／平成18年平均,2006,,55,101,26,11,51,20,44,49,6
対前年・前年同期増減数／平成19年平均,2007,,66,93,109,44,63,106,22,31,2
対前年・前年同期増減数／平成20年平均,2008,,-58,31,134,-44,33,85,-14,-2,50
対前年・前年同期増減数／平成21年平均,2009,,-90,-65,38,-50,-79,21,-40,14,17
対前年・前年同期増減数／平成22年平均,2010,,-85,27,22,-52,10,-20,-33,17,43
対前年・前年同期増減数／平成23年平均,2011,,90,79,87,44,29,42,46,50,44
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,52,73,22,10,68,51,42,4,-29
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,128,88,71,81,44,84,47,45,-13
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,69,202,142,45,135,118,23,67,24
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,-79,91,186,-59,93,117,-20,-2,69
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,-90,41,135,-70,9,78,-20,32,56
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,-154,-24,160,-79,8,112,-75,-31,48
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,93,14,57,32,21,32,62,-7,25
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,-18,-111,76,-5,-120,50,-13,9,26
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,-42,-100,49,-29,-80,29,-13,-20,21
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,-162,-78,125,-116,-45,65,-47,-34,60
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,-141,29,-100,-50,-70,-60,-91,100,-40
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,-45,34,-93,-23,-9,-104,-23,43,11
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,-61,-53,38,-41,-38,-13,-21,-15,52
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,-158,70,78,-95,35,33,-63,35,45
対前年・前年同期増減数／平成22年10～12月平均,2010,10～12,-74,58,67,-51,52,4,-23,5,64
対前年・前年同期増減数／平成23年１～３月平均,2011,01～03,58,159,47,-12,62,10,71,97,36
対前年・前年同期増減数／平成23年４～６月平均,2011,04～06,41,141,103,30,74,51,12,67,50
対前年・前年同期増減数／平成23年７～９月平均,2011,07～09,151,73,-5,104,18,-27,47,55,22
対前年・前年同期増減数／平成23年10～12月平均,2011,10～12,109,-58,204,55,-38,132,54,-20,71
対前年・前年同期増減数／平成24年１～３月平均,2012,01～03,-31,17,44,-11,34,7,-20,-17,38
対前年・前年同期増減数／平成24年４～６月平均,2012,04～06,-2,-101,99,16,-46,73,-18,-55,28
対前年・前年同期増減数／平成24年７～９月平均,2012,07～09,36,-20,38,27,-37,-4,9,17,43
,,,,,,,,,,,
東京の労働力統計データ（平成24年７～９月平均）,,,,,,,,,,,
第６表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,,
