項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋,28浅川／中央道／北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,38東京湾／St.5,39東京湾／St.6,40東京湾／St.8,41東京湾／St.22,42東京湾／St.23,43東京湾／St.25,44東京湾／St.32,45東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,280,100,550,1500,8700,1500,4200,72,170,37,6600,2900,15000,4900,2800,7000,12000,5700,47,91,300,670,200,2.8,72,10,61,11,65,73,56,62,30,55,63,210,33,1900,3600,4500,6400,1100,4100,1200,7700
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,0.3,0.4,(0.20),0.5,21,13,15,(0.20),0.6,(0.10),25,12,470,15,12,21,20,9,0.8,0.7,2.8,6.5,0.8,0,(0.20),(0.20),(0.20),0,0.7,(0.10),0.3,0.4,(0.20),0.3,(0.20),1,(0.20),6.2,5.7,3.6,6.1,3.3,5,3.1,5.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,(0.20),0,0.3,0.4,5.3,3.3,8.2,0,0.5,0,6.7,8.8,24,9.1,3.5,13,3.9,5.1,0.4,0.4,1.7,3.5,0.7,0,(0.20),(0.20),(0.20),0,0.6,(0.10),(0.20),0.3,0.3,(0.20),0.3,1,(0.20),2.8,3.5,4.2,4.7,0.9,2.6,2.1,4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,0.3,(0.20),(0.20),0.5,15,13,15,(0.10),0.7,0,24,12,470,13,10,21,16,9.2,1,0.7,2.8,7.8,1.4,0,(0.20),0.3,(0.20),0,1.1,(0.10),(0.20),0.3,0.3,0.3,0.3,1.2,0.3,5.7,5.2,3.8,6.4,2.6,5,2.5,5.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,5.6,2,6,16,210,100,190,2.6,17,0.6,260,210,1800,180,110,280,140,140,19,14,56,150,27,0,6.5,5.5,6.3,0.1,24,3.2,4.9,6.6,7.7,6.3,6.9,31,5.6,70,87,100,160,30,110,85,140
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,0.4,(0.20),0.3,0.7,17,16,16,(0.20),1.3,0,28,18,440,17,12,23,15,11,1.7,0.9,3.5,9.2,1.8,0,0.6,0.4,0.4,0,1.8,0.3,0.3,0.5,0.5,0.5,0.5,2.6,0.5,5.7,7.1,6,8.5,3.2,6.7,4.8,9.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,0.3,(0.10),0.3,0.6,13,7.4,11,(0.10),1.1,0,18,13,230,12,7.2,17,8.4,7.9,1.4,0.8,2.9,7.7,1.5,0,0.4,(0.20),0.3,0,1.5,0.3,0.3,0.5,0.4,0.4,0.3,2.4,0.5,3.8,4.5,4.5,6,1.8,4.8,3.4,7.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,4.4,1.5,4.5,12,200,88,160,1.6,19,0.3,240,220,1500,210,90,270,110,130,20,13,50,130,27,0,7.2,4.1,6.5,0,23,3.6,5.4,7,7.5,7.6,5.8,41,7.3,110,210,140,580,57,550,420,430
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.60),(0.30),(0.60),1.2,24,13,21,(0.20),1.5,0,36,23,350,25,16,34,21,17,2.1,1.4,3.5,10,1.9,0,(0.60),(0.30),(0.60),0,1.9,(0.40),(0.40),0.7,(0.40),(0.60),(0.40),3.6,(0.60),7.8,11,8.6,13,4.3,10,6,15
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.50),(0.20),(0.50),1,20,6.7,13,(0.30),1.3,0,20,18,110,16,7.6,20,9.5,9.2,1.4,1.1,3.3,8.5,1.9,0,(0.60),(0.30),(0.50),0,1.6,(0.30),(0.50),(0.60),(0.50),(0.60),(0.50),3.5,0.7,4.5,6.5,6.2,10,2.4,5.8,4.8,10
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,0,0,0,0,2.4,0.8,2,0,0,0,4.5,1.4,10,1.8,1.5,2.3,1.2,0.7,0,0,(0.30),(0.60),0,0,0,0,0,0,0,0,0,0,0,0,0,(0.30),0,(0.50),0.8,0.7,1.3,(0.50),1,1,1.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.50),0,(0.50),1.1,26,6.2,16,0,2.2,0,18,21,54,16,6.3,21,6.2,8.8,1.9,1.2,4.4,11,2.9,0,1.2,(0.40),0.7,0,2,(0.30),0.8,0.8,0.8,1,0.7,6.5,1.1,6.1,7.8,8.1,18,2.5,11,8,22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,4.8,1.5,6.2,14,230,75,180,0.8,17,0,290,230,1300,260,120,310,190,160,16,12,40,110,22,0,6.9,2.6,5.7,0,17,3.8,5,6.9,4.8,6.8,4.5,44,6.9,150,300,170,900,83,790,630,640
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,2.6,1,4,8.5,130,38,130,1,6.3,(0.40),250,110,1000,200,120,250,340,130,5.7,4.6,16,40,8.7,0,2.4,1.1,2.1,0,6.9,2,2,3.6,1.8,2.5,2.1,19,2.2,63,77,49,120,49,86,36,150
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,(0.40),0,(0.60),1.3,20,6.4,17,0,1.2,0,29,14,100,21,13,27,23,13,0.7,0.9,2.3,5.4,1.3,0,(0.40),0,(0.50),0,1,(0.30),(0.40),(0.50),(0.30),(0.50),(0.30),3.8,(0.40),6.5,9.3,8.5,14,4.6,8.4,5.7,16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,6.4,2.2,10,25,290,95,340,2.2,13,0.9,780,260,3000,600,360,760,1100,400,10,9.7,32,76,19,0,4.9,2,4.6,0,12,5.9,4.4,7.8,3.6,5.4,4.3,40,4.4,200,270,170,550,170,470,260,550
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,4.7,2.4,10,20,230,100,360,(1.60),5.8,(0.80),750,240,2900,720,410,890,2600,430,4,4.5,15,33,9.1,0,2.2,0,1.9,0,4.3,4.7,2.1,3.1,(1.50),2.1,1.9,19,2.1,180,210,110,310,210,230,66,390
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,26,9.6,37,87,1200,460,1200,8.8,72,2.6,2300,1200,11000,2000,1100,2500,4100,1300,69,53,190,500,100,0,28,14,25,0.1,80,21,22,31,25,28,23,180,26,710,1100,690,2500,550,2200,1500,2200
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,300,110,590,1600,9900,1900,5400,80,250,39,8900,4000,26000,6900,3900,9500,16000,6900,120,140,490,1200,310,2.8,100,25,86,11,140,94,78,93,56,83,86,380,59,2600,4700,5200,8900,1600,6200,2700,9800
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,(0.30),(0.30),(0.50),1,29,40,35,1.6,2.5,(0.60),180,41,400,57,120,110,84,120,8.2,4.1,13,160,6.1,0,(0.30),2.4,0.7,0,0.9,(0.20),0.8,0.9,(0.50),(0.60),(0.40),1.3,(0.30),18,11,11,10,5.1,8.1,7.3,9.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,8.3,8.5,33,65,2200,3400,3400,100,46,20,14000,2400,16000,4400,4400,6800,3400,3900,180,93,300,6600,150,(0.60),5.7,61,14,1.4,14,6.9,13,21,8.8,13,7.2,34,6.3,950,850,940,570,260,410,220,310
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,(0.50),(0.30),0.7,1.7,57,37,56,1,3.7,(0.40),220,64,250,63,90,110,49,85,9.6,17,21,100,8.4,0,0.7,3.7,0.9,0,2,(0.50),0.8,1.3,1,1.4,0.7,16,0.7,20,16,16,17,6.3,14,12,17
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,0,0,0,(0.20),5.7,7.6,6.3,(0.20),(0.40),0,9.5,7.3,13,6.5,6.3,10,4.2,4.2,0.8,1,1.7,3.8,0.7,0,(0.20),(0.30),0,0,(0.50),0,0,(0.20),(0.30),(0.20),0,1.8,(0.20),2,2.1,2.2,3.2,0.8,2.3,1.8,3.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,9.1,9.1,34,68,2300,3500,3500,100,53,21,14000,2500,17000,4500,4600,7000,3500,4100,200,120,340,6900,170,0.6,6.9,67,16,1.4,17,7.6,15,23,11,15,8.3,53,7.5,990,880,970,600,270,430,240,340
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,0.8,(0.60),1.6,3.8,120,140,200,4.9,7.1,1.8,1200,210,1100,220,460,450,330,450,95,350,96,530,35,(0.20),0.7,69,2.1,0,3,0.9,1.3,7,1.3,5.1,1.1,4.8,0.9,72,40,37,34,26,34,39,37
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,34,35,88,220,8200,9100,14000,190,300,85,64000,11000,55000,14000,22000,22000,18000,24000,5800,28000,6300,28000,2300,13,29,4700,74,5.7,130,34,61,390,56,330,51,170,34,4800,2900,2900,2300,1600,2400,2500,2200
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,15,12,29,78,2400,2800,3600,88,160,34,21000,4000,18000,4400,8000,7700,5600,9000,1700,8500,2200,10000,880,5.4,15,1900,40,2.6,59,18,28,150,27,120,22,88,17,1800,1000,780,840,470,910,740,790
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,0.9,0.7,1.8,4.6,150,250,230,6.4,11,2.6,1800,270,1100,200,530,500,410,560,95,580,140,700,48,(0.40),1,110,2.3,(0.30),3.9,1.1,1.9,8.1,1.9,6.7,1.3,3.8,0.9,85,44,47,28,24,32,39,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,1.6,1.2,2.7,8.3,240,190,310,4.3,15,1.8,1500,420,1500,330,820,720,540,790,210,1500,230,970,89,(0.60),1.8,180,3.9,0,8.2,1.7,3.3,21,3.2,15,2,24,3,140,89,87,82,56,84,88,88
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,4,3,7.6,22,630,510,820,12,46,4.8,4200,1100,4000,800,2200,1900,1500,2200,550,4600,670,2600,250,2,4.5,570,10,(0.40),21,3.5,8.2,61,8.1,41,4.7,38,6.7,380,210,220,160,150,190,250,190
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,1.2,0.7,2,5.3,160,120,200,2.9,11,1.3,880,250,950,200,510,380,280,480,140,900,150,590,58,(0.40),1.4,120,2.8,0,5.8,1,2,14,2.2,10,1.4,15,2,92,54,53,45,38,52,57,51
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,(0.30),(0.30),(0.60),1.6,41,34,50,(0.60),3.1,(0.20),230,64,240,53,150,180,83,96,18,160,26,140,10,0,(0.50),16,0.7,0,1.4,(0.40),0.7,2.7,0.8,1.7,(0.40),4.1,(0.60),23,14,13,12,9.3,15,15,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,58,54,130,340,12000,13000,19000,310,550,130,95000,17000,82000,20000,35000,34000,27000,38000,8600,45000,9800,44000,3700,22,54,7700,140,9,230,61,110,650,100,530,84,350,65,7400,4400,4100,3500,2400,3700,3700,3400
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,67,63,170,410,14000,17000,23000,410,610,150,110000,20000,99000,25000,39000,41000,30000,42000,8800,45000,10000,50000,3800,23,61,7700,150,10,250,68,120,680,110,540,92,400,73,8400,5200,5100,4100,2600,4200,4000,3700
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,370,170,760,2000,24000,19000,28000,490,850,190,120000,24000,120000,32000,43000,50000,47000,49000,8900,45000,11000,52000,4100,25,160,7800,240,21,390,160,200,770,170,630,180,780,130,11000,9900,10000,13000,4300,10000,6600,14000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.99,0.37,1.2,2.6,34,13,23,0.51,1.9,0.42,35,25,240,27,17,37,26,20,1.6,1.3,4.7,11,2.2,0.20,0.81,0.40,0.71,0.20,2.0,0.45,0.60,1.0,0.59,0.80,0.52,4.2,0.68,9.1,13,13,21,5.0,14,7.7,24
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.056,0.036,0.080,0.19,6.5,4.7,6.7,0.13,0.40,0.049,27,7.4,30,7.6,11,13,6.2,10,1.3,3.1,2.5,12,0.99,0.014,0.078,0.62,0.099,0.013,0.22,0.056,0.088,0.16,0.11,0.16,0.076,1.7,0.079,2.4,1.9,1.9,2.0,0.75,1.6,1.4,1.9
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,1.0,0.41,1.3,2.8,40,17,30,0.63,2.3,0.47,62,32,270,34,27,50,32,30,2.8,4.4,7.2,23,3.2,0.21,0.89,1.0,0.81,0.21,2.2,0.50,0.69,1.2,0.70,0.96,0.60,5.9,0.76,12,15,15,23,5.7,16,9.1,25
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,1.1,0.42,1.3,2.8,43,20,33,0.67,2.6,0.49,74,36,330,38,32,56,34,34,4.0,10,8.8,29,3.9,0.22,0.98,1.9,0.88,0.22,2.5,0.56,0.76,1.4,0.80,1.1,0.66,6.4,0.87,13,16,16,23,6.2,17,10,26
強熱減量,,,,,mg/g,1.7,1.6,1.8,2.6,10.5,6.2,10.9,6.3,2.5,4.9,13.1,16.5,11.3,14.5,4.9,13.4,6.9,8.8,2.2,2.9,8.6,6.1,3.1,3.1,1.8,3.4,2.2,2,3,2.3,2.5,2.5,2.3,2.6,2.2,5,1.8,8.9,11.5,8.9,14.5,7.4,13.2,11,14.4
泥分量,,,,,mg/g,90.8,99.7,98.6,96.5,99.2,96.4,98.1,99.9,99.5,99.2,94,88.4,97.2,80.2,90.9,95.1,79.9,63.6,65.5,97.5,75.5,80.1,96.9,76.7,32.4,94.8,29.9,0.12,4.8,4.3,33.6,36.5,21.8,45.9,17,5.7,49,99,99.4,99.4,99.6,78.4,99.3,99.3,98.1
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
