№,団体名等,施設名称,施設所在地,緯度,経度,座標系,測定内容／月日,測定内容／項目,測定結果／単位,測定結果／セシウム134,測定結果／セシウム137,測定結果／セシウム合計,測定結果／空間放射線量
7,東京二十三区清掃一部事務組合,多摩川清掃工場,大田区下丸子2-33-1,35.561691,139.686996,JGD2011,7月20日,飛灰,Bq/kg,799,943,1742,
7,東京二十三区清掃一部事務組合,多摩川清掃工場,大田区下丸子2-33-1,35.561691,139.686996,JGD2011,7月20日,焼却灰,Bq/kg,119,135,254,
7,東京二十三区清掃一部事務組合,多摩川清掃工場,大田区下丸子2-33-1,35.561691,139.686996,JGD2011,7月20日,排ガス,Bq/m3,不検出,不検出,不検出,
7,東京二十三区清掃一部事務組合,多摩川清掃工場,大田区下丸子2-33-1,35.561691,139.686996,JGD2011,7月19日,敷地境界,μSv/h,,,,0.14
8,東京二十三区清掃一部事務組合,世田谷清掃工場,世田谷区大蔵1-1-1,35.633347,139.622910,JGD2011,6月22日,飛灰,Bq/kg,1480,1630,3110,
8,東京二十三区清掃一部事務組合,世田谷清掃工場,世田谷区大蔵1-1-1,35.633347,139.622910,JGD2011,,焼却灰,Bq/kg,プラントの特性から排出されない,,,
8,東京二十三区清掃一部事務組合,世田谷清掃工場,世田谷区大蔵1-1-1,35.633347,139.622910,JGD2011,,排ガス,Bq/m3,定期補修工事中のため測定していない,,,
8,東京二十三区清掃一部事務組合,世田谷清掃工場,世田谷区大蔵1-1-1,35.633347,139.622910,JGD2011,7月21日,敷地境界,μSv/h,,,,0.14
9,東京二十三区清掃一部事務組合,千歳清掃工場,世田谷区八幡山2-7-1,35.659866,139.616623,JGD2011,7月8日,飛灰,Bq/kg,1340,1440,2780,
9,東京二十三区清掃一部事務組合,千歳清掃工場,世田谷区八幡山2-7-1,35.659866,139.616623,JGD2011,7月8日,焼却灰,Bq/kg,93,113,206,
9,東京二十三区清掃一部事務組合,千歳清掃工場,世田谷区八幡山2-7-1,35.659866,139.616623,JGD2011,7月13日,排ガス,Bq/m3,不検出,不検出,不検出,
9,東京二十三区清掃一部事務組合,千歳清掃工場,世田谷区八幡山2-7-1,35.659866,139.616623,JGD2011,7月27日,敷地境界,μSv/h,,,,0.15
10,東京二十三区清掃一部事務組合,渋谷清掃工場,渋谷区東1-35-1,35.653358,139.706390,JGD2011,7月19日,飛灰,Bq/kg,461,548,1009,
10,東京二十三区清掃一部事務組合,渋谷清掃工場,渋谷区東1-35-1,35.653358,139.706390,JGD2011,7月19日,焼却灰,Bq/kg,52,71,123,
10,東京二十三区清掃一部事務組合,渋谷清掃工場,渋谷区東1-35-1,35.653358,139.706390,JGD2011,7月26日,排ガス,Bq/m3,不検出,不検出,不検出,
10,東京二十三区清掃一部事務組合,渋谷清掃工場,渋谷区東1-35-1,35.653358,139.706390,JGD2011,7月19日,敷地境界,μSv/h,,,,0.16
11,東京二十三区清掃一部事務組合,杉並清掃工場,杉並区高井戸東3-7-6,35.683449,139.615952,JGD2011,7月21日,飛灰,Bq/kg,1140,1300,2440,
11,東京二十三区清掃一部事務組合,杉並清掃工場,杉並区高井戸東3-7-6,35.683449,139.615952,JGD2011,7月21日,焼却灰,Bq/kg,84,85,169,
11,東京二十三区清掃一部事務組合,杉並清掃工場,杉並区高井戸東3-7-6,35.683449,139.615952,JGD2011,7月22日,排ガス,Bq/m3,不検出,不検出,不検出,
11,東京二十三区清掃一部事務組合,杉並清掃工場,杉並区高井戸東3-7-6,35.683449,139.615952,JGD2011,7月19日,敷地境界,μSv/h,,,,0.14
12,東京二十三区清掃一部事務組合,豊島清掃工場,豊島区上池袋2-5-1,35.734802,139.714752,JGD2011,7月23日,飛灰,Bq/kg,446,528,974,
12,東京二十三区清掃一部事務組合,豊島清掃工場,豊島区上池袋2-5-1,35.734802,139.714752,JGD2011,7月11日,焼却灰,Bq/kg,83,89,172,
12,東京二十三区清掃一部事務組合,豊島清掃工場,豊島区上池袋2-5-1,35.734802,139.714752,JGD2011,7月21日,排ガス,Bq/m3,不検出,不検出,不検出,
12,東京二十三区清掃一部事務組合,豊島清掃工場,豊島区上池袋2-5-1,35.734802,139.714752,JGD2011,7月26日,敷地境界,μSv/h,,,,0.09
13,東京二十三区清掃一部事務組合,板橋清掃工場,板橋区高島平9-48-1,35.791698,139.666687,JGD2011,7月22日,飛灰,Bq/kg,981,1120,2101,
13,東京二十三区清掃一部事務組合,板橋清掃工場,板橋区高島平9-48-1,35.791698,139.666687,JGD2011,7月9日,焼却灰,Bq/kg,203,224,427,
13,東京二十三区清掃一部事務組合,板橋清掃工場,板橋区高島平9-48-1,35.791698,139.666687,JGD2011,7月5日,排ガス,Bq/m3,不検出,不検出,不検出,
13,東京二十三区清掃一部事務組合,板橋清掃工場,板橋区高島平9-48-1,35.791698,139.666687,JGD2011,7月25日,敷地境界,μSv/h,,,,0.16
14,東京二十三区清掃一部事務組合,光が丘清掃工場,練馬区光が丘5-3-1,35.761639,139.628296,JGD2011,7月23日,飛灰,Bq/kg,1790,2080,3870,
14,東京二十三区清掃一部事務組合,光が丘清掃工場,練馬区光が丘5-3-1,35.761639,139.628296,JGD2011,7月11日,焼却灰,Bq/kg,95,111,206,
14,東京二十三区清掃一部事務組合,光が丘清掃工場,練馬区光が丘5-3-1,35.761639,139.628296,JGD2011,7月6日,排ガス,Bq/m3,不検出,不検出,不検出,
14,東京二十三区清掃一部事務組合,光が丘清掃工場,練馬区光が丘5-3-1,35.761639,139.628296,JGD2011,7月20日,敷地境界,μSv/h,,,,0.15
15,東京二十三区清掃一部事務組合,墨田清掃工場,墨田区東墨田1-10-23,35.716927,139.831985,JGD2011,7月19日,飛灰,Bq/kg,1590,1700,3290,
15,東京二十三区清掃一部事務組合,墨田清掃工場,墨田区東墨田1-10-23,35.716927,139.831985,JGD2011,7月5日,焼却灰,Bq/kg,204,188,392,
15,東京二十三区清掃一部事務組合,墨田清掃工場,墨田区東墨田1-10-23,35.716927,139.831985,JGD2011,7月19日,排ガス,Bq/m3,不検出,不検出,不検出,
15,東京二十三区清掃一部事務組合,墨田清掃工場,墨田区東墨田1-10-23,35.716927,139.831985,JGD2011,7月20日,敷地境界,μSv/h,,,,0.26
16,東京二十三区清掃一部事務組合,新江東清掃工場,江東区夢の島3-1-1,35.649376,139.834442,JGD2011,7月22日,飛灰,Bq/kg,1090,1150,2240,
16,東京二十三区清掃一部事務組合,新江東清掃工場,江東区夢の島3-1-1,35.649376,139.834442,JGD2011,7月6日,焼却灰,Bq/kg,114,137,251,
16,東京二十三区清掃一部事務組合,新江東清掃工場,江東区夢の島3-1-1,35.649376,139.834442,JGD2011,7月8日,排ガス,Bq/m3,不検出,不検出,不検出,
16,東京二十三区清掃一部事務組合,新江東清掃工場,江東区夢の島3-1-1,35.649376,139.834442,JGD2011,7月22日,敷地境界,μSv/h,,,,0.20
17,東京二十三区清掃一部事務組合,有明清掃工場,江東区有明2-3-10,35.633038,139.784119,JGD2011,7月26日,飛灰,Bq/kg,1660,1970,3630,
17,東京二十三区清掃一部事務組合,有明清掃工場,江東区有明2-3-10,35.633038,139.784119,JGD2011,7月6日,焼却灰,Bq/kg,56,49,105,
17,東京二十三区清掃一部事務組合,有明清掃工場,江東区有明2-3-10,35.633038,139.784119,JGD2011,7月26日,排ガス,Bq/m3,不検出,不検出,不検出,
17,東京二十三区清掃一部事務組合,有明清掃工場,江東区有明2-3-10,35.633038,139.784119,JGD2011,7月26日,敷地境界,μSv/h,,,,0.18
18,東京二十三区清掃一部事務組合,足立清掃工場,足立区西保木間4-7-1,35.803345,139.795105,JGD2011,7月22日,飛灰,Bq/kg,1320,1450,2770,
18,東京二十三区清掃一部事務組合,足立清掃工場,足立区西保木間4-7-1,35.803345,139.795105,JGD2011,7月9日,焼却灰,Bq/kg,449,498,947,
18,東京二十三区清掃一部事務組合,足立清掃工場,足立区西保木間4-7-1,35.803345,139.795105,JGD2011,7月11日,排ガス,Bq/m3,不検出,不検出,不検出,
18,東京二十三区清掃一部事務組合,足立清掃工場,足立区西保木間4-7-1,35.803345,139.795105,JGD2011,7月22日,敷地境界,μSv/h,,,,0.22
19,東京二十三区清掃一部事務組合,葛飾清掃工場,葛飾区水元1-20-1,35.780766,139.856613,JGD2011,7月22日,飛灰,Bq/kg,1820,2040,3860,
19,東京二十三区清掃一部事務組合,葛飾清掃工場,葛飾区水元1-20-1,35.780766,139.856613,JGD2011,7月11日,焼却灰,Bq/kg,269,280,549,
19,東京二十三区清掃一部事務組合,葛飾清掃工場,葛飾区水元1-20-1,35.780766,139.856613,JGD2011,7月7日,排ガス,Bq/m3,不検出,不検出,不検出,
19,東京二十三区清掃一部事務組合,葛飾清掃工場,葛飾区水元1-20-1,35.780766,139.856613,JGD2011,7月28日,敷地境界,μSv/h,,,,0.22
20,東京二十三区清掃一部事務組合,江戸川清掃工場,江戸川区江戸川2-10,35.685192,139.904114,JGD2011,7月19日,飛灰,Bq/kg,6110,6810,12920,
20,東京二十三区清掃一部事務組合,江戸川清掃工場,江戸川区江戸川2-10,35.685192,139.904114,JGD2011,7月5日,焼却灰,Bq/kg,199,239,438,
20,東京二十三区清掃一部事務組合,江戸川清掃工場,江戸川区江戸川2-10,35.685192,139.904114,JGD2011,7月6日,排ガス,Bq/m3,不検出,不検出,不検出,
20,東京二十三区清掃一部事務組合,江戸川清掃工場,江戸川区江戸川2-10,35.685192,139.904114,JGD2011,7月20日,敷地境界,μSv/h,,,,0.29
21,東京二十三区清掃一部事務組合,破砕ごみ処理施設,江東区青海3丁目地先,35.608994,139.784851,JGD2011,7月20日,飛灰,Bq/kg,380,403,783,
21,東京二十三区清掃一部事務組合,破砕ごみ処理施設,江東区青海3丁目地先,35.608994,139.784851,JGD2011,7月7日,焼却灰,Bq/kg,23,19,42,
21,東京二十三区清掃一部事務組合,破砕ごみ処理施設,江東区青海3丁目地先,35.608994,139.784851,JGD2011,7月14日,排ガス,Bq/m3,不検出,不検出,不検出,
21,東京二十三区清掃一部事務組合,破砕ごみ処理施設,江東区青海3丁目地先,35.608994,139.784851,JGD2011,7月21日,敷地境界,μSv/h,,,,0.17
22,八王子市,戸吹清掃工場,八王子市戸吹町1916,35.700718,139.292725,JGD2011,7月6日,飛灰,Bq/kg,1180,1290,2470,
22,八王子市,戸吹清掃工場,八王子市戸吹町1916,35.700718,139.292725,JGD2011,7月6日,焼却灰,Bq/kg,153,155,308,
22,八王子市,戸吹清掃工場,八王子市戸吹町1916,35.700718,139.292725,JGD2011,8月15日,排ガス,Bq/m3,不検出,不検出,不検出,
22,八王子市,戸吹清掃工場,八王子市戸吹町1916,35.700718,139.292725,JGD2011,7月6日,敷地境界,μSv/h,,,,0.10
23,八王子市,北野清掃工場,八王子市北野町596-3,35.655785,139.351822,JGD2011,7月6日,飛灰固化物,Bq/kg,1180,1360,2540,
23,八王子市,北野清掃工場,八王子市北野町596-3,35.655785,139.351822,JGD2011,7月6日,焼却灰,Bq/kg,139,166,305,
23,八王子市,北野清掃工場,八王子市北野町596-3,35.655785,139.351822,JGD2011,8月11日,排ガス,Bq/m3,不検出,不検出,不検出,
23,八王子市,北野清掃工場,八王子市北野町596-3,35.655785,139.351822,JGD2011,7月6日,敷地境界,μSv/h,,,,0.11
24,立川市,立川市清掃工場,立川市若葉町4-11-19,35.725040,139.433701,JGD2011,7月12日,飛灰,Bq/kg,507,685,1192,
24,立川市,立川市清掃工場,立川市若葉町4-11-19,35.725040,139.433701,JGD2011,7月12日,焼却灰,Bq/kg,84,109,193,
24,立川市,立川市清掃工場,立川市若葉町4-11-19,35.725040,139.433701,JGD2011,7月20日,排ガス,Bq/m3,不検出,不検出,不検出,
24,立川市,立川市清掃工場,立川市若葉町4-11-19,35.725040,139.433701,JGD2011,7月12日,敷地境界,μSv/h,,,,0.09
25,武蔵野市,武蔵野市クリーンセンター,武蔵野市緑町3-1-5,35.719227,139.566376,JGD2011,7月22日,飛灰固化物,Bq/kg,881,992,1873,
25,武蔵野市,武蔵野市クリーンセンター,武蔵野市緑町3-1-5,35.719227,139.566376,JGD2011,7月22日,焼却灰,Bq/kg,111,120,231,
25,武蔵野市,武蔵野市クリーンセンター,武蔵野市緑町3-1-5,35.719227,139.566376,JGD2011,7月22日,排ガス,Bq/m3,不検出,不検出,不検出,
25,武蔵野市,武蔵野市クリーンセンター,武蔵野市緑町3-1-5,35.719227,139.566376,JGD2011,7月22日,敷地境界,μSv/h,,,,0.10
26,三鷹市,三鷹市環境センター,三鷹市新川1-6-1,35.671501,139.577942,JGD2011,7月11日,飛灰,Bq/kg,1493,1916,3409,
26,三鷹市,三鷹市環境センター,三鷹市新川1-6-1,35.671501,139.577942,JGD2011,7月11日,焼却灰,Bq/kg,153,198,351,
26,三鷹市,三鷹市環境センター,三鷹市新川1-6-1,35.671501,139.577942,JGD2011,7月21日,排ガス,Bq/m3,不検出,不検出,不検出,
26,三鷹市,三鷹市環境センター,三鷹市新川1-6-1,35.671501,139.577942,JGD2011,7月11日,敷地境界,μSv/h,,,,0.09
27,昭島市,昭島市清掃センター,昭島市田中町4-3-14,35.693310,139.348755,JGD2011,7月12日,飛灰固化物,Bq/kg,521,663,1184,
27,昭島市,昭島市清掃センター,昭島市田中町4-3-14,35.693310,139.348755,JGD2011,7月12日,焼却灰,Bq/kg,103,133,236,
27,昭島市,昭島市清掃センター,昭島市田中町4-3-14,35.693310,139.348755,JGD2011,7月12日,排ガス,Bq/m3,不検出,不検出,不検出,
27,昭島市,昭島市清掃センター,昭島市田中町4-3-14,35.693310,139.348755,JGD2011,7月12日,敷地境界,μSv/h,,,,0.09
28,町田市,町田リサイクル文化センター,町田市下小山田町3160,35.587688,139.412216,JGD2011,7月8日,飛灰,Bq/kg,571,628,1199,
28,町田市,町田リサイクル文化センター,町田市下小山田町3160,35.587688,139.412216,JGD2011,7月8日,焼却灰,Bq/kg,92,99,191,
28,町田市,町田リサイクル文化センター,町田市下小山田町3160,35.587688,139.412216,JGD2011,8月4日,排ガス,Bq/m3,不検出,不検出,不検出,
28,町田市,町田リサイクル文化センター,町田市下小山田町3160,35.587688,139.412216,JGD2011,8月1日,敷地境界,μSv/h,,,,0.10
29,日野市,日野市クリーンセンター,日野市石田1-210-2,35.666538,139.427689,JGD2011,7月20日,飛灰,Bq/kg,129,146,275,
29,日野市,日野市クリーンセンター,日野市石田1-210-2,35.666538,139.427689,JGD2011,7月20日,焼却灰,Bq/kg,168,163,331,
29,日野市,日野市クリーンセンター,日野市石田1-210-2,35.666538,139.427689,JGD2011,7月20日,排ガス,Bq/m3,不検出,不検出,不検出,
29,日野市,日野市クリーンセンター,日野市石田1-210-2,35.666538,139.427689,JGD2011,7月29日,敷地境界,μSv/h,,,,0.10
30,東村山市,東村山市秋水園,東村山市秋津町4-17-1,35.780079,139.485489,JGD2011,7月12日,飛灰固化物,Bq/kg,680,837,1517,
30,東村山市,東村山市秋水園,東村山市秋津町4-17-1,35.780079,139.485489,JGD2011,7月12日,焼却灰,Bq/kg,167,204,371,
30,東村山市,東村山市秋水園,東村山市秋津町4-17-1,35.780079,139.485489,JGD2011,7月11日,排ガス,Bq/m3,不検出,不検出,不検出,
30,東村山市,東村山市秋水園,東村山市秋津町4-17-1,35.780079,139.485489,JGD2011,7月7日,敷地境界,μSv/h,,,,0.089
31,国分寺市,国分寺市清掃センター,国分寺市西恋ヶ窪4-9-8,35.706036,139.465652,JGD2011,7月19日,飛灰固化物,Bq/kg,971,1216,2187,
31,国分寺市,国分寺市清掃センター,国分寺市西恋ヶ窪4-9-8,35.706036,139.465652,JGD2011,7月19日,焼却灰,Bq/kg,84,101,185,
31,国分寺市,国分寺市清掃センター,国分寺市西恋ヶ窪4-9-8,35.706036,139.465652,JGD2011,7月19日,排ガス,Bq/m3,不検出,不検出,不検出,
31,国分寺市,国分寺市清掃センター,国分寺市西恋ヶ窪4-9-8,35.706036,139.465652,JGD2011,7月19日,敷地境界,μSv/h,,,,0.09
32,奥多摩町,奥多摩町クリーンセンター,奥多摩町海沢850-1,35.787006,139.124954,JGD2011,7月8日,飛灰,Bq/kg,545,607,1152,
32,奥多摩町,奥多摩町クリーンセンター,奥多摩町海沢850-1,35.787006,139.124954,JGD2011,7月8日,焼却灰,Bq/kg,123,139,262,
32,奥多摩町,奥多摩町クリーンセンター,奥多摩町海沢850-1,35.787006,139.124954,JGD2011,8月4日,排ガス,Bq/m3,不検出,不検出,不検出,
32,奥多摩町,奥多摩町クリーンセンター,奥多摩町海沢850-1,35.787006,139.124954,JGD2011,8月4日,敷地境界,μSv/h,,,,0.11
33,柳泉園組合,柳泉園クリーンポート,東久留米市下里4-3-10,35.754902,139.494705,JGD2011,7月13日,飛灰,Bq/kg,771,898,1669,
33,柳泉園組合,柳泉園クリーンポート,東久留米市下里4-3-10,35.754902,139.494705,JGD2011,7月13日,焼却灰,Bq/kg,118,146,264,
33,柳泉園組合,柳泉園クリーンポート,東久留米市下里4-3-10,35.754902,139.494705,JGD2011,7月13日,排ガス,Bq/m3,不検出,不検出,不検出,
33,柳泉園組合,柳泉園クリーンポート,東久留米市下里4-3-10,35.754902,139.494705,JGD2011,7月25日,敷地境界,μSv/h,,,,0.08
34,西多摩衛生組合,環境センター,羽村市羽4235,35.758251,139.298889,JGD2011,7月26日,飛灰,Bq/kg,785,989,1774,
34,西多摩衛生組合,環境センター,羽村市羽4235,35.758251,139.298889,JGD2011,7月26日,焼却灰,Bq/kg,373,463,836,
34,西多摩衛生組合,環境センター,羽村市羽4235,35.758251,139.298889,JGD2011,7月26日,排ガス,Bq/m3,不検出,不検出,不検出,
34,西多摩衛生組合,環境センター,羽村市羽4235,35.758251,139.298889,JGD2011,7月26日,敷地境界,μSv/h,,,,0.09
35,多摩川衛生組合,クリーンセンター多摩川,稲城市大丸1528,35.649818,139.481720,JGD2011,7月19日,飛灰固化物,Bq/kg,551,632,1183,
35,多摩川衛生組合,クリーンセンター多摩川,稲城市大丸1528,35.649818,139.481720,JGD2011,7月19日,スラグ,Bq/kg,15,12,27,
35,多摩川衛生組合,クリーンセンター多摩川,稲城市大丸1528,35.649818,139.481720,JGD2011,8月3日,排ガス,Bq/m3,不検出,不検出,不検出,
35,多摩川衛生組合,クリーンセンター多摩川,稲城市大丸1528,35.649818,139.481720,JGD2011,8月3日,敷地境界,μSv/h,,,,0.10
36,小平・村山・大和衛生組合,ごみ焼却施設,小平市中島町2-1,35.729443,139.427826,JGD2011,7月9日,飛灰,Bq/kg,1005,1246,2251,
36,小平・村山・大和衛生組合,ごみ焼却施設,小平市中島町2-1,35.729443,139.427826,JGD2011,7月9日,焼却灰,Bq/kg,194,254,448,
36,小平・村山・大和衛生組合,ごみ焼却施設,小平市中島町2-1,35.729443,139.427826,JGD2011,7月9日,排ガス,Bq/m3,不検出,不検出,不検出,
36,小平・村山・大和衛生組合,ごみ焼却施設,小平市中島町2-1,35.729443,139.427826,JGD2011,7月9日,敷地境界,μSv/h,,,,0.09
37,西秋川衛生組合,高尾清掃センター,あきる野市高尾521,35.717209,139.239532,JGD2011,7月21日,飛灰固化物,Bq/kg,1050,1210,2260,
37,西秋川衛生組合,高尾清掃センター,あきる野市高尾521,35.717209,139.239532,JGD2011,7月21日,焼却灰,Bq/kg,197,258,455,
37,西秋川衛生組合,高尾清掃センター,あきる野市高尾521,35.717209,139.239532,JGD2011,7月21日,排ガス,Bq/m3,不検出,不検出,不検出,
37,西秋川衛生組合,高尾清掃センター,あきる野市高尾521,35.717209,139.239532,JGD2011,7月21日,敷地境界,μSv/h,,,,0.11
38,多摩ニュータウン環境組合,多摩清掃工場,多摩市唐木田2-1-1,35.612419,139.409958,JGD2011,7月8日,飛灰固化物,Bq/kg,1020,1150,2170,
38,多摩ニュータウン環境組合,多摩清掃工場,多摩市唐木田2-1-1,35.612419,139.409958,JGD2011,7月8日,焼却灰,Bq/kg,119,132,251,
38,多摩ニュータウン環境組合,多摩清掃工場,多摩市唐木田2-1-1,35.612419,139.409958,JGD2011,8月2日,排ガス,Bq/m3,不検出,不検出,不検出,
38,多摩ニュータウン環境組合,多摩清掃工場,多摩市唐木田2-1-1,35.612419,139.409958,JGD2011,8月2日,敷地境界,μSv/h,,,,0.1
39,大島町,大島町野増清掃工場,大島町野増字クヅアラ638-1,34.715286,139.357788,JGD2011,7月5日,飛灰,Bq/kg,378,475,853,
39,大島町,大島町野増清掃工場,大島町野増字クヅアラ638-1,34.715286,139.357788,JGD2011,7月5日,焼却灰,Bq/kg,132,150,282,
39,大島町,大島町野増清掃工場,大島町野増字クヅアラ638-1,34.715286,139.357788,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
39,大島町,大島町野増清掃工場,大島町野増字クヅアラ638-1,34.715286,139.357788,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
40,利島村,利島村清掃センター,利島村2320-1,34.529991,139.278015,JGD2011,7月11日,飛灰,Bq/kg,48,54,102,
40,利島村,利島村清掃センター,利島村2320-1,34.529991,139.278015,JGD2011,7月11日,焼却灰,Bq/kg,不検出,不検出,不検出,
40,利島村,利島村清掃センター,利島村2320-1,34.529991,139.278015,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
40,利島村,利島村清掃センター,利島村2320-1,34.529991,139.278015,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
41,新島村,新島村ごみ焼却場,新島村字檜山417,34.377769,139.253525,JGD2011,7月6日,飛灰,Bq/kg,10.8,14.4,25.2,
41,新島村,新島村ごみ焼却場,新島村字檜山417,34.377769,139.253525,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
41,新島村,新島村ごみ焼却場,新島村字檜山417,34.377769,139.253525,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
41,新島村,新島村ごみ焼却場,新島村字檜山417,34.377769,139.253525,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
42,新島村,式根島クリーンセンター,新島村式根島914,34.326527,139.213501,JGD2011,7月6日,飛灰,Bq/kg,105,146,251,
42,新島村,式根島クリーンセンター,新島村式根島914,34.326527,139.213501,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
42,新島村,式根島クリーンセンター,新島村式根島914,34.326527,139.213501,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
42,新島村,式根島クリーンセンター,新島村式根島914,34.326527,139.213501,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
43,神津島村,神津島村清掃センター,神津島村字鍛治山1,34.217190,139.140686,JGD2011,7月14日,飛灰,Bq/kg,170,180,350,
43,神津島村,神津島村清掃センター,神津島村字鍛治山1,34.217190,139.140686,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
43,神津島村,神津島村清掃センター,神津島村字鍛治山1,34.217190,139.140686,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
43,神津島村,神津島村清掃センター,神津島村字鍛治山1,34.217190,139.140686,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
44,三宅村,三宅村クリーンセンター,"三宅村伊ヶ谷103,105",34.090927,139.499588,JGD2011,7月27日,飛灰,Bq/kg,119,145,264,
44,三宅村,三宅村クリーンセンター,"三宅村伊ヶ谷103,105",34.090927,139.499588,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
44,三宅村,三宅村クリーンセンター,"三宅村伊ヶ谷103,105",34.090927,139.499588,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
44,三宅村,三宅村クリーンセンター,"三宅村伊ヶ谷103,105",34.090927,139.499588,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
45,御蔵島村,御蔵島村じん芥処理施設,御蔵島村字イナサ,33.864521,139.587952,JGD2011,7月19日,飛灰,Bq/kg,210,250,460,
