項目名,,毒性等価係数,新宿区西早稲田1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,練馬区関町北4／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,足立区神明1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,八王子市滝山町1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,武蔵野市関前4／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,小金井市桜町1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,日野市東平山3／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,東大和市高木2／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,日の出町大久野／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）
ＰＣＤＦｓ,"1,2,3,4,6,7,8-HpCDF",0.01,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.08,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＦｓ,"1,2,3,4,7,8,9-HpCDF",0.01,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.07,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＦｓ,OCDF,0.0003,0.24,0.07,ND,0.25,0.07,ND,0.25,0.07,ND,0.09,0.03,ND,0.25,0.07,ND,0.25,0.07,ND,0.24,0.07,ND,0.24,0.07,ND,0.24,0.07,ND
コプラナーＰＣＢｓ,"3,4,4',5-TeCB(#81)",0.0003,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.07,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
コプラナーＰＣＢｓ,"3,3',4,4'-TeCB(#77)",0.0001,0.13,0.04,0.38,0.14,0.04,0.86,0.13,0.04,0.48,0.06,0.02,0.13,0.13,0.04,(0.09),0.13,0.04,0.40,0.13,0.04,1.3,0.13,0.04,0.42,0.13,0.04,0.54
コプラナーＰＣＢｓ,"3,3',4,4',5-PeCB(#126)",0.1,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.07,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
コプラナーＰＣＢｓ,"3,3',4,4',5,5'-HxCB(#169)",0.03,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.07,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
コプラナーＰＣＢｓ,"2',3,4,4',5-PeCB(#123)",0.00003,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.04,0.01,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
コプラナーＰＣＢｓ,"2,3',4,4',5-PeCB(#118)",0.00003,0.13,0.04,1.2,0.14,0.04,2.3,0.13,0.04,4.0,0.09,0.03,0.38,0.13,0.04,0.16,0.13,0.04,1.3,0.13,0.04,2.0,0.13,0.04,1.4,0.13,0.04,1.9
コプラナーＰＣＢｓ,"2,3,3',4,4'-PeCB(#105)",0.00003,0.13,0.04,0.61,0.14,0.04,1.1,0.13,0.04,2.0,0.09,0.03,0.24,0.13,0.04,0.14,0.13,0.04,0.67,0.13,0.04,1.0,0.13,0.04,0.70,0.13,0.04,0.95
コプラナーＰＣＢｓ,"2,3,4,4',5-PeCB(#114)",0.00003,0.13,0.04,ND,0.14,0.04,(0.11),0.13,0.04,(0.11),0.06,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,(0.11),0.13,0.04,ND,0.13,0.04,ND
コプラナーＰＣＢｓ,"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.13,0.04,ND,0.14,0.04,(0.05),0.13,0.04,(0.12),0.05,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,0.42,0.13,0.04,ND
コプラナーＰＣＢｓ,"2,3,3',4,4',5-HxCB(#156)",0.00003,0.13,0.04,ND,0.14,0.04,(0.09),0.13,0.04,0.30,0.04,0.01,0.05,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,(0.09),0.13,0.04,(0.11),0.13,0.04,ND
コプラナーＰＣＢｓ,"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.07,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,0.16,0.13,0.04,ND
コプラナーＰＣＢｓ,"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.13,0.04,ND,0.14,0.04,ND,0.13,0.04,ND,0.04,0.01,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
TeCDDs ,,,―,―,(0.05),―,―,0.09,―,―,0.13,―,―,0.15,―,―,ND,―,―,(0.07),―,―,(0.07),―,―,0.09,―,―,(0.07)
PeCDDs ,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
HxCDDs ,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
HpCDDs,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
OCDD,,,―,―,ND,―,―,(0.20),―,―,0.56,―,―,0.22,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
Total（PCDDs）,,,―,―,0.05,―,―,0.29,―,―,0.69,―,―,0.37,―,―,ND,―,―,0.07,―,―,0.07,―,―,0.09,―,―,0.07
TeCDFs,,,―,―,ND,―,―,ND,―,―,0.17,―,―,0.02,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
PeCDFs,,,―,―,ND,―,―,ND,―,―,0.06,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,0.27,―,―,ND
HxCDFs,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
HpCDFs,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
OCDF,,,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND,―,―,ND
Total（PCDFs）,,,―,―,ND,―,―,ND,―,―,0.23,―,―,0.02,―,―,ND,―,―,ND,―,―,ND,―,―,0.27,―,―,ND
Total (PCDDs+PCDFs),,,―,―,0.05,―,―,0.29,―,―,0.92,―,―,0.39,―,―,ND,―,―,0.07,―,―,0.07,―,―,0.36,―,―,0.07
Total Co-PCBs,,,―,―,2.19,―,―,4.51,―,―,7.01,―,―,0.80,―,―,0.39,―,―,2.37,―,―,4.50,―,―,3.21,―,―,3.39
TEQ Total(PCDDs+PCDFs),,単位：pg-TEQ/L,,,0.039,,,0.039,,,0.039,,,0.020,,,0.039,,,0.039,,,0.039,,,0.039,,,0.039
TEQ Total Co-PCB,,単位：pg-TEQ/L,,,0.0027,,,0.0028,,,0.0029,,,0.0013,,,0.0026,,,0.0027,,,0.0028,,,0.0027,,,0.0027
TEQ Total(PCDDs+PCDFs+Co-PCB),,単位：pg-TEQ/L,,,0.042,,,0.042,,,0.042,,,0.021,,,0.042,,,0.042,,,0.042,,,0.042,,,0.042
*：毒性等量は、実測濃度が定量下限未満検出下限以上の数値はそのままの値を用い、　検出下限未満の数値は試料における検出下限の1/2の値を用いて算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
