No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),"VOC量
（塗料）(g/m2)","VOC量
（シンナー）(g/m2)",VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温 [℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度 [RH%],参考資料
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,素地調整,,,,,,,,,,,,,,A',A',1.5,1.5,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,A',A',1.5,1.5,A,0以下,50以下,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,2次素地調整,,,,,,,,-,6ヶ月,,,,,A',A',1.5,1.5,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,防食下地,無機ジンクリッチペイント,600,75,シンナー,10,1,エアレススプレー,-,4h,140,60,,,A',A',1.5,1.5,A,0以下,50以下,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,ミストコート,水性エポキシ樹脂塗料下塗,160,-,水道水,30～40,1,エアレススプレー,1,10,7,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,下塗,水性エポキシ樹脂塗料下塗,200,40,水道水,5～15,1,エアレススプレー,1,10,9,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,下塗,水性エポキシ樹脂塗料下塗,200,40,水道水,5～15,1,エアレススプレー,1,10,9,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,下塗,水性エポキシ樹脂塗料下塗,200,40,水道水,5～15,1,エアレススプレー,1,10,9,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,中塗,水性ふっ素樹脂塗料用中塗,170,30,水道水,5～20,1,エアレススプレー,1,10,8,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,上塗,水性ふっ素樹脂塗料上塗,140,25,水道水,2～10,1,エアレススプレー,1,10,7,0,,,A',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,素地調整／プライマー／2次素地調整／防食下地／ミストコート／下塗／中塗／上塗,,,,,,,,,,63,16,79,-91,A',A',2,1,B,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,素地調整,,,,,,,,,,,,,,A',A',2,1,,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,A',A',2,1,A,0以下,50以下,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,2次素地調整,,,,,,,,-,6ヶ月,,,,,A',A',2,1,,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,防食下地,水性無機ジンクリッチペイント,600～800,75,水道水,5,1,エアレススプレー,-,4h,*,0,,,A',A',2,1,B,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,ミストコート,水性厚膜形エポキシ樹脂塗料,160,-,水道水,50～80,1,エアレススプレー,1～2,10,*,0,,,A',A',2,1,B,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,下塗,水性厚膜形エポキシ樹脂塗料,540～600,120,水道水,10,1,エアレススプレー,1～2,10,*,0,,,A',A',2,1,B,,,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,中塗,水性ふっ素樹脂塗料用中塗,170,30,水道水,5～20,1,エアレススプレー,1,10,8,0,,,A',A',2,1,B,5以下,85以上,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
4.1.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（外面）,上塗,水性ふっ素樹脂塗料上塗,140,25,水道水,2～10,1,エアレススプレー,1,10,7,0,,,A',A',2,1,B,5以下,85以上,水性無機ジンクリッチペイントは、塗装時に膜厚や施工環境（気温や湿度）のより厳密な管理が求められること、また、エアレス塗装機の内部に詰まりやすいことなど、施工性の面で多くの課題があり、現状での実用化は困難と判断しました。水性無機ジンクリッチペイント、水性厚膜形エポキシ樹脂塗料は将来技術であるため、VOC量は未定（計算上は0とした。）
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,素地調整／プライマー／2次素地調整／第1層／第2層,,,,,,,,,,386,180,566,(-),B',－,1,1,A,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,素地調整,,,,,,,,,,,,,,B',－,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,B',－,1,1,A,0以下,50以下,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,2次素地調整,,,,,,,,-,6ヶ月,,,,,B',－,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,第1層,変性エポキシ樹脂塗料内面用,410,120,シンナー,20,1,エアレススプレー,-,4h,169,82,,,B',－,1,1,A,10以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,D-5塗装系,第2層,変性エポキシ樹脂塗料内面用,410,120,シンナー,20,1,エアレススプレー,1,10,169,82,,,B',－,1,1,A,10以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,素地調整／プライマー／2次素地調整／第1層／第2層,,,,,,,,,,48,16,64,-89,B',－,1.5,1.5,C,,,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,素地調整,,,,,,,,,,,,,,B',－,1.5,1.5,,,,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,B',－,1.5,1.5,A,0以下,50以下,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,2次素地調整,,,,,,,,-,6ヶ月,,,,,B',－,1.5,1.5,,,,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,第1層,無溶剤形変性エポキシ樹脂塗料,300,120,－,0,1,エアレススプレー,-,4h,0,0,,,B',－,1.5,1.5,C,10以下、30以上,85以上,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.1,構造物,新設,橋梁（鋼材）,低VOC塗装（内面）,第2層,無溶剤形変性エポキシ樹脂塗料,300,120,－,0,1,エアレススプレー,1,10,0,0,,,B',－,1.5,1.5,C,10以下、30以上,85以上,「環境にやさしい塗料に関する試験－有機溶剤を削減した塗装仕様の耐久性および施工性試験－」  守屋  進
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,素地調整／プライマー／2次素地調整／第1層／第2層,,,,,,,,,,48,16,64,-89,B',－,2,1,B,,,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,素地調整,,,,,,,,,,,,,,B',－,2,1,,,,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,B',－,2,1,A,0以下,50以下,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,2次素地調整,,,,,,,,-,6ヶ月,,,,,B',－,2,1,,,,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,第1層,水性厚膜形エポキシ樹脂塗料,540～600,120,水道水,10,1,エアレススプレー,-,4h,*,0,,,B',－,2,1,B,,,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
4.2.2,構造物,新設,橋梁（鋼材）,超低VOC塗装（内面）,第2層,水性厚膜形エポキシ樹脂塗料,540～600,120,水道水,10,1,エアレススプレー,1,10,*,0,,,B',－,2,1,B,,,*将来技術であるためVOC量は未定（計算上は0とした。）／内面塗装では湿気がこもりやすく、狭あい部などでは水性塗料は乾燥しにくいことが予想されます。また，4.1.1塗装系に記したとおり、水性塗料の厚塗りは困難であり、現状では本塗装系は将来技術であると考えます。
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,素地調整／下塗／中塗／上塗,,,,,,,,,,403,218,621,(-),B,A,1,1,A,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,素地調整,1種,,,,,,,,,,,,,B,A,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,下塗,有機ジンクリッチペイント,600,－,シンナー,10,1,エアレススプレー,-,4h,120,60,,,B,A,1,1,A,10以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,下塗,弱溶剤形変性エポキシ樹脂塗料下塗,240,－,シンナー,20,1,エアレススプレー,1,10,89,48,,,B,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,下塗,弱溶剤形変性エポキシ樹脂塗料下塗,240,－,シンナー,20,1,エアレススプレー,1,10,89,48,,,B,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,中塗,弱溶剤形ふっ素樹脂塗料用中塗,170,－,シンナー,20,1,エアレススプレー,1,10,47,34,,,B,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅰ塗装系,上塗,弱溶剤形ふっ素樹脂塗料上塗,140,－,シンナー,20,1,エアレススプレー,1,10,57,28,,,B,A,1,1,A,0以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,素地調整／下塗／中塗／上塗,,,,,,,,,,57,0,57,-91,B',A',1.5,1.5,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,素地調整,1種,,,,,,,,,,,,,B',A',1.5,1.5,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,下塗,水性有機ジンクリッチペイント,300,－,水道水,5～10,1,エアレススプレー,-,4h,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,下塗,水性有機ジンクリッチペイント,300,－,水道水,5～10,1,エアレススプレー,1,10,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,下塗,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,下塗,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
