事業所名,受付番号,事業機関,事業名称,事業地住所,緯度,経度,座標系,対象事業,実施状況,詳細
わらべや日洋株式会社,247,民間,わらべや日洋株式会社（仮称）新村山工場建設事業,武蔵村山市榎一丁目１番３号,35.746552,139.385162,JGD2011,工場(工場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/247dtl.html
稲城市,76,－,是政橋及び関連道路建設事業,稲城市大丸８号地内～府中市是政５丁目地内,35.644585,139.477737,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/76dtl.html
羽村市,153,－,福生都市計画事業羽村駅西口土地区画整理事業（旧称：羽村駅西口土地区画整理事業）,羽村市羽東１、２、３丁目　川崎１、４丁目　羽中１、２丁目の各一部,35.759541,139.313400,JGD2011,土地区画整理事業,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/153dtl.html
永田町二丁目地区開発協議会,136,－,(仮称)山王共同ビル建設事業,千代田区永田町２丁目１１番、港区赤坂２丁目１番,35.673264,139.740585,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/136dtl.html
横河電機株式会社,101,－,横河電機株式会社小峰工場建設事業,あきる野市小峰台１番地,35.720581,139.232635,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/101dtl.html
学校法人　明星学苑,3,－,明星大学青梅キャンパス建設事業,青梅市長淵２丁目５９０番地ほか,35.770321,139.265961,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/3dtl.html
学校法人駒沢学園,26,その他,駒沢学園移転事業,稲城市大字坂浜字３号２３８番地外,35.624405,139.487991,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/26dtl.html
学校法人日本電子工学院,7,その他,東京工科大学建設事業,八王子市片倉町１４０４番地－１外,35.626556,139.341415,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/7dtl.html
株式会社　村尾組,258,民間,株式会社　村尾組　五日市工場採石拡張事業,あきる野市戸倉字盆堀日影清水及び字盆堀谷千ケ沢,35.713619,139.190186,JGD2011,土石の採取,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/258dtl.html
株式会社　島忠,232,民間,ホームズ葛西店建設事業,江戸川区東葛西9-3253-1外,35.654400,139.883942,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/232dtl.html
株式会社アーバンコーポレイション,192,公団,東雲地区開発事業,江東区東雲1-9-31,35.646549,139.802368,JGD2011,高層建築物の新築、自動車駐車場の設置、住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/192dtl.html
株式会社アルベログランデ,320,－,（仮称）竹芝地区開発計画,港区海岸一丁目,35.655380,139.761673,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/320dtl.html
株式会社イトーヨーカドー,331,－,（仮称）府中朝日町ＳＣ計画,府中市朝日町三丁目8番1号他,35.671776,139.522400,JGD2011,駐車場（自動車駐車場の設置）,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/331dtl.html
株式会社イトーヨーカ堂,236,民間,イトーヨーカドー新亀有店ショッピングセンター建築事業,葛飾区亀有3丁目、足立区中川1丁目,35.765186,139.850311,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/236dtl.html
株式会社イトーヨーカ堂,246,民間,日清紡東京工場跡地イトーヨーカドｰＳＣ建築事業,足立区西新井栄町一丁目１８番、１９番、２０番,35.773991,139.788361,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/246dtl.html
株式会社いなげや,314,－,（仮称）武蔵村山センター新精肉棟新築工事　※H27.11変更届により対象外,武蔵村山市伊奈平二丁目82番地の1,35.737778,139.378494,JGD2011,工場(工場の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/314dtl.html
株式会社フジテレビジョン,98,－,(仮称)東京ユーロポートホテル建設事業及び(仮称)ＦＣＧビル建設事業,港区台場２丁目,35.627220,139.775909,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/98dtl.html
株式会社ペニンシュラ東京,313,－,（仮称）ザ・ペニンシュラ東京ヘリポート整備事業,千代田区有楽町一丁目8番1号,35.674698,139.760437,JGD2011,飛行場(飛行場の設置),調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/313dtl.html
株式会社ホテルオークラ,312,民間,（仮称）虎ノ門２－１０計画建設事業,港区虎ノ門２－１０－４,35.667309,139.744186,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/312dtl.html
株式会社ミユキ組,71,民間,五日市町戸倉の採石事業,西多摩郡あきる野市戸倉字刈寄谷、字盆堀谷、字盆掘谷千ヶ沢、字盆堀谷日影清水,35.761349,139.336609,JGD2011,土石(土石の採取),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/71dtl.html
株式会社ゆりかもめ,174,－,都市高速鉄道東京臨海新交通臨海線（有明～豊洲間）建設事業,江東区有明２丁目（有明駅〈既設〉）～豊洲２丁目（豊洲駅）,35.636322,139.789978,JGD2011,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/174dtl.html
株式会社ロッテ,173,－,（仮称）ロッテワールド東京計画,江戸川区臨海町2-4,35.649467,139.858627,JGD2011,高層建築物の新築、駐車場(自動車駐車場の設置),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/173dtl.html
株式会社京葉興業,356,－,（仮称）新砂総合資源循環センター建設事業,江東区新新砂町三丁目11番7号,35.658813,139.837097,JGD2011,廃棄物処理施設の設置又は変更,評価書案,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/356dtl.html
株式会社昭和石材工業所,151,－,株式会社昭和石材工業所古里鉱業所採掘区域拡張事業,西多摩郡奥多摩町小丹波字曲尾７５４－１外,35.818459,139.148499,JGD2011,土石(鉱物の掘採),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/151dtl.html
株式会社世界貿易センタービルディング,301,－,浜松町駅西口周辺開発計画,東京都港区浜松町二丁目,35.654861,139.755981,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/301dtl.html
株式会社西武プロパティーズ,281,－,紀尾井町南地区開発事業,千代田区紀尾井町１番地の一部,35.679920,139.737183,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/281dtl.html
株式会社西友,248,民間,（仮称）西友府中店建築事業,府中市四谷五丁目23-12他,35.668419,139.438004,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/248dtl.html
株式会社村尾組,102,－,株式会社村尾組成木工場採石拡張事業,青梅市成木６丁目１－１,35.835892,139.226212,JGD2011,土石(土石の採取),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/102dtl.html
株式会社村尾組,297,－,株式会社村尾組　成木工場採石拡張事業,東京都青梅市成木６丁目１－１,35.835892,139.226212,JGD2011,土石採取,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/297dtl.html
株式会社大博建設,180,－,株式会社大博建設採石場拡張事業,八王子市小津町,35.685524,139.219101,JGD2011,土石の採取,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/180dtl.html
株式会社読売新聞社,87,－,読売府中別館建設事業,府中市南町４丁目４０番３３号,35.657082,139.461365,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/87dtl.html
株式会社奈良機械製作所,18,民間,奈良機械製作所工場建設事業,大田区城南島１丁目先(大井埠頭その２),35.577702,139.770279,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/18dtl.html
株式会社日本経済新聞社,36,民間,日本経済新聞社東雲別館(仮称)建設事業,江東区東雲１丁目１４番地,35.648418,139.801819,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/36dtl.html
株式会社立飛ホールディングス,304,民間,（仮称）立川立飛商業施設計画,立川市泉町９３５番地１他,35.714058,139.411499,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/304dtl.html
㈱ジョイフル本田,227,民間,ジョイフル本田グローバルホームセンター瑞穂建設事業,西多摩郡瑞穂町大字殿ヶ谷422番地外,35.756668,139.356812,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/227dtl.html
丸紅株式会社,192,公団,東雲地区開発事業,江東区東雲1-9-31,35.646549,139.802368,JGD2011,高層建築物の新築、自動車駐車場の設置、住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/192dtl.html
京王電鉄㈱,204,共同,京王電鉄京王線（柴崎駅～西調布駅間）及び同相模原線（調布駅～京王多摩川駅間）連続立体交差事業,調布市西つつじヶ丘三丁目～上石原二丁目ほか,35.657497,139.571869,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/204dtl.html
京成電鉄株式会社,72,－,京成電鉄押上線荒川橋梁架替事業,墨田区八広５丁目地先～葛飾区東四つ木４丁目地先,35.724850,139.825851,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/72dtl.html
京成電鉄株式会社,285,－,一級河川荒川水系荒川改修事業に伴う京成本線荒川橋梁及び綾瀬川橋梁架替工事,足立区千住曙町～葛飾区堀切四丁目,35.741829,139.814011,JGD2011,鉄道等(鉄道の改良),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/285dtl.html
京浜急行電鉄株式会社,32,民間,京浜急行空港線延伸事業,大田区羽田４丁目(穴守稲荷駅)～大田区羽田空港２丁目(羽田空港駅),35.549961,139.746613,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/32dtl.html
京浜急行電鉄株式会社,86,－,京浜急行空港線延伸事業(第２期),大田区羽田空港２丁目(羽田駅)～羽田空港３丁目(羽田空港駅),35.551201,139.764709,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/86dtl.html
京浜急行電鉄株式会社,339,－,京浜急行電鉄湘南線（泉岳寺駅～新馬場駅間）連続立体交差事業,,,,,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/339dtl.html
協同乳業株式会社,61,－,協同乳業株式会社新東京工場(仮称)建設事業,西多摩郡日の出町大字平井字三吉野欠上,35.741478,139.279709,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/61dtl.html
興和不動産株式会社,126,－,興和品川駅東口地区開発事業,港区港南１０番１３９、１４０　品川区北品川１丁目１８４,35.634003,139.745224,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/126dtl.html
興和不動産株式会社,192,公団,東雲地区開発事業,江東区東雲1-9-31,35.646549,139.802368,JGD2011,高層建築物の新築、自動車駐車場の設置、住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/192dtl.html
建設省関東地方建設局,154,－,一般国道１６号(昭島市拝島町～福生市熊川間)拡幅事業,昭島市拝島町～福生市熊川,35.706291,139.345657,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/154dtl.html
建設省関東地方建設局,198,その他,一般国道１６号横浜町田立体建設事業,町田市鶴間字6号ほか,35.502251,139.470871,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/198dtl.html
建設省建設大臣官房官庁営繕部,199,民間,中央合同庁舎第2号館ヘリポート設置事業,千代田区霞ヶ関二丁目１番地２号,35.676193,139.751129,JGD2011,飛行場の設置,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/199dtl.html
虎ノ門・麻布台地区市街地再開発準備組合,338,－,虎ノ門・麻布台地区第一種市街地再開発事業,港区虎ノ門五丁目及び麻布台一丁目内,35.662525,139.743378,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/338dtl.html
虎ノ門一・二丁目地区市街地再開発準備組合,344,－,（仮称）虎ノ門一・二丁目地区第一種市街地再開発事業,港区虎ノ門一丁目・二丁目内,35.668358,139.749664,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/344dtl.html
虎ノ門一丁目地区市街地再開発準備組合,324,－,虎ノ門一丁目地区市街地再開発事業,"港区虎ノ門一丁目17,18,19,20番地",35.668251,139.749573,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/324dtl.html
公益財団法人大倉文化財団,312,民間,（仮称）虎ノ門２－１０計画建設事業,港区虎ノ門２－１０－４,35.667309,139.744186,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/312dtl.html
港湾局港湾整備部計画課,274,都,（仮称）東京港臨港道路南北線建設計画,10号地その１埋立地及びその２埋立地,35.625862,139.790527,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/274dtl.html
荒川区,145,－,南千住北部地区住宅街区（Ｅ街区）建設事業及び都市計画道路補助線街路第３２１号線建設事業,住宅:荒川区南千住４丁目　道路:南千住３丁目～８丁目,35.734295,139.802734,JGD2011,住宅団地の新設、高層建築物の新設、道路(道路の新設又は改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/145dtl.html
国際興業株式会社(H61.10より),33,民間,八王子ゆりのき台開発事業（旧称　八王子館町住宅団地(仮称)開発事業）,八王子市館町１８６２番地、寺田町８６９番地ほか,35.624844,139.288208,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/33dtl.html
国土交通省,5,国,東京国際空港沖合展開事業,大田区羽田空港１、２丁目、羽田沖廃棄物処理場,35.554813,139.756943,JGD2011,飛行場（飛行場の設置）、駐車場（自動車駐車場の設置）、道路（道路の新設）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/5dtl.html
国土交通省,37,国,首都圏中央連絡道路(一般国道２０号～埼玉県境間)建設事業,八王子市南浅川町～青梅市今井５丁目,35.618759,139.249252,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/37dtl.html
国土交通省,97,－,東京港臨海道路建設事業,大田区城南島２丁目～江東区若洲,35.580658,139.776810,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/97dtl.html
国土交通省,139,－,首都圏中央連絡道路(神奈川県境～一般国道２０号間)建設事業,八王子市南浅川町(神奈川県境)～八王子市南浅川町(一般国道２０号付近),35.618759,139.249252,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/139dtl.html
国土交通省,140,－,八王子都市計画道路３・３・２号線（八王子市北野町～南浅川町）建設事業,八王子市北野町(国道16号八王子バイパス)～南浅川町(国道20号),35.650139,139.354721,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/140dtl.html
国土交通省,278,－,東京港 国際海上コンテナターミナル整備事業,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/278dtl.html
国土交通省,307,－,東京港　国際海上コンテナターミナル整備事業（Ｙ３）,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/307dtl.html
国土交通省 関東地方整備局　東京都（港湾局）,97,－,東京港臨海道路建設事業,大田区城南島２丁目～江東区若洲,35.580658,139.776810,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/97dtl.html
国土交通省 関東地方整備局及び中日本高速道路㈱東京支社,139,－,首都圏中央連絡道路(神奈川県境～一般国道２０号間)建設事業,八王子市南浅川町(神奈川県境)～八王子市南浅川町(一般国道２０号付近),35.618759,139.249252,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/139dtl.html
国土交通省関東地方整備局,37,国,首都圏中央連絡道路(一般国道２０号～埼玉県境間)建設事業,八王子市南浅川町～青梅市今井５丁目,35.618759,139.249252,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/37dtl.html
国土交通省関東地方整備局,278,－,東京港 国際海上コンテナターミナル整備事業,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/278dtl.html
国土交通省関東地方整備局,307,－,東京港　国際海上コンテナターミナル整備事業（Ｙ３）,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/307dtl.html
国分寺市,163,－,「西国分寺地区」住宅建設事業　※h14.7対象外,国分寺市泉町２丁目地内,35.697849,139.470169,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/163dtl.html
今井土地区画整理組合設立準備会,362,－,（仮称）今井土地区画整理事業,青梅市今井二丁目の一部、四丁目の一部,35.805725,139.312744,JGD2011,土地区画整理事業,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/362dtl.html
財務省関東財務局,277,国,（仮称）立川基地跡地昭島地区土地区画整理事業,昭島市福島町、築地町、中神町及び立川市泉町、上砂町,35.698105,139.382065,JGD2011,土地区画整理事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/277dtl.html
埼玉高速鉄道株式会社,122,－,都市高速鉄道第７号線赤羽岩淵～浦和大門間(都内部分)建設事業,北区岩淵町、赤羽１、３丁目,35.785446,139.723343,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/122dtl.html
三井不動産レジデンシャル株式会社,289,－,豊洲３－２街区（Ｂ２・Ｂ３街区）開発計画,江東区豊洲六丁目,35.646683,139.786087,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/289dtl.html
三井不動産レジデンシャル株式会社,291,－,（仮称）港区芝浦一丁目計画,港区芝浦一丁目６番地,35.647343,139.755280,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/291dtl.html
三井不動産株式会社,24,共同,大川端・リバーシティ２１開発事業,中央区佃２丁目１番地ほか,35.669704,139.785416,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/24dtl.html
三井不動産株式会社,47,その他,聖路加国際病院建設事業,中央区明石町８－１０番地,35.666767,139.778534,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/47dtl.html
三井不動産株式会社,183,－,(仮称)汐留Ａ街区、Ｂ街区、Ｃ街区開発事業,港区東新橋１－５,35.665634,139.761398,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/183dtl.html
三井不動産株式会社,184,－,東京ツインパークス建設事業　※h14.9対象外　（旧称：(仮称）汐留D南街区開発事業）,港区東新橋１－５－４９,35.665634,139.761398,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/184dtl.html
三井不動産株式会社,188,民間,(仮称)日本橋室町二丁目ビル建設事業　※h14.7対象外,中央区日本橋室町二丁目一番地１他,35.686695,139.773026,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/188dtl.html
三井不動産株式会社,234,民間,（仮称）赤坂九丁目地区開発事業,港区赤坂九丁目,35.666782,139.730545,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/234dtl.html
三井不動産株式会社,240,民間,豊洲二丁目６街区・４街区（一部）商業施設建設事業,江東区豊洲二丁目,35.655270,139.792770,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/240dtl.html
三井不動産株式会社,266,その他,（仮称）臨海副都心青海地区北側Ｑ街区開発事業,東京都江東区青海一丁目1番1、2、3、4、5、11及び14,35.623260,139.773773,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/266dtl.html
三井不動産株式会社,302,－,（仮称）有楽町一丁目計画建設事業,千代田区有楽町一丁目１番２号ほか,35.674088,139.759552,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/302dtl.html
三井不動産株式会社,310,民間,（仮称）ＴＧＭＭ芝浦プロジェクト,港区芝浦３－１１ほか,35.642895,139.749969,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/310dtl.html
三井不動産株式会社,315,－,大手町一丁目２地区開発事業,千代田区大手町一丁目2番,35.687737,139.762650,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/315dtl.html
三井不動産株式会社,357,－,（仮称）神宮外苑地区市街地再開発事業,港区北青山一丁目、北青山二丁目、新宿区霞ヶ丘町,35.675377,139.720947,JGD2011,高層建築物の新築、駐車場（自動車駐車場の設置）,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/357dtl.html
