,地点番号,調査地点,,平成25年度(TEQ)／水質  (pg/L)／４月,平成25年度(TEQ)／水質  (pg/L)／７月,"平成25年度(TEQ)／水質  (pg/L)／10,11月",平成25年度(TEQ)／水質  (pg/L)／1月,平成25年度(TEQ)／水質  (pg/L)／年度平均,平成25年度(TEQ)／底質 (pg/g),平成24年度(TEQ)／水質  (pg/L)／４月,平成24年度(TEQ)／水質  (pg/L)／７月,平成24年度(TEQ)／水質  (pg/L)／10月,平成24年度(TEQ)／水質  (pg/L)／1月,平成24年度(TEQ)／水質  (pg/L)／年度平均,平成24年度(TEQ)／底質 (pg/g)
河川,32,野川,天神森橋,0.077,-,0.072,-,0.075,0.44,-,-,-,-,-,-
河川,33,恩田川,都橋,0.066,-,0.064,-,0.065,1.3,-,-,-,-,-,-
河川,34,境川,鶴間一号橋,0.076,-,0.064,-,0.07,0.83,-,-,-,-,-,-
河川,35,黒沢川,落合橋,0.067,-,0.33,-,0.2,0.5,-,-,-,-,-,-
河川,36,空堀川,梅坂橋,0.067,-,0.063,-,0.065,0.52,-,-,-,-,-,-
河川,37,黒目川,神宝大橋,0.12,-,0.066,-,0.093,1,-,-,-,-,-,-
河川,－,多摩川,和田橋,-,-,-,-,-,-,0.068,-,0.062,-,0.065,0.21
河川,-,秋川,東秋川橋,-,-,-,-,-,-,-,-,0.063,-,0.063,0.27
河川,-,養沢川,新橋,-,-,-,-,-,-,-,-,0.063,-,0.063,0.59
河川,-,残堀川,立川橋,-,-,-,-,-,-,0.17,-,0.22,-,0.2,2.4
河川,-,城山川,五反田橋,-,-,-,-,-,-,0.13,-,0.08,-,0.11,1.9
河川,-,川口川,川口川橋,-,-,-,-,-,-,0.083,-,0.076,-,0.08,1
河川,-,程久保川,玉川橋,-,-,-,-,-,-,0.33,-,0.085,-,0.21,1.8
河川,-,三沢川,天神橋,-,-,-,-,-,-,0.31,-,0.091,-,0.2,0.31
河川,-,仙川,鎌田橋,-,-,-,-,-,-,0.081,-,0.082,-,0.082,0.97
河川,-,鶴見川,麻生橋,-,-,-,-,-,-,0.11,-,0.098,-,0.1,0.65
河川,-,成木川,両郡橋,-,-,-,-,-,-,-,-,0.066,-,0.066,0.5
河川,-,霞川,金子橋,-,-,-,-,-,-,0.079,-,0.17,-,0.12,1.8
河川,-,柳瀬川,清柳橋,-,-,-,-,-,-,0.074,-,0.069,-,0.072,0.52
湖沼,-,小河内ﾀﾞﾑ,ﾀﾞﾑ前定点,-,-,-,-,-,-,0.064,-,0.063,-,0.064,4.8
海域,(1),St.５,船の科学館前,0.076,-,0.075,-,0.076,13,0.1,-,0.089,-,0.095,12
海域,(2),St.６,中央防波堤内側,0.068,-,0.12,-,0.094,22,0.088,-,0.076,-,0.082,19
海域,(3),St.８,荒川河口付近,0.21,-,0.2,-,0.21,17,0.18,-,0.47,-,0.33,16
海域,(4),St.２２,浦安沖,0.066,-,0.066,-,0.066,32,0.081,-,0.065,-,0.073,30
海域,(5),St.２３,京浜島東,0.18,-,0.069,-,0.12,4.8,0.096,-,0.08,-,0.088,8.1
海域,(6),St.２５,東京灯標際,0.089,-,0.077,-,0.083,16,0.2,-,0.094,-,0.15,17
海域,(7),St.３２,多摩川河口,0.094,-,0.075,-,0.085,8.6,0.089,-,0.083,-,0.086,8.6
海域,(8),St.３５,多摩川河口沖,0.067,-,0.067,-,0.067,34,0.099,-,0.064,-,0.082,27
注）単位のpg/gは、乾燥重量あたりの換算濃度です。,,,,,,,,,,,,,,,
