項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,3.4,3.6,5.8,6.7,5.2,2.1,5.6,0.86,0.92,1.9,1.9,1.2,1.5,0.62,(0.16),2.2,2.4,0.62,1.8,0.47,1.4,0.70,0.74,(0.10),1.5,ND,ND,1.6,0.38,ND,ND,ND,ND,0.42,(0.12),(0.14),0.25,0.33,0.34,ND,(0.13),ND,ND,(0.09),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,1.9,3.3,12,13,8.7,2.4,8.8,1.8,2.0,1.5,1.5,0.83,3.2,0.98,(0.14),5.6,6.6,0.73,4.4,0.64,4.5,1.5,1.3,(0.15),0.45,ND,ND,1.3,0.33,ND,ND,ND,ND,0.78,(0.11),0.22,0.39,0.72,0.74,(0.12),0.31,ND,0.25,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,3.7,6.5,23,25,18,4.9,17,3.6,4.0,3.0,3.0,1.7,5.6,1.9,0.33,10,12,1.5,8.4,1.3,8.1,3.1,2.8,0.39,1.1,ND,ND,2.8,0.86,ND,ND,ND,ND,1.5,0.24,0.39,0.74,1.3,1.4,0.24,0.61,ND,0.50,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,14,41,190,230,130,36,840,26,29,18,21,9.0,57,11,1.8,50,64,9.3,51,8.0,48,13,13,1.2,1.4,(0.3),(0.3),10,2.6,(0.3),ND,(0.3),(0.4),11,1.2,2.4,3.7,14,14,0.9,5.0,0.7,4.2,0.6,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,30,69,280,330,200,56,890,38,43,55,36,17,73,19,4.3,70,88,15,72,13,63,20,19,3,11,0.62,0.58,19,13,0.49,0.08,0.39,0.52,13,2.2,3.6,6.3,19,19,2.2,7.1,1,7.1,1,0.17
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.04),(0.06),0.13,0.16,0.10,(0.05),0.40,0.14,0.12,0.14,(0.07),(0.04),0.11,(0.05),ND,0.20,0.23,(0.05),0.20,(0.04),0.14,(0.08),(0.08),ND,(0.04),0.14,0.15,0.15,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,(0.03),(0.04),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,(0.05),(0.06),0.29,0.31,(0.07),(0.05),0.26,0.18,0.19,(0.09),(0.08),(0.06),0.14,(0.09),(0.06),0.23,0.30,0.10,0.21,0.18,0.17,0.14,0.14,(0.04),0.30,(0.06),(0.07),0.12,0.42,ND,ND,ND,ND,ND,ND,ND,ND,(0.03),ND,ND,(0.05),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.06),(0.07),0.11,0.15,(0.07),(0.04),0.36,0.12,0.14,0.11,(0.07),(0.03),0.11,(0.05),ND,0.18,0.23,(0.05),0.16,(0.05),(0.09),(0.09),(0.08),ND,ND,0.13,0.15,0.19,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.05),(0.04),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,1.4,1.8,4.5,4.8,2.9,1.2,5.3,1.9,2.2,2.6,1.6,0.90,1.9,1.3,0.32,3.1,3.3,0.87,2.9,1.0,2.1,1.6,1.6,0.53,4.2,3.2,3.3,4.1,3.9,ND,ND,ND,ND,ND,ND,0.17,ND,0.75,0.63,ND,0.25,ND,(0.09),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.14,0.11,0.19,0.18,0.14,(0.08),0.41,0.10,0.11,0.15,0.11,(0.03),0.13,(0.07),ND,0.16,0.17,(0.05),0.18,(0.05),0.13,(0.07),(0.03),(0.03),(0.06),(0.04),(0.04),0.12,(0.04),ND,ND,ND,ND,(0.04),ND,ND,ND,(0.03),(0.04),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.13,0.11,0.16,0.18,0.13,(0.06),0.32,(0.04),(0.05),(0.10),(0.09),(0.04),0.10,(0.05),ND,0.11,0.10,(0.04),(0.10),ND,(0.09),(0.04),(0.04),ND,(0.04),(0.03),(0.04),0.16,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,1.5,1.7,3.2,3.7,2.3,1.2,4.5,1.3,1.4,1.9,1.6,1.1,1.7,0.99,0.59,1.8,2.1,1.4,2.0,0.70,1.5,1.0,0.86,0.62,1.1,0.35,0.43,3.2,1.3,ND,ND,ND,ND,0.16,ND,ND,0.15,0.41,0.41,(0.05),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.15),0.20,0.35,0.42,0.25,(0.11),0.67,(0.15),(0.18),(0.18),(0.17),(0.08),(0.18),(0.13),ND,0.25,0.30,(0.07),0.26,(0.07),(0.19),(0.07),(0.08),(0.06),(0.07),ND,ND,0.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.19),(0.18),0.29,0.38,0.30,(0.12),0.39,(0.11),(0.09),(0.15),(0.15),(0.09),(0.14),(0.07),ND,(0.13),(0.12),ND,(0.16),ND,(0.14),(0.09),(0.08),ND,ND,ND,ND,0.23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.24,0.25,0.33,0.41,0.36,(0.15),0.41,(0.07),(0.11),0.24,0.23,(0.14),(0.14),ND,ND,(0.17),(0.13),(0.07),(0.17),ND,(0.15),(0.06),ND,ND,(0.06),ND,ND,(0.18),ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.7,1.8,3.8,4.7,3.2,1.7,5.8,1.1,1.4,1.7,1.6,0.82,1.3,0.89,ND,2.6,2.6,1.3,3.0,0.73,2.6,1.3,1.1,(0.06),(0.17),ND,ND,2.6,ND,ND,ND,ND,ND,(0.17),ND,ND,ND,(0.15),(0.11),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.74,0.95,2.7,2.9,1.9,0.60,6.2,1.1,1.4,0.57,0.82,0.46,1.0,0.58,(0.15),3.7,4.3,0.42,2.5,0.44,2.5,0.89,0.83,ND,(0.11),ND,ND,0.89,(0.09),ND,ND,ND,ND,0.27,ND,(0.12),(0.18),(0.16),(0.17),(0.11),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,(0.18),(0.14),0.41,0.45,0.33,ND,0.67,(0.15),(0.15),ND,(0.11),ND,(0.18),(0.08),ND,0.28,0.29,ND,0.22,ND,(0.17),ND,ND,ND,ND,ND,ND,(0.13),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,1.5,2.0,6.8,7.5,4.5,1.3,16,2.5,3.3,1.1,1.6,0.76,2.3,1.4,(0.15),9.4,11,0.87,6.4,1.0,6.7,2.0,1.8,ND,(0.11),ND,ND,1.6,(0.09),ND,ND,ND,ND,0.42,ND,(0.12),(0.18),(0.16),0.28,(0.11),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.9,1.5,7.0,7.0,3.8,1.0,140,4.6,5.0,0.9,1.1,0.5,3.7,2.1,(0.4),13,14,1.1,8.5,1.3,10,2.6,2.3,ND,ND,ND,ND,0.9,ND,ND,ND,ND,ND,(0.4),ND,ND,(0.2),(0.2),(0.3),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,7,8.8,25,28,17,6.4,170,11,13,8.2,7.5,4.1,11,6.7,1.5,30,33,5.5,23,4.7,23,8.5,7.7,1.2,5.6,3.6,3.7,12,5.3,ND,ND,ND,ND,1.2,ND,0.29,0.53,1.7,1.7,0.16,0.25,ND,0.09,ND,ND
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,37,78,310,350,210,62,1100,49,56,63,44,21,84,25,5.8,100,120,21,95,18,86,28,27,4.2,17,4.2,4.3,31,18,0.49,0.08,0.39,0.52,15,2.2,3.9,6.8,20,21,2.4,7.4,1,7.2,1,0.17
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,0.38,0.34,(0.17),(0.11),1.4,0.51,0.47,0.24,0.22,0.21,0.41,0.21,ND,1.2,1.7,0.37,0.85,0.68,0.68,0.65,0.68,ND,ND,0.26,0.29,2.0,(0.15),ND,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,0.72,2.1,49,53,20,4.0,180,39,40,27,43,3.4,51,19,5.4,58,70,18,59,26,37,29,28,2.8,1.5,4.7,4.6,51,2.0,0.24,(0.18),(0.15),(0.19),0.72,0.28,1.2,0.80,0.90,0.89,1.1,0.49,(0.15),0.26,0.55,0.22
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.10),(0.15),0.88,0.93,0.41,(0.15),1.9,0.52,0.52,0.42,0.41,(0.12),0.52,0.23,(0.12),0.90,1.2,0.26,0.89,0.28,0.49,0.51,0.52,(0.12),ND,0.41,0.35,2.0,(0.17),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,(0.07),ND,ND,0.25,ND,ND,ND,ND,ND,(0.08),ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,0.82,2.3,50,54,21,4.3,180,40,41,28,44,3.7,52,19,5.5,60,73,19,61,27,38,30,29,2.9,1.5,5.4,5.2,55,2.3,0.24,0.18,0.15,0.19,0.72,0.28,1.3,0.8,0.9,0.89,1.1,0.49,0.15,0.26,0.55,0.22
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,ND,0.23,0.79,1.2,0.29,(0.19),4.9,1.5,2.2,0.77,1.1,0.31,1.3,0.93,0.45,3.7,5.0,0.85,3.0,1.1,2.0,1.7,1.9,0.39,0.23,4.0,3.9,5.8,0.26,ND,ND,ND,ND,ND,ND,(0.13),(0.10),(0.20),0.21,(0.13),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,4.2,16,74,80,28,13,370,130,150,68,80,16,110,63,29,200,270,60,190,84,110,130,120,28,13,260,260,490,20,1.7,1.4,1.4,1.4,3.9,2.2,6.3,6.3,10,10,6.2,4.5,1.1,1.8,3.7,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,1.6,5.8,21,23,7.8,4.2,96,34,39,16,20,6.6,28,16,9.2,65,87,16,60,26,36,43,40,9.6,4.5,120,120,180,7.1,0.56,0.44,0.42,0.47,1.7,0.81,3.0,2.3,4.3,4.2,2.5,1.7,0.36,0.68,1.5,0.50
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,(0.14),0.40,1.3,1.6,0.53,0.27,7.0,2.3,3.1,1.2,2.0,0.50,2.0,1.1,0.59,3.8,6.5,0.99,3.2,1.3,1.9,2.0,1.9,0.47,0.35,7.8,7.5,8.9,0.47,ND,ND,ND,ND,(0.12),ND,0.20,(0.17),0.32,0.32,(0.12),(0.15),ND,ND,(0.11),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.28,0.84,2.2,3.1,1.1,0.55,8.3,2.6,3.5,1.9,2.6,0.58,2.4,1.2,0.75,5.1,7.5,1.2,4.7,1.5,2.7,2.6,2.7,1.1,0.38,6.4,6.4,16,0.91,(0.17),(0.10),(0.11),(0.11),0.29,(0.20),0.29,0.44,0.57,0.57,0.33,0.30,(0.10),(0.14),(0.19),(0.17)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,0.62,2.1,5.2,6.9,2.8,1.1,20,6.1,7.6,4.4,6.3,1.3,5.9,3.0,1.8,12,18,2.5,11,3.3,6.4,5.9,5.6,2.5,0.92,19,18,36,1.9,0.32,0.21,0.22,0.21,0.60,0.36,0.63,0.83,1.3,1.3,0.68,0.67,(0.19),0.28,0.43,0.31
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,(0.15),0.53,1.4,1.7,0.68,0.31,4.8,1.5,1.9,1.1,1.5,0.32,1.3,0.72,0.43,2.9,4.3,0.64,2.7,0.81,1.6,1.6,1.5,0.59,(0.20),4.2,4.0,9.1,0.49,ND,ND,ND,ND,(0.14),ND,(0.13),(0.20),0.33,0.31,(0.16),(0.15),ND,ND,(0.11),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.09),(0.18),0.45,0.51,0.25,(0.12),1.3,0.39,0.52,0.32,0.36,(0.11),0.40,0.21,(0.15),0.86,1.1,(0.18),0.79,0.25,0.47,0.40,0.38,(0.16),ND,0.39,0.41,1.9,(0.15),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,7.1,26,110,120,41,20,510,180,210,94,110,26,150,86,42,290,400,82,280,120,160,190,170,43,20,420,420,750,31,2.8,2.2,2.2,2.2,6.8,3.6,11,10,17,17,10,7.5,1.8,2.9,6,2.6
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,7.9,28,160,170,62,24,700,220,250,120,160,29,200,110,48,350,470,100,340,150,200,220,200,46,21,430,430,800,34,3,2.3,2.3,2.4,7.5,3.9,12,11,18,18,11,8,1.9,3.2,6.6,2.8
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,45,110,460,530,270,86,1800,270,300,180,200,50,290,130,54,450,590,120,430,160,290,250,230,50,38,430,430,830,51,3.5,2.4,2.7,2.9,22,6.0,16,18,38,38,14,15,2.9,10,7.6,3.0
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.2,0.28,0.61,0.73,0.5,0.21,1.1,0.14,0.16,0.25,0.21,0.11,0.22,0.11,0.061,0.3,0.34,0.092,0.29,0.079,0.27,0.11,0.11,0.063,0.086,0.076,0.08,0.25,0.066,0.058,0.058,0.058,0.059,0.083,0.06,0.062,0.065,0.083,0.074,0.06,0.063,0.059,0.062,0.059,0.058
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.011,0.017,0.097,0.1,0.045,0.017,0.23,0.062,0.063,0.048,0.05,0.014,0.064,0.028,0.015,0.11,0.14,0.031,0.1,0.035,0.059,0.061,0.061,0.014,0.0046,0.055,0.049,0.23,0.019,0.004,0.004,0.004,0.004,0.0042,0.004,0.0044,0.0043,0.0045,0.0045,0.0043,0.0042,0.004,0.004,0.0041,0.004
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.21,0.30,0.71,0.83,0.55,0.23,1.3,0.21,0.22,0.29,0.26,0.13,0.29,0.14,0.076,0.40,0.48,0.12,0.40,0.11,0.33,0.18,0.17,0.078,0.091,0.13,0.13,0.48,0.085,0.062,0.062,0.062,0.062,0.087,0.064,0.066,0.069,0.088,0.079,0.065,0.067,0.063,0.066,0.063,0.062
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.24,0.32,0.72,0.84,0.55,0.23,1.2,0.23,0.25,0.32,0.29,0.13,0.31,0.15,0.082,0.44,0.53,0.14,0.43,0.13,0.35,0.20,0.19,0.085,0.10,0.18,0.18,0.58,0.091,0.065,0.065,0.065,0.065,0.094,0.066,0.070,0.072,0.095,0.081,0.068,0.069,0.065,0.068,0.066,0.065
浮遊物質量（SS）,,,,,mg/L,3,8,11,11,11,6,16,2,2,4,4,3,5,2,3,3,3,3,7,2,7,1,1,3,2,1未満,1未満,7,1,1未満,1未満,1未満,1未満,1,1未満,1未満,1,1,1,1未満,4,1未満,1未満,1,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
