項目名,毒性等価係数,江東区大島8／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,目黒区東が丘1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大田区大森西5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,世田谷区尾山台3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,中野区江古田2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,杉並区桃井1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,北区赤羽西3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,練馬区練馬2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,葛飾区小菅4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,2,3,6,7,8-HxCDF",0.1,0.26,0.08,11,0.26,0.08,5.5,0.24,0.07,1.5,0.25,0.08,2.5,0.25,0.07,4.2,0.27,0.08,1.9,0.28,0.08,2.8,0.25,0.08,3.1,0.25,0.08,2.4
"1,2,3,7,8,9-HxCDF",0.1,1.2,0.4,(1.0),1.2,0.4,ND,1.1,0.3,ND,1.1,0.3,ND,1.1,0.3,(0.4),1.2,0.4,ND,1.3,0.4,(0.5),1.1,0.3,(0.4),1.1,0.3,ND
"2,3,4,6,7,8-HxCDF",0.1,0.20,0.06,11,0.20,0.06,6.0,0.18,0.06,1.6,0.19,0.06,3.2,0.19,0.06,5.7,0.20,0.06,2.1,0.21,0.06,1.5,0.19,0.06,3.8,0.19,0.06,2.6
"1,2,3,4,6,7,8-HpCDF",0.01,1.6,0.5,44,1.7,0.5,23,1.5,0.5,7.5,1.6,0.5,12,1.6,0.5,19,1.7,0.5,9.2,1.8,0.5,5.3,1.6,0.5,14,1.6,0.5,8.9
"1,2,3,4,7,8,9-HpCDF",0.01,0.9,0.3,6.3,1.0,0.3,3.0,0.9,0.3,1.2,0.9,0.3,1.9,0.9,0.3,3.0,1.0,0.3,1.7,1.0,0.3,(0.9),0.9,0.3,2.5,0.9,0.3,1.5
OCDF,0.0003,1.7,0.5,34,1.7,0.5,21,1.6,0.5,8.7,1.6,0.5,13,1.6,0.5,18,1.7,0.5,11,1.8,0.6,8.0,1.6,0.5,14,1.6,0.5,9.2
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,3.6,0.6,0.2,2.7,0.5,0.2,1.8,0.6,0.2,0.6,0.6,0.2,1.0,0.6,0.2,0.8,0.6,0.2,1.8,0.6,0.2,1.2,0.6,0.2,1.0
"3,3',4,4'-TeCB(#77)",0.0001,0.5,0.1,52,0.5,0.1,29,0.4,0.1,41,0.5,0.1,12,0.4,0.1,20,0.5,0.1,10,0.5,0.2,28,0.5,0.1,16,0.5,0.1,47
"3,3',4,4',5-PeCB(#126)",0.1,0.3,0.1,19,0.3,0.1,16,0.3,0.1,6.4,0.3,0.1,4.3,0.3,0.1,6.9,0.4,0.1,3.3,0.4,0.1,11,0.3,0.1,5.4,0.3,0.1,6.0
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.7,0.5,4.8,1.7,0.5,2.1,1.5,0.5,(0.7),1.6,0.5,(1.1),1.6,0.5,(1.2),1.7,0.5,(1.0),1.8,0.5,(1.3),1.6,0.5,(1.2),1.6,0.5,(1.2)
"2',3,4,4',5-PeCB(#123)",0.00003,0.7,0.2,26,0.7,0.2,21,0.7,0.2,23,0.7,0.2,3.9,0.7,0.2,3.4,0.8,0.2,4.3,0.8,0.2,32,0.7,0.2,5.5,0.7,0.2,7.2
"2,3',4,4',5-PeCB(#118)",0.00003,1.4,0.4,790,1.4,0.4,390,1.3,0.4,760,1.3,0.4,92,1.3,0.4,81,1.4,0.4,130,1.5,0.4,700,1.3,0.4,110,1.3,0.4,100
"2,3,3',4,4'-PeCB(#105)",0.00003,0.7,0.2,400,0.7,0.2,220,0.7,0.2,440,0.7,0.2,50,0.7,0.2,51,0.7,0.2,61,0.8,0.2,320,0.7,0.2,53,0.7,0.2,59
"2,3,4,4',5-PeCB(#114)",0.00003,0.6,0.2,18,0.6,0.2,7.8,0.5,0.2,17,0.6,0.2,2.3,0.6,0.2,1.6,0.6,0.2,2.3,0.6,0.2,11,0.6,0.2,2.1,0.6,0.2,2.8
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.3,0.4,87,1.3,0.4,65,1.2,0.4,78,1.3,0.4,13,1.3,0.4,16,1.4,0.4,13,1.4,0.4,75,1.3,0.4,16,1.3,0.4,31
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.14,0.04,190,0.14,0.04,130,0.13,0.04,200,0.14,0.04,30,0.14,0.04,25,0.15,0.04,28,0.15,0.05,150,0.14,0.04,28,0.14,0.04,52
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,67,0.4,0.1,43,0.4,0.1,57,0.4,0.1,11,0.4,0.1,12,0.4,0.1,10,0.4,0.1,53,0.4,0.1,9.4,0.4,0.1,19
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,1.8,0.5,22,1.8,0.6,11,1.7,0.5,11,1.8,0.5,3.2,1.7,0.5,3.9,1.9,0.6,2.7,2.0,0.6,7.7,1.8,0.5,5.0,1.8,0.5,7.7
TeCDDs ,,―,―,90,―,―,37,―,―,10,―,―,18,―,―,29,―,―,15,―,―,8.6,―,―,27,―,―,28
PeCDDs ,,―,―,82,―,―,33,―,―,8.4,―,―,14,―,―,24,―,―,12,―,―,6.9,―,―,20,―,―,19
HxCDDs ,,―,―,86,―,―,43,―,―,13,―,―,24,―,―,33,―,―,19,―,―,16,―,―,31,―,―,22
HpCDDs,,―,―,86,―,―,60,―,―,21,―,―,33,―,―,49,―,―,30,―,―,13,―,―,38,―,―,29
OCDD,,―,―,220,―,―,230,―,―,150,―,―,120,―,―,120,―,―,220,―,―,51,―,―,140,―,―,98
Total（PCDDs）,,―,―,560,―,―,400,―,―,210,―,―,200,―,―,250,―,―,290,―,―,95,―,―,260,―,―,200
TeCDFs,,―,―,170,―,―,74,―,―,29,―,―,27,―,―,44,―,―,26,―,―,160,―,―,43,―,―,36
PeCDFs,,―,―,150,―,―,70,―,―,22,―,―,27,―,―,48,―,―,21,―,―,86,―,―,37,―,―,32
HxCDFs,,―,―,120,―,―,60,―,―,16,―,―,28,―,―,45,―,―,21,―,―,23,―,―,35,―,―,25
HpCDFs,,―,―,70,―,―,39,―,―,14,―,―,22,―,―,35,―,―,18,―,―,9.0,―,―,25,―,―,16
OCDF,,―,―,34,―,―,21,―,―,8.7,―,―,13,―,―,18,―,―,11,―,―,8.0,―,―,14,―,―,9.2
Total（PCDFs）,,―,―,540,―,―,260,―,―,90,―,―,120,―,―,190,―,―,96,―,―,290,―,―,150,―,―,120
Total (PCDDs+PCDFs),,―,―,1100,―,―,660,―,―,300,―,―,320,―,―,440,―,―,390,―,―,380,―,―,410,―,―,320
Total Co-PCBs,,―,―,1700,―,―,940,―,―,1600,―,―,220,―,―,220,―,―,260,―,―,1400,―,―,250,―,―,340
TEQ Total(PCDDs+PCDFs),,,,14,,,7.1,,,2.3,,,3.1,,,5.1,,,2.7,,,7.9,,,4.4,,,3.1
TEQ Total Co-PCB,,,,2.1,,,1.7,,,0.69,,,0.44,,,0.7,,,0.34,,,1.1,,,0.55,,,0.61
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,16,,,8.7,,,3,,,3.6,,,5.8,,,3.1,,,9.1,,,4.9,,,3.7
含水率（％）,,,,9.4,,,9.3,,,2.1,,,3.6,,,1.6,,,7.7,,,14.5,,,7.8,,,2.6
強熱減量（％）,,,,24.1,,,10.1,,,6.1,,,7.1,,,3,,,9.1,,,13.8,,,10,,,4.8
土色,,,,黒褐,,,暗褐,,,黄灰,,,黒褐,,,にぶい橙,,,暗褐,,,褐,,,黒褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
