項目名,毒性等価係数,定量下限値（pg/L）,検出下限値（pg/L）,中央区久松町7（pg/L）,目黒区中目黒3（pg/L）,世田谷区千歳台2（pg/L）,三鷹市井の頭4（pg/L）,町田市上小山田（pg/L）,狛江市和泉本町1（pg/L）,瑞穂町高根（pg/L）,檜原村人里（pg/L）
"1,2,3,6,7,8-HxCDF",0.1,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,7,8,9-HxCDF",0.1,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"2,3,4,6,7,8-HxCDF",0.1,0.20,0.07,N.D.,0.10,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,4,6,7,8-HpCDF",0.01,0.20,0.07,N.D.,0.38,N.D.,N.D.,N.D.,N.D.,0.16,0.11
"1,2,3,4,7,8,9-HpCDF",0.01,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
OCDF,0.0003,0.5,0.2,N.D.,0.3,N.D.,N.D.,N.D.,N.D.,0.2,N.D.
"3,4,4',5-TeCB(#81)",0.0003,0.20,0.07,N.D.,0.08,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"3,3',4,4'-TeCB(#77)",0.0001,0.20,0.07,0.14,1.5,N.D.,0.23,0.58,0.17,0.20,0.41
"3,3',4,4',5-PeCB(#126)",0.1,0.20,0.07,N.D.,0.11,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"3,3',4,4',5,5'-HxCB(#169)",0.03,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"2',3,4,4',5-PeCB(#123)",0.00003,0.20,0.07,N.D.,0.26,N.D.,N.D.,0.14,N.D.,N.D.,0.11
"2,3',4,4',5-PeCB(#118)",0.00003,0.20,0.07,1.2,8.1,0.51,2.6,6.0,2.1,1.4,3.3
"2,3,3',4,4'-PeCB(#105)",0.00003,0.20,0.07,0.67,4.7,0.29,1.2,2.3,0.94,0.79,1.8
"2,3,4,4',5-PeCB(#114)",0.00003,0.20,0.07,N.D.,0.37,N.D.,0.10,0.24,0.07,0.07,0.14
"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.20,0.07,0.07,0.46,N.D.,0.13,0.15,0.12,0.10,0.18
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.20,0.07,0.19,1.1,0.14,0.42,0.39,0.41,0.26,0.53
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.20,0.07,N.D.,0.36,N.D.,0.08,0.08,0.07,0.09,0.14
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.20,0.07,N.D.,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
TeCDDs ,,,,0.19,1.9,0.085,0.15,0.13,0.11,0.20,0.24
PeCDDs ,,,,0.068,0.49,0.016,0.035,0.034,0.023,0.086,0.12
HxCDDs ,,,,0.22,0.55,0.020,0.066,0.061,0.071,0.18,0.17
HpCDDs,,,,0.32,1.3,0.061,0.12,0.052,0.13,0.31,0.30
OCDD,,,,1.2,6.6,0.2,0.3,0.2,0.6,1.0,1.2
Total（PCDDs）,,,,2.0,11,0.41,0.71,0.49,0.90,1.7,2.1
TeCDFs,,,,0.18,0.95,0.12,0.16,0.13,0.10,0.23,0.49
PeCDFs,,,,0.11,0.74,0.12,0.086,0.065,0.059,0.20,0.28
HxCDFs,,,,0.11,0.88,0.028,0.058,0.055,0.053,0.29,0.26
HpCDFs,,,,0.067,0.88,0.034,N.D.,0.021,0.057,0.30,0.18
OCDF,,,,N.D.,0.3,N.D.,N.D.,N.D.,N.D.,0.2,N.D.
Total（PCDFs）,,,,0.46,3.8,0.31,0.30,0.27,0.27,1.2,1.2
Total (PCDDs+PCDFs),,,,2.4,15,0.72,1.0,0.76,1.2,3.0,3.3
Total Co-PCBs,,,,2.3,17,0.94,4.8,9.8,3.9,2.9,6.6
TEQ Total(PCDDs+PCDFs),単位：pg-TEQ/L,,,0.063,0.098,0.062,0.062,0.062,0.062,0.065,0.064
TEQ Total Co-PCB,単位：pg-TEQ/L,,,0.0046,0.013,0.0046,0.0047,0.0049,0.0047,0.0047,0.0048
TEQTotal(PCDDs+PCDFs+Co-PCB),単位：pg-TEQ/L,,,0.068,0.11,0.067,0.067,0.067,0.067,0.069,0.069
