項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋下,28浅川／中央道北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,2.1,2.2,7.2,20,150,16,19,20,4.5,12,5.5,4.7,14,600,640,180,390,340,120,160,160,4.2,1.9,3.2,3.1,46,3.1,(0.2),1.6,(0.6),8.4,2.9,8.2,4.2,6.2,3.1,6.3,3.9,5.0,2.5,2.0,6.3,6.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,3.0,3.0,19,47,190,23,29,33,6.2,9.6,2.4,2.8,13,1100,1500,340,720,480,230,200,190,2.5,1.6,1.7,1.7,29,2.1,(0.4),1.6,(0.4),7.1,1.4,6.8,3.5,4.4,1.9,4.2,12,12,2.3,1.4,3.5,3.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,6.1,6.3,39,96,460,45,60,68,13,19,6.0,9.2,28,2000,2800,670,1400,1100,460,440,430,5.5,3.3,4.9,4.9,64,5.1,0.7,3.2,(0.6),14,2.9,14,7.1,9.2,4.0,9.0,19,20,4.6,3.0,6.9,6.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,53,42,370,1100,3100,300,470,540,97,110,15,37,140,11000,14000,4200,9500,5600,2600,2500,2600,17,13,19,21,240,22,2.1,26,(1.4),65,9.8,52,48,29,13,36,160,150,36,11,29,28
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,87,71,520,1500,4400,460,660,740,150,190,32,57,230,15000,18000,5900,12000,8600,3500,3400,3500,34,24,31,33,440,38,3.3,39,3.8,110,24,87,73,59,25,63,190,190,49,22,55,52
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,(0.2),0.4,(0.2),0.4,9.0,4.0,1.4,1.8,(0.3),0.7,11,ND,1.1,290,340,17,40,36,19,9.2,9.1,0.4,0.5,(0.1),ND,5.0,0.4,ND,ND,ND,0.4,0.5,0.4,(0.3),(0.3),(0.1),0.3,(0.2),(0.2),(0.2),(0.2),(0.2),(0.2)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,ND,(0.1),(0.2),0.4,2.8,1.1,0.9,0.9,(0.2),0.7,(0.2),ND,0.8,21,32,9.9,14,26,5.3,5.6,5.5,(0.2),(0.2),(0.2),(0.1),2.5,(0.2),ND,ND,ND,0.4,0.5,0.3,(0.2),0.4,(0.2),0.4,(0.2),(0.2),(0.1),(0.2),(0.3),(0.2)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,(0.1),(0.3),(0.2),0.5,6.7,3.1,1.3,1.5,0.4,0.8,6.4,ND,1.2,270,320,14,35,34,16,9.8,10,0.4,0.4,(0.1),(0.1),5.0,0.4,ND,(0.1),ND,0.4,0.6,0.4,(0.2),0.4,(0.2),0.4,(0.2),(0.3),(0.2),(0.1),0.3,(0.2)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,2.2,3.6,5.9,16,100,32,21,24,7.0,20,30,0.8,21,1100,1500,200,330,460,180,190,190,7.0,6.4,3.4,2.0,100,8.5,ND,2.7,0.4,9.7,12,11,5.2,10,3.8,10,5.2,6.2,4.8,5.0,7.2,6.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,(0.2),(0.2),(0.3),0.7,7.3,2.9,1.8,1,0.5,1.3,3.8,ND,1.7,270,170,18,39,36,13,14,15,0.6,0.3,(0.2),(0.1),7.2,0.5,ND,(0.2),(0.1),0.7,0.9,0.9,0.4,0.8,(0.3),0.8,0.4,0.5,(0.3),(0.3),0.6,0.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,(0.1),(0.1),(0.2),0.7,6.3,1.8,1.3,1.2,0.6,1.2,1.4,ND,1.4,150,150,13,28,29,9.4,15,15,0.4,(0.3),(0.1),(0.1),7.0,0.4,ND,ND,ND,0.7,0.7,0.8,0.3,0.7,(0.3),0.6,0.3,0.4,(0.3),0.3,0.5,0.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,1.7,2.3,4.7,12,98,24,21,16,5.7,21,12,1.0,23,1000,990,230,320,390,120,200,200,8.4,4.0,2.4,2.1,110,7.0,ND,2.7,0.4,12,9.7,12,6.5,14,3.7,13,5.3,5.6,3.8,4.7,7.9,8.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,(0.2),(0.4),1.2,11,3.4,2.6,2.2,(0.6),1.3,1.9,ND,1.9,260,220,31,55,56,24,21,22,0.8,(0.3),(0.3),ND,8.8,(0.4),ND,ND,ND,1.0,0.9,1.1,(0.7),0.9,(0.3),0.8,(0.5),(0.5),(0.3),(0.5),0.7,(0.7)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,(0.4),0.9,9.7,1.9,1.7,1.7,(0.5),1.3,(0.6),ND,1.6,73,72,18,27,32,10,16,15,(0.6),(0.2),ND,ND,7.7,(0.4),ND,ND,ND,1.1,(0.6),1.1,(0.5),0.9,ND,0.8,(0.4),(0.5),(0.4),(0.4),0.8,(0.6)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,ND,ND,1.3,(0.2),(0.2),ND,ND,ND,ND,ND,(0.3),10,6.2,1.8,2.7,4.0,1.7,1.5,1.2,ND,ND,ND,ND,(0.6),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,(0.3),1.1,12,1.8,1.9,2.3,(0.5),1.9,(0.3),ND,2.2,37,56,18,23,36,8.1,18,20,(0.6),(0.4),(0.3),ND,10,(0.5),ND,(0.2),ND,1.5,(0.7),1.4,(0.5),1.3,(0.3),1.2,(0.6),(0.6),(0.5),(0.6),1.1,1.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,1.7,2.1,7.9,21,120,21,22,23,5.7,16,4.9,1.0,21,1100,1300,320,470,480,220,210,210,7.5,3.2,1.8,1.4,90,4.7,ND,2.2,ND,12,6.7,12,6.8,11,2.4,9.8,4.7,6.1,3.4,4.7,8.1,8.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,0.9,0.8,3.1,8.7,58,12,14,14,2.3,5.3,1.2,1.2,9.0,830,1100,230,500,310,190,120,120,1.8,1.4,0.8,0.9,33,1.4,(0.4),0.7,(0.3),4.5,2.2,4.8,2.0,3.3,0.9,3.5,2.0,2.3,1.6,1.3,3.1,2.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,(0.3),(0.2),(0.4),1.9,8.6,1.7,1.4,1.9,(0.4),0.9,(0.3),ND,1.3,82,82,17,40,36,15,12,18,(0.5),(0.2),ND,ND,4.9,(0.3),ND,ND,ND,0.8,(0.3),1.0,(0.5),0.7,ND,(0.5),(0.4),(0.3),(0.2),(0.4),(0.6),(0.5)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,2.0,1.7,8.0,24,130,29,35,37,5.0,11,2.0,2.2,20,2400,3200,680,1400,910,570,300,310,3.6,2.7,1.2,1.3,58,2.5,(0.4),1.2,(0.3),8.5,3.4,8.7,4.5,6.9,1.8,6.7,3.5,3.8,2.8,2.9,5.7,5.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,(1.6),2.1,7.5,21,110,29,45,47,4.1,5.3,(1.5),2.2,15,3000,4200,920,1700,1100,820,310,290,(1.5),5.0,(0.7),ND,27,(0.9),ND,(0.9),ND,4.8,(0.9),4.0,2.1,3.3,(0.5),3.1,(1.5),(1.5),(1.4),(1.4),2.7,2.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,9.2,12,34,94,560,140,140,150,28,73,50,7.2,100,8600,11000,2400,4200,3300,1900,1200,1200,28,21,9.5,6.8,390,24,0.4,9.7,1.1,47,33,48,25,45,12,43,20,23,16,19,32,30
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,96,82,560,1600,4900,600,800,890,180,260,83,64,330,23000,30000,8200,16000,12000,5400,4600,4700,62,45,40,39,820,62,3.7,49,4.9,160,57,130,98,100,37,110,210,210,65,41,86,82
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,ND,ND,ND,ND,19,9.6,4.1,5.8,1.2,2.4,2.2,(0.3),5.7,330,420,64,140,250,120,77,78,4.9,1.3,(0.5),(0.3),80,2.1,ND,(0.2),ND,0.9,(0.6),6.6,(0.2),(0.6),0.8,(0.6),(0.6),(0.5),(0.3),(0.4),(0.3),(0.4)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,5.4,6.0,29,66,910,830,340,530,82,55,53,21,210,14000,19000,3400,6800,13000,4700,2300,2200,92,32,11,12,2100,51,(0.3),2.6,1.1,17,6.9,40,4.9,9.5,9.7,10,12,12,5.5,5.2,4.6,4.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,(0.2),(0.2),0.7,2.3,35,11,6.0,6.7,1.5,3.9,1.6,(0.4),8.7,250,300,63,140,220,75,62,62,9.1,1.6,0.8,(0.6),68,ND,ND,ND,(0.2),1.6,0.9,3.5,0.8,1.5,(0.7),1.8,1.0,1.1,(0.6),(0.7),1.0,0.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,ND,ND,ND,ND,2.7,1.5,0.8,0.7,ND,(0.6),(0.2),ND,(0.5),15,17,6.5,8.6,15,3.8,3.2,4.0,ND,ND,ND,ND,2.7,ND,ND,ND,ND,(0.3),ND,(0.3),(0.2),(0.4),ND,(0.4),ND,ND,ND,(0.2),ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,5.6,6.2,30,68,970,850,350,540,85,62,57,22,220,15000,20000,3500,7100,13000,4900,2400,2300,110,35,12,13,2300,53,0.3,2.8,1.3,20,8.4,50,6.1,12,11,13,14,14,6.4,6.5,5.9,6.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,(0.4),(0.3),1.0,3.1,60,39,15,22,3.9,7.0,7.8,1.5,36,810,1300,230,500,930,350,230,200,69,14,2.0,1.6,1000,10,ND,(0.4),ND,2.0,1.6,9.8,1.0,1.7,2.2,2.1,2.5,2.6,0.7,0.7,1.2,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,16,27,71,190,3800,2200,1000,1300,270,390,270,73,1800,44000,64000,12000,27000,42000,17000,13000,13000,3900,810,110,110,69000,670,1.1,15,9.0,75,44,300,35,84,98,76,130,140,33,30,49,51
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,6.8,8.5,23,61,1300,650,290,400,77,160,140,23,620,16000,23000,3800,10000,14000,5500,4600,4800,1100,210,48,48,24000,240,(0.6),7.7,4.5,44,28,220,17,40,40,39,59,53,15,15,23,23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,(0.5),(0.6),1.5,3.5,88,44,20,26,5.3,10,11,1.4,42,1000,1500,210,520,1000,400,290,280,63,14,2.8,3.0,1400,14,ND,(0.5),(0.3),3.0,2.6,15,1.0,2.4,2.4,2.0,3.3,3.3,0.9,(0.7),1.5,1.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,(0.6),1.2,2.7,7.8,150,56,30,42,7.3,16,4.2,2.3,70,1500,2200,340,1200,1500,500,450,430,300,15,3.9,4.1,2900,28,ND,1.1,(0.5),5.7,1.4,14,2.6,5.1,5.9,5.4,7.9,6.4,1.6,1.8,3.9,3.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,1.4,2.4,6.7,19,380,140,74,98,19,41,13,5.4,180,3700,5300,740,2600,3800,1300,1100,1100,670,36,10,11,7200,70,ND,2.7,0.9,12,3.5,41,6.0,12,13,12,16,17,2.9,3.9,8.0,8.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,(0.4),(0.7),2.0,4.9,92,33,18,23,4.5,11,3.0,1.4,42,910,1200,190,730,790,300,270,250,160,8.7,2.8,3.0,1800,17,ND,0.8,(0.3),3.6,0.9,9.9,2.0,3.5,3.7,3.9,4.9,4.9,1.0,1.4,2.8,2.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,ND,(0.2),(0.4),1.6,23,6.9,5.1,6.1,1.1,2.2,(0.6),(0.3),8.9,220,350,62,180,310,90,54,67,35,1.0,(0.4),(0.4),310,3.0,ND,ND,ND,1.2,(0.5),2.2,(0.6),1.0,0.8,1.4,0.8,0.9,ND,(0.6),1.1,0.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,26,41,110,290,5900,3200,1500,1900,390,640,450,110,2800,68000,99000,18000,43000,64000,25000,20000,20000,6300,1100,180,180,110000,1100,1.7,28,16,150,83,610,65,150,170,140,220,230,55,54,91,93
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,32,47,140,360,6900,4000,1800,2500,470,700,510,130,3000,83000,120000,21000,50000,78000,30000,22000,22000,6400,1100,190,190,110000,1100,2,31,17,170,91,660,71,160,180,150,240,240,62,61,96,99
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,130,130,690,2000,12000,4600,2600,3300,650,960,590,190,3300,110000,150000,29000,66000,90000,36000,27000,27000,6500,1200,230,230,110000,1200,5.7,80,22,320,150,800,170,270,210,260,450,450,130,100,180,180
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.3,0.31,0.96,2.9,16,3.9,2.9,3,0.79,1.8,2.4,0.35,2.2,170,180,30,57,60,21,23,24,0.66,0.48,0.31,0.26,9.2,0.51,0.2,0.24,0.2,1.3,0.84,1.2,0.8,1,0.36,1.1,0.71,0.77,0.43,0.44,0.89,0.89
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.024,0.025,0.079,0.25,3.9,1.3,0.7,0.8,0.17,0.43,0.19,0.048,0.99,29,36,7.4,16,26,8.9,7.1,7.2,1.1,0.2,0.09,0.07,10,0.05,0.013,0.014,0.024,0.18,0.096,0.38,0.089,0.17,0.079,0.2,0.11,0.12,0.065,0.078,0.11,0.096
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,0.33,0.33,1.0,3.1,20,5.2,3.6,3.8,0.97,2.2,2.6,0.40,3.2,200,220,37,73,86,30,30,31,1.8,0.68,0.40,0.33,19,0.56,0.21,0.25,0.23,1.5,0.94,1.6,0.89,1.2,0.44,1.3,0.83,0.89,0.50,0.52,1.0,0.99
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,0.34,0.35,1.0,3.1,21,5.9,4.0,4.2,1.1,2.5,3.0,0.41,3.7,240,260,40,81,97,33,35,36,2.6,0.84,0.43,0.37,32,0.75,0.22,0.26,0.24,1.6,1.1,1.8,0.95,1.4,0.52,1.4,0.88,0.97,0.56,0.59,1.1,1.1
強熱減量,,,,,％,1.2,1.8,1.7,2.2,6.3,4.9,5.3,5.3,2.2,2.5,7,9.2,5.9,9.7,9.7,56.1,10.5,44.7,8.2,8.5,8.5,1.1,1.7,14.6,14.6,5.2,1.9,1.4,1.7,2.3,1.9,1.7,2.3,2.2,2,1.6,3.5,2.4,2.4,2.1,1.5,1.5,1.5
泥分率,,,,,％,1.2,1.4,0.5,20.1,47.2,8.3,53.1,53.1,3.5,2.4,80.1,55.4,26.6,72.3,72.3,83.4,75.1,85.6,48.3,29.6,29.6,0.1未満,1.3,62,62,15.4,0.4,0.4,0.4,0.2,0.7,0.1未満,1.8,0.3,0.1未満,0.7,1.2,0.6,0.6,0.4,0.7,1.3,1.3
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
