,化合物の名称等,,毒性等価係数,定量下限値（pg/m3）,検出下限値（pg/m3）,(1)中央区晴海局／2月6日～2月13日（pg/m3）,(2)目黒区碑文谷局／2月6日～2月13日（pg/m3）,(3)大田区東糀谷局／2月6日～2月13日（pg/m3）,(4)世田谷区世田谷局／2月6日～2月13日（pg/m3）,(5)中野区若宮局／2月6日～2月13日（pg/m3）,(6)荒川区南千住局／2月6日～2月13日（pg/m3）,(7)板橋区本町局／2月6日～2月13日（pg/m3）,(8)練馬区石神井町局／2月6日～2月13日（pg/m3）,(9)足立区西新井局／2月6日～2月13日（pg/m3）,(10)葛飾区鎌倉／2月6日～2月13日（pg/m3）,(11)江戸川区春江町局／2月6日～2月13日（pg/m3）
実測濃度,PCDFs,"2,3,4,6,7,8-HxCDF",0.1,0.0021,0.0006,0.044,0.027,0.035,0.027,0.034,0.041,0.035,0.021,0.050,0.048,0.045
実測濃度,PCDFs,HxCDFs,－,―,―,0.41,0.28,0.36,0.29,0.35,0.40,0.32,0.23,0.49,0.50,0.49
実測濃度,PCDFs,"1,2,3,4,6,7,8-HpCDF",0.01,0.004,0.001,0.16,0.10,0.14,0.098,0.11,0.14,0.12,0.077,0.18,0.18,0.18
実測濃度,PCDFs,"1,2,3,4,7,8,9-HpCDF",0.01,0.008,0.002,0.023,0.014,0.019,0.016,0.018,0.024,0.017,0.012,0.032,0.027,0.023
実測濃度,PCDFs,HpCDFs,－,―,―,0.26,0.16,0.21,0.16,0.18,0.23,0.20,0.12,0.31,0.29,0.27
実測濃度,PCDFs,OCDF,0.0003,0.007,0.002,0.14,0.073,0.10,0.065,0.071,0.11,0.082,0.044,0.16,0.13,0.14
実測濃度,PCDFs,Total PCDFs,－,―,―,1.8,1.2,1.6,1.3,1.5,1.7,1.4,0.98,2.2,2.2,2.2
実測濃度,コプラナーPCBs,"3,4,4',5-TeCB (#81)",0.0003,0.007,0.002,0.018,0.011,0.018,0.025,0.014,0.015,0.012,0.010,0.018,0.016,0.019
実測濃度,コプラナーPCBs,"3,3',4,4'-TeCB (#77)",0.0001,0.005,0.001,0.14,0.081,0.11,0.26,0.092,0.080,0.086,0.055,0.088,0.094,0.096
実測濃度,コプラナーPCBs,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.018,0.015,0.018,0.016,0.016,0.017,0.015,0.011,0.022,0.020,0.023
実測濃度,コプラナーPCBs,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.008,0.002,(0.007),(0.005),(0.007),(0.006),(0.007),(0.007),(0.005),(0.004),0.009,(0.007),0.008
実測濃度,コプラナーPCBs,"2',3,4,4',5-PeCB (#123)",0.00003,0.004,0.001,0.029,0.014,0.017,0.046,0.014,0.013,0.014,0.007,0.014,0.014,0.016
実測濃度,コプラナーPCBs,"2,3',4,4',5-PeCB (#118)",0.00003,0.0024,0.0009,1.1,0.45,0.66,2.0,0.42,0.35,0.38,0.24,0.39,0.35,0.41
実測濃度,コプラナーPCBs,"2,3,3',4,4'-PeCB (#105)",0.00003,0.006,0.002,0.39,0.16,0.23,0.56,0.16,0.13,0.15,0.099,0.16,0.14,0.16
実測濃度,コプラナーPCBs,"2,3,4,4',5-PeCB (#114)",0.00003,0.008,0.002,0.043,0.018,0.025,0.062,0.020,0.016,0.018,0.011,0.020,0.018,0.022
実測濃度,コプラナーPCBs,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.002,0.034,0.013,0.019,0.028,0.015,0.015,0.015,0.011,0.016,0.016,0.018
実測濃度,コプラナーPCBs,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.004,0.001,0.057,0.030,0.040,0.053,0.030,0.027,0.028,0.027,0.036,0.031,0.040
実測濃度,コプラナーPCBs,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.001,0.016,0.010,0.012,0.015,0.010,0.009,0.008,0.008,0.012,0.011,0.012
実測濃度,コプラナーPCBs,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.018,0.006,(0.012),(0.007),(0.010),(0.010),(0.010),(0.011),(0.009),(0.007),(0.012),(0.012),(0.012)
実測濃度,コプラナーPCBs,Total Co-PCBs,－,―,―,1.9,0.82,1.2,3.0,0.81,0.69,0.74,0.49,0.80,0.73,0.84
実測濃度,Total (PCDDs+PCDFs+Co-PCBs),,－,―,―,4.5,2.8,3.7,5.1,3.1,3.4,3.0,2.1,4.1,4.4,4.1
毒性等量,PCDDs （pg-TEQ/m3）,,－,―,―,0.011,0.004,0.012,0.0091,0.0097,0.013,0.012,0.0069,0.015,0.031,0.017
毒性等量,PCDFs（pg-TEQ/m3）,,－,―,―,0.025,0.018,0.022,0.018,0.021,0.025,0.021,0.014,0.029,0.033,0.029
毒性等量,Co-PCBs（pg-TEQ/m3）,,－,―,―,0.0021,0.0017,0.0021,0.0019,0.0018,0.0019,0.0017,0.0012,0.0025,0.0022,0.0026
毒性等量,Total DXN（pg-TEQ/m3）,,－,―,―,0.037,0.023,0.036,0.029,0.032,0.04,0.034,0.022,0.047,0.066,0.049
備考：(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,
(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,
"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,
(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,
