,地点番号,調査地点,,平成23年度(TEQ)／水質(４月)(pg/L),平成23年度(TEQ)／水質(７月)(pg/L),平成23年度(TEQ)／水質(10月) (pg/L),平成23年度(TEQ)／水質(1月)(pg/L),平成23年度(TEQ)／水質(年度平均) (pg/L),平成23年度(TEQ)／底質 (pg/g),平成22年度(TEQ)／水質(４月)(pg/L),平成22年度(TEQ)／水質(７月)(pg/L),平成22年度(TEQ)／水質(10月) (pg/L),平成22年度(TEQ)／水質(1月)(pg/L),平成22年度(TEQ)／水質(年度平均) (pg/L),平成22年度(TEQ)／底質 (pg/g)
河川,0,三沢川天神橋,天神橋,-,-,-,-,-,-,-,0.28,-,0.068,0.17,0.51
河川,0,仙川鎌田橋,鎌田橋,-,-,-,-,-,-,-,0.15,-,0.069,0.11,10
河川,0,鶴見川麻生橋,麻生橋,-,-,-,-,-,-,-,0.077,-,0.068,0.073,0.77
河川,0,成木川両郡橋,両郡橋,-,-,-,-,-,-,-,0.066,-,-,0.066,2.1
河川,0,霞川金子橋,金子橋,-,-,-,-,-,-,-,0.18,-,0.08,0.13,1.3
河川,0,柳瀬川清柳橋,清柳橋,-,-,-,-,-,-,-,0.12,-,0.064,0.092,0.50
湖沼,1,小河内ﾀﾞﾑ,ﾀﾞﾑ前定点,-,-,-,-,-,-,-,0.065,-,0.065,0.065,3.6
海域,(1),St.５,船の科学館前,-,0.09,-,0.09,0.09,12,-,0.13,-,0.14,0.14,11
海域,(2),St.６,中央防波堤内側,-,0.076,-,0.11,0.093,15,-,0.099,-,0.09,0.095,15
海域,(3),St.８,荒川河口付近,-,0.16,-,0.14,0.15,15,-,0.33,-,0.22,0.28,20
海域,(4),St.２２,浦安沖,-,0.089,-,0.073,0.081,23,-,0.088,-,0.12,0.1,27
海域,(5),St.２３,京浜島東,-,0.08,-,0.084,0.082,5.7,-,0.085,-,0.088,0.087,7
海域,(6),St.２５,東京灯標際,-,0.071,-,0.11,0.091,16,-,0.21,-,0.095,0.15,17
海域,(7),St.３２,多摩川河口,-,0.075,-,0.075,0.075,9.1,-,0.077,-,0.089,0.083,8.2
海域,(8),St.３５,多摩川河口沖,-,0.075,-,0.07,0.073,25,-,0.067,-,0.071,0.069,19
