項目名,,毒性等価係数,中央区入船1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新宿区西新宿2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,品川区東大井4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大田区萩中3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,杉並区高井戸西1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,北区浮間1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,荒川区西尾久4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,板橋区舟渡4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,葛飾区堀切2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市みつい台1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,青梅市柚木町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,昭島市緑町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,調布市富士見町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,町田市三輪緑山3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市諏訪町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,国立市谷保／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩市豊ヶ丘5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,神津島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新島村式根島／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
ＰＣＤＦｓ,"1,3,6,8-TeCDF",0,0.26,0.08,0.35,0.29,0.09,3.5,0.26,0.08,0.80,0.28,0.08,0.85,0.28,0.09,2.3,0.25,0.08,0.78,0.26,0.08,3.4,0.27,0.08,1.7,0.26,0.08,0.65,0.30,0.08,0.69,0.25,0.08,1.1,0.28,0.08,1.5,0.27,0.08,0.69,0.27,0.08,0.53,0.25,0.08,0.78,0.26,0.08,0.67,0.26,0.08,0.60,0.25,0.07,ND,0.25,0.08,0.35
ＰＣＤＦｓ,"1,2,7,8-TeCDF",0,0.26,0.08,0.50,0.29,0.09,3.5,0.26,0.08,0.96,0.28,0.08,1.3,0.28,0.09,3.0,0.25,0.08,1.3,0.26,0.08,17,0.27,0.08,2.3,0.26,0.08,1.4,0.30,0.08,1.2,0.25,0.08,1.3,0.28,0.08,2.0,0.27,0.08,1.1,0.27,0.08,0.43,0.25,0.08,1.1,0.26,0.08,0.84,0.26,0.08,0.68,0.25,0.07,ND,0.25,0.08,0.42
ＰＣＤＦｓ,"2,3,7,8-TeCDF",0.1,0.26,0.08,0.65,0.29,0.09,3.7,0.26,0.08,1.3,0.28,0.08,1.2,0.28,0.09,3.3,0.25,0.08,1.4,0.26,0.08,30,0.27,0.08,3.3,0.26,0.08,2.3,0.30,0.08,0.99,0.25,0.08,1.1,0.28,0.08,2.3,0.27,0.08,1.2,0.27,0.08,0.51,0.25,0.08,0.91,0.26,0.08,0.71,0.26,0.08,0.58,0.25,0.07,ND,0.25,0.08,0.48
ＰＣＤＦｓ,"1,2,3,7,8-PeCDF",0.03,0.26,0.08,0.59,0.29,0.09,4.0,0.26,0.08,1.2,0.28,0.08,1.3,0.28,0.09,2.9,0.25,0.08,1.2,0.26,0.08,28,0.27,0.08,2.9,0.26,0.08,2.2,0.5,0.2,1.0,0.25,0.08,1.7,0.28,0.08,2.4,0.27,0.08,1.0,0.27,0.08,0.97,0.25,0.08,1.3,0.26,0.08,1.0,0.26,0.08,0.89,0.25,0.07,(0.13),0.25,0.08,0.62
ＰＣＤＦｓ,"2,3,4,7,8-PeCDF",0.3,0.26,0.08,0.61,0.29,0.09,6.6,0.26,0.08,1.7,0.28,0.08,1.7,0.28,0.09,4.5,0.26,0.08,1.4,0.26,0.08,19,0.27,0.08,2.7,0.26,0.08,1.6,0.5,0.2,1.5,0.26,0.08,3.3,0.28,0.08,4.0,0.27,0.08,1.3,0.27,0.08,1.5,0.25,0.08,1.9,0.27,0.08,1.3,0.26,0.08,1.4,0.25,0.07,ND,0.25,0.08,1.2
ＰＣＤＦｓ,"1,2,3,4,7,8-HxCDF",0.1,0.5,0.2,1.0,0.6,0.2,8.6,0.5,0.2,2.2,0.6,0.2,2.8,0.6,0.2,6.0,0.5,0.2,1.8,0.5,0.2,41,0.5,0.2,5.5,0.5,0.2,3.2,0.25,0.08,1.4,0.5,0.2,5.1,0.6,0.2,4.8,0.5,0.2,1.8,0.5,0.2,2.6,0.5,0.2,2.4,0.5,0.2,1.8,0.5,0.2,2.4,0.5,0.1,ND,0.5,0.2,2.4
ＰＣＤＦｓ,"1,2,3,6,7,8-HxCDF",0.1,0.5,0.2,0.9,0.6,0.2,9.6,0.5,0.2,2.2,0.6,0.2,2.8,0.6,0.2,6.1,0.5,0.2,1.9,0.5,0.2,18,0.5,0.2,5.0,0.5,0.2,2.2,0.14,0.05,1.5,0.5,0.2,6.5,0.6,0.2,5.8,0.5,0.2,1.9,0.5,0.2,2.8,0.5,0.2,2.9,0.5,0.2,2.2,0.5,0.2,2.8,0.5,0.1,ND,0.5,0.2,1.9
ＰＣＤＦｓ,"1,2,3,7,8,9-HxCDF",0.1,0.5,0.2,ND,0.6,0.2,0.8,0.5,0.2,(0.2),0.6,0.2,ND,0.6,0.2,(0.5),0.5,0.2,ND,0.5,0.2,1.5,0.5,0.2,(0.2),0.5,0.2,ND,0.7,0.2,ND,0.5,0.2,0.5,0.6,0.2,(0.4),0.5,0.2,(0.2),0.5,0.2,(0.4),0.5,0.2,ND,0.5,0.2,ND,0.5,0.2,(0.2),0.5,0.1,ND,0.5,0.2,ND
ＰＣＤＦｓ,"2,3,4,6,7,8-HxCDF",0.1,0.5,0.2,0.9,0.6,0.2,16,0.5,0.2,3.2,0.6,0.2,3.8,0.6,0.2,8.7,0.5,0.2,2.0,0.5,0.2,17,0.5,0.2,5.1,0.5,0.2,2.3,0.4,0.1,2.0,0.5,0.2,12,0.6,0.2,8.6,0.5,0.2,2.3,0.5,0.2,5.3,0.5,0.2,4.2,0.5,0.2,3.0,0.5,0.2,4.2,0.5,0.1,ND,0.5,0.2,2.6
ＰＣＤＦｓ,"1,2,3,4,6,7,8-HpCDF",0.01,0.5,0.2,4.6,0.6,0.2,52,0.5,0.2,9.1,0.6,0.2,19,0.6,0.2,27,0.5,0.2,7.0,0.5,0.2,77,0.5,0.2,19,0.5,0.2,9.6,0.5,0.2,6.2,0.5,0.2,31,0.6,0.2,22,0.5,0.2,8.3,0.5,0.2,23,0.5,0.2,12,0.5,0.2,8.3,0.5,0.2,12,0.5,0.1,(0.3),0.5,0.2,29
ＰＣＤＦｓ,"1,2,3,4,7,8,9-HpCDF",0.01,0.5,0.2,1.0,0.6,0.2,11,0.5,0.2,1.6,0.6,0.2,4.3,0.6,0.2,4.3,0.5,0.2,1.5,0.5,0.2,19,0.5,0.2,3.9,0.5,0.2,2.3,1.3,0.4,(0.8),0.5,0.2,9.0,0.6,0.2,3.5,0.5,0.2,1.5,0.5,0.2,3.8,0.5,0.2,2.7,0.5,0.2,2.0,0.5,0.2,3.4,0.5,0.1,ND,0.5,0.2,6.5
ＰＣＤＦｓ,OCDF,0.0003,1.0,0.3,7.8,1.1,0.3,76,1.0,0.3,9.5,1.0,0.3,38,1.1,0.3,25,1.0,0.3,7.1,1.0,0.3,130,1.0,0.3,32,1.0,0.3,16,1.5,0.4,4.0,1.0,0.3,44,1.0,0.3,19,1.0,0.3,8.0,1.0,0.3,53,1.0,0.3,15,1.1,0.3,9.7,1.0,0.3,16,0.9,0.3,ND,1.0,0.3,130
コプラナーＰＣＢｓ,"3,4,4',5-TeCB(#81)",0.0003,0.5,0.2,1.1,0.6,0.2,3.7,0.5,0.2,0.7,0.6,0.2,1.2,0.6,0.2,3.3,0.5,0.2,3.7,0.5,0.2,2.3,0.5,0.2,11,0.5,0.2,1.2,1.0,0.3,ND,0.5,0.2,0.7,0.6,0.2,1.1,0.5,0.2,0.8,0.5,0.2,(0.3),0.5,0.2,0.5,0.5,0.2,(0.4),0.5,0.2,(0.4),0.5,0.1,ND,0.5,0.2,(0.4)
コプラナーＰＣＢｓ,"3,3',4,4'-TeCB(#77)",0.0001,0.5,0.2,24,0.6,0.2,66,0.5,0.2,9.4,0.6,0.2,16,0.6,0.2,56,0.5,0.2,70,0.5,0.2,25,0.5,0.2,340,0.5,0.2,19,0.7,0.2,3.3,0.5,0.2,6.9,0.6,0.2,14,0.5,0.2,11,0.5,0.2,3.2,0.5,0.2,5.3,0.5,0.2,5.7,0.5,0.2,6.3,0.5,0.1,1.5,0.5,0.2,4.5
コプラナーＰＣＢｓ,"3,3',4,4',5-PeCB(#126)",0.1,0.5,0.2,3.0,0.6,0.2,25,0.5,0.2,4.6,0.6,0.2,5.6,0.6,0.2,22,0.5,0.2,6.7,0.5,0.2,13,0.5,0.2,14,0.5,0.2,2.8,0.3,0.1,1.5,0.5,0.2,3.6,0.6,0.2,8.5,0.5,0.2,3.7,0.5,0.2,2.8,0.5,0.2,2.4,0.5,0.2,2.2,0.5,0.2,2.3,0.5,0.1,ND,0.5,0.2,1.8
コプラナーＰＣＢｓ,"3,3',4,4',5,5'-HxCB(#169)",0.03,0.5,0.2,0.5,0.6,0.2,5.7,0.5,0.2,0.9,0.6,0.2,1.7,0.6,0.2,2.9,0.5,0.2,0.8,0.5,0.2,3.1,0.5,0.2,2.1,0.5,0.2,(0.4),0.9,0.3,(0.6),0.5,0.2,1.4,0.6,0.2,3.6,0.5,0.2,1.2,0.5,0.2,1.2,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.6,0.5,0.1,ND,0.5,0.2,0.6
コプラナーＰＣＢｓ,"2',3,4,4',5-PeCB(#123)",0.00003,0.5,0.2,6.1,0.6,0.2,26,0.5,0.2,2.9,0.6,0.2,6.0,0.6,0.2,21,0.5,0.2,14,0.5,0.2,8.6,0.5,0.2,34,0.5,0.2,3.9,0.8,0.2,(0.6),0.5,0.2,1.6,0.6,0.2,6.0,0.5,0.2,3.9,0.5,0.2,1.4,0.5,0.2,1.1,0.5,0.2,1.5,0.5,0.2,1.2,0.5,0.1,(0.2),0.5,0.2,1.2
コプラナーＰＣＢｓ,"2,3',4,4',5-PeCB(#118)",0.00003,0.5,0.2,140,0.6,0.2,780,0.5,0.2,77,0.6,0.2,120,0.6,0.2,800,0.5,0.2,360,0.5,0.2,180,0.5,0.2,830,0.5,0.2,110,1.5,0.4,11,0.5,0.2,38,0.6,0.2,96,0.5,0.2,110,0.5,0.2,27,0.5,0.2,26,0.5,0.2,36,0.5,0.2,29,0.5,0.1,7.2,0.5,0.2,33
コプラナーＰＣＢｓ,"2,3,3',4,4'-PeCB(#105)",0.00003,0.5,0.2,68,0.6,0.2,370,0.5,0.2,44,0.6,0.2,60,0.6,0.2,400,0.5,0.2,250,0.5,0.2,110,0.5,0.2,440,0.5,0.2,65,1.2,0.4,6.0,0.5,0.2,21,0.6,0.2,45,0.5,0.2,50,0.5,0.2,12,0.5,0.2,14,0.5,0.2,21,0.5,0.2,16,0.5,0.1,4.4,0.5,0.2,15
コプラナーＰＣＢｓ,"2,3,4,4',5-PeCB(#114)",0.00003,0.5,0.2,3.5,0.6,0.2,13,0.5,0.2,2.0,0.6,0.2,3.4,0.6,0.2,14,0.5,0.2,12,0.5,0.2,7.1,0.5,0.2,21,0.5,0.2,5.5,1.1,0.3,(0.5),0.5,0.2,1.1,0.6,0.2,2.9,0.5,0.2,2.9,0.5,0.2,0.7,0.5,0.2,0.7,0.5,0.2,1.1,0.5,0.2,1.0,0.5,0.1,(0.4),0.5,0.2,1.2
コプラナーＰＣＢｓ,"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.5,0.2,16,0.6,0.2,90,0.5,0.2,14,0.6,0.2,15,0.6,0.2,93,0.5,0.2,26,0.5,0.2,34,0.5,0.2,75,0.5,0.2,8.8,1.0,0.3,1.5,0.5,0.2,4.6,0.6,0.2,18,0.5,0.2,12,0.5,0.2,5.2,0.5,0.2,3.2,0.5,0.2,5.0,0.5,0.2,3.5,0.5,0.1,(0.2),0.5,0.2,3.9
コプラナーＰＣＢｓ,"2,3,3',4,4',5-HxCB(#156)",0.00003,0.5,0.2,29,0.6,0.2,160,0.5,0.2,27,0.6,0.2,28,0.6,0.2,190,0.5,0.2,62,0.5,0.2,66,0.5,0.2,130,0.5,0.2,19,0.4,0.1,2.9,0.5,0.2,9.3,0.6,0.2,29,0.5,0.2,23,0.5,0.2,9.3,0.5,0.2,6.5,0.5,0.2,8.7,0.5,0.2,6.4,0.5,0.1,(0.3),0.5,0.2,5.5
コプラナーＰＣＢｓ,"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.5,0.2,10,0.6,0.2,60,0.5,0.2,8.9,0.6,0.2,9.1,0.6,0.2,59,0.5,0.2,18,0.5,0.2,24,0.5,0.2,54,0.5,0.2,6.1,0.4,0.1,1.2,0.5,0.2,3.6,0.6,0.2,12,0.5,0.2,6.9,0.5,0.2,3.7,0.5,0.2,2.1,0.5,0.2,3.9,0.5,0.2,2.3,0.5,0.1,(0.1),0.5,0.2,2.7
コプラナーＰＣＢｓ,"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.5,0.2,3.6,0.6,0.2,15,0.5,0.2,3.1,0.6,0.2,3.8,0.6,0.2,12,0.5,0.2,4.7,0.5,0.2,10,0.5,0.2,15,0.5,0.2,1.9,1.1,0.3,(0.5),0.5,0.2,2.3,0.6,0.2,5.9,0.5,0.2,2.4,0.5,0.2,2.2,0.5,0.2,1.3,0.5,0.2,1.9,0.5,0.2,1.5,0.5,0.1,ND,0.5,0.2,1.8
TeCDDs ,,,―,―,8.5,―,―,92,―,―,14,―,―,23,―,―,61,―,―,24,―,―,110,―,―,100,―,―,17,―,―,9.6,―,―,14,―,―,28,―,―,15,―,―,10,―,―,33,―,―,18,―,―,12,―,―,0.64,―,―,290
PeCDDs ,,,―,―,5.6,―,―,64,―,―,14,―,―,17,―,―,40,―,―,13,―,―,92,―,―,31,―,―,13,―,―,9.0,―,―,17,―,―,30,―,―,16,―,―,14,―,―,16,―,―,12,―,―,11,―,―,1.7,―,―,35
HxCDDs ,,,―,―,10,―,―,94,―,―,19,―,―,38,―,―,63,―,―,16,―,―,160,―,―,48,―,―,20,―,―,12,―,―,31,―,―,46,―,―,65,―,―,35,―,―,20,―,―,18,―,―,21,―,―,12,―,―,64
HpCDDs,,,―,―,19,―,―,170,―,―,23,―,―,96,―,―,88,―,―,20,―,―,360,―,―,76,―,―,43,―,―,12,―,―,52,―,―,48,―,―,62,―,―,80,―,―,40,―,―,28,―,―,36,―,―,13,―,―,440
OCDD,,,―,―,150,―,―,840,―,―,66,―,―,720,―,―,260,―,―,65,―,―,2500,―,―,490,―,―,430,―,―,22,―,―,130,―,―,120,―,―,180,―,―,420,―,―,340,―,―,150,―,―,230,―,―,250,―,―,13000
Total（PCDDs）,,,―,―,193.1,―,―,1260,―,―,136,―,―,894,―,―,512,―,―,138,―,―,3222,―,―,745,―,―,523,―,―,64,―,―,244,―,―,272,―,―,338,―,―,559,―,―,449,―,―,226,―,―,310,―,―,277.34,―,―,13829
TeCDFs,,,―,―,11,―,―,110,―,―,24,―,―,27,―,―,73,―,―,30,―,―,170,―,―,58,―,―,24,―,―,25,―,―,41,―,―,52,―,―,24,―,―,13,―,―,29,―,―,22,―,―,20,―,―,(0.24),―,―,19
PeCDFs,,,―,―,12,―,―,120,―,―,30,―,―,28,―,―,77,―,―,28,―,―,210,―,―,59,―,―,26,―,―,21,―,―,62,―,―,64,―,―,23,―,―,24,―,―,33,―,―,27,―,―,29,―,―,0.85,―,―,22
HxCDFs,,,―,―,9.3,―,―,110,―,―,24,―,―,31,―,―,67,―,―,20,―,―,210,―,―,54,―,―,24,―,―,17,―,―,80,―,―,61,―,―,20,―,―,42,―,―,30,―,―,25,―,―,31,―,―,(0.3),―,―,37
HpCDFs,,,―,―,10,―,―,110,―,―,16,―,―,40,―,―,48,―,―,13,―,―,170,―,―,40,―,―,20,―,―,9.5,―,―,69,―,―,40,―,―,16,―,―,55,―,―,24,―,―,18,―,―,26,―,―,(0.3),―,―,89
OCDF,,,―,―,7.8,―,―,76,―,―,9.5,―,―,38,―,―,25,―,―,7.1,―,―,130,―,―,32,―,―,16,―,―,4.0,―,―,44,―,―,19,―,―,8.0,―,―,53,―,―,15,―,―,9.7,―,―,16,―,―,ND,―,―,130
Total（PCDFs）,,,―,―,50.1,―,―,526,―,―,103.5,―,―,164,―,―,290,―,―,98.1,―,―,890,―,―,243,―,―,110,―,―,76,―,―,296,―,―,236,―,―,91.0,―,―,187,―,―,131,―,―,101.7,―,―,122,―,―,1.69,―,―,297
Total (PCDDs+PCDFs),,,―,―,243.2,―,―,1786,―,―,239.5,―,―,1058,―,―,802,―,―,236.1,―,―,4112,―,―,988,―,―,633,―,―,140,―,―,540,―,―,508,―,―,429.0,―,―,746,―,―,580,―,―,327.7,―,―,432,―,―,279.03,―,―,14126
Total Co-PCBs,,,―,―,304.8,―,―,1614.4,―,―,194.5,―,―,269.8,―,―,1673.2,―,―,827.9,―,―,483.1,―,―,1966.1,―,―,243.6,―,―,29,―,―,94.1,―,―,242.0,―,―,227.8,―,―,69.0,―,―,63.9,―,―,88.2,―,―,70.5,―,―,14.3,―,―,71.6
TEQ Total(PCDDs+PCDFs),,単位：pg-TEQ/g,,,1.3,,,14,,,2.7,,,4.6,,,8.4,,,3.7,,,29,,,6.7,,,3,,,1.9,,,6.1,,,7.9,,,5.2,,,4.2,,,3.5,,,2.6,,,3.1,,,0.13,,,10
TEQ Total Co-PCB,,単位：pg-TEQ/g,,,0.33,,,2.7,,,0.49,,,0.62,,,2.3,,,0.72,,,1.4,,,1.5,,,0.29,,,0.15,,,0.41,,,0.97,,,0.41,,,0.32,,,0.27,,,0.25,,,0.25,,,0.0005,,,0.2
TEQ Total(PCDDs+PCDFs+Co-PCB),,単位：pg-TEQ/g,,,1.7,,,16,,,3.2,,,5.2,,,11,,,4.5,,,30,,,8.3,,,3.3,,,2.0,,,6.5,,,8.9,,,5.6,,,4.5,,,3.8,,,2.9,,,3.3,,,0.13,,,10
含水率（％）,,,,,4.7,,,13,,,1.9,,,9,,,13.7,,,1.4,,,4.6,,,7.2,,,1.4,,,3.4,,,1.7,,,10,,,10.1,,,8,,,1.7,,,3.7,,,4,,,0.5,,,1.4
強熱減量（％）,,,,,5.5,,,24.8,,,2.1,,,15.1,,,14.2,,,2.8,,,7.2,,,12.9,,,2.4,,,4.2,,,3.4,,,15.9,,,11.1,,,11.7,,,3.4,,,3.1,,,4.3,,,3.4,,,5.3
土色,,,,,褐,,,暗褐,,,灰 ,,,暗褐 ,,,にぶい黄橙,,,にぶい黄橙,,,暗褐 ,,,暗褐 ,,,褐灰,,,にぶい黄橙,,,褐,,,暗赤褐,,,暗褐,,,黒褐,,,暗ｵﾘｰﾌﾞ,,,暗褐 ,,,黒褐,,,にぶい黄橙,,,灰黄褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
