項目名,毒性等価係数,千歳清掃工場周辺地区／世田谷区南烏山2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区祖師谷6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区船橋3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区桜上水3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区上北沢2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市緑ヶ丘3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市神明台3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市双葉町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／瑞穂町むさし野1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／瑞穂町箱根ヶ崎東松原／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDF",0,0.30,0.09,1.1,0.31,0.09,2.3,0.30,0.09,0.62,0.30,0.09,0.80,0.31,0.09,1.3,0.3,0.1,14,0.3,0.1,5.0,0.31,0.09,5.4,0.3,0.1,6.2,0.3,0.1,1.5
"1,2,7,8-TeCDF",0,0.30,0.09,1.5,0.31,0.09,3.8,0.30,0.09,1.1,0.30,0.09,1.5,0.31,0.09,1.5,0.3,0.1,17,0.3,0.1,8.2,0.31,0.09,7.2,0.3,0.1,7.6,0.3,0.1,1.9
"2,3,7,8-TeCDF",0.1,0.30,0.09,1.3,0.31,0.09,3.1,0.30,0.09,1.1,0.30,0.09,2.0,0.31,0.09,1.8,0.3,0.1,16,0.3,0.1,6.6,0.31,0.09,5.7,0.3,0.1,6.4,0.3,0.1,1.9
"1,2,3,7,8-PeCDF",0.03,0.5,0.1,1.8,0.5,0.1,4.7,0.5,0.1,0.9,0.5,0.1,1.2,0.5,0.1,1.4,0.5,0.2,20,0.5,0.1,9.0,0.5,0.1,9.5,0.5,0.2,11,0.5,0.1,2.1
"2,3,4,7,8-PeCDF",0.3,0.7,0.2,2.3,0.7,0.2,6.9,0.7,0.2,1.1,0.7,0.2,1.3,0.7,0.2,1.9,0.7,0.2,29,0.7,0.2,14,0.7,0.2,15,0.7,0.2,16,0.7,0.2,3.8
"1,2,3,4,7,8-HxCDF",0.1,0.19,0.06,3.0,0.19,0.06,9.7,0.19,0.06,1.4,0.19,0.06,1.4,0.20,0.06,2.4,0.21,0.06,30,0.20,0.06,15,0.19,0.06,18,0.21,0.06,18,0.20,0.06,5.2
"1,2,3,6,7,8-HxCDF",0.1,0.25,0.07,3.8,0.25,0.08,9.5,0.25,0.07,1.5,0.25,0.08,1.5,0.26,0.08,2.7,0.28,0.08,38,0.27,0.08,20,0.25,0.08,23,0.28,0.08,21,0.27,0.08,6.2
"1,2,3,7,8,9-HxCDF",0.1,1.1,0.3,(0.4),1.2,0.3,(0.7),1.1,0.3,ND,1.1,0.3,ND,1.2,0.4,ND,1.3,0.4,2.5,1.2,0.4,1.6,1.2,0.3,1.8,1.3,0.4,1.5,1.2,0.4,(0.7)
"2,3,4,6,7,8-HxCDF",0.1,0.19,0.06,5.4,0.19,0.06,11,0.19,0.06,1.8,0.19,0.06,1.6,0.20,0.06,3.0,0.21,0.06,54,0.21,0.06,26,0.19,0.06,31,0.21,0.06,26,0.21,0.06,9.4
"1,2,3,4,6,7,8-HpCDF",0.01,1.6,0.5,19,1.6,0.5,55,1.6,0.5,6.8,1.6,0.5,6.6,1.6,0.5,11,1.8,0.5,150,1.7,0.5,84,1.6,0.5,88,1.8,0.5,89,1.7,0.5,32
"1,2,3,4,7,8,9-HpCDF",0.01,0.9,0.3,2.8,0.9,0.3,7.0,0.9,0.3,1.0,0.9,0.3,(0.8),0.9,0.3,1.5,1.0,0.3,23,1.0,0.3,14,0.9,0.3,18,1.0,0.3,14,1.0,0.3,7.1
OCDF,0.0003,1.6,0.5,18,1.7,0.5,43,1.6,0.5,7.3,1.6,0.5,6.2,1.7,0.5,12,1.8,0.5,110,1.8,0.5,76,1.7,0.5,77,1.8,0.5,80,1.8,0.5,48
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,1.0,0.6,0.2,1.9,0.6,0.2,0.7,0.6,0.2,0.9,0.6,0.2,1.3,0.6,0.2,8.1,0.6,0.2,3.7,0.6,0.2,1.4,0.6,0.2,3.4,0.6,0.2,1.3
"3,3',4,4'-TeCB(#77)",0.0001,0.5,0.1,22,0.5,0.1,23,0.5,0.1,10,0.5,0.1,17,0.5,0.1,22,0.5,0.2,100,0.5,0.1,51,0.5,0.1,10,0.5,0.2,30,0.5,0.1,23
"3,3',4,4',5-PeCB(#126)",0.1,0.3,0.1,3.8,0.3,0.1,7.9,0.3,0.1,2.9,0.3,0.1,4.0,0.3,0.1,7.4,0.4,0.1,55,0.4,0.1,26,0.3,0.1,6.9,0.4,0.1,18,0.4,0.1,4.1
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.6,0.5,(0.9),1.6,0.5,2.8,1.6,0.5,(0.5),1.6,0.5,(0.7),1.7,0.5,(1.3),1.8,0.5,19,1.7,0.5,5.6,1.6,0.5,3.2,1.8,0.5,8.0,1.7,0.5,1.8
"2',3,4,4',5-PeCB(#123)",0.00003,0.7,0.2,4.5,0.7,0.2,3.8,0.7,0.2,3.2,0.7,0.2,4.3,0.7,0.2,18,0.8,0.2,27,0.8,0.2,22,0.7,0.2,2.6,0.8,0.2,15,0.8,0.2,4.0
"2,3',4,4',5-PeCB(#118)",0.00003,1.3,0.4,98,1.3,0.4,120,1.3,0.4,98,1.3,0.4,97,1.4,0.4,320,1.5,0.4,590,1.4,0.4,590,1.3,0.4,54,1.5,0.4,330,1.4,0.4,120
"2,3,3',4,4'-PeCB(#105)",0.00003,0.7,0.2,69,0.7,0.2,66,0.7,0.2,39,0.7,0.2,53,0.7,0.2,130,0.8,0.2,270,0.8,0.2,300,0.7,0.2,28,0.8,0.2,160,0.8,0.2,57
"2,3,4,4',5-PeCB(#114)",0.00003,0.6,0.2,2.4,0.6,0.2,3.1,0.6,0.2,1.7,0.6,0.2,1.9,0.6,0.2,5.6,0.6,0.2,11,0.6,0.2,9.2,0.6,0.2,1.4,0.6,0.2,6.3,0.6,0.2,2.9
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.3,0.4,9.1,1.3,0.4,13,1.3,0.4,22,1.3,0.4,11,1.3,0.4,61,1.4,0.4,72,1.4,0.4,86,1.3,0.4,7.0,1.4,0.4,42,1.4,0.4,12
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.14,0.04,20,0.14,0.04,27,0.14,0.04,48,0.14,0.04,19,0.14,0.04,110,0.15,0.05,150,0.15,0.04,200,0.14,0.04,14,0.15,0.05,87,0.15,0.04,21
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,7.2,0.4,0.1,9.0,0.4,0.1,11,0.4,0.1,7.9,0.4,0.1,45,0.4,0.1,61,0.4,0.1,67,0.4,0.1,5.7,0.4,0.1,34,0.4,0.1,7.6
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,1.8,0.5,3.1,1.8,0.5,7.8,1.8,0.5,8.3,1.8,0.5,2.9,1.8,0.5,11,2.0,0.6,36,1.9,0.6,17,1.8,0.5,5.4,2.0,0.6,17,1.9,0.6,4.1
TeCDDs ,,―,―,25,―,―,31,―,―,12,―,―,12,―,―,22,―,―,200,―,―,100,―,―,94,―,―,130,―,―,36
PeCDDs ,,―,―,22,―,―,36,―,―,9.5,―,―,9.8,―,―,19,―,―,220,―,―,110,―,―,150,―,―,170,―,―,27
HxCDDs ,,―,―,32,―,―,50,―,―,15,―,―,14,―,―,25,―,―,300,―,―,160,―,―,190,―,―,220,―,―,48
HpCDDs,,―,―,57,―,―,68,―,―,31,―,―,18,―,―,33,―,―,270,―,―,190,―,―,170,―,―,330,―,―,92
OCDD,,―,―,160,―,―,120,―,―,150,―,―,62,―,―,140,―,―,500,―,―,380,―,―,200,―,―,1300,―,―,800
Total（PCDDs）,,―,―,290,―,―,300,―,―,220,―,―,120,―,―,240,―,―,1500,―,―,950,―,―,800,―,―,2100,―,―,1000
TeCDFs,,―,―,34,―,―,88,―,―,20,―,―,26,―,―,37,―,―,420,―,―,170,―,―,180,―,―,180,―,―,48
PeCDFs,,―,―,40,―,―,98,―,―,17,―,―,21,―,―,34,―,―,460,―,―,190,―,―,240,―,―,220,―,―,50
HxCDFs,,―,―,40,―,―,100,―,―,15,―,―,16,―,―,31,―,―,430,―,―,200,―,―,230,―,―,230,―,―,67
HpCDFs,,―,―,33,―,―,86,―,―,12,―,―,11,―,―,20,―,―,260,―,―,160,―,―,170,―,―,160,―,―,71
OCDF,,―,―,18,―,―,43,―,―,7.3,―,―,6.2,―,―,12,―,―,110,―,―,76,―,―,77,―,―,80,―,―,48
Total（PCDFs）,,―,―,170,―,―,420,―,―,72,―,―,80,―,―,130,―,―,1700,―,―,800,―,―,900,―,―,870,―,―,280
Total (PCDDs+PCDFs),,―,―,460,―,―,720,―,―,290,―,―,200,―,―,380,―,―,3200,―,―,1800,―,―,1700,―,―,3000,―,―,1300
Total Co-PCBs,,―,―,240,―,―,280,―,―,250,―,―,220,―,―,720,―,―,1400,―,―,1400,―,―,140,―,―,750,―,―,260
TEQ Total(PCDDs+PCDFs),,,,4.3,,,9.7,,,2,,,2.1,,,3.9,,,48,,,30,,,34,,,38,,,8.1
TEQ Total Co-PCB,,,,0.39,,,0.88,,,0.3,,,0.41,,,0.76,,,6.1,,,2.8,,,0.79,,,2.1,,,0.47
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,4.7,,,11,,,2.3,,,2.5,,,4.7,,,54,,,33,,,35,,,40,,,8.6
含水率（％）,,,,1.5,,,3.5,,,2.5,,,1.7,,,5.3,,,11.9,,,8.7,,,2.5,,,12.4,,,8.9
強熱減量（％）,,,,4.7,,,5.9,,,5.4,,,4.5,,,8.6,,,26.3,,,17.6,,,4.2,,,21.4,,,12.1
土色,,,,褐灰,,,褐灰,,,灰褐,,,ｵﾘｰﾌﾞ黒,,,暗褐,,,黒褐,,,黒,,,暗褐,,,黒褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
