項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋下,28浅川／中央道北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.65,0.90,3.8,4,3.6,0.85,3.8,(0.16),0.2,1.9,1.8,1.7,0.69,(0.13),(0.19),1.6,1.4,0.40,0.91,0.30,0.56,1.9,1.5,0.33,(0.12),(0.12),0.46,1.8,(0.12),ND,1.7,ND,1.0,ND,ND,(0.15),(0.10),0.33,ND,(0.12),ND,3.1,ND,(0.19),(0.13)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,1.3,1.9,12,12,11,1.3,8.4,0.46,0.46,5.0,4.7,4.4,1.8,(0.17),(0.20),3.4,3.7,1.1,1.1,0.66,1.2,2.9,3.1,(0.19),(0.09),ND,ND,1.5,(0.18),ND,3.6,ND,0.97,ND,ND,0.23,(0.14),0.21,(0.10),(0.14),(0.12),6.3,(0.08),(0.18),(0.17)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,2.7,3.9,23,23,22,3.2,16,0.95,0.92,9.6,8.9,8.2,3.5,0.40,0.50,6.2,6.8,2.3,2.1,1.3,2.4,6.2,6.4,0.48,0.24,ND,ND,3.6,0.34,ND,7.4,ND,1.9,ND,ND,0.44,0.27,0.44,(0.10),0.29,0.28,15,(0.19),0.34,0.34
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,21,36,210,220,260,22,150,6.6,6.1,97,92,87,33,2.2,3.2,32,38,17,12,9.6,15,43,41,2.3,1.1,(0.3),(0.3),15,1.5,(0.3),75,ND,12,(0.4),ND,3.4,1.2,1.4,0.8,1.4,1.5,160,(0.4),1.8,1.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,34,51,290,290,340,31,210,10,9.6,140,130,120,48,4.6,5.4,43,49,29,17,15,22,55,52,5.3,4.2,0.9,1.6,25,4,0.5,110,0.07,19,0.6,0.14,4.8,1.9,2.8,1.6,3.8,3.6,240,0.98,2.9,2.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,(0.04),(0.07),(0.09),(0.05),(0.03),0.17,ND,ND,(0.06),(0.07),(0.04),(0.05),ND,ND,0.41,0.44,(0.06),(0.10),(0.04),(0.07),(0.08),(0.09),ND,ND,ND,(0.03),0.25,ND,ND,ND,ND,(0.05),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,ND,ND,0.15,0.14,(0.09),(0.04),0.16,(0.05),(0.04),(0.07),(0.06),(0.06),(0.04),ND,ND,0.12,(0.09),(0.08),0.10,(0.06),(0.09),0.10,0.12,ND,(0.03),ND,ND,0.18,(0.04),ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,ND,(0.05),(0.08),0.1,(0.07),(0.04),0.18,ND,(0.03),(0.05),(0.07),(0.06),(0.05),ND,ND,0.32,0.37,(0.03),0.10,(0.03),(0.05),0.10,0.10,ND,ND,ND,(0.03),0.22,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.22,0.45,3.1,3.6,2.5,0.38,3.7,0.28,0.7,1.6,2.2,1.8,0.66,0.22,0.19,2.1,2.9,0.64,0.62,0.45,1.0,1.5,1.6,0.32,0.30,0.30,0.29,4.4,0.50,ND,0.74,ND,0.95,ND,ND,ND,ND,(0.05),0.31,0.16,0.10,1.3,(0.05),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.05),ND,0.13,(0.08),(0.08),(0.04),0.24,(0.04),ND,0.11,(0.05),(0.08),(0.06),(0.03),ND,0.31,0.28,(0.04),0.12,(0.03),(0.06),(0.08),(0.10),ND,ND,ND,ND,0.26,ND,ND,ND,ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,(0.04),(0.04),(0.10),0.11,0.10,ND,0.18,ND,(0.03),(0.09),0.1,(0.07),(0.04),ND,ND,0.21,0.22,ND,0.11,ND,(0.04),(0.06),(0.07),ND,ND,ND,ND,0.19,ND,ND,(0.04),ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,(0.08),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.41,0.56,2.4,2.5,1.9,0.50,3.2,0.47,0.47,1.8,1.5,1.5,0.60,0.11,(0.08),2.0,2.2,0.40,0.84,0.24,0.76,1.2,1.4,0.12,ND,(0.05),ND,5.1,1.1,ND,0.50,ND,1.2,ND,ND,(0.07),ND,(0.08),ND,(0.08),(0.09),1.0,0.14,(0.07),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.07),(0.07),0.25,0.21,0.20,ND,0.38,(0.07),ND,0.21,(0.16),(0.15),(0.07),ND,ND,0.38,0.41,ND,(0.12),ND,(0.08),(0.13),(0.14),ND,ND,ND,ND,0.29,ND,ND,(0.10),ND,(0.13),ND,ND,ND,ND,ND,ND,ND,ND,(0.12),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,(0.06),0.22,0.23,0.21,ND,0.29,ND,ND,(0.12),(0.11),(0.13),ND,ND,ND,(0.12),(0.16),ND,ND,ND,ND,(0.07),(0.09),ND,ND,ND,ND,0.23,ND,ND,(0.07),ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,(0.13),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,(0.07),(0.19),0.29,(0.17),ND,0.31,ND,ND,(0.16),(0.17),(0.16),ND,ND,ND,(0.15),(0.14),ND,ND,ND,ND,(0.09),(0.10),ND,ND,ND,ND,0.31,ND,ND,(0.06),ND,(0.15),ND,ND,ND,ND,ND,ND,ND,ND,(0.12),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.41,0.94,2.9,3.9,4.0,0.28,3.2,(0.19),0.3,1.6,2.1,2.1,0.75,ND,ND,2.2,2.8,0.76,0.62,0.25,1.2,1.8,2.2,ND,ND,ND,ND,3.8,(0.11),ND,1.7,ND,1.1,ND,ND,ND,ND,ND,ND,ND,ND,3.0,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.31,0.42,1.9,1.8,1.6,0.32,2.1,0.23,0.22,1.0,0.92,0.95,0.39,(0.16),(0.10),2.8,2.9,0.51,0.56,0.23,0.78,1.6,1.6,(0.08),ND,ND,ND,1.3,ND,ND,0.73,ND,0.53,ND,ND,ND,ND,(0.11),ND,ND,ND,1.1,ND,(0.12),(0.17)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,0.29,0.25,0.36,ND,0.41,ND,ND,0.23,(0.13),0.21,ND,ND,ND,0.20,0.21,ND,ND,ND,ND,(0.17),(0.13),ND,ND,ND,ND,(0.19),ND,ND,(0.13),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.21,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.62,0.94,5.2,4.6,4.8,0.55,5.3,0.49,0.46,2.7,2.7,2.5,0.84,(0.16),(0.19),7.7,7.6,1.2,1.3,0.50,1.9,4.2,4.3,(0.08),ND,ND,ND,2.3,ND,ND,2.1,ND,0.94,ND,ND,ND,ND,(0.11),ND,ND,ND,3.3,ND,(0.12),(0.17)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.7,0.9,4.7,5,5.0,0.6,4.9,(0.5),0.6,2.3,2.3,1.8,0.8,ND,ND,10,13,1.9,1.7,0.7,2.6,5.6,5.9,ND,ND,ND,ND,1.2,ND,ND,2.0,ND,0.6,ND,ND,ND,ND,ND,ND,ND,ND,2.8,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.4,3.8,18,20,18,2.3,20,1.9,2.5,10,11,9.7,3.7,0.49,0.46,24,29,4.9,5.1,2.1,7.5,14,15,0.52,0.3,0.35,0.29,17,1.7,ND,7,ND,4.8,ND,ND,0.07,ND,0.24,0.31,0.24,0.19,11,0.19,0.19,0.24
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,36,54,310,310,360,33,230,12,12,150,140,130,51,5,5.9,67,78,34,22,17,29,69,68,5.8,4.5,1.3,1.9,41,5.8,0.5,120,0.07,24,0.6,0.14,4.9,1.9,3.1,1.9,4,3.8,250,1.2,3.1,2.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,0.22,0.22,(0.18),(0.15),0.66,(0.14),(0.12),(0.15),(0.19),(0.18),ND,ND,ND,1.1,1,0.30,ND,0.22,0.40,1.4,1.4,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,(0.11),ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,0.79,3.4,21,24,12,3.5,81,7.7,7.3,24,16,2.8,9.1,1.8,2.4,39,46,12,18,9.1,14,38,40,2.3,1.3,0.95,0.98,59,1.5,0.20,0.59,0.45,1.8,0.46,0.48,0.67,0.79,1.2,0.89,0.81,0.77,2.8,0.47,0.51,0.50
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,ND,ND,0.41,0.37,0.36,(0.16),1.0,(0.13),(0.10),0.34,0.26,0.22,ND,ND,(0.12),0.63,0.64,ND,0.23,ND,0.27,0.75,0.73,(0.18),ND,ND,ND,2.5,ND,ND,ND,ND,(0.19),ND,ND,ND,ND,(0.09),ND,ND,ND,(0.10),ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,(0.06),ND,ND,ND,(0.14),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.15),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,0.79,3.4,22,25,13,3.8,83,8,7.5,24,16,3.2,9.1,1.8,2.5,41,48,12,18,9.3,15,40,42,2.6,1.3,0.95,0.98,62,1.5,0.2,0.59,0.45,2.1,0.46,0.48,0.67,0.79,1.4,0.89,0.81,0.77,2.9,0.47,0.51,0.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,ND,0.20,0.64,0.75,0.45,0.33,2.1,0.46,0.48,0.77,0.87,0.34,0.30,(0.16),0.48,2.4,2.5,0.56,0.83,0.39,0.71,2.4,3.0,0.54,0.31,0.20,0.22,8.6,0.29,ND,ND,ND,(0.17),ND,ND,ND,ND,(0.13),ND,(0.12),(0.13),0.25,(0.06),(0.10),(0.13)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,5.2,9.5,44,41,32,23,170,36,27,58,58,18,32,11,24,170,140,51,70,39,59,180,190,40,18,17,18,660,17,0.78,3.4,1.4,7.9,2.9,3.5,2.6,2.8,6.4,3.5,7.4,6.9,9.3,2.5,3.4,3.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,2.1,3.2,13,13,10,6.5,42,11,8.1,15,16,7.7,9.4,3.9,9.1,54,51,14,21,11,19,65,66,15,8.0,7.7,8.0,240,6.1,0.38,1.7,0.67,4.2,1.4,1.5,1.3,1.3,2.9,1.9,3.0,3.1,5.8,1.2,1.5,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,(0.15),0.25,0.84,0.8,0.64,0.41,3.4,0.66,0.54,1.2,1.1,1.1,0.71,0.33,0.65,2.8,2.4,0.96,1.2,0.66,0.90,3.7,3.8,0.97,0.54,0.61,0.62,13,0.38,ND,(0.14),ND,0.26,(0.09),ND,(0.10),(0.09),0.21,(0.13),0.23,(0.19),0.31,(0.12),2.7,2.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.29,0.34,1.4,1.3,1.1,0.57,4.0,0.73,0.59,1.6,1.7,0.86,0.76,0.38,0.97,4.0,3.7,1.1,1.4,0.78,1.2,5.3,5.5,2.0,0.35,0.43,0.40,24,0.60,ND,(0.20),(0.07),0.51,(0.15),(0.09),(0.13),(0.11),0.37,(0.16),0.34,0.35,0.27,(0.08),0.22,0.23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,0.62,0.86,3.3,3.1,2.7,1.2,9.8,1.7,1.4,4.0,4,1.9,1.7,0.88,2.3,9.2,8.1,2.3,3.2,1.7,2.4,12,13,5.2,0.83,1.3,1.3,54,1.3,ND,0.44,(0.12),1.1,0.29,(0.18),0.25,0.25,0.77,0.32,0.75,0.76,0.76,0.30,0.41,0.45
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,(0.17),(0.18),0.90,0.81,0.66,0.34,2.5,0.45,0.35,1.0,0.97,0.59,0.48,0.23,0.62,2.3,2.1,0.62,0.78,0.39,0.61,3.2,3.1,1.2,(0.19),0.31,0.29,14,0.39,ND,(0.12),ND,0.31,(0.09),ND,(0.07),ND,0.23,(0.11),0.21,0.22,(0.12),(0.07),(0.16),(0.14)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,0.24,0.26,0.21,ND,0.70,(0.08),(0.08),0.26,0.26,(0.16),(0.12),ND,(0.14),0.57,0.59,(0.15),(0.19),(0.14),(0.14),0.76,0.68,0.23,ND,ND,ND,2.7,ND,ND,ND,ND,(0.11),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,8.5,15,64,61,48,32,230,51,39,82,83,31,45,17,38,250,210,71,99,54,84,270,290,65,28,28,29,1000,26,1.2,6,2.3,15,4.9,5.3,4.5,4.6,11,6.1,12,12,17,4.3,8.5,8.8
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,9.3,18,86,86,60,36,320,59,46,110,99,34,55,19,41,290,260,83,120,63,99,310,330,68,30,29,30,1100,28,1.4,6.6,2.7,17,5.4,5.8,5.1,5.3,12,7,13,12,20,4.8,9.0,9.3
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,46,72,390,400,420,69,550,71,58,250,240,170,110,24,47,350,340,120,140,81,130,380,390,73,34,30,32,1100,33,1.9,130,2.8,40,6.0,5.9,10,7.2,15,8.9,17,16,270,6.0,12,12
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.093,0.12,0.5,0.52,0.48,0.087,0.57,0.072,0.071,0.31,0.28,0.27,0.11,0.062,0.062,0.31,0.33,0.085,0.13,0.073,0.1,0.18,0.18,0.061,0.059,0.058,0.06,0.31,0.06,0.058,0.19,0.058,0.14,0.059,0.058,0.061,0.06,0.061,0.059,0.06,0.06,0.32,0.059,0.061,0.062
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.0042,0.0047,0.047,0.042,0.04,0.018,0.12,0.016,0.013,0.04,0.031,0.024,0.0062,0.0046,0.014,0.075,0.076,0.0073,0.029,0.0065,0.032,0.088,0.087,0.021,0.0049,0.0048,0.0049,0.29,0.0048,0.004,0.0041,0.004,0.021,0.0041,0.0041,0.0041,0.0041,0.01,0.0042,0.0044,0.0043,0.012,0.0041,0.0042,0.0042
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.097,0.13,0.55,0.56,0.52,0.11,0.69,0.088,0.084,0.35,0.31,0.29,0.11,0.067,0.076,0.39,0.41,0.092,0.16,0.079,0.13,0.27,0.27,0.082,0.064,0.063,0.065,0.60,0.065,0.062,0.20,0.062,0.16,0.063,0.063,0.066,0.064,0.072,0.064,0.064,0.064,0.33,0.063,0.066,0.066
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.10,0.13,0.54,0.55,0.49,0.11,0.72,0.094,0.09,0.36,0.32,0.29,0.12,0.071,0.082,0.45,0.47,0.098,0.19,0.085,0.15,0.30,0.30,0.092,0.069,0.069,0.070,0.74,0.070,0.065,0.19,0.065,0.17,0.066,0.066,0.068,0.067,0.075,0.067,0.068,0.068,0.32,0.066,0.070,0.070
浮遊物質量（SS）,,,,,mg/L,1,5,11,11,12,7,19,3,3,11,11,12,4,2,3,2,2,6,2,2,1,3,3,2,3,1未満,1未満,9,3,1未満,1未満,1未満,6,1未満,1未満,1,1未満,1,2,1未満,1未満,1未満,1未満,1,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
